ORF	hap a | tRNA processed form 1/2 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 1/2 + extra band below I (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 2* (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 4/5/6 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 7 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 9 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015
YLL031C	0.000	0.000	0.000	0.000	0.000	0.000
YLL035W	0.000	0.000	0.000	0.000	0.000	0.000
YLL036C	0.000	0.000	0.000	0.000	0.000	0.000
YLL050C	0.000	0.000	0.000	0.000	0.000	0.000
YLR002C	0.000	0.000	0.000	0.000	0.000	0.000
YLR009W	0.000	0.000	0.000	0.000	0.000	0.000
YLR026C	0.000	0.000	0.000	0.000	0.000	0.000
YLR029C	0.000	0.000	0.000	0.000	0.000	0.000
YLR033W	0.000	0.000	0.000	0.000	0.000	0.000
YLR045C	0.000	0.000	0.000	0.000	0.000	0.000
YLR060W	0.000	0.000	0.000	0.000	0.000	0.000
YLR066W	0.000	0.000	0.000	0.000	0.000	0.000
YLR071C	0.000	0.000	0.000	0.000	0.000	0.000
YLR078C	0.000	0.000	0.000	1.000	0.000	0.000
YLR086W	0.000	0.000	0.000	0.000	0.000	0.000
YLR088W	0.000	0.000	0.000	0.000	0.000	0.000
YLR100W	0.000	0.000	0.000	1.000	0.000	0.000
YLR103C	0.000	0.000	0.000	0.000	0.000	0.000
YLR105C	0.000	0.000	0.000	1.000	0.000	0.000
YLR117C	0.000	0.000	0.000	0.000	0.000	0.000
YLR127C	0.000	0.000	0.000	0.000	0.000	0.000
YLR129W	0.000	0.000	0.000	0.000	0.000	0.000
YLR132C	0.000	0.000	0.000	0.000	0.000	0.000
YLR141W	1.000	0.000	0.000	0.000	0.000	0.000
YLR147C	0.000	0.000	0.000	0.000	0.000	0.000
YLR153C	0.000	0.000	0.000	0.000	0.000	0.000
YLR163C	0.000	0.000	0.000	0.000	0.000	0.000
YLR166C	0.000	0.000	0.000	0.000	0.000	0.000
YLR175W	0.000	0.000	0.000	0.000	0.000	0.000
YLR195C	0.000	0.000	0.000	0.000	0.000	0.000
YLR196W	0.000	0.000	0.000	0.000	0.000	0.000
YLR197W	0.000	0.000	0.000	0.000	0.000	0.000
YLR208W	0.000	0.000	0.000	1.000	0.000	0.000
YLR212C	0.000	0.000	0.000	0.000	0.000	0.000
YLR215C	0.000	0.000	0.000	0.000	0.000	0.000
YLR222C	0.000	0.000	0.000	0.000	0.000	0.000
YLR229C	0.000	0.000	0.000	0.000	0.000	0.000
YLR249W	0.000	0.000	0.000	1.000	0.000	0.000
YLR268W	0.000	0.000	0.000	1.000	0.000	0.000
YLR272C	0.000	0.000	0.000	0.000	0.000	0.000
YLR274W	0.000	0.000	0.000	0.000	0.000	0.000
YLR275W	0.000	0.000	0.000	0.000	0.000	0.000
YLR276C	0.000	0.000	0.000	0.000	0.000	0.000
YLR277C	0.000	0.000	0.000	0.000	0.000	0.000
YLR291C	0.000	0.000	0.000	0.000	0.000	0.000
YLR298C	0.000	0.000	0.000	0.000	0.000	0.000
YLR305C	0.000	0.000	0.000	0.000	0.000	0.000
YLR310C	0.000	0.000	0.000	0.000	0.000	0.000
YLR314C	0.000	0.000	0.000	0.000	0.000	0.000
YLR316C	0.000	0.000	0.000	0.000	0.000	0.000
YLR317W	0.000	0.000	0.000	0.000	0.000	0.000
YLR321C	0.000	0.000	0.000	0.000	0.000	0.000
YLR340W	0.000	0.000	0.000	0.000	0.000	0.000
YLR378C	0.000	0.000	0.000	0.000	0.000	0.000
YLR383W	0.000	0.000	0.000	0.000	0.000	0.000
YLR397C	0.000	0.000	0.000	0.000	0.000	0.000
YLR424W	0.000	0.000	0.000	0.000	0.000	0.000
YLR430W	0.000	0.000	0.000	0.000	0.000	0.000
YLR457C	0.000	0.000	0.000	0.000	0.000	0.000
YLR459W	0.000	0.000	0.000	0.000	0.000	0.000
YML010W	0.000	0.000	0.000	0.000	0.000	0.000
YML015C	0.000	0.000	0.000	0.000	0.000	0.000
YML023C	0.000	0.000	0.000	0.000	0.000	0.000
YML031W	0.000	0.000	0.000	1.000	0.000	0.000
YML046W	0.000	0.000	0.000	0.000	0.000	0.000
YML049C	0.000	0.000	0.000	0.000	0.000	0.000
YML064C	0.000	0.000	0.000	0.000	0.000	0.000
YML065W	0.000	0.000	0.000	0.000	0.000	0.000
YML069W	0.000	0.000	0.000	0.000	0.000	0.000
YML077W	0.000	0.000	0.000	0.000	0.000	0.000
YML092C	0.000	0.000	0.000	0.000	0.000	0.000
YML098W	0.000	0.000	0.000	0.000	0.000	0.000
YML105C	0.000	0.000	0.000	0.000	0.000	0.000
YML114C	0.000	0.000	0.000	0.000	0.000	0.000
YML125C	0.000	0.000	0.000	0.000	0.000	0.000
YML126C	0.000	0.000	0.000	0.000	0.000	0.000
YML127W	0.000	0.000	0.000	0.000	0.000	0.000
YML130C	0.000	0.000	0.000	0.000	0.000	0.000
YMR001C	0.000	0.000	0.000	0.000	0.000	0.000
YMR005W	0.000	0.000	0.000	0.000	0.000	0.000
YMR013C	0.000	0.000	0.000	0.000	0.000	0.000
YMR028W	0.000	0.000	0.000	0.000	0.000	0.000
YMR033W	0.000	0.000	0.000	0.000	0.000	0.000
YMR043W	0.000	0.000	0.000	0.000	0.000	0.000
YMR049C	0.000	0.000	0.000	0.000	0.000	0.000
YMR061W	0.000	0.000	0.000	0.000	0.000	0.000
YMR079W	0.000	0.000	0.000	0.000	0.000	0.000
YMR093W	0.000	0.000	0.000	0.000	0.000	0.000
YMR094W	0.000	0.000	0.000	0.000	0.000	0.000
YMR112C	0.000	0.000	0.000	0.000	0.000	0.000
YMR117C	0.000	0.000	0.000	0.000	0.000	0.000
YMR134W	0.000	0.000	0.000	0.000	0.000	0.000
YMR146C	0.000	0.000	0.000	0.000	0.000	0.000
YMR149W	0.000	0.000	0.000	0.000	0.000	0.000
YMR168C	0.000	0.000	0.000	0.000	0.000	0.000
YMR197C	0.000	0.000	0.000	0.000	0.000	0.000
YMR200W	0.000	0.000	0.000	0.000	0.000	0.000
YMR208W	0.000	0.000	0.000	0.000	0.000	0.000
YMR211W	0.000	0.000	0.000	0.000	0.000	0.000
YMR213W	0.000	0.000	0.000	0.000	0.000	0.000
YMR218C	0.000	0.000	0.000	0.000	0.000	0.000
YMR220W	0.000	0.000	0.000	0.000	0.000	0.000
YMR227C	0.000	0.000	0.000	0.000	0.000	0.000
YMR229C	0.000	0.000	0.000	0.000	0.000	0.000
YMR235C	0.000	0.000	0.000	1.000	0.000	0.000
YMR236W	0.000	0.000	0.000	0.000	0.000	0.000
YMR239C	0.000	0.000	0.000	0.000	0.000	0.000
YMR240C	0.000	0.000	0.000	0.000	0.000	0.000
YMR260C	0.000	0.000	0.000	0.000	0.000	0.000
YMR268C	0.000	0.000	0.000	0.000	0.000	0.000
YMR277W	0.000	0.000	0.000	0.000	0.000	0.000
YMR281W	0.000	0.000	0.000	0.000	0.000	0.000
YMR288W	0.000	0.000	0.000	0.000	0.000	0.000
YMR290C	0.000	0.000	0.000	0.000	0.000	0.000
YMR296C	0.000	0.000	0.000	0.000	0.000	0.000
YMR298W	0.000	0.000	0.000	0.000	0.000	0.000
YMR308C	0.000	0.000	0.000	0.000	0.000	0.000
YMR314W	0.000	0.000	0.000	0.000	0.000	0.000
YNL002C	0.000	0.000	0.000	0.000	0.000	0.000
YNL006W	0.000	0.000	0.000	0.000	0.000	0.000
YNL007C	0.000	0.000	0.000	0.000	0.000	0.000
YNL038W	0.000	0.000	0.000	0.000	0.000	0.000
YNL061W	0.000	0.000	0.000	0.000	0.000	0.000
YNL062C	0.000	0.000	0.000	0.000	0.000	0.000
YNL075W	0.000	0.000	0.000	0.000	0.000	0.000
YNL102W	0.000	0.000	0.000	0.000	0.000	0.000
YNL110C	0.000	0.000	0.000	0.000	0.000	0.000
YNL118C	0.000	0.000	0.000	1.000	0.000	0.000
YNL126W	0.000	0.000	0.000	0.000	0.000	0.000
YNL131W	0.000	0.000	0.000	0.000	0.000	0.000
YNL132W	0.000	0.000	0.000	0.000	0.000	0.000
YNL138W	0.000	0.000	0.000	0.000	0.000	0.000
YNL152W	0.000	0.000	0.000	0.000	0.000	0.000
YNL158W	0.000	0.000	0.000	0.000	0.000	0.000
YNL181W	0.000	0.000	0.000	0.000	0.000	0.000
YNL182C	0.000	0.000	0.000	0.000	0.000	0.000
YNL189W	0.000	0.000	0.000	0.000	0.000	0.000
YNL207W	0.000	0.000	0.000	0.000	0.000	0.000
YNL216W	0.000	0.000	0.000	1.000	0.000	0.000
YNL222W	0.000	0.000	0.000	0.000	0.000	0.000
YNL232W	0.000	0.000	0.000	0.000	0.000	0.000
YNL244C	0.000	0.000	0.000	0.000	0.000	0.000
YNL247W	0.000	0.000	0.000	0.000	0.000	0.000
YNL256W	0.000	0.000	0.000	0.000	0.000	0.000
YNL258C	0.000	0.000	0.000	0.000	0.000	0.000
YNL260C	0.000	0.000	0.000	0.000	0.000	0.000
YNL261W	0.000	0.000	0.000	0.000	0.000	0.000
YNL262W	0.000	0.000	0.000	0.000	0.000	0.000
YNL263C	0.000	0.000	0.000	0.000	0.000	0.000
YNL267W	0.000	0.000	0.000	0.000	0.000	0.000
YNL272C	0.000	0.000	0.000	0.000	0.000	0.000
YNL282W	1.000	0.000	0.000	0.000	0.000	0.000
YNL287W	0.000	0.000	0.000	0.000	0.000	0.000
YNL310C	0.000	0.000	0.000	0.000	0.000	0.000
YNL312W	0.000	0.000	0.000	0.000	0.000	0.000
YNL313C	0.000	0.000	0.000	0.000	0.000	0.000
YNR003C	1.000	0.000	0.000	0.000	0.000	0.000
YNR011C	0.000	0.000	0.000	0.000	0.000	0.000
YNR017W	0.000	0.000	0.000	0.000	0.000	0.000
YNR026C	0.000	0.000	0.000	0.000	0.000	0.000
YNR035C	0.000	0.000	0.000	0.000	0.000	0.000
YNR038W	0.000	0.000	0.000	0.000	0.000	0.000
YNR053C	0.000	0.000	0.000	1.000	0.000	0.000
YOL022C	0.000	0.000	0.000	0.000	0.000	0.000
YOL034W	0.000	0.000	0.000	0.000	0.000	0.000
YOL038W	0.000	0.000	0.000	0.000	0.000	0.000
YOL066C	0.000	0.000	0.000	0.000	0.000	0.000
YOL077C	0.000	0.000	0.000	0.000	0.000	0.000
YOL094C	0.000	0.000	0.000	0.000	0.000	0.000
YOL102C	0.000	0.000	0.000	0.000	0.000	0.000
YOL123W	1.000	0.000	0.000	0.000	0.000	0.000
YOL130W	0.000	0.000	0.000	0.000	0.000	0.000
YOL135C	0.000	0.000	0.000	0.000	0.000	0.000
YOL139C	0.000	0.000	0.000	0.000	0.000	0.000
YOL146W	0.000	0.000	0.000	0.000	0.000	0.000
YOL149W	0.000	0.000	0.000	0.000	0.000	0.000
YOR004W	0.000	0.000	0.000	0.000	0.000	0.000
YOR020C	0.000	0.000	0.000	0.000	0.000	0.000
YOR046C	0.000	0.000	0.000	0.000	0.000	0.000
YOR048C	0.000	0.000	0.000	0.000	0.000	0.000
YOR056C	0.000	0.000	0.000	0.000	0.000	0.000
YOR057W	0.000	0.000	0.000	0.000	0.000	0.000
YOR060C	0.000	0.000	0.000	0.000	0.000	0.000
YOR063W	0.000	0.000	0.000	0.000	0.000	0.000
YOR074C	0.000	0.000	0.000	0.000	0.000	0.000
YOR075W	0.000	0.000	0.000	0.000	0.000	0.000
YOR103C	0.000	0.000	0.000	0.000	0.000	0.000
YOR116C	1.000	0.000	0.000	0.000	0.000	0.000
YOR122C	0.000	0.000	0.000	1.000	0.000	0.000
YOR143C	0.000	0.000	0.000	0.000	0.000	0.000
YOR148C	0.000	0.000	0.000	0.000	0.000	0.000
YOR149C	0.000	0.000	0.000	0.000	0.000	0.000
YOR151C	0.000	0.000	0.000	0.000	0.000	0.000
YOR157C	0.000	0.000	0.000	0.000	0.000	0.000
YOR160W	0.000	0.000	0.000	0.000	0.000	0.000
YOR168W	0.000	0.000	0.000	1.000	0.000	0.000
YOR174W	0.000	0.000	0.000	0.000	0.000	0.000
YOR176W	0.000	0.000	0.000	0.000	0.000	0.000
YOR181W	0.000	0.000	0.000	0.000	0.000	0.000
YOR194C	0.000	0.000	0.000	0.000	0.000	0.000
YOR204W	0.000	0.000	0.000	0.000	0.000	0.000
YOR206W	0.000	0.000	0.000	0.000	0.000	0.000
YOR224C	0.000	0.000	0.000	0.000	0.000	0.000
YOR232W	0.000	0.000	0.000	0.000	0.000	0.000
YOR236W	0.000	0.000	0.000	0.000	0.000	0.000
YOR244W	0.000	0.000	0.000	0.000	0.000	0.000
YOR249C	0.000	0.000	0.000	0.000	0.000	0.000
YOR250C	0.000	0.000	0.000	0.000	0.000	0.000
YOR257W	0.000	0.000	0.000	0.000	0.000	0.000
YOR259C	0.000	0.000	0.000	0.000	0.000	0.000
YOR261C	0.000	0.000	0.000	0.000	0.000	0.000
YOR262W	1.000	0.000	0.000	0.000	0.000	0.000
YOR272W	0.000	0.000	0.000	0.000	0.000	0.000
YOR294W	0.000	0.000	0.000	0.000	0.000	0.000
YOR310C	0.000	0.000	0.000	0.000	0.000	0.000
YOR326W	0.000	0.000	0.000	1.000	0.000	0.000
YOR329C	0.000	0.000	0.000	0.000	0.000	0.000
YOR335C	0.000	0.000	0.000	0.000	0.000	0.000
YOR336W	0.000	0.000	0.000	0.000	0.000	0.000
YOR341W	0.000	0.000	0.000	0.000	0.000	0.000
YOR353C	0.000	0.000	0.000	0.000	0.000	0.000
YOR361C	0.000	0.000	0.000	1.000	0.000	0.000
YOR362C	0.000	0.000	0.000	0.000	0.000	0.000
YPL007C	1.000	0.000	0.000	0.000	0.000	0.000
YPL010W	0.000	0.000	0.000	0.000	0.000	0.000
YPL020C	0.000	0.000	0.000	0.000	0.000	0.000
YPL028W	0.000	0.000	0.000	0.000	0.000	0.000
YPL043W	0.000	0.000	0.000	1.000	0.000	0.000
YPL063W	0.000	0.000	0.000	0.000	0.000	0.000
YPL076W	0.000	0.000	0.000	0.000	0.000	0.000
YPL082C	0.000	0.000	0.000	0.000	0.000	0.000
YPL085W	0.000	0.000	0.000	0.000	0.000	0.000
YPL093W	0.000	0.000	0.000	0.000	0.000	0.000
YPL124W	0.000	0.000	0.000	0.000	0.000	0.000
YPL128C	0.000	0.000	0.000	0.000	0.000	0.000
YPL131W	0.000	0.000	0.000	0.000	0.000	0.000
YPL151C	1.000	0.000	0.000	0.000	0.000	0.000
YPL160W	0.000	0.000	0.000	1.000	0.000	0.000
YPL169C	0.000	0.000	0.000	1.000	0.000	0.000
YPL175W	0.000	0.000	0.000	0.000	0.000	0.000
YPL190C	0.000	0.000	0.000	0.000	0.000	0.000
YPL204W	0.000	0.000	0.000	0.000	0.000	0.000
YPL209C	0.000	0.000	0.000	0.000	0.000	0.000
YPL211W	0.000	0.000	0.000	0.000	0.000	0.000
YPL217C	0.000	0.000	0.000	0.000	0.000	0.000
YPL228W	0.000	0.000	0.000	0.000	0.000	0.000
YPL233W	0.000	0.000	0.000	0.000	0.000	0.000
YPL235W	0.000	0.000	0.000	0.000	0.000	0.000
YPL252C	0.000	0.000	0.000	0.000	0.000	0.000
YPL255W	0.000	0.000	0.000	0.000	0.000	0.000
YPL266W	0.000	0.000	0.000	0.000	0.000	0.000
YPR016C	0.000	0.000	0.000	0.000	0.000	0.000
YPR019W	0.000	0.000	0.000	0.000	0.000	0.000
YPR025C	0.000	0.000	0.000	0.000	0.000	0.000
YPR033C	0.000	0.000	0.000	0.000	0.000	0.000
YPR034W	0.000	0.000	0.000	0.000	0.000	0.000
YPR035W	0.000	0.000	0.000	0.000	0.000	0.000
YPR055W	0.000	0.000	0.000	0.000	0.000	0.000
YPR082C	0.000	0.000	0.000	0.000	0.000	0.000
YPR085C	0.000	0.000	0.000	0.000	0.000	0.000
YPR088C	0.000	0.000	0.000	0.000	0.000	0.000
YPR103W	0.000	0.000	0.000	0.000	0.000	0.000
YPR107C	0.000	0.000	0.000	0.000	0.000	0.000
YPR108W	0.000	0.000	0.000	0.000	0.000	0.000
YPR110C	0.000	0.000	0.000	0.000	0.000	0.000
YPR137W	0.000	0.000	0.000	0.000	0.000	0.000
YPR144C	0.000	0.000	0.000	0.000	0.000	0.000
YPR162C	0.000	0.000	0.000	0.000	0.000	0.000
YPR165W	0.000	0.000	0.000	0.000	0.000	0.000
YPR168W	0.000	0.000	0.000	0.000	0.000	0.000
YPR175W	0.000	0.000	0.000	0.000	0.000	0.000
YPR176C	0.000	0.000	0.000	0.000	0.000	0.000
YPR178W	0.000	0.000	0.000	0.000	0.000	0.000
YPR180W	0.000	0.000	0.000	0.000	0.000	0.000
YPR181C	0.000	0.000	0.000	0.000	0.000	0.000
YPR183W	0.000	0.000	0.000	0.000	0.000	0.000
YPR190C	0.000	0.000	0.000	0.000	0.000	0.000
YAL035W	1.000	0.000	0.000	0.000	0.000	0.000
YBL039C	1.000	0.000	0.000	0.000	0.000	0.000
YBL072C	0.000	0.000	0.000	1.000	0.000	0.000
YBL079W	0.000	0.000	0.000	1.000	0.000	0.000
YBR015C	1.000	0.000	0.000	0.000	0.000	0.000
YBR078W	1.000	0.000	0.000	0.000	0.000	0.000
YBR079C	0.000	0.000	0.000	1.000	0.000	0.000
YBR149W	1.000	0.000	0.000	0.000	0.000	0.000
YBR164C	1.000	0.000	0.000	0.000	0.000	0.000
YBR166C	1.000	0.000	0.000	0.000	0.000	0.000
YBR168W	1.000	0.000	0.000	0.000	0.000	0.000
YBR258C	1.000	0.000	0.000	0.000	0.000	0.000
YBR269C	1.000	0.000	0.000	0.000	0.000	0.000
YBR281C	1.000	0.000	0.000	0.000	0.000	0.000
YBR291C	1.000	0.000	0.000	0.000	0.000	0.000
YBR295W	1.000	0.000	0.000	0.000	0.000	0.000
YBR297W	1.000	0.000	0.000	0.000	0.000	0.000
YCR025C	1.000	0.000	0.000	0.000	0.000	0.000
YCR026C	1.000	0.000	0.000	0.000	0.000	0.000
YCR036W	1.000	0.000	0.000	0.000	0.000	0.000
YCR045C	1.000	0.000	0.000	0.000	0.000	0.000
YCR050C	1.000	0.000	0.000	0.000	0.000	0.000
YCR061W	1.000	0.000	0.000	0.000	0.000	0.000
YCR063W	0.000	0.000	0.000	1.000	0.000	0.000
YCR068W	1.000	0.000	0.000	0.000	0.000	0.000
YCR087C-A	1.000	0.000	0.000	0.000	0.000	0.000
YCR087W	1.000	0.000	0.000	0.000	0.000	0.000
YCR095C	1.000	0.000	0.000	0.000	0.000	0.000
YDL074C	1.000	0.000	0.000	0.000	0.000	0.000
YDL091C	1.000	0.000	0.000	0.000	0.000	0.000
YDR176W	1.000	0.000	0.000	0.000	0.000	0.000
YDR207C	1.000	0.000	0.000	0.000	0.000	0.000
YDR241W	1.000	0.000	0.000	0.000	0.000	0.000
YDR242W	1.000	0.000	0.000	0.000	0.000	0.000
YDR322W	1.000	0.000	0.000	0.000	0.000	0.000
YDR417C	0.000	0.000	0.000	1.000	0.000	0.000
YDR435C	1.000	0.000	0.000	0.000	0.000	0.000
YDR444W	1.000	0.000	0.000	0.000	0.000	0.000
YDR505C	1.000	0.000	0.000	0.000	0.000	0.000
YDR528W	1.000	0.000	0.000	0.000	0.000	0.000
YER040W	1.000	1.000	0.000	0.000	0.000	0.000
YER111C	1.000	0.000	0.000	0.000	0.000	0.000
YER122C	1.000	0.000	0.000	0.000	0.000	0.000
YER152C	1.000	0.000	0.000	0.000	0.000	0.000
YER168C	0.000	0.000	0.000	0.000	0.000	0.000
YER177W	1.000	0.000	0.000	0.000	0.000	0.000
YER180C	1.000	0.000	0.000	0.000	0.000	0.000
YER181C	1.000	0.000	0.000	0.000	0.000	0.000
YFR030W	1.000	0.000	0.000	0.000	0.000	0.000
YFR040W	1.000	0.000	0.000	0.000	0.000	0.000
YGL114W	1.000	0.000	0.000	0.000	0.000	0.000
YGL173C	0.000	0.000	0.000	0.000	1.000	0.000
YGL194C	1.000	0.000	0.000	0.000	0.000	0.000
YGR252W	1.000	0.000	0.000	0.000	0.000	0.000
YGR276C	0.000	0.000	1.000	0.000	0.000	0.000
YHR036W	0.000	0.000	0.000	1.000	0.000	0.000
YIL052C	0.000	0.000	0.000	1.000	0.000	0.000
YIL148W	1.000	0.000	0.000	0.000	0.000	0.000
YIL157C	1.000	0.000	0.000	0.000	0.000	0.000
YIL170W	1.000	0.000	0.000	0.000	0.000	0.000
YIR043C	1.000	0.000	0.000	0.000	0.000	0.000
YJL124C	0.000	0.000	0.000	1.000	0.000	0.000
YJL129C	1.000	0.000	0.000	0.000	0.000	0.000
YJL136C	1.000	0.000	0.000	0.000	0.000	0.000
YJL140W	0.000	0.000	0.000	1.000	0.000	0.000
YJR044C	1.000	0.000	0.000	0.000	0.000	0.000
YKL205W	0.000	0.000	0.000	1.000	0.000	0.000
YKR028W	1.000	0.000	0.000	0.000	0.000	0.000
YKR029C	1.000	0.000	0.000	0.000	0.000	0.000
YKR082W	0.000	0.000	0.000	1.000	0.000	0.000
YLL024C	1.000	0.000	0.000	0.000	0.000	0.000
YLL046C	1.000	0.000	0.000	0.000	0.000	0.000
YLR012C	1.000	0.000	0.000	0.000	0.000	0.000
YLR015W	1.000	0.000	0.000	0.000	0.000	0.000
YLR055C	1.000	0.000	0.000	0.000	0.000	0.000
YLR111W	1.000	0.000	0.000	0.000	0.000	0.000
YLR145W	0.000	0.000	0.000	1.000	0.000	0.000
YLR303W	1.000	0.000	0.000	0.000	0.000	0.000
YLR335W	1.000	0.000	0.000	0.000	0.000	0.000
YLR399C	1.000	0.000	0.000	0.000	0.000	0.000
YLR401C	0.000	0.000	0.000	0.000	0.000	0.000
YML002W	1.000	0.000	0.000	0.000	0.000	0.000
YML007W	1.000	0.000	0.000	0.000	0.000	0.000
YML035C	1.000	0.000	0.000	0.000	0.000	0.000
YML083C	1.000	0.000	0.000	0.000	0.000	0.000
YML111W	1.000	0.000	0.000	0.000	0.000	0.000
YMR060C	0.000	0.000	0.000	1.000	0.000	0.000
YMR088C	1.000	0.000	0.000	0.000	0.000	0.000
YMR254C	1.000	0.000	0.000	0.000	0.000	0.000
YNL052W	1.000	0.000	0.000	0.000	0.000	0.000
YNL056W	1.000	0.000	0.000	0.000	0.000	0.000
YNL099C	1.000	0.000	0.000	0.000	0.000	0.000
YNL107W	1.000	0.000	0.000	0.000	0.000	0.000
YNL119W	1.000	0.000	0.000	0.000	0.000	0.000
YNL121C	0.000	0.000	0.000	1.000	0.000	0.000
YNL130C	1.000	0.000	0.000	0.000	0.000	0.000
YNL136W	1.000	0.000	0.000	0.000	0.000	0.000
YNL265C	1.000	0.000	0.000	0.000	0.000	0.000
YNL323W	1.000	0.000	0.000	0.000	0.000	0.000
YNR014W	1.000	0.000	0.000	0.000	0.000	0.000
YNR015W	1.000	0.000	0.000	0.000	0.000	0.000
YOR061W	1.000	0.000	0.000	0.000	0.000	0.000
YOR072W	1.000	0.000	0.000	0.000	0.000	0.000
YOR186W	1.000	0.000	0.000	0.000	0.000	0.000
YOR355W	1.000	0.000	0.000	0.000	0.000	0.000
YOR371C	1.000	0.000	0.000	0.000	0.000	0.000
YPL090C	1.000	0.000	0.000	0.000	0.000	0.000
YPL195W	1.000	0.000	0.000	0.000	0.000	0.000
YPR106W	1.000	0.000	0.000	0.000	0.000	0.000
