ORF	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004
YMR035W	0.105	-0.198	-0.169	0.227
YMR245W	-0.130	-0.198	-0.006	0.024
YER057C	0.091	-0.197	-0.144	0.065
YJR130C	-0.126	-0.197	-0.038	-0.198
YBR133C	-0.261	-0.196	0.029	NaN
YER087W	-0.156	-0.196	-0.253	-0.579
YHL029C	0.073	-0.196	-0.060	0.383
YMR161W	-0.105	-0.196	0.118	-0.329
YHL016C	-0.017	-0.195	-0.012	0.039
YJL158C	-0.061	-0.194	-0.105	-0.173
YML057W	-0.080	-0.194	-0.063	-0.315
YMR034C	0.031	-0.194	-0.173	0.062
YDR255C	0.008	-0.193	-0.108	0.652
YLR327C	0.029	-0.193	0.077	0.072
YNL314W	-0.349	-0.193	-0.071	-0.769
YOR156C	-0.348	-0.193	0.070	-0.245
YJL154C	-0.065	-0.192	-0.058	-0.400
YER055C	0.017	-0.191	-0.024	-0.021
YER134C	-0.030	-0.191	-0.011	-0.036
YJL168C	-0.130	-0.191	0.045	-0.817
YMR010W	0.022	-0.191	-0.144	-0.322
YMR189W	0.018	-0.191	0.020	0.117
YDR179C	-0.147	-0.190	-0.076	-0.208
YJL052W	-0.228	-0.190	0.041	0.124
YML004C	-0.114	-0.190	-0.183	-0.101
YMR294W-A	-0.119	-0.190	-0.049	-0.161
YNL329C	-0.044	-0.190	0.044	-0.022
YER121W	0.005	-0.189	-0.051	-0.020
YIL064W	-0.126	-0.189	0.049	0.013
YIL073C	-0.264	-0.189	-0.004	-0.140
YML060W	-0.008	-0.188	-0.036	-0.189
YMR221C	-0.037	-0.188	-0.046	0.007
YMR192W	0.045	-0.187	0.062	0.038
YHR135C	-0.196	-0.186	-0.022	-0.136
YJL199C	-0.168	-0.186	-0.084	-0.240
YJR131W	-0.111	-0.186	-0.034	-0.038
YMR181C	-0.007	-0.186	0.068	-0.001
YDL118W	0.054	-0.185	NaN	-0.558
YIR033W	0.057	-0.185	NaN	-0.160
YML041C	-0.230	-0.185	0.156	-0.492
YOR106W	-0.219	-0.185	0.205	-0.471
YPL184C	-0.200	-0.185	0.025	-0.331
YHR104W	-0.122	-0.184	-0.099	-0.284
YIL006W	-0.159	-0.184	-0.004	-0.076
YPL201C	-0.087	-0.184	-0.122	-0.087
YGR223C	-0.306	-0.183	-0.035	-0.265
YLR025W	-0.032	-0.183	-0.094	0.100
YMR029C	0.113	-0.183	-0.150	0.042
YLR109W	-0.043	-0.182	-0.011	0.112
YLR417W	0.014	-0.182	-0.008	0.137
YMR207C	0.005	-0.182	-0.033	0.349
YMR264W	-0.199	-0.182	-0.071	-0.090
YNL293W	-0.040	-0.182	0.008	-0.143
YER033C	0.067	-0.181	0.039	-0.068
YER078C	-0.005	-0.181	-0.022	0.122
YHR103W	-0.069	-0.181	-0.031	0.089
YLR330W	-0.015	-0.181	-0.062	-0.420
YNL321W	-0.008	-0.181	-0.044	0.034
YPL192C	-0.024	-0.181	-0.016	-0.058
YER052C	-0.007	-0.180	-0.058	-0.062
YHR033W	-0.009	-0.180	-0.044	-0.063
YDR316W	-0.103	-0.179	0.005	-0.093
YHL028W	0.069	-0.179	-0.062	0.049
YHR043C	-0.070	-0.179	0.088	-0.039
YIL100W	-0.014	-0.179	-0.046	-0.059
YMR151W	0.003	-0.179	0.084	0.145
YAL023C	-0.106	-0.178	NaN	-0.529
YER050C	0.470	-0.178	NaN	NaN
YHL035C	-0.005	-0.178	-0.051	0.111
YHR015W	-0.027	-0.178	0.013	0.014
YMR174C	-0.015	-0.024	0.004	0.038
YNR040W	-0.336	-0.178	-0.028	-1.209
YER042W	0.021	-0.176	0.000	-0.093
YER119C-A	0.145	-0.176	-0.051	0.173
YMR145C	-0.057	-0.176	-0.026	-0.057
YMR178W	-0.017	-0.176	-0.002	0.017
YNL168C	-0.001	-0.176	-0.042	-0.023
YER101C	-0.021	-0.175	-0.057	-0.189
YER118C	0.069	-0.175	-0.139	-0.003
YLR038C	-0.113	-0.175	-0.057	-0.040
YOR109W	-0.041	-0.175	0.030	-0.131
YPL200W	-0.072	-0.175	-0.013	-0.060
YAL036C	0.027	-0.174	0.065	-0.078
YAR014C	0.124	-0.174	-0.191	0.182
YBL047C	-0.457	-0.174	-0.046	-0.461
YDR335W	-0.509	-0.174	-0.170	-0.236
YER120W	0.075	-0.174	-0.106	0.090
YER132C	0.097	-0.174	-0.070	0.072
YGR257C	-0.418	-0.174	NaN	NaN
YOR082C	-0.181	-0.174	0.029	-0.170
YBR100W	-0.288	-0.173	-0.208	-0.486
YEL012W	-0.020	-0.173	-0.033	0.330
YKL075C	-0.391	-0.173	0.057	-0.440
YMR157C	0.020	-0.173	-0.071	-0.063
YLR055C	-0.268	-0.172	-0.181	-0.128
YLR146C	-0.076	-0.172	0.010	-0.166
YMR244C-A	-0.080	-0.172	-0.035	0.030
YDR310C	-0.399	-0.171	-0.056	-0.665
YML003W	-0.070	-0.171	-0.266	-0.067
YMR305C	-0.194	-0.171	0.003	-0.125
YNL288W	-0.056	-0.171	0.004	0.058
YDR269C	0.065	-0.170	-0.132	-0.068
