ORF	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004
YDL178W	-0.050	0.004	0.055	-0.064
YEL052W	-0.001	0.004	0.003	-0.125
YIL096C	0.113	0.004	-0.025	0.176
YIL131C	-0.108	0.004	-0.026	-0.120
YLR136C	-0.082	0.004	0.029	-0.107
YML090W	-0.013	0.004	-0.003	-0.002
YOR005C	0.017	0.004	-0.015	0.116
YOR013W	-0.061	0.004	-0.012	-0.015
YOR271C	0.036	0.004	-0.037	0.028
YDL113C	-0.043	0.005	0.024	0.004
YDR508C	-0.106	0.005	-0.072	-0.179
YER152C	0.095	0.005	-0.040	0.156
YHR006W	-0.016	0.005	-0.029	-0.016
YLL062C	-0.006	0.005	0.009	-0.026
YDL186W	-0.040	0.006	-0.002	-0.010
YHL002W	-0.022	0.006	-0.034	0.010
YHR113W	-0.007	0.006	-0.009	0.036
YJL175W	0.026	0.006	NaN	NaN
YJR077C	0.051	0.006	0.116	0.181
YLR012C	-0.051	0.006	0.058	-0.128
YLR221C	0.008	0.006	0.072	0.351
YLR352W	-0.024	0.006	-0.066	0.007
YML038C	0.008	0.006	-0.067	-0.065
YMR105C	-0.039	0.006	0.006	0.047
YOR366W	0.223	0.006	-0.024	0.278
YPL221W	-0.002	0.006	-0.034	-0.033
YBR107C	-0.104	0.007	-0.060	-0.144
YBR280C	-0.035	0.007	NaN	0.052
YGL009C	-0.047	0.007	0.142	-0.127
YGR203W	0.029	0.007	0.095	0.164
YIL047C	0.039	0.007	-0.108	0.088
YIL137C	0.083	0.007	0.015	0.178
YJL100W	0.000	0.007	-0.028	0.003
YJL122W	0.021	0.007	0.039	-0.180
YLR332W	0.020	0.007	-0.012	0.011
YMR257C	0.297	0.007	-0.065	0.357
YOR180C	0.002	0.007	-0.014	-0.014
YOR304W	-0.051	0.007	-0.008	0.206
YOR347C	0.017	0.007	-0.035	0.004
YPL089C	-0.066	0.007	NaN	-0.059
YBR137W	-0.052	0.008	0.010	-0.079
YBR295W	0.143	0.008	-0.009	0.109
YCL012W	0.089	0.008	0.042	0.132
YDL009C	-0.039	0.008	0.121	-0.014
YDL048C	0.059	0.008	0.027	-0.098
YDR163W	0.132	0.008	0.028	0.147
YDR333C	0.088	0.008	0.072	0.391
YLR040C	0.025	0.008	-0.058	-0.007
YLR258W	-0.010	0.008	0.036	-0.084
YLR262C-A	0.038	0.008	0.027	0.004
YNL295W	0.049	0.008	-0.069	0.119
YBR149W	0.021	0.009	0.002	0.001
YCL025C	0.106	0.009	0.098	0.284
YCL034W	-0.032	0.009	0.128	0.015
YDL012C	0.052	0.009	-0.048	-0.250
YER047C	-0.017	0.009	-0.013	0.331
YER182W	-0.036	0.009	0.063	-0.026
YFL015C	0.035	0.009	0.067	0.033
YGR235C	0.006	0.009	-0.008	0.069
YJL049W	0.006	0.009	0.008	-0.045
YLR363C	0.085	0.009	-0.007	0.103
YMR054W	0.025	0.009	-0.022	0.034
YOR022C	0.038	0.009	0.044	-0.005
YPR153W	-0.052	0.009	0.026	0.002
YAL061W	0.105	0.010	0.004	0.031
YBR161W	0.004	0.010	-0.002	-0.040
YDL176W	-0.089	0.010	0.010	-0.033
YDR295C	-0.110	0.010	0.074	-0.227
YDR307W	-0.074	0.010	-0.005	-0.123
YDR512C	0.133	0.102	0.094	0.217
YGL229C	0.022	0.010	0.264	0.080
YGR054W	0.094	0.010	0.113	0.118
YKR033C	-0.106	0.010	0.006	-0.159
YLL017W	0.023	0.010	-0.036	0.038
YLR020C	-0.012	0.010	0.052	0.035
YLR151C	-0.151	0.010	0.013	-0.274
YLR433C	-0.036	0.010	-0.011	0.043
YOR321W	-0.015	0.010	-0.004	-0.161
YAL062W	0.005	0.011	0.048	-0.042
YCR005C	-0.008	0.011	0.033	0.030
YDR265W	0.048	0.011	-0.096	0.076
YDR493W	0.000	0.011	-0.027	0.205
YGR087C	-0.017	0.011	0.021	-0.077
YGR213C	0.133	0.011	0.021	0.213
YHR116W	0.009	0.011	0.045	0.066
YKR021W	-0.025	0.011	0.081	-0.010
YML016C	0.126	0.011	-0.183	0.216
YOR009W	-0.002	0.011	-0.044	0.000
YOR202W	0.006	0.011	-0.041	0.009
YOR280C	-0.069	0.011	-0.027	-0.095
YOR328W	-0.015	0.011	0.003	-0.028
YPR062W	-0.021	0.011	0.022	-0.015
YBR041W	-0.002	0.012	NaN	0.053
YDL022W	-0.006	0.012	-0.039	-0.060
YDL109C	0.018	0.012	0.025	0.055
YDR231C	-0.133	0.012	NaN	0.258
YDR281C	0.135	0.012	-0.002	0.828
YER178W	0.094	0.012	0.224	0.595
YHR087W	0.043	0.012	0.037	-0.011
YLR053C	0.030	0.012	NaN	NaN
YOR255W	-0.039	0.012	0.052	-0.063
YBL063W	-0.059	0.013	-0.036	-0.441
YBR010W	0.085	0.013	0.145	0.074
YDR218C	0.015	0.013	0.004	-0.012
YGR143W	0.040	0.013	-0.019	0.053
YHR198C	-0.016	0.013	0.116	-0.020
YIL089W	-0.041	0.013	0.027	0.032
YLR225C	0.012	0.013	0.070	-0.070
YLR446W	-0.053	0.013	-0.004	-0.014
YOR108W	-0.027	0.013	-0.048	-0.141
YOR192C	0.070	0.013	0.063	-0.004
YPL257W	0.008	0.013	-0.020	0.035
YBL066C	0.001	0.014	0.019	-0.526
YDL079C	0.014	0.014	0.038	0.080
YDL114W	0.057	0.014	0.049	0.110
YDR275W	-0.044	0.014	0.059	0.040
YDR514C	-0.044	0.014	-0.035	-0.021
YFL035C-B	0.032	0.014	0.003	0.038
YHR125W	-0.035	0.014	-0.031	0.019
YJL058C	-0.002	0.014	0.031	-0.023
YJR137C	0.049	0.014	0.021	0.049
YKR032W	-0.050	0.014	-0.014	-0.099
YLR194C	0.011	0.014	-0.031	0.024
YLR218C	-0.040	0.014	0.052	0.199
YLR381W	-0.119	0.014	-0.017	-0.066
YLR443W	-0.043	0.014	0.031	-0.067
YMR056C	-0.029	0.014	-0.067	-0.116
YOL070C	0.068	0.014	-0.055	0.018
YOR003W	0.028	0.014	-0.010	-0.024
YOR105W	-0.069	0.014	0.020	-0.096
YOR190W	0.028	0.014	0.125	-0.046
YOR349W	0.045	0.014	0.158	0.063
YPL056C	-0.146	0.014	0.057	-0.052
YDL214C	-0.027	0.015	0.020	-0.020
YDR029W	-0.004	0.015	0.073	0.011
YDR466W	-0.194	0.015	-0.020	-0.004
YER037W	0.014	0.015	-0.027	0.003
YFR018C	0.088	0.015	-0.026	0.065
YGR042W	-0.041	0.015	-0.055	-0.045
YKL030W	0.017	0.015	-0.062	-0.152
YLL028W	0.034	0.015	-0.023	0.007
YLR144C	-0.112	0.015	-0.032	-0.152
YPL264C	-0.042	0.015	-0.067	0.055
YBL056W	-0.011	0.016	-0.008	-0.080
YBL070C	-0.008	0.016	0.056	-0.110
YBR054W	-0.030	0.016	-0.077	0.109
YBR241C	0.009	0.016	0.018	0.117
YBR297W	0.089	0.016	-0.057	0.053
YFR053C	0.073	0.016	0.059	0.062
YHL007C	0.147	0.016	-0.050	0.086
YJL060W	0.074	0.016	-0.041	0.083
YJL211C	0.022	0.016	-0.129	0.012
YJR037W	-0.031	0.016	0.057	0.037
YJR038C	0.058	0.016	0.050	0.008
YMR118C	0.045	0.016	-0.009	0.039
YOL063C	0.031	0.016	0.009	-0.011
YOR021C	0.095	0.016	0.033	-0.008
YDL189W	-0.084	0.017	0.044	-0.134
YDR043C	0.009	0.017	-0.056	0.075
YDR277C	0.018	0.017	0.002	0.114
YEL017W	0.069	0.017	0.011	0.060
YHR177W	0.009	0.017	0.043	-0.031
YIL130W	-0.012	0.017	0.084	0.039
YIR013C	0.034	0.017	0.047	0.046
YJR121W	-0.054	0.017	NaN	0.361
YKR053C	0.027	0.017	0.018	-0.020
YKR054C	-0.072	0.017	-0.016	0.024
YLR011W	-0.006	0.017	-0.046	-0.010
YLR224W	-0.016	0.017	0.074	-0.134
YLR331C	0.002	0.017	-0.059	-0.065
YLR353W	-0.044	0.017	0.047	-0.036
YML014W	0.045	0.017	0.114	-0.400
YOR131C	-0.072	0.017	-0.027	-0.046
YOR239W	0.010	0.017	0.012	-0.008
YOR369C	0.170	0.017	0.149	0.281
YBR005W	-0.009	0.018	-0.038	-0.016
YDR030C	-0.023	0.018	0.085	0.010
YDR408C	-0.111	0.018	NaN	0.133
YGL197W	0.047	0.018	0.026	-0.037
YGL205W	0.012	0.018	-0.086	-0.012
YGL232W	0.033	0.018	0.071	0.037
YIL020C	0.082	0.018	0.018	0.067
YIL045W	0.146	0.018	-0.058	0.159
YJL099W	-0.004	0.018	-0.058	0.035
YLR083C	0.104	0.018	-0.025	0.039
YLR429W	0.035	0.018	0.136	0.077
YMR095C	-0.002	0.018	-0.027	0.018
YNL057W	0.013	0.018	0.079	0.020
YNL142W	-0.036	0.018	0.159	-0.054
YOR284W	0.031	0.018	0.014	-0.016
YPL026C	0.152	0.018	-0.005	0.052
YBL005W	-0.042	0.019	0.050	-0.009
YBR071W	0.084	0.019	0.034	0.078
YBR284W	0.090	0.019	-0.066	0.054
YDL124W	0.041	0.019	0.071	0.119
YDR326C	0.119	0.019	-0.050	0.386
YHR114W	-0.034	0.019	0.000	-0.047
YHR150W	0.008	0.019	-0.042	-0.015
YKL044W	0.024	0.019	0.002	0.092
YKR036C	0.024	0.019	-0.042	-0.026
YKR048C	0.016	0.019	-0.083	-0.165
YKR049C	-0.030	0.019	0.078	0.007
YKR104W	0.004	0.019	0.106	-0.014
YLR013W	-0.026	0.019	0.028	-0.029
YML087C	-0.018	0.019	-0.095	-0.212
YNL065W	-0.036	0.019	0.051	0.027
YNL145W	-0.010	0.019	-0.040	0.023
YPL270W	0.001	0.019	0.094	0.110
YPR059C	-0.025	0.019	0.015	0.087
YBL059W	0.025	0.020	0.117	-0.065
YBR042C	0.017	0.020	0.092	-0.090
YBR053C	-0.110	0.020	0.118	-0.048
YBR171W	-0.070	0.020	0.371	-0.216
YDR222W	-0.030	0.020	0.016	-0.038
YDR283C	-0.079	0.020	0.034	0.229
YDR344C	0.003	0.020	0.016	-0.014
YEL010W	0.028	0.020	0.018	0.004
YER180C	-0.022	0.020	0.051	-0.024
YKL096W	0.026	0.020	0.024	0.009
YLR036C	-0.030	0.020	-0.081	-0.019
YOR155C	-0.002	0.020	-0.034	-0.006
YOR179C	0.155	0.020	0.044	0.425
YOR300W	-0.033	0.020	-0.045	0.060
YPR068C	-0.007	0.020	-0.058	-0.037
YBR066C	0.085	0.021	0.033	0.035
YDR360W	-0.064	0.021	-0.019	0.085
YDR380W	-0.050	0.021	0.028	0.020
YDR422C	0.037	0.021	0.102	0.041
YIL173W	0.004	0.021	0.009	0.060
YLL026W	0.006	0.021	-0.046	0.049
YLR351C	-0.013	0.021	0.023	0.060
YMR135W-A	0.002	0.021	-0.012	0.089
YPL136W	0.201	0.021	0.019	0.194
YPR140W	-0.023	0.021	0.022	-0.051
YBR094W	-0.086	0.022	-0.034	-0.050
YDR035W	0.048	0.022	-0.029	0.155
YGL198W	0.019	0.022	0.019	-0.004
YGR173W	0.024	0.022	0.061	0.042
YJL067W	0.008	0.022	0.074	0.015
YJR091C	-0.038	0.022	-0.069	-0.065
YKL093W	0.004	0.022	0.040	-0.060
YKR023W	-0.001	0.022	0.011	0.110
YKR040C	0.049	0.022	0.159	-0.076
YKR101W	-0.021	0.022	0.054	0.029
YMR115W	-0.036	0.022	-0.024	-0.003
YPR158W	0.030	0.022	-0.026	0.068
YDL156W	0.046	0.023	0.004	0.173
YEL016C	0.073	0.023	0.060	-0.011
YER183C	-0.012	0.023	0.043	-0.003
YGL121C	-0.020	0.023	0.040	-0.025
YKR102W	-0.013	0.023	0.003	0.010
YLR014C	-0.083	0.023	0.055	-0.102
YLR445W	-0.001	0.023	0.115	0.035
YMR096W	0.019	0.023	-0.038	0.035
YNL175C	0.111	0.023	0.024	0.069
YOR076C	0.181	0.023	0.050	0.381
YCL009C	0.087	0.024	0.033	0.153
YDL211C	-0.031	0.024	0.130	0.048
YDR411C	0.041	0.024	-0.030	0.126
YDR461W	0.001	0.024	0.060	0.154
YDR511W	0.009	0.024	-0.041	0.034
YER179W	-0.023	0.024	0.008	-0.019
YGL141W	0.028	0.024	-0.004	0.055
YHR210C	0.023	0.024	0.064	0.108
YNL196C	0.062	0.024	-0.012	-0.105
YOR012W	-0.047	0.024	-0.033	0.053
YOR225W	-0.057	0.024	-0.041	-0.013
YOR343C	0.004	0.024	-0.080	0.024
YOR364W	0.005	0.024	-0.037	-0.075
YBL057C	0.035	0.025	0.025	0.027
YDR402C	-0.011	0.025	-0.032	-0.078
YEL053C	0.247	0.025	0.063	0.075
YFL004W	-0.059	0.025	0.003	-0.060
YGL160W	0.010	0.025	0.021	0.079
YGL257C	-0.034	0.025	-0.028	0.027
YGR111W	-0.030	0.025	0.056	0.021
YGR169C	0.001	0.025	0.067	-0.021
YHR156C	0.036	0.025	-0.001	-0.051
YIL125W	0.102	0.025	0.053	0.374
YKL040C	-0.001	0.025	0.008	0.274
YBL003C	0.024	0.026	0.112	-0.068
YBR014C	-0.076	0.026	-0.035	-0.103
YBR034C	-0.067	0.026	0.005	-0.120
YCL028W	0.064	0.026	-0.025	0.189
YDL039C	-0.032	0.026	0.027	-0.071
YDL155W	-0.030	0.026	-0.027	-0.004
YEL064C	0.023	0.026	-0.020	0.053
YER020W	0.420	0.026	0.167	0.440
YFR040W	-0.155	0.026	0.249	-0.246
YHR199C	0.026	0.026	-0.004	-0.017
YKR103W	0.003	0.026	-0.042	0.021
YLR341W	0.002	0.026	0.075	-0.065
YLR418C	0.167	0.026	0.136	-0.015
YMR123W	0.760	0.026	NaN	NaN
YNL013C	-0.138	0.026	0.104	-0.032
YOL093W	-0.131	0.026	0.025	-0.086
YOR384W	0.004	0.026	0.077	-0.011
YBL044W	-0.025	0.027	-0.045	-0.024
YBR028C	-0.054	0.027	0.054	-0.066
YBR067C	0.061	0.027	-0.031	0.024
YCL049C	0.029	0.027	0.058	0.013
YCR088W	0.010	0.027	0.047	-0.171
YDR193W	0.027	0.027	-0.006	0.028
YFL012W	0.084	0.027	0.025	0.059
YFL033C	-0.116	0.027	-0.152	-0.184
YGL080W	-0.097	0.027	-0.003	0.019
YKL041W	-0.044	0.027	0.060	-0.245
YKL187C	-0.006	0.027	0.069	0.003
YKL208W	-0.033	0.027	0.119	-0.531
YKL211C	-0.059	0.027	0.046	0.069
YLL030C	-0.044	0.027	-0.006	-0.020
YML111W	-0.071	0.027	-0.114	-0.242
YNL115C	0.097	0.027	-0.012	-0.001
YBR030W	-0.068	0.028	0.126	-0.049
YBR239C	0.053	0.028	0.024	0.159
YBR248C	0.084	0.028	-0.021	0.137
YDR003W	0.069	0.028	0.035	0.007
YGR199W	0.040	0.028	-0.003	0.086
YHR132C	0.023	0.028	-0.007	-0.061
YHR162W	-0.074	0.028	0.115	-0.097
YKL069W	-0.006	0.028	0.066	-0.040
YKL071W	-0.065	0.028	0.149	-0.098
YKL147C	-0.017	0.028	0.049	-0.034
YOR263C	-0.026	0.028	0.005	-0.028
YBL102W	0.019	0.029	0.107	-0.163
YBR151W	0.047	0.029	0.025	0.033
YCR061W	0.236	0.029	NaN	-0.213
YDL019C	-0.072	0.029	0.056	-0.242
YDR009W	0.020	0.029	0.078	0.062
YDR034C	0.081	0.029	0.026	0.089
YGR067C	0.063	0.029	0.089	-0.030
YIL079C	0.115	0.029	0.124	-0.003
YJR025C	-0.042	0.029	-0.052	-0.010
YKL005C	0.023	0.029	-0.026	-0.057
YMR052C-A	0.251	0.029	0.066	0.088
YMR099C	0.017	0.029	0.046	0.109
YOR125C	0.028	0.029	0.278	0.193
YOR247W	0.047	0.029	-0.030	0.101
YDL112W	0.033	0.030	0.039	0.075
YFR007W	0.001	0.030	-0.042	-0.175
YGR043C	0.034	0.030	-0.087	-0.050
YKL039W	0.014	0.030	0.046	0.014
YKL072W	0.013	0.030	0.096	-0.015
YLR365W	-0.032	0.030	0.010	-0.016
YML104C	0.097	0.030	-0.067	0.078
YNR042W	0.049	0.030	0.185	0.056
YDL188C	-0.005	0.031	0.080	0.065
YDR097C	-0.111	0.031	0.116	-0.083
YDR259C	-0.043	0.031	0.054	0.066
YDR313C	0.082	0.031	0.019	0.072
YDR423C	-0.024	0.031	0.043	-0.009
YER187W	-0.009	0.031	-0.058	0.048
YGR069W	0.050	0.031	-0.036	0.088
YGR080W	0.019	0.031	0.042	-0.016
YHR139C-A	0.045	0.031	-0.050	-0.011
YJR146W	0.031	0.031	-0.012	0.033
YKL171W	0.011	0.031	0.044	0.020
YLR080W	0.124	0.031	-0.030	0.189
YBR084W	0.069	0.032	0.015	0.116
YBR271W	0.006	0.032	NaN	0.063
YCL023C	0.015	0.032	-0.006	0.125
YCR091W	-0.010	0.032	-0.038	0.025
YDL002C	0.121	0.032	0.047	0.072
YDL054C	0.026	0.032	0.046	-0.062
YDR117C	-0.004	0.032	0.073	0.094
YDR391C	0.099	0.032	0.027	0.171
YGR010W	-0.033	0.032	0.067	-0.097
YGR097W	-0.084	0.032	0.043	-0.086
YGR144W	0.014	0.032	-0.018	0.039
YMR102C	0.003	0.032	0.013	0.126
YDL177C	-0.032	0.033	0.001	-0.025
YDR124W	0.013	0.033	0.038	0.057
YDR213W	0.002	0.033	0.009	-0.057
YGL037C	-0.019	0.033	0.066	0.024
YGR124W	0.095	0.033	0.066	0.118
YGR164W	0.048	0.033	-0.060	0.139
YIL042C	-0.031	0.033	-0.076	-0.057
YLR042C	-0.027	0.033	NaN	NaN
YOL111C	-0.021	0.033	-0.068	0.083
YOR018W	-0.093	0.033	-0.043	-0.005
YOR285W	-0.007	0.033	0.001	0.019
YPR023C	-0.129	0.033	0.042	-0.466
YBL043W	0.020	0.034	-0.031	0.100
YBL053W	-0.066	0.034	-0.018	-0.012
YCR021C	-0.011	0.034	0.049	0.044
YDL037C	-0.002	0.034	0.081	-0.047
YDL149W	0.030	0.034	-0.108	0.084
YDR058C	0.041	0.034	0.093	0.059
YGL003C	0.142	0.034	0.061	0.283
YGL138C	-0.072	0.034	-0.030	-0.078
YGL196W	-0.008	0.034	0.030	-0.038
YHR130C	-0.027	0.034	-0.036	0.036
YJR070C	0.032	0.034	0.062	0.176
YLL015W	0.053	0.034	0.074	0.082
YLR095C	0.013	0.034	-0.062	-0.064
YPL006W	0.033	0.034	0.010	0.055
YAL054C	0.070	0.035	0.002	0.089
YBR213W	0.083	0.035	0.072	0.106
YCR001W	0.055	0.035	0.055	0.117
YDL123W	0.010	0.035	0.076	0.114
YDL174C	-0.002	0.035	-0.131	-0.021
YDR008C	-0.149	0.035	0.036	-0.179
YDR055W	-0.062	0.035	-0.033	-0.073
YDR420W	0.020	0.035	0.003	0.080
YDR521W	-0.064	0.035	0.054	-0.022
YGL108C	0.016	0.035	0.066	-0.067
YGL132W	-0.021	0.035	0.003	0.025
YMR053C	-0.014	0.035	-0.001	0.033
YOR334W	-0.010	0.035	-0.057	0.019
YBR090C-A	0.006	0.036	0.001	0.054
YBR105C	0.064	0.036	-0.030	0.324
YCL057W	0.034	0.036	0.037	0.098
YCR102C	-0.038	0.036	-0.036	0.083
YDR285W	-0.072	0.036	0.091	0.054
YDR424C	-0.098	0.036	0.088	-0.039
YDR426C	0.000	0.036	0.020	0.051
YDR488C	0.047	0.036	-0.098	0.113
YGL046W	0.147	0.036	0.088	0.347
YLR257W	0.066	0.036	0.054	0.047
YLR263W	0.026	0.036	0.016	0.038
YNL215W	0.233	0.036	0.184	0.520
YOL061W	0.098	0.036	-0.027	0.084
YOR214C	-0.005	0.036	0.004	-0.031
YOR252W	0.004	0.036	-0.025	0.033
YPR152C	-0.033	0.036	0.045	0.002
YCR027C	0.116	0.037	-0.018	0.147
YDL121C	0.057	0.037	-0.020	0.112
YDR019C	0.036	0.037	-0.003	0.101
YER185W	0.005	0.037	-0.028	0.006
YKL206C	0.175	0.037	-0.017	0.150
YKR051W	-0.066	0.037	0.077	-0.048
YML095C-A	0.055	0.037	0.078	-0.165
YOR189W	0.144	0.037	0.066	0.329
YOR221C	0.081	0.037	NaN	0.838
YPL179W	0.074	0.037	0.041	0.065
YBR158W	-0.045	0.038	-0.105	0.065
YDR046C	-0.011	0.038	-0.021	0.021
YDR122W	-0.062	0.038	0.077	-0.049
YGR015C	-0.047	0.038	0.065	-0.095
YGR189C	-0.012	0.038	-0.032	-0.212
YLR187W	-0.036	0.038	0.034	-0.044
YNR018W	0.002	0.038	0.070	0.037
YBR177C	0.047	0.039	-0.065	0.041
YDL049C	0.023	0.039	0.025	-0.019
YDR152W	0.062	0.039	0.101	0.082
YDR400W	0.032	0.039	-0.019	0.073
YER184C	-0.005	0.039	0.036	0.001
YGL015C	0.019	0.039	0.048	0.115
YGL208W	-0.053	0.039	-0.001	-0.030
YHR093W	0.000	0.039	-0.064	0.031
YKR039W	0.092	0.039	0.035	0.140
YMR251W	0.010	0.039	-0.081	-0.061
YNL236W	0.225	0.039	-0.010	0.467
YOL128C	0.058	0.039	-0.041	-0.027
YOR237W	0.021	0.039	-0.015	0.036
YOR382W	0.004	0.039	-0.013	0.025
YPR130C	-0.043	0.039	0.065	0.064
YBL090W	0.168	0.040	0.288	0.841
YCL006C	-0.021	0.040	-0.042	0.047
YCR007C	0.023	0.040	-0.060	0.030
YCR100C	-0.026	0.040	-0.027	-0.080
YDL067C	-0.016	0.040	NaN	0.170
YDL073W	-0.051	0.040	-0.024	-0.137
YDR197W	0.075	0.040	0.103	0.001
YDR262W	0.004	0.040	0.157	0.052
YDR406W	0.061	0.040	-0.013	0.039
YGL043W	0.156	0.040	-0.014	0.274
YHR077C	0.389	0.040	-0.021	0.589
YKL142W	-0.012	0.040	0.066	0.074
YLL021W	0.043	0.040	0.132	0.121
YLR126C	0.065	0.040	0.056	-0.014
YLR416C	0.014	0.040	0.022	-0.016
YML074C	0.039	0.040	-0.036	0.013
YMR255W	0.059	0.040	-0.041	-0.006
YNL023C	-0.159	0.040	0.030	-0.061
YOR273C	-0.018	0.040	-0.027	-0.004
YCR101C	-0.022	0.041	-0.012	-0.063
YER186C	-0.016	0.041	0.001	-0.013
YGR003W	0.013	0.041	-0.057	0.026
YGR068C	0.042	0.041	0.048	-0.059
YGR252W	0.026	0.041	0.049	0.525
YKL046C	0.024	0.041	0.014	0.099
YNL087W	0.049	0.041	-0.031	0.131
YPL107W	-0.040	0.041	-0.021	-0.037
YPR156C	-0.029	0.041	0.025	0.019
YPR197C	-0.024	0.041	0.048	-0.159
YBR052C	-0.023	0.042	0.097	-0.033
YBR260C	-0.072	0.042	0.116	-0.018
YCL001W-A	0.216	0.042	-0.073	-0.004
YCR045C	0.188	0.042	-0.031	-0.201
YDL104C	0.063	0.042	0.096	0.209
YDR108W	-0.014	0.042	0.061	0.014
YDR155C	0.201	0.042	0.050	0.333
YDR233C	0.031	0.042	0.083	-0.321
YIL007C	-0.011	0.042	-0.048	0.001
YJR039W	0.010	0.042	-0.054	0.015
YKL221W	-0.170	0.042	0.008	-0.002
YLL025W	-0.042	0.042	-0.009	-0.010
YLR019W	-0.024	0.042	-0.002	-0.014
YLR308W	0.009	0.042	0.085	0.123
YOR164C	-0.187	0.042	0.026	-0.093
YBL068W	0.002	0.043	0.012	-0.365
YBR225W	0.292	0.043	0.142	0.454
YBR250W	0.137	0.043	0.130	0.264
YCR083W	-0.037	0.043	-0.023	0.014
YDR020C	0.180	0.043	0.152	0.511
YDR032C	-0.026	0.043	-0.033	0.011
YER153C	0.074	0.043	NaN	0.002
YGL125W	0.075	0.043	0.002	0.117
YGL242C	0.029	0.043	-0.009	0.088
YHR176W	0.027	0.043	-0.026	0.054
YJR095W	-0.049	0.043	0.059	-0.031
YKR095W	-0.043	0.043	0.032	-0.160
YLR253W	-0.035	0.043	0.050	-0.001
YNR001C	-0.057	0.043	-0.019	0.216
YOR002W	0.077	0.043	0.038	-0.201
YOR352W	-0.011	0.043	0.027	0.049
YPL003W	0.112	0.043	0.005	0.047
YPR118W	0.047	0.043	0.026	-0.014
YPR138C	0.048	0.043	0.045	0.051
YBR016W	-0.058	0.044	0.041	-0.110
YCL069W	-0.023	0.044	0.042	0.014
YER158C	0.018	0.044	0.004	0.140
YGL199C	0.092	0.044	0.088	0.164
YGR093W	-0.023	0.044	0.079	-0.181
YGR168C	-0.073	0.044	0.044	-0.003
YGR239C	0.014	0.044	0.061	0.005
YGR289C	-0.382	0.044	0.027	-0.373
YIL138C	-0.016	0.044	-0.009	0.153
YJL105W	0.045	0.044	-0.043	0.055
YKL146W	0.034	0.044	0.079	0.012
YLR130C	0.036	0.044	0.010	0.015
YNL231C	0.036	0.044	0.085	-0.021
YOL052C	0.028	0.044	-0.101	0.090
YDR229W	0.042	0.045	-0.042	0.020
YFR030W	0.047	0.045	0.029	0.081
YIR037W	0.066	0.045	0.074	-0.153
YJR125C	-0.201	0.045	0.125	-0.073
YKL001C	-0.032	0.045	-0.038	0.015
YLR284C	0.012	0.045	0.020	0.026
YLR312C	0.078	0.045	-0.025	0.081
YNL205C	0.036	0.045	-0.027	-0.009
YOL004W	0.473	0.045	0.043	0.756
YPL108W	0.051	0.045	0.075	-0.006
YBR235W	0.065	0.046	-0.035	0.153
YBR286W	0.123	0.046	-0.040	0.066
YCR020C-A	0.105	0.046	0.029	0.099
YDL130W-A	-0.054	0.046	0.078	0.023
YDR282C	-0.052	0.046	0.082	-0.068
YGL170C	-0.022	0.046	0.090	-0.007
YGR151C	-0.029	0.046	0.000	-0.039
YKL103C	-0.013	0.046	0.011	0.040
YKR097W	0.006	0.046	-0.031	0.018
YLR181C	0.042	0.046	-0.036	-0.010
YLR265C	0.010	0.046	0.112	-0.004
YLR432W	0.028	0.046	0.152	0.049
YLR452C	-0.009	0.046	0.037	-0.036
YML010W-A	0.235	0.046	NaN	0.510
YNL071W	-0.024	0.046	0.105	0.351
YOL151W	0.070	0.046	0.000	0.117
YOR375C	0.005	0.046	0.038	0.076
YPR151C	0.042	0.046	0.015	0.028
YBR273C	-0.009	0.047	0.085	-0.011
YFL020C	0.066	0.047	-0.011	0.022
YGL094C	-0.056	0.047	-0.019	0.045
YHR161C	-0.006	0.047	0.053	0.071
YHR184W	0.011	0.047	0.088	-0.003
YJL028W	-0.114	0.047	0.088	0.021
YKL062W	0.071	0.047	-0.003	0.148
YLR174W	0.007	0.047	0.104	0.018
YML116W	0.014	0.047	-0.066	-0.081
YPR001W	-0.001	0.047	-0.031	-0.014
YBR093C	0.021	0.048	-0.131	0.133
YBR222C	0.103	0.048	0.118	0.110
YDL234C	0.086	0.048	0.062	0.055
YDR370C	0.015	0.048	0.091	0.034
YDR524C	-0.013	0.048	0.074	0.035
YFR043C	0.027	0.048	0.039	-0.007
YGL226C-A	0.064	0.048	0.147	0.168
YGR154C	-0.023	0.048	0.039	-0.217
YHR209W	0.021	0.048	-0.020	0.068
YLL014W	-0.023	0.048	-0.018	-0.090
YLL024C	0.086	0.048	0.077	0.083
YLR209C	0.137	0.048	0.068	0.166
YML117W-A	0.084	0.048	-0.113	0.006
YNL058C	0.005	0.048	0.029	0.057
YPL058C	-0.009	0.048	0.035	-0.168
YPR006C	-0.064	0.048	-0.066	-0.038
YBR298C	0.147	0.049	0.114	-0.045
YFL031W	0.001	0.049	-0.017	0.029
YFR021W	0.033	0.049	0.015	0.062
YGR134W	-0.024	0.049	0.021	0.012
YMR086C-A	-0.015	0.049	-0.014	-0.022
YNL078W	0.035	0.049	0.046	0.033
