orf	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004
YBR188C	0.023	-0.021	-0.001	0.004
YBR195C	-0.42200000000000004	-0.40700000000000003	-0.021	-0.20800000000000002
YBR197C	-0.07200000000000001	-0.11699999999999999	0.125	-0.11699999999999999
YBR199W	0.022000000000000002	0.046	-0.076	-0.05
YBR201W	-0.027999999999999997	0.07200000000000001	-0.008	-0.091
YBR203W	0.066	-0.011000000000000001	0.035	-0.011000000000000001
YBR204C	0.0	0.085	-0.006999999999999999	-0.037000000000000005
YBR205W	-0.006999999999999999	-0.035	-0.031	-0.07200000000000001
YBR206W	0.012	-0.037000000000000005	0.122	-0.094
YBR207W	0.031	0.044000000000000004	0.022000000000000002	-0.08199999999999999
YBR208C	-0.094	-0.499	0.054000000000000006	-0.218
YBR210W	-0.017	-0.06	0.131	-0.049
YBR212W	-0.298	-0.157	0.079	-0.126
YBR213W	0.083	0.106	0.07200000000000001	0.035
YBR214W	-0.012	0.004	0.04	-0.11199999999999999
YBR215W	-0.473	-0.462	0.063	-0.439
YBR216C	0.095	-0.337	0.102	-0.017
YBR217W	0.065	0.035	0.027000000000000003	-0.044000000000000004
YBR218C	0.094	0.139	0.063	-0.027999999999999997
YBR219C	-0.107	-0.142	0.142	-0.21899999999999997
YBR220C	-0.039	-0.02	0.075	-0.11699999999999999
YBR221C	0.12300000000000001	0.7	0.191	-0.151
YBR222C	0.10300000000000001	0.11	0.11800000000000001	0.048
YBR223C	0.11	0.05	0.11900000000000001	-0.011000000000000001
YBR224W	0.27899999999999997	0.504	0.031	0.071
YBR225W	0.292	0.45399999999999996	0.142	0.043
YBR226C	0.324	0.51	0.163	0.158
YBR227C	0.012	0.023	0.044000000000000004	-0.038
YBR228W	0.012	0.05	0.068	-0.047
YBR229C	0.057	-0.138	0.131	-0.055
YBR230C	0.09	0.16	-0.035	0.001
YBR231C	-0.364	-0.384	0.107	-0.48700000000000004
YBR232C	0.098	0.147	-0.017	0.052000000000000005
YBR233W	0.09	0.18100000000000002	-0.015	0.07200000000000001
YBR235W	0.065	0.153	-0.035	0.046
YBR238C	0.183	0.48700000000000004	0.15	0.14400000000000002
YBR239C	0.053	0.159	0.024	0.027999999999999997
YBR240C	0.105	0.177	0.068	0.092
YBR241C	0.009000000000000001	0.11699999999999999	0.018000000000000002	0.016
YBR242W	0.126	0.172	0.05	0.084
YBR244W	-0.34299999999999997	-0.040999999999999995	-0.18	-0.13
YBR245C	0.2	0.282	0.013000000000000001	0.113
YBR246W	0.341	0.381	0.027999999999999997	0.161
YBR248C	0.084	0.13699999999999998	-0.021	0.027999999999999997
YBR249C	0.115	0.17	0.03	0.05
YBR250W	0.13699999999999998	0.264	0.13	0.043
YBR255W	0.183	0.19399999999999998	-0.001	0.154
YBR258C	0.19699999999999998	0.28600000000000003	0.006	0.195
YBR259W	0.057	0.13	0.006999999999999999	0.055
YBR260C	-0.07200000000000001	-0.018000000000000002	0.11599999999999999	0.042
YBR261C	0.11199999999999999	0.153	0.024	0.12
YBR262C	0.147	0.309	-0.04	0.20199999999999999
YBR263W	0.033	0.225	0.023	0.115
YBR264C	0.08900000000000001	0.23199999999999998	0.044000000000000004	0.10400000000000001
YBR267W				
YBR269C	0.043	0.067	-0.028999999999999998	0.066
YBR270C	-0.04	0.018000000000000002	0.022000000000000002	-0.098
YBR271W	0.006	0.063		0.032
YBR272C	0.122	0.07	0.059000000000000004	0.102
YBR273C	-0.009000000000000001	-0.011000000000000001	0.085	0.047
YBR275C	-0.166	-0.158	0.084	-0.11
YBR276C	-0.042	0.013000000000000001	-0.073	-0.035
YBR277C	0.016	-0.128		-0.048
YBR278W	-0.066	-0.01	0.002	-0.02
YBR280C	-0.035	0.052000000000000005		0.006999999999999999
YBR281C	0.107	0.066	-0.04	0.06
YBR284W	0.09	0.054000000000000006	-0.066	0.019
YBR285W				
YBR286W	0.12300000000000001	0.066	-0.04	0.046
YBR287W	0.012	-0.052000000000000005	-0.052000000000000005	-0.06
YBR288C	0.005	-0.425	-0.025	-0.091
YBR290W	-0.111	-0.04	-0.061	-0.14800000000000002
YBR291C	0.205	0.07200000000000001	0.047	0.105
YBR292C	0.032	0.045	-0.002	-0.034
YBR293W	-0.071	0.055999999999999994	0.001	-0.03
YBR294W	-0.018000000000000002	0.01	0.092	-0.086
YBR295W	0.14300000000000002	0.109	-0.009000000000000001	0.008
YBR296C	0.152	0.14400000000000002	-0.034	-0.006
YBR297W	0.08900000000000001	0.053	-0.057	0.016
YBR298C	0.147	-0.045	0.114	0.049
YBR299W	0.076	0.156	-0.35600000000000004	0.256
YBR300C	0.07400000000000001	-0.025	0.071	-0.04
YBR301W	-0.055	-0.021	0.017	-0.05
YCL001W	-0.07400000000000001	-0.243	0.031	0.003
YCL001W-A	0.21600000000000003	-0.004	-0.073	0.042
YCL002C	-0.026000000000000002	-0.01	0.055	-0.006
YCL005W	-0.42200000000000004	-0.887	-0.07400000000000001	-0.16
YCL008C	0.13	0.23800000000000002	-0.064	-0.067
YCL009C	0.087	0.153	0.033	0.024
YCL010C	-0.19399999999999998	0.174	-0.037000000000000005	-0.313
YCL011C	0.096	0.23399999999999999	0.039	-0.055
YCL014W	0.07350000000000001	0.129	0.012	-0.0195
YCL016C	-0.9129999999999999			-0.644
YCL022C	0.021	0.081	0.009000000000000001	-0.011000000000000001
YCL023C	0.015	0.125	-0.006	0.032
YCL024W	0.05	0.109	-0.003	-0.043
YCL025C	0.106	0.284	0.098	0.009000000000000001
YCL026C-A	-0.073	-0.07200000000000001	-0.023	-0.055
YCL027W	0.013999999999999999	0.094	0.078	0.004
YCL028W	0.064	0.18899999999999997	-0.025	0.026000000000000002
YCL030C	0.023	0.29	0.067	0.068
YCL032W	-0.36700000000000005	-0.452	-0.025	-0.358
YCL033C	0.045	0.129	0.044000000000000004	0.08
YCL034W	-0.032	0.015	0.128	0.009000000000000001
YCL035C	0.07200000000000001	0.098	0.026000000000000002	0.113
YCL036W	0.008	-0.006999999999999999	0.006999999999999999	-0.049
YCL037C	-0.305			-0.40700000000000003
YCL038C	0.08900000000000001	0.125	0.051	0.11
YCL039W	0.133	0.19	0.149	0.131
YCL040W	0.201	0.24600000000000002	0.14800000000000002	0.083
YCL042W	-0.115	-0.544	0.267	-0.040999999999999995
YCL044C	0.063	0.09300000000000001	0.092	0.069
YCL045C	0.09300000000000001	-0.008	0.11699999999999999	0.076
YCL046W	-0.071	-0.063	0.012	-0.012
YCL047C	-0.001	0.08	0.009000000000000001	0.08900000000000001
YCL048W	0.053	-0.008	0.031	0.078
YCL049C	0.028999999999999998	0.013000000000000001	0.057999999999999996	0.027000000000000003
YCL050C	0.053	0.11199999999999999	0.017	0.067
YCL051W	0.016	-0.037000000000000005	0.069	0.053
YCL055W	-0.221	-0.14300000000000002	-0.079	-0.11199999999999999
YCL056C	0.026000000000000002	0.075	0.043	0.063
YCL057W	0.034	0.098	0.037000000000000005	0.036000000000000004
YCL058C	0.752			0.27699999999999997
YCL061C	-0.5265	-0.8069999999999999	0.027000000000000003	-0.35850000000000004
YCL063W	0.345	0.1735	0.0315	0.15
YCL064C	0.055	-0.027999999999999997	0.095	0.057999999999999996
YCL069W	-0.023	0.013999999999999999	0.042	0.044000000000000004
YCL076W	0.064	0.142	-0.048	0.051
YCR001W	0.055	0.11699999999999999	0.055	0.035
YCR002C		-0.659	-0.684	
YCR003W	0.035	-0.636	-0.095	-0.21600000000000003
YCR004C	0.092	0.17600000000000002	0.07200000000000001	0.071
YCR005C	-0.008	0.03	0.033	0.011000000000000001
YCR006C	0.057999999999999996	0.06	0.063	0.051
YCR007C	0.023	0.03	-0.06	0.04
YCR008W	-0.478	-0.809	-0.034	-0.327
YCR009C	-0.455	-1.401		-0.5720000000000001
YCR010C	0.078	0.055999999999999994	-0.018000000000000002	0.085
YCR011C	0.063	0.068	0.044000000000000004	0.061
YCR014C	0.012	0.073	0.08800000000000001	-0.017
YCR015C	0.044000000000000004	0.06	0.063	0.077
YCR016W	0.17800000000000002	0.07	0.021	0.121
YCR017C	-0.018000000000000002	-0.395	0.018000000000000002	0.10400000000000001
YCR019W	-0.059000000000000004	-0.047	-0.004	-0.048
YCR020C	0.008	-0.006999999999999999	0.002	-0.008
YCR020C-A	0.105	0.099	0.028999999999999998	0.046
YCR021C	-0.011000000000000001	0.044000000000000004	0.049	0.034
YCR022C	0.019	0.003	0.022000000000000002	0.05
YCR023C	-0.013000000000000001	0.008	0.039	-0.012
YCR024C				
YCR024C-A	0.151	-0.031	-0.11199999999999999	0.10099999999999999
YCR025C	0.083	-0.006	-0.031	0.067
YCR026C	0.198	-0.023	0.008	0.162
YCR027C	0.11599999999999999	0.147	-0.018000000000000002	0.037000000000000005
YCR030C	-0.057999999999999996	0.045	-0.018000000000000002	-0.013999999999999999
YCR031C	0.551	0.9059999999999999	0.054000000000000006	0.341
