orf	hom | growth (culture turbidity) | standard | SC | Tun NM~Wu MJ, 2014	hom | growth (culture turbidity) | aluminium sulfate (anhydrous) [1.6 mM] | SC | Tun NM~Wu MJ, 2014	hom | growth (culture turbidity) | aluminium sulfate (anhydrous) [3.2 mM] | SC | Tun NM~Wu MJ, 2014
YAR031W	0.8255979704834677	1.4085248624845412	1.124005820666822
YAR035C-A	1.0170227906563656	0.8479258675528164	1.030878694429097
YAR035W	0.7740896763622117	1.5031506590688046	1.2693648764903387
YAR037W	0.7826426596120403	1.5762308436884884	1.3385275210071945
YAR040C	0.7572201932575404	1.5645902488406676	1.340802363571955
YAR042W	0.8404471699183481	1.455914069878509	1.223054997828786
YAR043C	0.8358637300036524	1.5644123461487853	1.261808110607138
YAR047C	0.7735711510978868	1.4797472025839808	1.3697650314873868
YAR050W	1.0254303499100534	0.7415340947649526	0.7896199433092371
YBL001C	0.8730329701648911	0.685017194091703	1.2457314144063258
YBL002W	1.0118027872827262	0.7405317359337374	1.1261540132795955
YBL003C	1.0172547449772233	0.8809385429565877	1.160652086970639
YBL005W	1.009459391916426	0.7695350053305767	1.0804379703311193
YBL006C	0.9440079195544723	0.503786129684491	1.0313176880587611
YBL007C	1.0169673787717384	0.7486657666610824	1.0920819755884072
YBL008W	0.9158973217645281	1.0269954734981228	1.2383062639306117
YBL008W-A	1.011703589359985	0.899186752464836	0.9920070054123817
YBL009W	0.7834098256969265	0.8832003627421329	1.443676872921219
YBL010C	0.7842727379801506	0.49293585969678694	1.3786979778174053
YBL011W	0.9430532129720598	0.5277884069507718	1.0903945396283747
YBL012C	0.981536169926604	0.7879000159704538	1.0414305140950009
YBL013W	0.941385688837279	1.0374977913755545	1.06838466944235
YBL015W	1.0160782546977254	0.941632576801835	0.9822674712128499
YBL017C	0.8498305750846432	0.44145244581735404	1.3429648219466415
YBL019W	0.9524954845703609	1.0589828036274973	1.156161292104242
YBL021C	0.8950056992789076	1.0168320184475705	1.2280242372570012
YBL022C	0.7760503651492141	0.6421673409048959	1.3658748051414467
YBL024W	0.9436340180119128	1.1384325841133858	1.2228480763602863
YBL027W	0.9694013853392799	0.9712283486781081	1.0135185875554995
YBL028C	0.8503177910763026	0.9604565194990906	1.2017145749255824
YBL029C-A	1.0170227906563656	0.8896131911832836	0.9788843015181639
YBL029W	0.8506933115801267	1.013170337276299	1.3485420294459587
YBL031W	0.9239102127137065	0.7950731636087125	1.0996511609663087
YBL032W	0.7918887767294179	1.227240859800429	1.3035229397013974
YBL033C	0.9240918202020454	0.7311148044782102	0.9201199308800829
YBL036C	0.9721890854293351	0.954047505831845	1.1595317064334443
YBL037W	0.8721693777257634	1.2976054342062677	1.274721276630944
YBL038W	1.016787985642	0.7828038894259056	0.8221408970805621
YBL039C	0.9435852939671466	0.6141741940296199	1.0913685652043812
YBL039W-B	0.9174772682258623	0.9648934837034929	1.1380837968152002
YBL042C	0.9665027711081604	0.93385688179274	1.0679612553152757
YBL043W	0.869461178111847	1.2247032787405032	1.3077706130345828
YBL044W	0.8386638792247961	1.2123497766769842	1.2248100979605119
YBL045C	0.9607687338057289	0.9037593250566651	1.1306608198771664
YBL046W	0.8358624207873133	0.9045263167526516	1.2392475419881543
YBL047C	0.969381253652172	0.7132921674417462	1.0972745786752083
YBL048W	0.9193540615094228	0.9626575174373412	1.2506931158460117
YBL049W	0.9230344073937073	1.0077496069957252	1.2016894479125353
YBL051C	0.7572628908263674	1.0630301076594681	1.3353378027368603
YBL052C	0.774519728069716	1.0247555335834522	1.4817725339594847
YBL053W	0.8301211580842401	1.0800337777293616	1.2804203387386854
YBL054W	0.7478102290134022	1.2128041757567325	1.404940557942149
YBL055C	0.7760867358983239	1.207923521971234	1.4491545229444218
YBL056W	0.8301547700572528	1.2075635941720284	1.2689650198614126
YBL057C	0.7969663123686782	1.196898143034078	1.3251901960063313
YBL058W	0.835862496818466	0.9409154329071697	1.2395772335103117
YBL059W	0.8724772965338573	0.827498655699079	1.2537141065499828
YBL060W	1.012736256689229	0.8180973587005826	1.040885676345815
YBL061C	0.9434468717921034	0.5472834394460993	1.0527090120383025
YBL062W	1.0177624204194267	0.6398272789085385	1.058652027855941
YBL063W	0.9175230354553898	0.9684049339921634	1.2157186886187035
YBL064C	0.9366488573760827	0.9669678081389411	1.1693613836668948
YBL065W	0.8319479276996022	1.1525233422470194	1.2602479656458734
YBL066C	0.8306174174809723	1.181096420707363	1.2522386992158625
YBL067C	0.8244019147499462	0.6823128257418166	1.0624637450056784
YBL068W	0.7569353205798467	1.3378943314464644	1.3376722693715337
YBL069W	0.8020524075655344	1.2535625641827246	1.2177111418783098
YBL070C	0.7937462371419675	0.9833196082848591	1.3315290175098393
YBL071C	0.9605224487223971	0.6924944667672135	1.0385678345032157
YBL071C-B	0.928216187904842	0.676551410797821	1.0299910242040768
YBL071W-A	0.9663990134300943	0.5002722701580955	0.8719763108424493
YBL072C	1.0095411823164315	0.7035165530647141	1.0454273604193305
YBL075C	1.0094686107198931	0.9554670110510111	1.0610313147305999
YBL078C	0.9236487954628135	0.8390193862272838	1.1176113697452312
YBL079W	0.9738408176666209	0.49231424064506185	0.8778145985959173
