orf	hap a | growth (CFU) | temperature [30-62 C], time [20 min] | YPD | Stolp ZD~Hardwick JM, 2022
YDL059C	-0.662689057
YDL061C	1.6938042
YDL062W	-0.908554161
YDL063C	-0.690681804
YDL065C	-0.138278999
YDL066W	-0.266701778
YDL067C	0.649737022
YDL068W	-1.301688881
YDL069C	-1.016879158
YDL070W	1.002293723
YDL071C	1.063589891
YDL072C	1.110673949
YDL073W	-0.610489578
YDL074C	-1.989736528
YDL075W	-0.641161336
YDL076C	-0.97690999
YDL077C	-0.138226634
YDL078C	-0.568652226
YDL079C	-0.163954112
YDL080C	0.121172759
YDL081C	-1.47721606
YDL082W	3.181452884
YDL083C	3.888230996
YDL085W	0.319467218
YDL086W	0.365153384
YDL088C	-0.957018842
YDL089W	-0.145867273
YDL090C	2.101320129
YDL091C	-0.218410835
YDL093W	0.211352267
YDL094C	0.687756546
YDL095W	-0.820275088
YDL096C	-0.513178513
YDL099W	-0.002040334
YDL100C	-1.307474979
YDL101C	-0.457190134
YDL104C	-0.050870277
YDL106C	-1.344325997
YDL107W	-0.034509985
YDL109C	0.242415544
YDL110C	0.521426754
YDL112W	1.085970244
YDL113C	-1.474153504
YDL114W	0.599632541
YDL115C	-1.631368046
YDL116W	0.030554303
YDL117W	2.505930656
YDL118W	-0.553335158
YDL119C	0.559975891
YDL121C	0.326818637
YDL122W	-0.074659587
YDL123W	0.140741311
YDL124W	1.193729532
YDL125C	-0.670483723
YDL127W	0.525529383
YDL128W	0.1206728
YDL129W	0.253622921
YDL130W	2.537264246
YDL130W-A	0.285361478
YDL131W	0.404555613
YDL133C-A	-0.6403709495
YDL133W	-0.73731995
YDL134C	-1.639738439
YDL135C	-1.699157095
YDL136W	1.947097844
YDL137W	-0.299910383
YDL138W	-0.28180256
YDL142C	-1.36770272
YDL144C	0.448323392
YDL146W	-0.069642787
YDL149W	0.039332771
YDL151C	-0.59291828
YDL154W	0.573161934
YDL155W	1.071874269
YDL156W	0.838397205
YDL157C	1.271017438
YDL159W	-0.316543389
YDL160C	-0.447079878
YDL161W	0.692775193
YDL162C	1.375625933
YDL167C	-0.646307869
YDL168W	-0.029937729
YDL169C	0.341755185
YDL170W	-0.327603009
YDL171C	-0.41063864
YDL172C	-0.938775306
YDL173W	-0.769982398
YDL174C	-0.741614981
YDL175C	-0.219469368
YDL176W	-0.221774278
YDL177C	-0.088791795
YDL178W	0.196306488
YDL179W	-0.858940173
YDL180W	1.301302464
YDL181W	-0.421193436
YDL182W	2.660470715
YDL183C	-0.464034439
YDL184C	-0.190373985
YDL185W	-0.533226917
YDL186W	-0.167224789
YDL187C	-1.073786723
YDL188C	-1.218948622
YDL189W	-1.253371769
YDL190C	1.511060927
YDL191W	3.974058458
YDL192W	-1.44383137
YDL194W	-0.501064256
YDL197C	0.663850449
YDL198C	-1.430565565
YDL199C	1.279124569
YDL200C	0.842674192
YDL201W	0.835622606
YDL202W	-0.584448719
YDL203C	-0.419272718
YDL204W	0.092348873
YDL206W	-0.099281341
YDL210W	-0.824230767
YDL211C	1.216745819
YDL213C	1.186022809
YDL214C	-0.006859727
YDL215C	0.490316698
YDL216C	0.746889276
YDL218W	0.883796512
YDL219W	0.909624506
YDL222C	0.567471603
YDL223C	0.471242188
YDL224C	0.518457163
YDL225W	-0.712923003
YDL226C	-0.409930669
YDL227C	-0.524093333
YDL229W	-0.474907515
YDL230W	1.442914654
YDL231C	0.728731299
YDL232W	-1.707999907
YDL233W	0.494656771
YDL234C	-0.567644421
YDL236W	0.250470224
YDL237W	1.118732276
YDL238C	0.017001047
YDL239C	-0.505927529
YDL240W	-0.97370157
YDL241W	0.136759716
YDL242W	0.206298697
YDL243C	0.500871771
YDR001C	-0.830133294
YDR003W	-0.211709992
YDR004W	0.071850458
YDR005C	-1.361039051
YDR006C	-0.960494402
YDR007W	-0.284052291
YDR008C	-1.262082415
YDR009W	-0.072464511
YDR010C	-0.546718063
YDR011W	-1.215891022
YDR014W	0.011160444
YDR015C	-0.095238613
YDR017C	-1.831314151
YDR018C	0.21263647
YDR019C	0.343126176
YDR020C	0.435829742
YDR022C	0.136845275
YDR024W	2.172317232
YDR025W	0.46012301
YDR026C	-0.411424166
YDR027C	-0.69458334
YDR028C	-0.308516703
YDR029W	0.631128156
YDR030C	-0.194943566
YDR031W	0.38464253
YDR032C	-0.199591283
YDR033W	1.046268886
YDR034C	1.01598414
YDR035W	0.188789893
YDR036C	0.276608882
YDR042C	0.739417491
YDR043C	-0.554423815
YDR046C	0.303629678
YDR048C	-0.996771552
YDR049W	-1.216281866
YDR050C	-0.255324856
YDR051C	0.417656362
YDR055W	0.658428088
YDR056C	0.145003554
YDR057W	-0.54692143
YDR058C	-0.259555417
YDR059C	0.425831899
YDR061W	-0.286046064
YDR063W	-0.186677479
YDR065W	-0.324594248
YDR066C	-0.029402136
YDR067C	4.512641597
YDR068W	1.123141327
YDR069C	-0.641704939
YDR070C	-0.587275272
YDR071C	-1.284848824
YDR072C	-0.428773484
YDR073W	-1.199755463
YDR074W	-1.596193572
YDR075W	-0.943101675
YDR076W	0.047582513
YDR077W	-0.73676491
YDR078C	-0.994885412
YDR079W	-1.530737676
YDR080W	-0.710692284
YDR083W	-0.239929123
YDR084C	1.375632476
YDR085C	0.099952287
YDR089W	1.490396738
YDR090C	0.008495462
YDR092W	2.479487743
YDR093W	0.506644058
YDR094W	0.95851379
YDR095C	0.395787361
YDR096W	3.139174461
YDR097C	-0.833535051
YDR098C	-0.081269676
YDR099W	0.539330145
YDR100W	0.404879002
YDR101C	4.3621975
YDR102C	-0.645603238
YDR103W	-0.91519019
YDR104C	-0.691255135
YDR105C	-0.208273628
YDR107C	-0.791150768
YDR108W	-0.728987191
YDR109C	-1.511153439
YDR110W	-0.443048747
YDR111C	-0.00107769
YDR112W	0.379679263
YDR114C	-1.41796938
YDR115W	-0.710963429
YDR116C	-0.783437835
YDR117C	0.837583961
YDR119W	-0.101756454
YDR120C	-1.100428096
YDR121W	-0.816785606
YDR122W	-0.078380879
YDR123C	0.081439453
YDR124W	0.659180951
YDR125C	-0.316949559
YDR126W	0.812394282
YDR127W	2.208446749
YDR128W	0.219270358
YDR129C	-0.061097469
YDR130C	0.726801016
YDR131C	0.098440683
YDR132C	-0.447806748
YDR133C	-0.185626238
YDR135C	0.913529059
YDR136C	-0.900244553
YDR137W	-1.001743032
YDR138W	-0.486381202
YDR139C	-0.088531026
YDR140W	1.068419195
YDR142C	0.337160131
YDR143C	0.720057627
YDR144C	0.934227043
YDR146C	-0.211128697
YDR147W	-0.290632983
YDR148C	0.827512116
YDR149C	-0.104098809
YDR150W	-0.173480614
YDR151C	1.123714383
YDR152W	0.065234874
YDR153C	-0.373358316
YDR154C	-0.240681528
YDR155C	0.196676588
YDR156W	2.40549071
YDR157W	-0.351261707
YDR158W	-0.360863716
YDR159W	0.462894969
YDR161W	2.961061735
YDR162C	0.058866931
YDR163W	-1.005726114
YDR165W	-0.693165238
YDR169C	-0.660003997
YDR171W	0.310868837
YDR173C	0.877810391
YDR174W	1.352881773
YDR175C	-1.106125905
YDR176W	-1.214142611
YDR178W	0.632321228
YDR179C	0.163411822
YDR179W-A	0.43399406
YDR181C	0.651152222
YDR183W	0.187845405
YDR184C	0.209266953
YDR185C	-0.017205668
YDR186C	-0.951199014
YDR191W	0.095483424
YDR192C	-0.952482673
YDR193W	-0.149393107
YDR194C	2.057424105
YDR195W	-1.46401254
YDR197W	-0.151977765
YDR198C	0.384565004
YDR199W	1.604263393
YDR200C	-0.841591456
YDR202C	-0.305056491
YDR203W	-1.038077338
YDR204W	-1.663554674
YDR205W	-0.408448606
YDR206W	-0.731099669
YDR207C	-1.169521273
YDR209C	-0.270682295
YDR210W	0.319558221
YDR213W	-1.060868744
YDR214W	0.045967519
YDR215C	0.973876356
YDR216W	-0.03610924
YDR217C	1.800330084
YDR218C	-0.008702495
YDR219C	1.907372887
YDR220C	0.163691427
YDR221W	1.031754088
YDR222W	-0.100942569
YDR223W	0.132190386
YDR225W	1.304729803
YDR226W	-1.265393831
YDR227W	2.301312836
YDR229W	1.944456854
YDR230W	-1.409904775
YDR231C	-1.070695618
YDR233C	0.401846387
YDR234W	-0.02694625
YDR237W	-1.464232435
YDR239C	1.209336926
YDR241W	-0.003691594
YDR242W	1.246506322
YDR244W	0.176600426
YDR245W	-0.683149231
YDR247W	-1.065057514
YDR248C	1.294413975
YDR249C	0.082147451
YDR250C	-0.49250422
YDR251W	0.07976365
YDR252W	0.993417915
YDR253C	-0.038915764
YDR254W	0.210814692
YDR255C	-1.107380827
YDR256C	-0.262185163
YDR257C	1.325658806
YDR258C	0.653456239
YDR259C	0.287070014
YDR260C	0.378162704
YDR261C	-0.83959555
YDR262W	-1.297309401
YDR263C	-0.961530874
YDR264C	0.042324827
YDR265W	-1.039098628
YDR266C	-1.498465351
YDR268W	-0.783313449
YDR269C	0.603801977
YDR270W	-0.917044178
YDR271C	-0.82535871
YDR272W	-1.012764604
YDR273W	-0.646183332
YDR274C	-0.942568959
YDR275W	-0.375667151
YDR276C	-0.333280121
YDR277C	0.07513344
YDR278C	-0.522744212
YDR279W	-0.433463798
YDR281C	-0.182272433
YDR282C	0.651174785
YDR283C	-0.459264504
YDR284C	0.64975992
YDR285W	1.488817242
YDR286C	-0.342838863
YDR287W	1.025538816
YDR289C	1.280617324
YDR290W	-1.117440026
YDR291W	-0.217061096
YDR293C	-0.974826953
YDR294C	-0.717686836
YDR295C	-0.667619531
YDR296W	-0.721743135
YDR297W	-0.899606945
YDR298C	-0.196935179
YDR300C	-0.771977519
YDR304C	2.030958341
YDR305C	-1.008954557
YDR306C	0.511742094
YDR307W	0.191326832
YDR309C	1.006940378
YDR310C	-0.708390903
YDR312W	1.556949836
YDR313C	-1.080542471
YDR314C	0.868149753
YDR315C	2.632198994
YDR316W	0.27933433
YDR317W	0.13638736
YDR318W	0.953357112
YDR319C	0.232537927
YDR320C	-0.671944143
YDR321W	2.199256303
YDR322W	-0.597005999
YDR323C	1.888191779
YDR326C	-0.078106334
YDR329C	0.384852835
YDR330W	0.474473892
YDR332W	0.885539161
YDR333C	-1.173658021
YDR334W	2.236022652
YDR335W	-1.121147989
YDR336W	-0.906151436
YDR337W	1.720631314
YDR338C	-0.305719146
YDR340W	-0.854132902
YDR344C	-0.732937752
YDR345C	-0.261909264
YDR346C	-0.819490567
YDR347W	-1.370779186
YDR348C	1.666490296
YDR349C	1.844682981
YDR350C	-1.260609452
YDR351W	-0.033557571
YDR352W	0.46304331
YDR354W	0.665714491
YDR357C	0.224322516
YDR358W	1.024495359
YDR359C	0.411128624
YDR360W	0.397428811
YDR363W	-0.120816
YDR363W-A	-1.368989459
YDR364C	-0.993463306
