ORF	hom | sporulation efficiency | sporulation medium [unknown] | Marston AL~Amon A, 2004	hom | dyad formation (percentage of cells forming dyads) | sporulation medium [unknown] | Marston AL~Amon A, 2004	hom | chromosome segregation (percentage of tetrads with 1 chromosome/cell) | sporulation medium [unknown] | Marston AL~Amon A, 2004
YCR021C	50.000	68.000	70.000
YCR022C	63.000	27.000	88.000
YCR023C	50.000	52.000	93.000
YCR024C	23.000	52.000	94.000
YCR024C-A	60.000	57.000	76.000
YCR025C	71.000	51.000	88.000
YCR026C	64.000	48.000	67.000
YCR027C	61.000	48.000	77.000
YCR028C	54.000	54.000	75.000
YCR028C-A	56.000	61.000	76.000
YCR030C	75.000	49.000	78.000
YCR031C	43.000	44.000	73.000
YCR032W	73.000	55.000	86.000
YCR033W	37.000	38.000	80.000
YCR034W	69.000	29.000	76.000
YCR036W	56.000	32.000	53.000
YCR037C	47.000	32.000	86.000
YCR043C	42.000	14.000	88.000
YCR044C	59.000	47.000	86.000
YCR045C	57.000	21.000	78.000
YCR046C	65.000	23.000	82.000
YCR047C	64.000	47.000	46.000
YCR048W	63.000	43.000	90.000
YCR049C	60.000	30.000	84.000
YCR050C	58.000	47.000	70.000
YCR051W	38.000	34.000	62.000
YCR053W	62.000	42.000	71.000
YCR059C	62.000	39.000	70.000
YCR060W	43.000	49.000	42.000
YCR061W	66.000	38.000	79.000
YCR062W	44.000	50.000	68.000
YCR063W	61.000	41.000	70.000
YCR065W	60.000	45.000	84.000
YCR066W	NaN	NaN	NaN
YCR067C	41.000	73.000	NaN
YCR068W	60.000	58.000	92.000
YCR069W	50.000	40.000	92.000
YCR071C	57.000	19.000	88.000
YCR073C	66.000	36.000	98.000
YCR073W-A	57.000	33.000	88.000
YCR075C	53.000	36.000	72.000
YCR076C	65.000	48.000	77.000
YCR077C	76.000	24.000	80.000
YCR079W	47.000	36.000	86.000
YCR081W	38.000	26.000	86.000
YCR082W	49.000	49.000	72.000
YCR083W	38.000	47.000	76.000
YCR084C	NaN	NaN	NaN
YCR085W	76.000	28.000	85.000
YCR086W	42.000	62.000	88.000
YCR087C-A	66.000	47.000	78.000
YCR087W	38.000	42.000	88.000
YCR088W	60.000	50.000	84.000
YCR089W	43.000	51.000	86.000
YCR090C	43.000	21.000	56.000
YCR091W	98.000	20.000	84.000
YCR092C	45.000	27.000	88.000
YCR094W	40.000	5.000	71.000
YCR095C	53.000	34.000	86.000
YCR098C	46.000	28.000	81.000
YCR099C	50.000	38.000	78.000
YCR100C	44.000	20.000	90.000
YCR101C	58.000	24.000	69.000
