orf	hap a/hap alpha | growth (colony size) | standard [standard] | Baryshnikova A~Myers CL, 2010
YDR213W	1.024912
YDR214W	1.049464
YDR215C	1.024191
YDR216W	1.045811
YDR217C	0.983512
YDR218C	1.003767
YDR219C	0.98924
YDR220C	0.995231
YDR221W	1.015432
YDR222W	1.03817
YDR223W	1.016313
YDR225W	0.901402
YDR226W	0.380363
YDR229W	1.038858
YDR231C	0.70836
YDR233C	1.046021
YDR237W	0.368162
YDR239C	1.055721
YDR242W	1.017751
YDR244W	0.822991
YDR245W	0.807856
YDR246W-A	1.071011
YDR247W	1.032071
YDR248C	0.978487
YDR249C	1.028387
YDR250C	0.991226
YDR251W	1.008591
YDR252W	1.047758
YDR253C	0.987483
YDR254W	1.017521
YDR255C	1.01639
YDR256C	1.020058
YDR257C	1.007303
YDR258C	1.026347
YDR259C	0.987466
YDR260C	1.048919
YDR261C	1.012162
YDR262W	1.00501
YDR263C	1.052041
YDR264C	0.348489
YDR265W	0.883507
YDR266C	1.038977
YDR268W	0.499004
YDR269C	0.980732
YDR270W	1.06095
YDR271C	1.001166
YDR272W	1.027528
YDR273W	1.022284
YDR274C	0.992227
YDR275W	1.02144
YDR276C	0.819341
YDR277C	1.02574
YDR278C	0.998915
YDR279W	1.022347
YDR281C	1.003596
YDR282C	1.032036
YDR283C	0.982281
YDR284C	1.057876
YDR285W	1.034408
YDR286C	1.04908
YDR287W	0.992863
YDR289C	0.975832
YDR290W	0.913859
YDR291W	1.043098
YDR293C	0.847492
YDR294C	1.000537
YDR295C	0.750033
YDR296W	0.365669
YDR297W	1.044885
YDR298C	0.597452
YDR300C	0.254948
YDR304C	1.047761
YDR305C	0.991317
YDR306C	1.037627
YDR307W	1.029448
YDR309C	1.036675
YDR310C	0.97591
YDR312W	1.015636
YDR313C	1.062765
YDR314C	1.01507
YDR315C	0.827499
YDR316W	0.911206
YDR317W	1.011134
YDR318W	1.003299
YDR319C	1.045309
YDR320C	0.500011
YDR320C-A	0.398213
YDR321W	0.999705
YDR322C-A	0.913703
YDR322W	0.611852
YDR323C	0.316916
YDR326C	1.019635
YDR329C	0.880318
YDR330W	1.032066
YDR332W	0.981273
YDR333C	1.018325
YDR334W	0.940297
YDR335W	0.937093
YDR336W	1.003072
YDR337W	0.472149
YDR338C	0.99683
YDR340W	0.978897
YDR342C	0.954044
YDR343C	0.96997
YDR344C	1.006072
