ORF	hom | growth (culture turbidity) | sodium arsenite [0.2 mM] | Johnson AJ~Wu MJ, 2015	hom | growth (culture turbidity) | sodium arsenite [0.4 mM] | Johnson AJ~Wu MJ, 2015
YBR267W	0.921	4.867
YBR268W	0.986	1.960
YBR269C	1.080	0.876
YBR270C	2.025	0.878
YBR271W	1.120	2.012
YBR272C	1.347	0.730
YBR273C	1.034	1.920
YBR275C	1.340	0.401
YBR276C	1.687	2.583
YBR277C	1.002	1.296
YBR278W	1.024	1.770
YBR279W	1.053	1.711
YBR280C	1.917	1.696
YBR281C	1.175	1.231
YBR282W	0.718	0.304
YBR283C	1.055	1.200
YBR284W	1.095	1.579
YBR286W	1.039	0.959
YBR287W	1.314	2.089
YBR288C	0.880	2.093
YBR289W	0.670	1.307
YBR290W	1.143	2.114
YBR291C	1.011	0.575
YBR292C	1.116	1.344
YBR293W	1.203	1.971
YBR294W	1.419	2.319
YBR295W	1.153	1.501
YBR296C	1.163	1.787
YBR296C-A	1.290	0.824
YBR297W	0.972	1.715
YBR298C	0.360	0.345
YBR299W	1.190	0.363
YBR300C	0.872	1.517
YBR301W	2.510	1.276
YCL001W	1.080	1.381
YCL001W-A	1.019	0.442
YCL001W-B	1.196	0.787
YCL005W	1.025	0.488
YCL005W-A	2.252	1.398
YCL007C	0.811	1.102
YCL008C	1.123	1.063
YCL009C	1.196	2.124
YCL010C	0.769	0.531
YCL011C	1.035	0.929
YCL012C	1.203	1.687
YCL012W	1.123	1.971
YCL013W	1.127	0.628
YCL016C	1.059	0.695
YCL021W-A	1.133	1.901
YCL022C	1.087	0.982
YCL024W	0.986	1.769
YCL025C	1.082	1.944
YCL026C	1.237	0.659
YCL026C-A	2.047	0.110
YCL026C-B	1.072	1.447
YCL027W	1.167	1.743
YCL028W	1.164	1.640
YCL029C	0.652	0.296
YCL030C	1.325	0.958
YCL032W	1.150	0.779
YCL033C	1.155	1.651
YCL034W	1.120	1.680
YCL035C	0.989	0.540
YCL036W	1.029	1.706
YCL037C	0.642	0.863
YCL039W	1.181	1.747
YCL040W	1.121	0.880
YCL042W	1.201	1.017
YCL044C	1.250	1.943
YCL045C	1.117	1.592
YCL046W	0.800	3.043
YCL047C	1.051	1.857
YCL048W	0.957	0.852
YCL049C	1.047	0.875
YCL050C	1.164	1.490
YCL051W	1.147	0.586
YCL055W	1.105	0.987
YCL056C	1.223	1.898
YCL057C-A	1.317	0.954
YCL057W	1.125	1.704
YCL058C	1.682	1.137
YCL060C	1.029	0.958
YCL062W	1.044	0.337
YCL063W	0.969	0.391
YCL064C	1.145	0.798
YCL069W	1.036	0.697
YCL074W	1.156	1.448
YCL075W	1.078	1.405
YCL076W	0.819	1.008
YCR001W	1.141	0.961
YCR002C	1.056	0.793
YCR003W	1.738	1.403
YCR004C	1.151	1.384
YCR005C	1.147	0.999
YCR006C	1.135	1.560
YCR007C	1.135	1.844
YCR008W	1.179	1.954
YCR009C	0.757	1.369
YCR010C	0.983	1.404
YCR011C	1.032	1.578
YCR014C	1.215	1.091
YCR015C	1.186	1.042
YCR016W	1.159	1.522
YCR017C	1.068	0.427
YCR019W	1.128	1.177
YCR020C	1.083	1.524
YCR020C-A	0.834	0.278
YCR020W-B	0.748	1.019
YCR021C	1.088	1.629
YCR022C	1.075	1.262
YCR023C	1.066	1.742
YCR024C-A	1.152	1.135
YCR025C	1.224	1.521
YCR026C	1.057	0.670
YCR027C	1.042	1.690
YCR028C	1.092	2.396
YCR028C-A	2.099	1.864
YCR030C	1.400	0.526
YCR031C	0.917	2.433
YCR032W	1.378	0.294
YCR033W	2.327	0.195
YCR034W	0.881	0.154
YCR036W	1.045	0.233
YCR043C	1.181	1.918
YCR044C	0.696	0.280
YCR045C	0.720	0.177
YCR046C	0.573	0.269
YCR047C	0.782	1.307
YCR048W	1.375	1.075
YCR049C	1.147	1.792
YCR050C	1.033	0.601
YCR051W	1.062	1.829
YCR053W	2.165	1.507
YCR059C	1.140	1.556
YCR060W	1.758	2.336
YCR062W	2.413	0.241
YCR063W	0.679	2.210
YCR065W	0.431	0.284
YCR066W	0.927	0.938
YCR067C	1.436	0.539
YCR068W	1.068	0.287
YCR069W	1.298	0.504
YCR071C	0.886	0.707
YCR073C	0.971	0.668
YCR073W-A	1.113	1.764
YCR075C	1.279	0.731
YCR075W-A	0.394	0.449
YCR076C	1.177	1.657
YCR077C	2.551	2.030
YCR079W	1.142	1.902
YCR081W	0.747	0.009
YCR082W	1.167	1.316
YCR083W	1.120	1.505
YCR084C	0.055	0.053
YCR085W	1.080	0.474
YCR086W	0.580	0.098
YCR087C-A	0.635	0.092
YCR087W	0.393	0.066
YCR088W	0.874	2.352
YCR089W	1.167	1.726
YCR090C	1.148	1.955
YCR091W	1.148	1.819
