ORF	Pho5 phosphatase activity;phosphate starvation
YOL030W	96.046
YOL031C	159.529
YOL032W	105.683
YOL033W	151.059
YOL035C	109.274
YOL036W	102.254
YOL037C	125.940
YOL039W	145.008
YOL041C	102.203
YOL042W	114.896
YOL043C	100.583
YOL044W	114.918
YOL045W	89.027
YOL046C	89.624
YOL047C	101.682
YOL048C	143.855
YOL049W	148.625
YOL050C	182.372
YOL051W	136.794
YOL052C	109.641
YOL053C-A	116.412
YOL053W	108.035
YOL054W	133.795
YOL055C	116.614
YOL056W	122.120
YOL057W	97.344
YOL058W	135.069
YOL059W	187.960
YOL060C	141.773
YOL061W	119.913
YOL062C	147.233
YOL063C	155.075
YOL064C	79.587
YOL065C	129.602
YOL067C	107.453
YOL068C	109.778
YOL070C	111.829
YOL071W	101.094
YOL072W	108.738
YOL075C	129.400
YOL076W	263.653
YOL079W	144.008
YOL080C	129.537
YOL081W	496.544
YOL082W	120.496
YOL083W	117.356
YOL084W	106.343
YOL085C	112.400
YPL274W	112.412
YPL273W	149.799
YPL272C	108.854
YPL271W	176.027
YPL270W	157.592
YPL269W	144.077
YPL267W	184.896
YPL265W	182.218
YPL264C	123.666
YPL263C	113.784
YPL262W	229.991
YPL260W	249.412
YPL261C	214.357
YPL259C	103.884
YPL258C	120.175
YPL257W	159.458
YPL256C	156.073
YPL254W	16.915
YPL253C	154.642
YPL250C	176.456
YPL249C	139.300
YPL248C	155.046
YPL247C	179.892
YPL246C	116.943
YPL245W	143.645
YPL244C	113.595
YPL241C	119.971
YPL240C	156.475
YPL239W	163.203
YPL236C	157.331
YPL234C	57.973
YPL232W	112.043
YPL230W	183.468
YPL229W	304.109
YPL227C	130.494
YPL226W	147.263
YPL225W	100.921
YPL223C	115.070
YPL222W	134.099
YPL221W	181.154
YPL220W	103.750
YPL219W	156.561
YPL216W	92.521
YPL215W	84.102
YPL214C	157.854
YPL213W	100.350
YPL212C	195.486
YPL208W	96.012
YPL207W	96.470
YPL206C	198.389
YPL205C	68.025
YPL203W	207.696
YPL202C	127.698
YPL201C	256.096
YPL200W	94.100
YPL199C	86.751
YPL198W	368.082
YPL197C	181.605
YPL196W	146.622
YPL195W	76.637
YPL194W	234.617
YPL193W	194.666
YPL192C	93.506
YPL191C	166.397
YPL189W	96.434
YPL188W	228.003
YPL187W	225.766
YPL185W	187.103
YPL186C	135.130
YPL184C	245.693
YPL181W	252.290
YPL182C	170.235
YPL180W	329.347
YPL179W	529.613
YPL178W	130.331
YPL177C	330.187
YPL176C	277.885
YPL174C	121.680
YPL173W	117.652
YPL172C	102.860
YPL171C	102.987
YPL170W	188.792
YPL168W	109.977
YPL167C	113.584
YPL166W	172.486
YPL165C	162.823
YPL164C	287.331
YPL163C	361.599
YPL162C	555.293
YPL161C	105.703
YPL159C	123.989
YPL157W	93.366
YPL156C	152.145
YPL155C	93.171
YPL154C	146.135
YPL152W	363.969
YPL150W	254.524
YPL149W	531.736
YPL147W	109.638
YPL145C	247.370
YPL144W	247.271
YPL141C	352.386
YPL140C	187.377
YPL139C	141.944
YPL138C	209.514
YPL136W	91.787
YPL135W	169.137
YPL133C	364.350
YPL130W	222.622
YPL129W	131.583
YPL127C	217.557
YPL125W	98.496
YPL123C	316.877
YPL121C	171.772
YPL120W	81.213
YPL119C	193.966
YPL118W	96.222
YPL116W	180.716
YPL115C	124.068
YPL114W	101.177
YPL113C	115.595
YPL112C	210.785
YPL111W	411.281
YPL110C	125.952
YPL109C	205.778
YPL108W	86.589
YPL107W	119.014
YPL106C	170.481
YPL105C	146.965
YPL104W	87.381
YPL103C	211.476
YPL101W	299.298
YPL102C	238.170
YPL100W	340.531
YPL099C	180.087
YPL098C	107.235
YPL097W	85.821
YPL096W	104.551
YPL095C	105.914
YPL092W	140.390
YBR174C	151.173
YBR175W	173.494
YBR176W	95.236
YBR177C	122.201
YBR178W	116.668
YBR179C	149.310
YBR180W	100.168
YBR181C	83.822
YBR182C	82.214
YBR183W	88.333
YBR184W	102.747
YBR185C	97.791
YBR186W	115.915
YBR187W	97.465
YBR188C	87.595
YBR194W	156.250
YBR195C	105.582
YBR197C	94.373
YBR199W	95.772
YBR200W	150.429
YBR201W	97.483
YBR203W	88.037
YBR204C	82.775
YBR205W	99.693
YBR206W	95.925
YBR207W	99.358
YBR208C	88.530
YBR209W	124.963
YBR210W	103.912
YBR212W	122.120
YBR213W	70.123
YBR214W	117.505
YBR215W	138.506
YBR216C	85.350
YBR217W	85.499
YBR218C	93.301
YBR219C	87.940
YBR220C	87.690
YBR221C	202.860
YBR222C	123.979
YBR223C	118.766
YBR224W	164.399
YBR225W	184.736
YBR226C	100.238
YBR227C	84.575
YBR228W	78.570
YBR229C	108.004
YBR230C	87.489
YBR231C	111.456
YBR233W	84.520
YBR235W	89.944
YBR238C	99.134
YBR239C	109.773
YBR240C	84.586
YBR241C	79.585
YBR242W	78.903
YBR244W	77.858
YBR245C	82.148
YBR246W	45.859
YBR248C	154.928
YBR249C	61.398
YBR250W	91.530
YBR251W	129.833
YBR255W	133.219
YBR258C	100.234
YBR259W	126.176
YBR260C	82.809
YBR261C	88.077
YBR262C	117.808
YBR263W	78.019
YBR264C	83.971
YBR266C	59.362
YBR267W	86.853
YBR268W	100.514
YDR049W	97.669
YDR050C	118.359
YDR051C	89.546
YDR055W	92.511
YDR056C	81.053
YDR057W	93.682
YDR059C	74.615
YDR061W	93.433
YDR063W	79.502
YDR065W	113.791
YDR066C	84.839
YDR067C	65.903
YDR068W	114.170
YDR069C	57.623
YDR070C	121.033
YDR072C	103.161
YDR073W	87.603
YDR075W	95.043
YDR076W	95.766
YDR077W	93.508
YDR078C	104.062
YDR079W	87.941
YDR080W	99.098
YDR083W	152.297
YDR084C	112.971
YDR085C	96.021
YDR089W	93.719
YDR090C	87.848
YDR092W	115.534
YDR093W	95.448
YDR094W	81.090
YDR095C	83.017
YDR096W	104.867
YDR097C	159.782
YDR098C	115.950
YDR099W	125.869
YDR100W	108.208
YDR101C	81.327
YDR102C	147.839
