orf	hom | growth (colony size) | standard | SC | Jaeger PA~Ideker T, 2018	hom | growth (colony size) | standard | SC, Gal [2%] | Jaeger PA~Ideker T, 2018	hom | gene expression (prGAL1-GFP) | standard | SC - Ura | Jaeger PA~Ideker T, 2018	hom | gene expression (prGAL1-GFP) | standard | SC - Ura, Gal [2%] | Jaeger PA~Ideker T, 2018	hom | gene expression (prTEF1-GFP) | glucose [2%] | None | Jaeger PA~Ideker T, 2018	hom | gene expression (prTEF1-GFP) | galactose [2%] | None | Jaeger PA~Ideker T, 2018	hom | degradation of misfolded proteins (del-ssCPY*-GFP) | standard | None | Jaeger PA~Ideker T, 2018
YAR014C	0.00684440839806886	-0.0676907720812149	-0.850859195646251	-0.272026829130646	0.116436784301552	-0.0189751542294686	-0.10741216081011899
YAR015W	-2.28220306710988	-0.678664765400548	0.176793979100509	0.11907145789916	0.0313064363377474	-0.0189751542294686	-0.1502306992029798
YAR018C	0.109815543298267	0.365141359238353	0.231175869706195	-0.0879569320690638	-0.0432685233962792	-0.0599745716730851	0.975414899973349
YAR020C	0.264952201578691	0.254530380136067	0.232610322666545	0.21178345965513	0.0950545521970954	-0.0286501374092072	0.66336929212843
YAR023C	0.0609605897543716	-0.21056660031658	0.6537733347677	0.193989031070529	0.197666305010259	-0.00119478749644159	-0.512956438077981
YAR027W	0.572571930795532	0.935247661238629	-0.24325721373115	-0.0295290250034021	0.0623461417186857	-0.0565265462597105	0.8863853930704859
YAR028W	0.479377624351932	0.594895304797391	-0.0790601379756707	-0.0906003755823565	-0.0423535680620747	-0.0474285613362655	0.3609272219263542
YAR029W	0.991653464795714	1.15068112316971	-0.28907709547956	0.104857402984989	-0.325316128241455	-0.0647429533821934	-0.792664956092553
YAR030C	0.934755220942972	0.124501653691781	0.522254309683014	0.195679027339532	0.100704132007631	-0.0394215620629418	0.9228048675656559
YAR031W	-0.0800918013924576	0.388079660607863	0.781622584799455	0.157465997322026	0.195148421119494	0.000431896293262183	-0.545294036350978
