ORF	hap alpha | protein/peptide methylation (H3K79) | standard [standard] | Vlaming H~Leeuwen F, 2016
YGL080W	-0.114
YGL081W	-0.288
YGL082W	0.074
YGL083W	0.085
YGL084C	0.075
YGL085W	-0.051
YGL086W	0.206
YGL087C	-0.021
YGL089C	-0.001
YGL090W	-0.084
YGL094C	0.387
YGL096W	0.113
YGL100W	0.133
YGL101W	0.057
YGL104C	0.138
YGL105W	0.392
YGL107C	-0.197
YGL108C	-0.115
YGL110C	-0.035
YGL114W	-0.067
YGL115W	-0.195
YGL117W	-0.229
YGL119W	-0.142
YGL121C	-0.049
YGL124C	-0.268
YGL125W	0.067
YGL126W	0.115
YGL127C	0.591
YGL131C	-0.191
YGL133W	-0.098
YGL134W	0.402
YGL135W	0.159
YGL136C	0.133
YGL138C	-0.039
YGL139W	-0.211
YGL141W	-0.102
YGL143C	-0.336
YGL144C	0.237
YGL146C	0.064
YGL148W	-0.229
YGL151W	-0.134
YGL153W	0.013
YGL154C	0.018
YGL156W	-0.065
YGL157W	0.040
YGL158W	0.090
YGL159W	-0.021
YGL160W	-0.179
YGL161C	-0.065
YGL162W	-0.001
YGL163C	0.663
YGL164C	-0.009
YGL166W	0.024
YGL167C	0.027
YGL168W	0.588
YGL170C	-0.193
YGL173C	-0.121
YGL174W	0.213
YGL175C	0.062
YGL176C	0.101
YGL178W	0.346
YGL180W	-0.111
YGL181W	-0.075
YGL183C	-0.004
YGL184C	-0.300
YGL186C	0.165
YGL187C	-0.031
YGL188C-A	-0.189
YGL189C	-0.288
YGL190C	-0.227
YGL191W	-0.008
YGL192W	-0.302
YGL194C	-0.226
YGL195W	-0.155
YGL196W	-0.157
YGL197W	0.230
YGL198W	-0.014
YGL200C	-0.138
YGL202W	-0.126
YGL208W	-0.070
YGL209W	-0.130
YGL210W	0.039
YGL212W	-0.080
YGL213C	-0.206
YGL216W	-0.167
YGL220W	0.138
YGL221C	-0.051
YGL222C	-0.115
YGL224C	0.074
YGL226C-A	-0.117
YGL227W	0.117
YGL228W	-0.130
YGL229C	-0.286
YGL230C	0.135
YGL231C	-0.016
YGL232W	-0.101
YGL234W	-0.118
YGL235W	-0.104
YGL236C	-0.048
YGL237C	-0.176
YGL241W	-0.085
YGL242C	-0.131
YGL243W	-0.064
YGL244W	-2.524
YGL248W	0.125
YGL250W	0.387
YGL251C	-0.235
YGL252C	-0.023
YGL253W	0.274
YGL254W	-0.225
YGL255W	-0.014
YGL256W	-0.009
YGL257C	-0.122
YGL258W	0.204
YGL258W-A	-0.093
YGL259W	0.046
YGL261C	-0.057
YGL262W	-0.060
YGL263W	-0.105
YGR001C	-0.017
YGR003W	0.326
YGR004W	0.105
YGR007W	0.024
YGR008C	-0.019
YGR010W	0.161
YGR012W	-0.079
YGR014W	0.031
YGR015C	0.056
YGR016W	-0.167
YGR017W	-0.118
YGR019W	0.006
YGR020C	0.746
YGR021W	-0.036
YGR023W	-0.172
YGR026W	-0.072
YGR027C	-0.173
YGR028W	0.035
YGR031W	0.077
YGR032W	-0.079
YGR033C	-0.177
YGR035C	-0.019
YGR035W-A	-0.055
YGR036C	0.271
YGR037C	0.355
YGR038W	-0.020
YGR040W	0.015
YGR041W	0.099
YGR042W	-0.265
YGR043C	-0.018
YGR044C	-0.111
YGR045C	0.032
YGR052W	-0.172
YGR053C	0.197
YGR054W	-0.149
YGR055W	-0.150
YGR056W	-0.369
YGR057C	0.206
YGR058W	0.270
YGR059W	0.041
YGR061C	1.216
YGR063C	0.546
YGR066C	-0.029
YGR067C	-0.087
YGR068C	0.162
YGR070W	0.142
YGR071C	-0.047
YGR072W	-0.286
YGR076C	-0.289
YGR077C	0.246
YGR078C	0.692
YGR079W	0.066
YGR080W	-0.131
YGR081C	-0.511
YGR084C	-0.260
YGR085C	-0.181
YGR086C	-0.038
YGR087C	-0.162
YGR088W	-0.003
YGR089W	-0.187
YGR092W	0.304
YGR093W	-0.117
YGR096W	0.014
YGR100W	0.047
YGR101W	0.336
YGR102C	-0.195
YGR105W	0.166
YGR106C	0.079
YGR108W	-0.048
YGR109C	-0.147
YGR110W	0.129
YGR111W	0.157
YGR112W	0.646
YGR117C	0.079
YGR118W	-0.585
YGR121C	-0.009
YGR121W-A	-0.332
YGR122W	0.261
YGR123C	-0.173
YGR124W	-0.088
YGR125W	0.060
YGR126W	0.065
YGR127W	0.043
YGR129W	0.037
YGR130C	0.047
YGR131W	-0.042
YGR132C	-0.067
YGR133W	-0.096
YGR134W	-0.098
YGR135W	0.127
YGR136W	-0.232
YGR138C	0.016
YGR141W	0.023
YGR142W	-0.065
YGR143W	0.177
YGR144W	0.309
YGR146C	0.159
YGR146C-A	0.013
YGR148C	0.189
YGR149W	-0.006
YGR150C	-0.016
YGR152C	0.116
YGR153W	0.079
YGR154C	0.170
YGR157W	0.262
YGR159C	0.279
YGR161C	0.104
YGR161W-C	-0.014
YGR163W	0.159
YGR166W	0.109
YGR168C	-0.199
YGR169C	0.033
YGR169C-A	-0.159
YGR170W	0.035
YGR171C	-0.455
YGR173W	0.162
YGR174C	-0.109
YGR174W-A	0.183
YGR177C	-0.216
YGR178C	0.059
YGR180C	0.203
YGR181W	0.059
YGR183C	-0.153
YGR184C	0.498
YGR187C	0.010
YGR188C	0.173
YGR189C	-0.132
YGR192C	-0.129
YGR193C	-0.140
YGR194C	0.157
YGR196C	0.306
YGR197C	0.005
YGR199W	-0.071
YGR200C	0.451
YGR201C	0.137
YGR202C	-0.297
YGR203W	0.142
YGR204C-A	-0.148
YGR206W	-0.009
YGR207C	-0.249
YGR208W	-0.002
YGR209C	0.126
YGR210C	-0.027
YGR212W	-0.048
YGR213C	0.308
YGR214W	-0.161
YGR215W	-0.088
YGR217W	0.267
YGR220C	-0.061
YGR221C	0.012
YGR222W	-0.241
YGR223C	0.038
YGR224W	-0.145
YGR225W	0.031
YGR226C	0.080
YGR227W	-0.202
YGR229C	-0.170
YGR230W	-0.086
YGR231C	-0.091
YGR232W	-0.317
YGR233C	-0.074
YGR234W	0.074
YGR235C	0.004
YGR236C	-0.058
YGR237C	-0.434
YGR238C	0.083
YGR239C	-0.234
YGR240C	-0.093
YGR240C-A	0.245
YGR241C	-0.147
YGR243W	-0.340
YGR244C	-0.087
YGR247W	-0.116
YGR248W	-0.209
YGR249W	0.143
YGR250C	-0.066
YGR252W	0.810
YGR254W	-0.042
YGR255C	0.133
YGR256W	-0.039
YGR257C	0.554
YGR260W	-0.176
YGR261C	-0.010
YGR262C	-0.056
YGR263C	-0.049
YGR266W	-0.094
YGR268C	-0.082
YGR270W	-0.204
YGR271C-A	0.560
YGR271W	-0.386
YGR273C	-0.014
YGR275W	-0.109
YGR276C	0.121
YGR279C	-0.045
YGR281W	-0.063
YGR282C	0.016
YGR283C	-0.039
YGR284C	0.128
YGR285C	0.011
YGR286C	-0.075
YGR287C	0.131
YGR288W	0.236
YGR289C	0.269
YGR292W	0.224
YGR294W	-0.112
YGR295C	-0.036
YGR296W	0.064
YHL001W	0.016
YHL002W	0.026
YHL003C	0.194
YHL004W	0.657
YHL006C	-0.029
YHL008C	-0.054
YHL009C	0.117
YHL010C	0.058
YHL012W	0.017
YHL013C	0.135
YHL014C	-0.447
YHL015W-A	-0.105
YHL016C	-0.016
YHL017W	0.209
YHL018W	0.049
YHL019C	-0.158
YHL021C	0.025
YHL022C	-0.328
YHL023C	0.160
YHL024W	-0.008
YHL025W	0.770
YHL026C	0.128
YHL027W	-0.034
YHL028W	-0.086
YHL029C	-0.176
YHL030W	0.132
YHL032C	0.108
YHL033C	-0.521
YHL034C	0.283
YHL035C	-0.109
YHL036W	0.529
YHL038C	0.017
YHL039W	-0.138
YHL040C	-0.147
YHL042W	-0.056
YHL043W	0.036
YHL044W	0.252
YHL046C	0.066
YHL047C	0.351
YHL048C-A	-0.506
YHL048W	-0.037
YHL050C	-0.070
YHR001W	0.108
YHR001W-A	-0.260
YHR002W	-0.306
YHR004C	-0.222
YHR006W	0.046
YHR007C-A	0.014
YHR008C	0.375
YHR009C	-0.344
YHR011W	0.818
YHR012W	0.112
YHR013C	-1.506
YHR014W	0.084
YHR015W	-0.028
YHR016C	-0.083
YHR017W	-0.055
YHR021C	-0.090
YHR021W-A	-0.131
YHR022C	0.070
YHR022C-A	0.070
YHR025W	-0.055
YHR028C	0.059
YHR029C	0.082
YHR030C	-0.072
YHR031C	0.200
YHR032W	-0.158
YHR033W	0.054
YHR034C	0.471
YHR035W	-0.177
YHR037W	0.174
YHR038W	0.105
YHR039C	-0.013
YHR039C-A	0.254
YHR041C	0.632
YHR043C	0.359
YHR044C	-0.029
YHR045W	0.249
YHR046C	0.058
YHR047C	-0.063
YHR048W	-0.074
YHR049W	-0.412
YHR050W	0.020
YHR050W-A	0.109
YHR051W	0.015
YHR052W	-0.064
YHR054C	-0.109
YHR055C	0.139
YHR057C	-0.045
YHR059W	0.311
YHR060W	0.635
YHR061C	0.014
YHR063C	0.047
YHR066W	-0.530
YHR067W	0.642
YHR071W	0.200
YHR073W	0.001
YHR075C	0.360
YHR077C	0.086
YHR078W	-0.498
YHR079C	-0.057
YHR079C-A	-0.105
YHR080C	-0.058
YHR081W	-0.075
YHR082C	-0.208
YHR086W	-0.155
YHR086W-A	0.186
YHR087W	0.203
YHR089C	-0.201
YHR092C	0.123
YHR094C	0.046
YHR096C	-0.138
YHR097C	0.361
YHR098C	0.645
YHR099W	-0.119
YHR100C	-0.237
YHR103W	-0.057
YHR104W	-0.120
YHR105W	-0.246
YHR106W	-0.086
YHR108W	-0.061
YHR109W	-0.437
YHR110W	0.080
YHR111W	-0.519
YHR112C	-0.139
YHR114W	-0.056
YHR116W	-0.182
YHR117W	-0.163
YHR119W	0.208
YHR120W	-0.060
YHR121W	-0.135
YHR123W	0.037
YHR124W	-0.105
YHR126C	0.119
YHR127W	-0.247
YHR128W	0.067
YHR129C	0.103
YHR131C	0.262
YHR132C	-0.055
YHR132W-A	-0.243
YHR134W	0.011
YHR135C	0.069
YHR136C	-0.282
YHR137W	-0.306
YHR138C	0.096
YHR139C	-0.084
YHR140W	-0.172
YHR141C	0.085
YHR142W	0.090
YHR143W	-0.522
YHR144C	-0.042
YHR149C	-0.097
YHR150W	-0.067
YHR151C	0.074
YHR152W	-0.139
YHR153C	-0.131
YHR154W	0.227
YHR155W	-0.120
YHR157W	-0.155
YHR158C	0.071
YHR159W	0.047
YHR160C	-0.095
YHR161C	0.013
YHR162W	-0.125
YHR163W	-0.139
YHR165C	-0.121
YHR167W	0.149
YHR168W	-0.608
YHR171W	0.343
YHR174W	-0.084
YHR175W	-0.048
YHR175W-A	0.101
YHR177W	-0.068
YHR178W	0.186
YHR179W	0.524
YHR181W	-0.048
YHR182W	0.009
YHR184W	0.094
YHR185C	-0.116
YHR187W	-0.090
YHR189W	-0.077
YHR191C	0.543
YHR192W	-0.125
YHR193C	0.044
YHR194W	0.735
YHR195W	-0.165
YHR198C	-0.002
YHR199C	0.208
YHR200W	0.299
YHR201C	0.009
YHR202W	-0.262
YHR203C	0.259
YHR204W	-0.108
YHR205W	-0.273
YHR206W	0.005
YHR207C	0.416
YHR208W	0.056
YHR209W	0.171
YHR210C	0.130
YHR211W	-0.068
YHR212W-A	-0.150
YHR213W	-0.102
YHR213W-A	-0.034
YHR213W-B	-0.173
YHR214C-D	-0.034
YHR214C-E	0.068
YHR215W	-0.075
YHR216W	-0.073
YHR218W	-0.016
YHR219W	-0.037
YIL001W	0.844
YIL002C	0.067
YIL002W-A	0.096
YIL005W	-0.105
YIL006W	0.151
YIL007C	0.025
YIL008W	-0.300
YIL009C-A	0.063
YIL009W	0.200
YIL010W	-0.094
YIL011W	0.107
YIL013C	0.149
YIL014C-A	-0.004
YIL014W	0.057
YIL015W	-0.195
YIL016W	0.133
YIL018W	0.063
YIL020C	-0.292
YIL023C	0.083
YIL024C	0.069
YIL029C	-0.015
YIL030C	0.136
YIL033C	0.250
YIL034C	-0.038
YIL035C	-0.004
YIL036W	0.145
YIL037C	0.165
YIL038C	-0.419
YIL039W	0.210
YIL040W	0.070
YIL041W	0.043
YIL042C	-0.198
YIL043C	-0.153
YIL044C	-0.052
YIL045W	-0.064
YIL046W-A	0.147
YIL047C	0.404
YIL049W	0.042
YIL050W	0.016
YIL052C	0.116
YIL053W	-0.176
YIL055C	0.009
YIL056W	0.248
YIL057C	0.031
YIL064W	0.169
YIL066C	-0.252
YIL067C	-0.057
YIL069C	0.010
YIL070C	0.079
YIL072W	-0.274
YIL073C	0.362
YIL074C	-0.014
YIL076W	0.037
YIL077C	-0.087
YIL079C	-0.106
YIL080W	0.090
YIL084C	0.293
YIL085C	-0.127
YIL087C	0.033
YIL088C	0.129
YIL089W	0.071
YIL090W	0.109
YIL092W	-0.124
YIL093C	-0.184
YIL094C	0.075
YIL095W	0.069
YIL096C	-0.089
YIL097W	0.129
YIL098C	0.074
YIL099W	-0.078
YIL101C	-0.096
YIL102C	-0.026
YIL103W	-0.294
YIL108W	0.175
YIL110W	-0.084
YIL111W	0.095
YIL112W	-0.050
YIL113W	-0.085
YIL114C	-0.012
YIL117C	0.001
YIL119C	-0.065
YIL120W	0.259
YIL121W	0.265
YIL122W	0.147
YIL123W	-0.102
YIL125W	0.035
YIL127C	-0.191
YIL130W	-0.056
YIL131C	-0.216
YIL132C	-0.123
YIL133C	-0.203
YIL134C-A	0.279
YIL134W	-0.221
YIL135C	0.045
YIL136W	0.142
YIL137C	0.079
YIL138C	-0.031
YIL139C	-0.101
YIL140W	0.134
YIL145C	-0.141
YIL146C	0.151
YIL148W	-0.098
YIL149C	0.018
YIL151C	-0.043
YIL152W	0.464
YIL153W	0.226
YIL155C	0.306
YIL157C	0.034
YIL158W	-0.004
YIL159W	-0.051
YIL160C	-0.135
YIL161W	-0.222
YIL162W	0.082
YIL165C	0.086
YIL166C	-0.223
YIL168W	0.011
YIL169C	0.561
YIL170W	0.148
YIL171W	-0.134
YIL172C	-0.129
YIL174W	-0.038
YIL175W	0.091
YIL176C	0.068
YIR001C	-0.155
YIR002C	0.172
YIR003W	-0.009
YIR004W	0.035
YIR005W	0.024
YIR007W	0.166
YIR013C	-0.039
YIR014W	-0.091
YIR016W	0.080
YIR017C	-0.068
YIR018C-A	0.101
YIR018W	0.108
YIR019C	0.048
YIR021W	-0.253
YIR021W-A	-0.024
YIR023W	0.175
YIR024C	-0.042
YIR025W	0.154
YIR026C	-0.135
YIR027C	0.039
YIR028W	-0.198
YIR029W	0.027
YIR030C	0.027
YIR031C	-0.275
YIR032C	-0.303
YIR033W	0.135
YIR034C	0.165
YIR035C	-0.087
YIR036C	-0.237
YIR037W	-0.170
YIR038C	0.027
YIR039C	-0.261
YIR041W	0.050
YIR042C	-0.055
YIR043C	0.129
YIR044C	0.184
YJL003W	0.211
YJL004C	-0.324
YJL013C	0.120
YJL016W	0.038
YJL020C	0.009
YJL023C	-0.301
YJL024C	-0.028
YJL027C	-0.112
YJL029C	-0.089
YJL030W	0.355
YJL036W	-0.233
YJL037W	-0.366
YJL038C	0.045
YJL042W	-0.102
YJL043W	0.153
YJL044C	0.004
YJL045W	0.089
YJL046W	0.088
YJL047C-A	0.072
YJL048C	0.063
YJL049W	0.066
YJL051W	-0.122
YJL052C-A	0.122
YJL052W	0.114
YJL053W	0.503
YJL055W	0.145
YJL056C	0.109
YJL057C	0.127
YJL058C	0.039
YJL059W	0.041
YJL060W	0.148
YJL062W	-0.182
YJL062W-A	-0.134
YJL063C	-0.015
YJL065C	-0.364
YJL066C	0.015
YJL068C	-0.008
YJL070C	-0.144
YJL073W	-0.032
YJL077C	-0.093
YJL077W-B	-0.084
YJL078C	0.342
YJL079C	0.335
YJL082W	-0.180
YJL083W	0.163
YJL084C	-0.207
YJL088W	-0.074
YJL089W	0.058
YJL092W	0.094
YJL093C	0.032
YJL094C	-0.088
YJL095W	0.017
YJL096W	-0.020
YJL098W	-0.297
YJL099W	-0.240
YJL100W	-0.049
YJL101C	0.116
YJL102W	-0.279
YJL103C	-0.028
YJL105W	-0.003
YJL106W	-0.285
YJL107C	0.191
YJL108C	-0.287
YJL110C	-0.110
YJL112W	-0.031
YJL115W	0.569
YJL116C	-0.080
YJL117W	0.443
YJL118W	0.083
YJL122W	-0.149
YJL123C	-0.005
YJL124C	0.370
YJL126W	0.006
YJL127C	0.081
YJL127C-B	-0.339
YJL128C	-0.140
YJL129C	0.641
YJL130C	-0.102
YJL131C	-0.192
YJL132W	-0.321
YJL133C-A	-0.017
YJL133W	0.043
YJL134W	-0.170
YJL136C	-0.062
YJL136W-A	-0.110
YJL138C	-0.110
YJL139C	0.201
YJL140W	0.178
YJL141C	-0.005
YJL144W	-0.030
YJL145W	-0.064
YJL148W	-0.263
YJL149W	0.561
YJL151C	-0.123
YJL153C	0.089
YJL154C	-0.260
YJL155C	0.248
YJL158C	0.138
YJL159W	0.043
YJL160C	-0.088
YJL161W	-0.172
YJL162C	-0.093
YJL163C	0.059
YJL164C	-0.101
YJL165C	0.156
YJL166W	-0.026
YJL168C	0.197
YJL170C	0.155
YJL171C	-0.069
YJL172W	0.129
YJL177W	-0.234
YJL178C	-0.186
YJL180C	0.597
YJL181W	-0.166
YJL185C	0.088
YJL186W	-0.150
YJL187C	-0.098
YJL189W	-0.213
YJL191W	-0.044
YJL192C	0.220
YJL193W	-0.043
YJL196C	-0.132
YJL197W	0.007
YJL198W	1.707
YJL200C	0.102
YJL201W	-0.093
YJL205C	-0.183
YJL206C	-0.001
YJL207C	0.058
YJL208C	0.048
YJL209W	0.091
YJL210W	-0.069
YJL213W	-0.142
YJL214W	-0.056
YJL217W	0.235
YJL218W	-0.177
YJL219W	0.042
YJL221C	-0.275
YJL222W	-0.164
YJL223C	-0.279
YJL225C	-0.193
YJR001W	-0.060
YJR003C	-0.049
YJR004C	-0.122
YJR005C-A	-0.064
YJR005W	-0.170
YJR008W	-0.093
YJR009C	0.095
YJR010C-A	0.049
YJR010W	0.162
YJR011C	0.061
YJR014W	-0.162
YJR015W	0.043
YJR021C	-0.062
YJR024C	-0.423
YJR030C	0.046
YJR031C	-0.034
YJR032W	-0.032
YJR033C	0.667
YJR034W	0.035
YJR035W	0.288
YJR036C	-0.252
YJR039W	0.157
YJR040W	0.025
YJR044C	0.180
YJR047C	-0.194
YJR048W	0.058
YJR049C	0.314
YJR050W	-0.092
YJR051W	0.175
YJR052W	0.060
YJR053W	0.111
YJR054W	0.063
YJR055W	0.042
YJR056C	-0.141
YJR058C	-0.336
YJR059W	-0.196
YJR060W	0.385
YJR061W	0.088
YJR062C	0.250
YJR066W	0.104
YJR069C	-0.125
YJR070C	-0.184
YJR073C	-0.024
YJR074W	0.436
YJR075W	-0.041
YJR077C	0.004
YJR078W	-0.112
YJR079W	-0.079
YJR082C	-0.104
YJR083C	0.229
YJR084W	-0.102
YJR085C	-0.327
YJR088C	0.145
YJR091C	0.372
YJR092W	-0.237
YJR094C	-0.172
YJR094W-A	-0.071
YJR095W	0.064
YJR096W	-0.044
YJR097W	-0.545
YJR098C	-0.090
YJR099W	-0.076
YJR100C	0.077
YJR101W	0.045
YJR102C	-0.093
YJR103W	-0.135
YJR105W	-1.526
YJR106W	-0.018
YJR107W	-0.158
YJR108W	-0.184
YJR110W	-0.035
YJR111C	-0.108
YJR112W-A	0.830
YJR113C	-0.071
YJR114W	-0.035
YJR115W	0.212
YJR116W	0.126
YJR117W	-0.024
YJR118C	-0.042
YJR119C	0.053
YJR120W	-0.010
YJR121W	0.402
YJR125C	0.163
YJR126C	-0.059
YJR127C	0.139
YJR129C	0.207
YJR130C	-0.143
YJR131W	0.127
YJR132W	-0.252
YJR133W	-0.252
YJR134C	0.100
YJR135W-A	-0.150
YJR137C	-0.148
YJR138W	-0.144
YJR139C	0.450
YJR142W	-0.127
YJR143C	-0.040
YJR144W	0.002
YJR145C	-0.127
YJR147W	-0.205
YJR148W	-0.011
YJR149W	0.028
YJR150C	-0.074
YJR151C	0.257
YJR151W-A	-0.062
YJR152W	0.028
YJR153W	-0.027
YJR154W	0.068
YJR155W	0.344
YJR156C	-0.304
YJR158W	-0.028
YJR159W	-0.040
YJR160C	-0.195
YJR161C	-0.183
YKL001C	0.114
YKL002W	0.042
YKL003C	0.232
YKL005C	-0.045
YKL006W	-0.123
YKL007W	0.302
YKL008C	0.065
YKL009W	0.081
YKL010C	-0.002
YKL015W	-0.271
YKL016C	-0.266
YKL017C	-0.198
YKL020C	-0.000
YKL025C	0.040
YKL026C	-0.064
YKL027W	-0.138
YKL029C	0.024
YKL032C	0.628
YKL034W	0.028
YKL037W	0.141
YKL038W	0.086
YKL039W	0.001
YKL040C	-0.177
YKL041W	0.237
YKL043W	0.190
YKL046C	-0.147
YKL047W	-0.109
YKL048C	0.318
YKL050C	0.028
YKL051W	-0.073
YKL053C-A	-0.099
YKL054C	0.228
YKL055C	-0.264
YKL056C	-0.428
YKL057C	-0.070
YKL061W	0.200
YKL062W	0.068
YKL063C	-0.210
YKL064W	0.241
YKL065C	-0.025
YKL068W-A	-0.065
YKL069W	-0.035
YKL070W	0.020
YKL071W	-0.178
YKL072W	-0.069
YKL073W	0.167
YKL075C	0.246
YKL077W	-0.083
YKL079W	-0.382
YKL080W	-0.883
YKL081W	0.137
YKL084W	-0.064
YKL085W	-0.194
YKL086W	-0.029
YKL087C	0.047
YKL090W	0.036
YKL091C	-0.072
YKL092C	0.030
YKL093W	-0.054
YKL094W	-0.714
YKL096C-B	-0.237
YKL096W	-0.050
YKL096W-A	0.185
YKL098W	-0.089
YKL100C	-0.112
YKL101W	0.147
YKL103C	-0.012
YKL105C	-0.005
YKL106C-A	0.066
YKL106W	0.034
YKL107W	0.027
YKL109W	-0.295
YKL110C	0.056
YKL114C	-0.040
YKL116C	-0.011
YKL117W	0.038
YKL119C	1.119
YKL120W	-0.048
YKL121W	0.513
YKL124W	-0.032
YKL126W	0.198
YKL127W	0.017
YKL128C	0.010
YKL129C	-0.248
YKL130C	0.475
YKL132C	0.098
YKL133C	-0.104
YKL134C	0.547
YKL135C	0.107
YKL137W	-0.135
YKL138C	0.011
YKL140W	-0.028
YKL142W	-0.398
YKL143W	0.024
YKL146W	0.297
YKL148C	0.036
YKL149C	-0.268
YKL150W	-0.077
YKL151C	-0.088
YKL156W	-0.117
YKL157W	-0.059
YKL159C	0.115
YKL160W	-0.050
YKL161C	-0.029
YKL162C	-0.068
YKL163W	-0.140
YKL164C	0.053
YKL166C	-0.105
YKL167C	0.121
YKL170W	0.021
YKL171W	0.181
YKL174C	-0.068
YKL175W	0.234
YKL176C	-0.112
YKL179C	0.139
YKL181W	0.272
YKL183C-A	0.316
YKL183W	0.118
YKL184W	0.013
YKL185W	-0.224
YKL187C	0.213
YKL188C	-0.082
YKL190W	-0.107
YKL191W	-0.064
YKL194C	0.095
YKL197C	0.182
YKL198C	-0.133
YKL201C	-0.205
YKL204W	-0.195
YKL205W	-0.091
YKL206C	-0.015
YKL207W	0.067
YKL208W	-0.157
YKL209C	-0.152
YKL211C	-0.047
YKL213C	-0.508
YKL214C	-0.079
YKL215C	0.011
YKL216W	-0.075
YKL217W	0.031
YKL218C	0.066
YKL220C	0.872
YKL221W	-0.108
YKL222C	-0.014
YKL224C	0.146
YKR001C	0.168
YKR003W	0.554
YKR005C	-0.116
YKR006C	0.058
YKR007W	0.239
YKR009C	0.153
YKR010C	0.142
YKR011C	-0.245
YKR013W	-0.099
YKR014C	-0.127
YKR015C	0.078
YKR016W	-0.126
YKR018C	-0.298
YKR019C	0.074
YKR020W	0.240
YKR021W	0.034
YKR023W	0.071
YKR024C	0.292
YKR026C	-0.235
YKR027W	0.079
YKR028W	-0.152
YKR029C	0.266
YKR030W	0.165
YKR031C	-0.257
YKR034W	-0.134
YKR035W-A	-0.098
YKR036C	0.211
YKR039W	0.330
YKR041W	0.621
YKR045C	-0.015
YKR046C	-0.172
YKR048C	0.003
YKR049C	-0.022
YKR052C	-0.165
YKR053C	-0.033
YKR055W	-0.288
YKR056W	0.042
YKR057W	0.197
YKR058W	0.488
YKR059W	-0.348
YKR060W	0.124
YKR061W	-0.203
YKR064W	-0.167
YKR065C	-0.045
YKR066C	-0.091
YKR069W	0.047
YKR070W	-0.120
YKR072C	0.030
YKR074W	0.204
YKR075C	0.128
YKR077W	-0.027
YKR078W	-0.001
YKR080W	0.113
YKR082W	0.155
YKR084C	0.208
YKR087C	0.215
YKR088C	-0.076
YKR089C	-0.144
YKR091W	-0.354
YKR092C	-0.383
YKR093W	-0.157
YKR094C	-0.610
YKR095W-A	-0.189
YKR096W	0.087
YKR097W	-0.025
YKR098C	-0.173
YKR099W	0.797
YKR100C	-0.053
YKR101W	-0.130
YKR102W	-0.049
YKR103W	0.020
YKR104W	-0.085
YKR105C	0.034
YKR106W	-0.309
YLL002W	0.943
YLL005C	-0.119
YLL006W	1.119
YLL006W-A	0.395
YLL007C	-0.086
YLL009C	-0.068
YLL010C	0.210
YLL012W	0.183
YLL013C	0.268
YLL014W	0.101
YLL015W	0.483
YLL016W	-0.259
YLL017W	-0.086
YLL018C-A	0.075
YLL019C	-0.022
YLL021W	0.164
YLL022C	-0.082
YLL023C	-0.092
YLL024C	-0.184
YLL025W	0.045
YLL026W	-0.558
YLL027W	-0.088
YLL028W	0.330
YLL029W	-0.002
YLL032C	0.057
YLL033W	-0.101
YLL038C	0.121
YLL039C	-0.097
YLL040C	-0.275
YLL041C	-0.193
YLL043W	0.236
YLL045C	-0.069
YLL046C	-0.174
YLL048C	0.014
YLL049W	0.110
YLL051C	-0.221
YLL052C	0.137
YLL053C	0.094
YLL054C	0.100
YLL055W	-0.177
YLL056C	0.357
YLL058W	0.008
YLL060C	-0.066
YLL061W	-0.192
YLL062C	0.218
YLL063C	-0.152
YLL064C	-0.258
YLL066C	0.481
YLL066W-B	-0.028
YLR001C	0.008
YLR003C	-0.274
YLR004C	-0.183
YLR006C	0.218
YLR011W	0.145
YLR012C	-0.213
YLR013W	-0.059
YLR014C	0.006
YLR015W	0.201
YLR016C	-0.478
YLR017W	-0.163
YLR018C	-0.077
YLR019W	-0.019
YLR020C	-0.130
YLR021W	-0.177
YLR023C	0.002
YLR024C	0.217
YLR025W	-0.238
YLR031W	-0.025
YLR032W	0.198
YLR036C	0.153
YLR037C	0.285
YLR039C	0.065
YLR040C	-0.072
YLR042C	-0.549
YLR043C	0.372
YLR044C	-0.132
YLR046C	-0.118
YLR047C	0.024
YLR048W	0.159
YLR049C	-0.132
YLR050C	0.158
YLR052W	0.090
YLR053C	0.007
YLR055C	0.055
YLR056W	0.019
YLR057W	-0.008
YLR058C	-0.133
YLR059C	-0.062
YLR061W	-0.091
YLR063W	-0.170
YLR064W	-0.125
YLR065C	-0.176
YLR067C	0.089
YLR068W	-0.684
YLR069C	0.297
YLR070C	-0.225
YLR072W	0.208
YLR073C	-0.008
YLR077W	0.047
YLR079W	0.565
YLR080W	-0.164
YLR081W	-0.158
YLR082C	-0.034
YLR083C	-0.114
YLR084C	-0.009
YLR085C	-0.241
YLR087C	-0.114
YLR089C	-0.450
YLR091W	-0.274
YLR092W	-0.064
YLR093C	0.097
YLR094C	-0.120
YLR096W	-0.123
YLR097C	0.002
YLR098C	0.126
YLR099C	0.005
YLR102C	0.285
YLR104W	-0.012
YLR107W	-0.017
YLR108C	0.039
YLR109W	0.169
YLR110C	-0.069
YLR113W	0.257
YLR114C	-0.574
YLR118C	0.019
YLR119W	0.039
YLR120C	-0.091
YLR121C	-0.072
YLR125W	0.015
YLR126C	-0.138
YLR128W	0.049
YLR130C	0.091
YLR131C	-0.018
YLR133W	-0.433
YLR134W	-0.015
YLR135W	-0.069
YLR136C	-0.096
YLR137W	0.077
YLR138W	0.203
YLR139C	-0.219
YLR142W	0.162
YLR143W	-0.147
YLR144C	0.065
