ORF	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012
YJL010C	NaN	NaN	NaN	0.248	0.490	-0.446
YDL055C	NaN	NaN	NaN	0.441	1.238	1.219
YGR076C	-0.688	-1.169	-0.151	NaN	NaN	NaN
YFL024C	NaN	NaN	NaN	0.577	-0.902	-0.499
YPL001W	0.334	-1.591	0.809	NaN	NaN	NaN
YDR108W	-1.513	0.921	-0.687	NaN	NaN	NaN
YCL026C	0.184	-0.785	-0.882	NaN	NaN	NaN
YCR031C	-1.212	-2.709	-1.642	NaN	NaN	NaN
YPL251W	NaN	NaN	NaN	0.195	1.229	0.514
YLR347C	NaN	NaN	NaN	-1.326	-1.901	-2.465
YDR509W	-0.683	-1.464	-3.163	NaN	NaN	NaN
YDR508C	-1.104	-1.842	-0.447	NaN	NaN	NaN
YEL017W	0.524	-0.150	-2.210	NaN	NaN	NaN
YDR244W	-0.810	-0.781	-0.730	NaN	NaN	NaN
YJL045W	0.404	0.019	0.133	NaN	NaN	NaN
YGR191W	NaN	NaN	NaN	0.283	1.635	0.115
YIL074C	0.001	-0.028	-1.538	NaN	NaN	NaN
YKL074C	0.743	-0.675	2.296	NaN	NaN	NaN
YMR179W	-1.573	0.017	-0.817	NaN	NaN	NaN
YJL203W	NaN	NaN	NaN	0.261	1.308	0.426
YDR338C	0.010	-1.274	-0.009	NaN	NaN	NaN
YDR363W-A	0.002	0.700	-0.284	NaN	NaN	NaN
YBR246W	-0.156	2.500	0.082	NaN	NaN	NaN
YMR131C	NaN	NaN	NaN	-0.040	-2.574	-1.932
YBR261C	0.190	-0.296	0.308	NaN	NaN	NaN
YIL129C	NaN	NaN	NaN	0.524	0.822	-1.099
YNL155W	1.692	0.121	-0.215	NaN	NaN	NaN
YOR233W	0.129	0.943	-0.034	NaN	NaN	NaN
YDR166C	NaN	NaN	NaN	0.137	-0.025	0.239
YLR407W	-0.932	-0.300	-0.250	NaN	NaN	NaN
YBL065W	0.886	-0.381	0.505	NaN	NaN	NaN
YKL165C	NaN	NaN	NaN	0.490	4.375	6.553
YBR083W	-0.268	-0.454	-0.410	NaN	NaN	NaN
YGL170C	-0.656	-2.226	-1.961	NaN	NaN	NaN
YGL094C	-0.200	1.043	0.657	NaN	NaN	NaN
YGR274C	NaN	NaN	NaN	-0.810	-1.977	-1.074
YNL260C	NaN	NaN	NaN	0.143	0.370	0.368
YFL034C-A	-0.482	-0.723	-0.328	NaN	NaN	NaN
YJR019C	0.338	0.029	-0.241	NaN	NaN	NaN
YOR326W	NaN	NaN	NaN	0.009	-1.128	0.054
YHR159W	0.602	-0.558	0.829	NaN	NaN	NaN
YLR009W	NaN	NaN	NaN	-0.343	-3.639	-2.660
YLR143W	0.473	0.457	0.953	NaN	NaN	NaN
YPL092W	-0.068	-0.623	-0.194	NaN	NaN	NaN
YBR086C	0.145	-0.240	0.608	NaN	NaN	NaN
YPL085W	NaN	NaN	NaN	-0.337	0.327	-1.397
YDR091C	NaN	NaN	NaN	0.272	-1.269	-0.399
YJL129C	-0.249	0.453	1.097	NaN	NaN	NaN
YKR004C	NaN	NaN	NaN	0.115	0.194	-0.583
YGR068C	0.266	0.710	0.626	NaN	NaN	NaN
YFR046C	0.670	0.685	0.423	NaN	NaN	NaN
YER064C	0.482	-0.013	0.800	NaN	NaN	NaN
YOL128C	-2.149	-2.313	-4.099	NaN	NaN	NaN
YDR111C	0.667	-0.077	-0.234	NaN	NaN	NaN
YGL233W	NaN	NaN	NaN	-0.063	0.155	-0.175
YNL213C	0.319	-0.503	-0.387	NaN	NaN	NaN
YPR186C	NaN	NaN	NaN	0.027	-0.625	-2.038
YIL022W	NaN	NaN	NaN	0.386	0.219	-0.199
YKR068C	NaN	NaN	NaN	0.613	-2.134	-1.852
YJL214W	-1.429	-3.320	-3.029	NaN	NaN	NaN
YFR004W	NaN	NaN	NaN	0.023	-0.171	0.087
YIL118W	NaN	NaN	NaN	0.140	1.840	0.665
YHR097C	-0.153	0.043	0.160	NaN	NaN	NaN
YNR026C	NaN	NaN	NaN	-0.579	-1.577	-0.081
YHR126C	0.348	-0.028	0.132	NaN	NaN	NaN
YBR095C	0.518	1.664	0.919	NaN	NaN	NaN
YHR193C	-0.319	0.236	0.538	NaN	NaN	NaN
YDR139C	0.043	-1.223	-0.994	NaN	NaN	NaN
