ORF	hap a | growth (exponential growth rate) | temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (exponential growth rate) | temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [30°C], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [38ºC], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011
YBR179C	0.271	0.213	15.736	129.196	0.255	119.559	230.288	152.344
YBR180W	0.377	0.324	12.089	72.000	0.028	58.249	99.989	79.682
YBR181C	0.368	0.365	20.756	57.318	0.038	71.566	78.848	66.711
YBR182C	0.380	0.376	12.789	61.758	0.029	56.457	97.236	82.687
YBR183W	0.366	0.359	12.450	74.198	0.031	63.696	88.752	71.634
YBR184W	0.343	0.308	12.606	53.300	0.042	66.095	137.798	94.516
YBR185C	0.353	0.357	11.382	73.776	0.036	60.278	102.252	68.166
YBR186W	0.376	0.389	11.978	68.552	0.028	48.614	87.360	73.797
YBR187W	0.369	0.396	10.968	84.423	0.033	60.703	88.901	81.486
YBR188C	0.354	0.345	10.834	71.721	0.026	53.849	98.936	83.186
YBR189W	0.435	0.885	44.875	235.025	0.145	120.377	84.218	129.677
YBR191W	0.208	NaN	18.264	56.891	0.137	36.527	59.155	32.009
YBR195C	0.344	0.380	14.716	119.073	0.060	69.051	91.862	70.560
YBR197C	0.347	0.317	10.191	101.303	0.038	76.338	140.640	81.184
YBR199W	0.382	0.392	11.837	60.525	0.027	53.830	79.729	75.355
YBR201W	0.427	0.283	10.390	68.470	0.024	81.793	130.976	122.896
YBR203W	0.370	0.293	11.794	78.099	0.038	91.301	69.092	137.540
YBR204C	0.361	0.396	12.146	113.802	0.039	67.048	96.442	62.528
YBR205W	0.369	0.373	11.640	74.951	0.029	61.190	93.555	78.784
YBR206W	0.369	0.375	11.190	71.760	0.029	59.203	75.003	74.951
YBR207W	0.378	0.333	13.113	65.465	0.025	60.176	93.603	87.512
YBR208C	0.350	0.436	13.649	76.452	0.032	51.373	80.221	70.267
YBR210W	0.353	0.370	12.389	75.943	0.034	76.117	68.658	97.663
YBR212W	0.396	0.365	8.721	46.360	0.022	56.426	77.461	107.656
YBR214W	0.376	0.397	10.013	60.390	0.025	45.158	78.085	70.407
YBR215W	0.331	0.345	7.332	121.614	0.073	108.752	108.211	96.802
YBR216C	0.385	0.303	0.597	72.894	0.029	71.917	123.523	84.091
YBR217W	0.377	0.360	7.958	65.149	0.029	49.721	79.880	75.150
YBR218C	0.367	0.322	13.049	62.061	0.035	63.382	94.090	101.081
YBR219C	0.359	0.330	13.894	75.614	0.040	77.159	107.632	97.067
YBR220C	0.334	0.449	12.879	88.055	0.049	54.408	89.854	80.891
YBR221C	0.306	0.196	8.429	24.320	0.092	44.348	67.067	95.411
YBR222C	0.416	0.422	14.057	57.438	0.028	65.023	82.988	132.458
YBR223C	0.358	0.417	11.731	68.590	0.030	47.007	82.441	67.915
YBR224W	0.371	0.397	15.321	92.506	0.046	79.012	108.477	94.726
YBR225W	0.359	0.286	20.576	68.632	0.054	74.865	119.024	137.066
YBR226C	0.346	0.374	7.300	84.922	0.178	78.127	137.102	100.518
YBR227C	0.349	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBR228W	0.360	0.413	10.987	86.176	0.028	53.719	116.411	62.043
YBR229C	0.364	0.388	11.113	69.496	0.043	42.546	87.786	81.858
YBR230C	0.365	0.341	13.248	79.518	0.031	75.537	99.232	84.401
YBR231C	0.311	0.463	47.396	85.068	0.177	74.393	114.794	72.978
YBR232C	0.344	0.421	15.205	75.002	0.045	61.700	98.321	77.350
YBR233W	0.290	NaN	8.559	154.515	0.033	61.884	80.844	81.900
YBR235W	0.383	0.351	11.374	69.493	0.024	58.294	82.380	70.910
YBR238C	0.319	0.327	17.533	101.786	0.067	NaN	139.528	122.087
YBR239C	0.431	0.452	4.952	67.636	0.035	48.046	86.053	80.488
YBR240C	0.353	0.365	13.857	83.721	0.045	90.021	126.897	93.285
YBR241C	0.372	0.262	11.293	74.614	0.033	85.593	167.188	109.942
YBR242W	0.400	0.431	15.700	59.677	0.028	62.266	83.735	85.976
YBR244W	0.384	0.342	10.620	68.528	0.023	62.203	94.498	74.225
YBR245C	0.363	0.315	13.495	81.148	0.042	68.030	137.850	88.355
YBR246W	0.374	0.389	22.438	70.838	0.034	53.069	72.782	87.092
YBR248C	0.305	0.466	10.304	34.997	0.112	50.232	58.549	75.546
YBR250W	0.353	0.346	14.897	84.513	0.036	64.175	115.759	86.003
YBR251W	0.383	0.346	9.132	91.104	0.046	106.883	191.999	74.149
YBR255W	0.352	0.351	11.368	73.924	0.032	65.169	111.214	93.436
YBR258C	0.378	0.336	9.972	66.747	0.027	53.003	96.964	80.924
YBR259W	0.394	0.315	10.573	71.520	0.028	62.761	90.330	74.602
YBR260C	0.373	0.365	12.917	64.411	0.026	52.268	97.332	78.362
YBR261C	0.372	0.405	17.117	65.748	0.030	59.891	95.702	83.328
YBR262C	0.357	0.373	12.527	73.083	0.031	59.433	95.230	68.070
YBR263W	0.354	0.326	8.498	79.139	0.047	67.479	130.579	93.040
YBR264C	0.349	0.340	10.738	54.625	0.031	49.771	98.329	80.326
YBR266C	0.328	0.446	18.066	89.368	0.135	92.843	139.173	112.342
YBR267W	0.190	NaN	83.156	196.256	0.677	96.533	200.258	90.454
