ORF	hap a | growth (exponential growth rate) | temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (exponential growth rate) | temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [30°C], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [38ºC], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011
YMR279C	0.368	0.334	14.929	81.153	0.030	71.733	111.466	110.460
YMR280C	0.339	0.348	14.619	84.237	0.034	54.240	112.073	66.329
YMR282C	0.355	0.273	8.047	53.653	0.041	73.854	117.634	84.138
YMR283C	0.373	0.351	13.754	66.383	0.026	51.356	87.480	62.478
YMR284W	0.356	0.297	9.386	65.460	0.035	38.354	63.549	102.376
YMR285C	0.401	0.443	14.869	85.009	0.031	60.645	80.821	85.699
YMR286W	0.437	NaN	13.290	NaN	0.491	75.391	NaN	57.383
YMR287C	0.352	0.336	15.020	106.285	0.069	82.654	118.460	63.707
YMR289W	0.390	0.286	10.474	50.575	0.020	53.934	109.244	140.423
YMR291W	0.330	0.583	25.543	183.379	0.078	78.311	98.392	91.182
YMR292W	0.378	0.334	10.964	89.728	0.031	77.156	115.735	78.830
YMR293C	0.304	0.475	11.385	111.261	0.086	71.127	142.262	58.433
YMR294W	0.266	0.253	18.619	76.562	0.072	90.354	145.338	78.544
YMR294W-A	0.374	0.246	12.189	92.390	0.027	101.307	158.248	132.083
YMR295C	0.375	0.260	10.938	93.292	0.030	74.413	149.300	117.207
YMR299C	0.343	0.515	14.188	84.554	0.029	48.527	80.459	74.177
YMR302C	0.357	0.358	11.260	85.377	0.031	64.867	98.626	86.758
YMR303C	0.369	0.261	11.449	87.383	0.029	77.610	141.978	140.011
YMR304C-A	0.358	0.468	12.187	64.217	0.028	40.078	75.791	67.372
YMR304W	0.382	0.348	14.402	78.821	0.023	61.710	120.640	111.184
YMR305C	0.391	0.317	16.857	88.728	0.022	69.596	99.030	66.988
YMR306C-A	0.378	0.302	10.324	69.427	0.026	62.067	103.738	78.716
YMR306W	0.355	0.402	12.285	77.494	0.031	57.259	95.036	82.301
YMR307W	0.299	0.161	50.838	39.223	0.144	48.611	47.002	59.080
YMR310C	0.345	0.357	11.723	64.368	0.053	72.041	132.445	96.904
YMR311C	0.345	0.347	14.811	82.424	0.045	53.894	82.010	104.109
YMR312W	0.340	0.357	33.044	92.365	0.073	141.194	110.256	51.924
YMR313C	0.367	0.320	12.112	71.656	0.030	63.543	108.080	87.831
YMR315W	0.380	0.362	11.472	65.252	0.030	49.234	90.899	74.403
YMR316C-A	0.344	0.352	12.960	91.200	0.033	48.411	119.125	80.621
YMR316C-B	0.381	0.388	10.172	76.613	0.029	54.016	106.310	92.895
YMR316W	0.379	0.330	20.096	76.480	0.037	64.646	89.502	91.815
YMR317W	0.378	0.293	8.431	78.631	0.025	59.050	110.623	85.085
YMR318C	0.362	0.333	10.275	69.102	0.030	56.756	94.056	79.045
YMR319C	0.375	0.458	12.284	85.646	0.027	49.012	85.978	72.697
YMR320W	0.383	0.352	12.412	82.849	0.034	70.069	128.085	96.305
YMR322C	0.386	0.421	14.272	69.644	0.025	62.267	74.237	69.788
YMR326C	0.350	0.252	9.971	63.337	0.043	60.984	106.655	73.048
YNL001W	0.346	0.490	6.724	56.219	0.035	42.128	80.758	42.093
YNL004W	0.355	0.567	13.966	75.698	0.031	44.915	70.984	53.617
YNL005C	0.205	0.327	21.827	240.139	0.485	NaN	134.529	109.813
YNL009W	0.333	0.438	11.170	72.215	0.048	69.159	93.923	63.446
YNL010W	0.349	0.498	12.236	87.662	0.028	55.261	82.358	68.326
YNL012W	0.379	0.404	10.722	58.279	0.025	48.077	78.592	69.435
YNL013C	0.366	0.379	9.960	66.713	0.037	57.922	129.284	76.337
YNL014W	0.273	0.262	8.431	92.551	0.041	73.656	118.150	60.338
YNL016W	0.360	0.359	25.654	109.131	0.076	88.596	117.090	115.515
YNL020C	0.379	0.384	10.973	78.697	0.026	64.306	98.702	62.738
YNL022C	0.374	0.424	11.464	57.487	0.034	58.263	90.475	74.847
YNL023C	0.382	0.284	9.872	89.945	0.030	116.651	135.523	114.549
YNL024C	0.370	0.433	10.172	67.697	0.033	48.052	84.522	69.745
YNL027W	0.367	0.374	10.753	65.642	0.027	47.800	94.080	70.618
YNL031C	0.374	0.436	11.622	98.215	0.041	56.559	86.997	85.592
YNL032W	0.377	0.385	15.623	68.015	0.030	61.516	83.856	97.480
YNL034W	0.376	0.435	10.106	67.254	0.027	50.141	77.623	63.965
YNL041C	0.350	0.314	11.445	61.429	0.046	79.085	88.375	86.592
YNL043C	0.386	0.302	11.510	62.137	0.026	66.578	98.590	100.447
YNL044W	0.371	0.430	10.549	61.836	0.027	48.447	73.780	70.819
YNL045W	0.379	0.440	11.450	63.679	0.028	45.605	76.310	66.151
YNL046W	0.353	0.399	12.625	67.653	0.032	52.523	102.971	77.024
YNL047C	0.385	0.469	11.171	67.147	0.037	65.925	101.655	96.129
YNL049C	0.368	0.402	12.278	85.414	0.033	68.729	90.486	70.919
YNL050C	0.398	0.519	13.502	73.598	0.029	48.707	90.540	72.533
YNL051W	0.372	0.301	13.352	57.600	0.027	61.500	100.854	73.863
YNL052W	0.288	0.366	10.884	72.806	0.052	93.486	NaN	NaN
YNL053W	0.348	0.589	14.774	135.266	0.046	74.456	92.315	79.428
YNL054W	0.381	0.258	12.457	58.895	0.029	73.245	133.282	97.684
YNL055C	0.242	0.218	16.617	90.133	0.509	94.089	93.669	61.383
YNL056W	0.351	0.326	20.134	80.467	0.034	74.323	140.311	129.676
YNL057W	0.398	0.300	13.373	74.313	0.030	77.222	140.782	102.306
YNL058C	0.388	0.452	14.552	68.957	0.033	58.310	126.274	110.801
YNL063W	0.376	0.391	12.543	62.956	0.027	53.639	93.350	78.349
YNL064C	0.293	0.102	13.115	32.677	0.222	92.572	41.770	115.191
YNL065W	0.386	0.369	12.180	69.811	0.027	60.142	79.434	66.855
YNL066W	0.395	0.404	12.112	85.679	0.032	81.691	104.048	111.777
YNL067W	0.320	0.333	9.408	75.858	0.077	67.139	142.054	64.137
YNL068C	0.396	0.313	6.870	70.894	0.031	78.927	101.260	80.286
YNL069C	0.257	0.340	31.467	112.876	0.179	92.601	147.237	66.683
YNL070W	0.370	0.279	11.814	80.021	0.051	68.233	119.084	91.217
YNL071W	0.366	0.207	13.551	18.928	0.037	67.728	122.075	144.626
YNL072W	0.384	0.287	14.326	69.913	0.032	65.488	108.207	120.868
YNL073W	0.330	0.325	9.707	84.881	0.049	102.556	145.571	123.053
YNL074C	0.388	0.435	13.355	74.888	0.028	53.106	80.630	58.640
YNL076W	0.353	0.391	27.730	40.540	0.042	117.202	64.604	122.101
YNL077W	0.343	0.336	16.478	73.124	0.051	60.204	105.822	108.476
YNL078W	0.384	0.479	14.921	81.934	0.030	59.166	86.872	80.759
YNL079C	0.395	0.255	16.684	63.290	0.042	96.927	154.612	109.363
YNL081C	0.288	0.610	10.011	108.128	0.108	53.029	138.456	62.901
YNL082W	0.410	0.225	8.099	54.135	0.024	76.518	142.073	119.650
YNL084C	0.267	0.312	7.548	111.893	0.186	45.883	NaN	NaN
YNL085W	0.363	0.304	10.731	72.805	0.040	44.764	128.801	76.884
YNL086W	0.359	0.541	7.008	72.942	0.034	51.994	79.917	69.515
YNL087W	0.361	0.406	12.228	65.457	0.027	47.708	83.102	47.796
YNL089C	0.335	0.428	11.749	65.297	0.034	47.785	91.863	58.591
YNL090W	0.403	0.494	14.995	127.961	0.026	69.584	78.768	82.251
YNL091W	0.375	0.415	16.707	85.958	0.034	59.210	102.122	101.483
YNL092W	0.401	0.486	8.738	71.031	0.029	46.787	75.146	79.959
YNL093W	0.406	0.364	13.091	75.422	0.034	85.610	90.007	111.802
YNL094W	0.379	0.336	14.131	76.371	0.037	74.421	121.014	99.771
YNL095C	0.399	0.360	10.474	54.756	0.021	60.704	89.998	76.279
YNL096C	0.322	0.285	14.641	91.744	0.044	61.185	213.318	81.077
YNL097C	0.313	0.440	20.045	153.973	0.113	69.368	56.062	37.428
YNL098C	0.381	0.227	5.400	36.836	0.020	103.554	101.375	190.565
YNL099C	0.375	0.332	11.452	48.600	0.023	44.759	74.287	65.087
YNL101W	0.334	0.520	18.100	138.288	0.045	75.707	82.384	65.537
YNL104C	0.390	0.361	17.123	66.503	0.025	67.929	112.169	73.556
YNL105W	0.354	0.310	9.610	60.727	0.033	55.973	93.786	68.768
YNL106C	0.349	0.310	5.385	42.768	0.030	35.837	77.323	72.665
YNL107W	0.351	0.433	21.217	37.957	0.053	44.083	44.070	52.249
YNL108C	0.270	NaN	9.518	99.312	0.052	47.908	99.105	68.023
YNL109W	0.250	NaN	8.130	70.990	0.768	51.359	104.109	51.792
YNL111C	0.351	0.294	8.776	79.407	0.031	76.811	131.355	100.680
YNL115C	0.375	0.338	9.782	60.572	0.027	50.900	86.330	68.605
YNL116W	0.373	0.373	12.172	69.646	0.035	63.066	98.467	89.033
YNL117W	0.357	0.455	14.992	71.684	0.043	58.186	75.594	60.718
YNL119W	0.339	0.253	18.930	58.209	0.054	74.321	73.365	44.702
YNL120C	0.259	0.323	37.086	125.534	0.102	87.264	118.589	41.101
YNL121C	0.369	0.362	19.742	69.740	0.043	69.849	103.856	86.174
YNL122C	0.370	0.272	5.744	58.005	0.030	63.704	131.646	90.804
YNL123W	0.337	0.412	11.926	81.796	0.034	60.354	114.135	81.288
YNL125C	0.350	0.346	12.016	80.486	0.038	61.302	109.491	69.640
YNL128W	0.366	0.352	8.247	68.970	0.044	58.845	87.957	93.167
YNL129W	0.379	0.341	10.900	57.452	0.024	57.767	89.533	91.037
YNL130C	0.346	0.308	12.839	89.473	0.035	98.014	121.185	107.380
YNL133C	0.243	0.482	36.015	144.725	0.248	34.424	122.397	10.677
YNL134C	0.337	0.277	11.997	85.460	0.041	82.853	145.844	110.720
YNL135C	0.330	0.260	21.872	39.050	0.030	61.834	53.918	69.242
YNL136W	0.325	0.366	18.079	63.392	0.135	109.517	NaN	128.317
YNL139C	0.379	0.050	8.740	27.806	0.097	NaN	NaN	NaN
YNL140C	0.371	0.178	15.426	32.855	0.033	69.480	102.392	125.641
YNL141W	0.369	0.349	12.306	82.507	0.028	73.718	100.551	72.963
YNL142W	0.389	0.545	19.695	113.506	0.044	67.496	80.048	88.916
YNL143C	0.389	0.343	7.555	54.437	0.026	56.120	100.017	68.268
YNL144C	0.377	0.381	12.994	82.433	0.037	61.177	139.934	102.406
YNL145W	0.355	0.293	8.950	58.599	0.032	57.711	106.546	81.596
YNL146W	0.329	0.366	12.065	82.670	0.037	57.509	114.398	72.257
YNL147W	0.226	0.298	18.568	127.879	0.082	131.634	63.194	155.828
YNL154C	0.336	0.260	11.139	113.764	0.040	84.632	87.677	57.536
YNL155W	0.368	0.314	11.128	55.262	0.027	53.935	93.082	79.587
YNL157W	0.373	0.344	11.904	64.820	0.028	58.339	100.905	88.747
YNL159C	0.371	0.374	11.604	71.355	0.029	57.822	106.498	76.889
YNL166C	0.361	0.350	12.051	69.236	0.031	52.477	103.915	85.271
YNL168C	0.365	0.349	14.485	60.429	0.025	44.824	86.434	72.708
YNL173C	0.388	0.313	10.887	61.964	0.026	56.564	85.939	79.118
YNL175C	0.411	0.376	15.565	67.614	0.035	86.625	135.134	104.477
YNL176C	0.386	0.437	10.672	61.224	0.028	49.328	57.915	68.892
YNL177C	0.410	0.210	18.290	68.599	0.033	125.854	107.105	199.778
YNL179C	0.387	0.290	11.263	57.528	0.031	50.412	87.420	48.799
YNL183C	0.343	0.436	11.532	70.862	0.045	54.117	86.931	62.741
YNL184C	0.327	0.357	11.600	94.260	0.043	74.484	163.334	73.494
YNL187W	0.367	0.397	13.684	69.632	0.030	51.433	88.179	76.433
YNL190W	0.371	0.310	6.848	64.735	0.025	53.581	97.499	60.908
YNL191W	0.321	0.498	8.988	115.637	0.022	22.193	45.428	47.233
YNL193W	0.374	0.336	10.815	63.804	0.024	58.866	90.417	57.852
YNL195C	0.378	0.297	13.791	84.697	0.025	73.830	93.942	94.759
YNL196C	0.413	0.343	11.900	79.914	0.028	70.715	116.238	77.820
YNL197C	0.358	0.430	51.391	86.952	0.060	101.660	70.733	56.112
YNL198C	0.264	0.187	47.490	73.333	0.248	65.959	110.823	110.412
YNL200C	0.348	0.404	8.373	56.658	0.034	32.763	96.394	75.158
YNL201C	0.400	0.304	10.952	94.656	0.026	70.819	120.111	61.699
YNL202W	0.347	0.333	16.960	84.100	0.039	74.846	163.353	93.592
YNL203C	0.368	0.339	10.940	67.277	0.035	51.835	109.830	109.406
YNL204C	0.376	0.419	12.633	81.597	0.029	65.336	74.291	79.175
YNL205C	0.412	0.242	7.033	55.855	0.024	63.100	128.598	115.047
YNL206C	0.290	0.522	14.806	142.148	0.173	67.691	299.848	148.699
YNL211C	0.332	0.307	13.383	65.208	0.029	57.460	108.396	87.181
YNL212W	0.325	0.413	15.576	139.216	0.051	70.289	123.837	73.319
YNL214W	0.333	0.388	7.950	104.020	0.068	90.808	113.762	121.274
YNL215W	0.278	0.308	53.879	95.175	0.405	36.985	32.470	13.880
YNL217W	0.363	0.274	9.356	55.911	0.029	79.599	146.945	125.746
YNL219C	0.368	0.371	13.553	78.051	0.034	52.565	124.425	100.894
YNL224C	0.362	0.311	7.727	73.501	0.033	63.562	132.900	90.393
YNL226W	0.317	0.253	11.344	113.123	0.096	101.444	230.578	158.196
YNL227C	0.332	0.345	12.650	52.706	0.055	84.623	168.182	177.202
YNL228W	0.318	0.228	9.251	47.581	0.077	103.865	316.957	122.403
YNL229C	0.270	0.298	4.000	106.544	1.580	168.004	60.498	115.705
YNL230C	0.383	0.380	8.811	64.036	0.023	48.801	103.565	85.357
YNL231C	0.395	0.310	10.437	71.834	0.026	71.581	85.516	84.177
YNL233W	0.350	0.340	13.740	68.054	0.030	53.137	76.863	72.808
YNL235C	0.316	0.341	3.694	94.209	0.109	56.884	189.793	106.577
YNL236W	0.419	0.273	14.287	115.286	0.035	160.266	130.005	120.183
YNL239W	0.372	0.344	12.824	69.414	0.028	55.984	96.081	83.693
YNL241C	0.232	0.352	20.377	181.902	1.070	NaN	NaN	NaN
YNL242W	0.374	0.403	8.979	72.375	0.031	47.838	88.545	67.155
YNL246W	0.180	0.315	9.102	74.985	0.714	63.922	55.607	18.603
YNL248C	0.387	0.184	10.992	61.938	0.045	NaN	NaN	NaN
YNL249C	0.368	0.300	11.564	66.840	0.022	67.287	105.192	98.469
YNL250W	0.359	0.239	5.373	40.471	0.056	32.049	80.435	62.085
YNL252C	0.335	0.161	9.830	107.494	0.085	140.047	338.553	200.009
YNL253W	0.387	0.314	12.207	75.744	0.021	65.363	90.125	67.983
YNL254C	0.396	0.405	13.172	59.981	0.024	55.873	82.509	74.911
YNL255C	0.339	0.325	8.168	65.110	0.035	84.143	98.608	64.065
YNL257C	0.405	0.288	13.677	84.426	0.025	68.307	147.668	88.075
YNL259C	0.354	0.276	14.663	81.332	0.038	102.346	136.162	80.094
YNL264C	0.373	0.209	13.654	60.340	0.025	79.823	138.122	106.600
YNL265C	0.392	0.356	11.602	75.341	0.026	47.651	96.184	88.709
YNL266W	0.346	0.271	8.350	60.787	0.027	48.264	107.353	91.201
YNL268W	0.270	0.145	6.527	69.072	0.057	88.483	147.382	81.012
YNL269W	0.390	0.309	11.957	60.135	0.023	49.429	78.769	81.251
YNL270C	0.348	0.382	11.865	79.348	0.035	54.122	102.333	85.389
YNL273W	0.323	0.299	15.242	106.860	0.077	88.833	211.997	130.620
YNL274C	0.340	0.323	9.882	67.269	0.032	67.826	117.523	70.602
YNL275W	0.269	0.352	10.924	66.554	0.037	60.208	96.827	93.175
YNL276C	0.381	0.337	10.721	62.988	0.027	53.328	104.068	98.071
YNL277W	0.364	0.255	8.349	81.403	0.038	92.538	202.547	196.053
YNL278W	0.371	0.301	9.371	66.160	0.036	64.319	89.517	158.312
YNL279W	0.377	0.358	11.438	70.144	0.024	49.707	102.990	83.020
YNL281W	0.316	0.253	11.865	63.844	0.028	41.901	NaN	56.060
YNL283C	0.359	0.371	13.225	93.354	0.034	69.193	112.668	84.741
YNL284C	0.318	0.362	4.979	78.553	0.053	57.330	82.972	69.512
YNL285W	0.351	0.289	11.757	71.458	0.040	68.785	167.005	124.176
YNL288W	0.394	0.209	19.442	78.651	0.035	88.449	156.962	148.931
YNL289W	0.379	0.325	9.082	65.365	0.027	49.615	84.102	87.242
YNL291C	0.291	0.486	9.525	140.613	0.146	79.366	97.351	90.623
YNL292W	0.401	0.338	12.416	62.371	0.023	53.047	98.719	83.943
YNL293W	0.371	0.323	8.060	64.124	0.028	51.190	89.739	92.496
YNL294C	0.330	0.363	16.807	88.661	0.054	65.284	123.199	112.313
YNL295W	0.362	0.357	8.030	60.427	0.032	46.874	91.773	79.419
YNL296W	0.370	0.316	3.256	58.897	0.018	47.873	94.300	18.055
YNL297C	0.371	0.265	11.943	64.334	0.032	69.806	139.662	115.050
YNL298W	0.336	NaN	16.618	130.379	0.051	55.468	86.249	57.985
YNL299W	0.212	0.264	41.237	102.493	0.226	95.340	124.755	51.693
YNL300W	0.399	0.357	8.990	54.458	0.024	54.321	90.117	96.038
YNL301C	0.374	0.439	11.654	87.497	0.033	54.430	98.373	84.088
YNL303W	0.375	0.363	13.715	82.941	0.033	61.386	104.509	107.924
YNL304W	0.379	0.350	11.540	65.804	0.036	72.976	90.150	98.988
YNL305C	0.364	0.360	14.167	75.946	0.030	69.004	107.306	79.500
YNL307C	0.365	0.369	11.210	41.850	0.031	54.886	77.487	30.319
YNL311C	0.359	0.381	12.639	75.005	0.027	46.853	102.074	73.996
YNL314W	0.381	0.322	13.178	89.743	0.028	76.168	141.799	109.692
YNL315C	0.283	0.734	20.775	103.402	0.220	63.081	110.058	32.427
YNL318C	0.368	0.353	14.763	98.347	0.032	69.341	102.407	111.494
YNL319W	0.330	0.384	26.768	132.142	0.102	66.676	100.437	98.515
YNL321W	0.358	0.293	13.127	69.468	0.027	75.181	115.654	101.868
YNL322C	0.340	0.331	19.506	109.258	0.050	64.812	84.544	82.946
YNL324W	0.398	0.278	11.504	100.386	0.040	74.825	122.808	95.090
YNL325C	0.394	0.290	11.215	73.978	0.029	63.371	117.496	78.158
YNL326C	0.351	0.243	16.881	91.721	0.045	106.351	173.936	160.612
YNL327W	0.403	0.312	12.072	49.317	0.024	64.370	89.953	132.430
YNL328C	0.381	0.315	11.038	75.964	0.026	48.249	105.431	99.208
YNL329C	0.304	0.411	6.311	89.596	0.141	66.291	109.161	124.651
YNL332W	0.372	0.296	11.098	73.203	0.029	60.843	116.312	82.507
YNL333W	0.352	0.335	10.982	65.690	0.029	53.284	100.815	82.495
YNL334C	0.372	0.314	11.441	52.204	0.028	42.138	121.385	90.007
YNL335W	0.377	0.321	10.113	76.840	0.031	68.228	100.274	86.978
YNL336W	0.339	0.360	14.129	88.131	0.044	57.604	100.378	83.421
YNL338W	0.355	0.394	11.737	63.925	0.041	39.098	99.785	68.430
YNL339C	0.380	0.386	12.381	82.379	0.029	53.361	105.046	85.576
YNR001C	0.362	0.429	5.277	56.430	0.060	52.289	73.270	81.210
YNR002C	0.389	0.393	10.078	52.101	0.024	49.877	107.211	75.186
YNR004W	0.259	0.210	13.506	62.224	0.061	60.263	121.254	103.804
YNR005C	0.371	0.229	31.727	69.219	0.143	165.630	84.848	90.818
YNR006W	0.269	NaN	59.520	50.396	0.355	NaN	NaN	NaN
YNR007C	0.407	0.360	11.141	59.565	0.026	63.794	99.717	79.665
YNR008W	0.375	0.460	14.529	76.122	0.039	56.959	84.520	87.458
YNR009W	0.374	0.367	11.840	55.493	0.030	53.932	89.750	66.683
YNR012W	0.396	0.442	16.069	77.830	0.034	60.686	92.090	95.781
YNR013C	0.387	0.325	8.427	53.734	0.025	58.340	96.543	67.333
YNR014W	0.377	0.456	11.360	53.262	0.025	41.554	67.471	53.629
YNR015W	0.372	0.427	8.808	57.418	0.020	39.470	74.876	62.200
YNR018W	0.413	0.481	14.562	53.103	0.027	50.532	65.242	61.550
YNR019W	0.350	0.467	13.693	74.505	0.033	57.585	84.079	78.114
YNR020C	0.389	0.420	13.935	43.202	0.032	55.488	94.340	71.121
YNR021W	0.375	0.300	9.794	70.367	0.026	63.934	109.983	81.428
YNR024W	0.390	0.393	12.903	67.083	0.027	56.334	78.572	86.499
YNR025C	0.383	0.490	14.508	77.850	0.031	54.533	75.333	86.311
YNR027W	0.324	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YNR028W	0.380	0.447	13.167	78.038	0.022	70.051	73.097	84.120
YNR029C	0.396	0.377	15.586	59.341	0.021	59.595	85.068	72.195
YNR030W	0.294	0.440	21.173	95.246	0.062	46.363	94.764	83.656
YNR031C	0.348	0.459	8.962	42.902	0.032	45.713	75.834	49.036
YNR032C-A	0.397	0.325	13.319	60.079	0.024	65.061	84.116	80.705
YNR032W	0.407	0.549	31.028	77.397	0.072	68.370	46.870	90.003
YNR033W	0.349	0.248	7.187	83.325	0.031	81.179	142.239	123.290
YNR034W	0.367	0.491	15.355	63.300	0.035	70.865	74.995	58.632
YNR039C	0.384	0.424	16.031	76.384	0.031	64.316	78.973	80.023
YNR040W	0.366	0.363	11.564	70.153	0.028	63.221	93.018	66.753
YNR048W	0.369	0.316	10.919	76.748	0.039	77.050	112.368	116.866
YNR049C	0.375	0.382	11.728	85.031	0.029	74.564	111.194	99.524
YNR051C	0.202	NaN	24.661	113.364	0.970	40.543	33.299	42.407
YNR055C	0.347	0.373	11.872	80.498	0.030	58.412	113.153	65.672
YNR056C	0.373	0.480	16.130	83.056	0.034	62.817	87.252	69.643
YNR057C	0.416	0.496	14.988	66.447	0.025	54.813	85.396	82.828
YNR058W	0.330	0.448	15.176	83.331	0.041	52.823	86.075	65.073
YNR059W	0.372	0.436	6.717	62.804	0.031	41.697	73.448	46.369
YNR060W	0.373	0.533	13.668	75.812	0.027	47.066	73.526	54.798
YNR061C	0.399	0.367	11.642	58.892	0.028	58.468	84.073	82.606
YNR062C	0.376	0.433	12.694	66.698	0.031	59.508	77.862	70.010
YNR063W	0.366	0.408	12.617	63.114	0.028	48.281	90.508	72.176
YNR064C	0.346	0.435	11.055	81.181	0.041	47.550	103.729	58.455
YNR065C	0.363	0.363	11.844	62.751	0.031	55.189	92.292	76.414
YNR066C	0.387	0.316	10.706	68.942	0.028	65.235	114.371	84.263
YNR067C	0.385	0.375	10.782	63.350	0.027	57.960	79.816	61.376
YNR069C	0.356	0.394	12.706	70.687	0.031	59.344	99.472	68.448
YNR070W	0.364	0.398	5.573	65.668	0.024	41.582	74.862	50.281
YNR071C	0.379	0.402	11.225	64.829	0.025	51.199	77.299	64.509
YNR072W	0.350	0.461	12.024	94.021	0.036	54.104	76.284	57.296
YNR073C	0.373	0.516	13.964	92.724	0.041	60.494	82.899	73.618
YNR074C	0.424	0.302	11.453	58.161	0.019	51.774	96.010	97.706
YNR075W	0.396	0.467	11.830	59.981	0.023	34.955	61.100	51.582
YOL002C	0.376	0.378	15.361	68.178	0.036	68.043	70.587	96.479
YOL003C	0.382	0.358	12.979	76.329	0.027	68.521	85.557	76.679
YOL006C	0.343	0.574	3.882	118.293	0.062	33.371	57.700	47.083
YOL008W	0.327	0.384	11.568	137.237	0.051	71.865	134.357	82.578
YOL009C	0.326	0.378	21.694	123.206	0.145	71.261	30.375	36.183
YOL011W	0.379	0.313	10.088	71.149	0.027	62.211	96.638	80.563
YOL013C	0.406	0.350	11.330	71.710	0.025	66.050	88.518	88.379
YOL014W	0.359	0.510	23.021	188.231	0.044	84.030	113.682	73.478
YOL015W	0.356	0.373	9.052	94.991	0.033	46.665	132.382	75.635
YOL016C	0.377	0.377	12.816	64.199	0.025	50.633	89.517	82.975
YOL017W	0.342	0.433	14.508	101.735	0.033	62.148	119.970	64.233
YOL018C	0.279	0.402	13.924	111.001	0.096	85.808	60.195	97.027
YOL019W	0.399	0.386	12.854	87.109	0.027	63.845	89.473	70.098
YOL020W	0.355	0.381	12.156	99.019	0.030	69.430	107.057	85.084
YOL023W	0.263	0.002	2.190	9.215	0.208	NaN	139.101	1240.199
YOL024W	0.358	0.274	11.660	71.678	0.036	94.414	166.413	124.557
YOL025W	0.348	0.380	15.776	72.892	0.039	57.547	107.869	74.757
YOL027C	0.240	0.262	19.441	190.084	0.245	164.480	232.153	69.872
YOL028C	0.308	0.421	16.467	136.553	0.058	56.263	138.469	49.656
YOL029C	0.393	0.328	12.490	74.357	0.028	68.648	95.795	89.366
YOL030W	0.335	0.315	24.898	115.940	0.048	81.504	111.407	98.830
YOL031C	0.357	0.306	12.320	84.065	0.035	70.065	125.854	100.934
YOL032W	0.373	0.264	13.062	65.366	0.021	78.370	65.112	106.767
YOL033W	0.311	0.325	13.082	201.193	0.088	NaN	NaN	169.389
YOL035C	0.341	0.214	8.081	68.914	0.033	108.580	170.545	NaN
YOL036W	0.347	0.231	16.781	87.923	0.039	98.205	179.064	134.109
YOL037C	0.400	0.386	13.227	74.050	0.033	78.591	112.657	122.208
YOL039W	0.355	0.437	13.025	86.877	0.050	101.351	75.697	65.402
YOL041C	0.406	0.546	10.974	88.266	0.043	96.622	116.669	97.667
YOL042W	0.372	0.246	21.580	58.707	0.023	68.028	104.158	117.377
YOL043C	0.371	0.453	17.402	82.889	0.031	79.141	100.306	130.118
YOL044W	0.326	NaN	12.968	55.715	0.070	72.664	80.539	118.248
YOL045W	0.348	0.311	21.645	125.877	0.038	107.371	114.471	101.275
YOL046C	0.329	0.453	18.492	78.148	0.033	67.901	81.375	59.746
YOL047C	0.407	0.320	10.563	70.768	0.025	88.546	90.397	110.316
YOL048C	0.387	0.390	9.574	58.482	0.035	65.117	115.229	95.204
YOL049W	0.304	0.284	4.055	84.249	0.164	44.622	66.931	49.215
YOL050C	0.264	0.372	11.339	223.174	0.291	97.003	177.325	32.718
YOL052C	0.362	0.337	27.077	89.842	0.061	87.543	148.510	142.467
YOL053W	0.371	0.403	10.939	75.360	0.026	53.865	89.912	67.025
YOL054W	0.405	0.292	15.877	70.938	0.029	77.272	109.749	107.816
YOL055C	0.402	0.261	10.381	62.194	0.024	76.835	157.902	108.649
YOL056W	0.385	0.388	11.255	71.529	0.027	54.556	97.391	84.650
YOL057W	0.308	0.266	10.373	86.923	0.040	69.567	141.225	113.389
YOL059W	0.246	0.258	104.377	276.711	0.460	NaN	230.961	142.151
YOL060C	0.382	0.385	15.793	110.915	0.031	75.278	110.617	133.695
YOL061W	0.368	0.234	22.037	121.043	0.041	119.444	258.715	NaN
YOL062C	0.370	0.331	18.150	99.819	0.037	96.368	166.631	118.840
YOL063C	0.368	0.343	15.349	94.244	0.042	69.948	135.232	138.308
YOL064C	0.324	0.415	20.110	175.242	0.058	126.688	98.984	62.129
YOL065C	0.350	0.361	14.531	108.499	0.054	100.127	179.348	133.358
YOL067C	0.399	0.197	15.091	68.572	0.019	155.940	368.307	159.180
YOL068C	0.268	0.365	16.357	120.286	0.146	73.482	89.003	124.259
YOL070C	0.339	0.406	18.647	106.763	0.051	48.169	79.150	76.295
YOL071W	0.361	0.301	31.922	99.989	0.030	84.063	167.584	109.251
YOL075C	0.381	0.326	11.778	95.067	0.032	73.794	146.091	101.695
