ORF	hom | growth (relative abundance in pooled culture) | gamma-irradiation [200 Gy] | Game JC~Brown JM, 2003
YGR106C	-0.029
YHL036W	-0.172
YMR173W-A	-0.503
YOR043W	-1.065
YOR136W	0.444
YAL017W	-0.105
YER108C	0.244
YMR148W	-0.093
YNL285W	-0.467
YBR036C	-0.224
YHL037C	-0.091
YML070W	-0.384
YMR008C	0.188
YPR037C	0.025
YER135C	-0.073
YHR018C	-0.294
YJL138C	0.109
YMR241W	0.089
YOR064C	-0.078
YJR040W	-0.782
YMR156C	0.647
YOL008W	NaN
YAL014C	-0.276
YER167W	0.213
YJL179W	0.181
YML020W	0.158
YMR316W	0.300
YOR031W	0.201
YCL005W	0.058
YML071C	-0.665
YNL318C	0.035
YDL117W	0.733
YDR474C	-0.383
YMR209C	-0.301
YPR061C	-0.266
YJL169W	-0.377
YJL218W	-0.169
YER137C	0.591
YHL042W	-0.317
YMR030W	-0.064
YMR292W	-0.725
YNL128W	-0.144
YAR031W	-0.040
YER032W	-0.232
YER095W	-0.231
YJR048W	0.138
YMR313C	0.143
YNL303W	-0.129
YBL051C	-1.015
YDL021W	0.148
YHL046C	-0.562
YIL001W	-0.266
YIL160C	-0.684
YMR215W	-0.199
YNL098C	0.377
YOR342C	-0.049
YJR103W	-0.244
YPL049C	-0.072
YPL152W	0.346
YER109C	0.067
YHL040C	-0.509
YLR286C	0.110
YPL130W	-0.177
YIL015W	-0.228
YJL147C	0.072
YMR159C	-0.046
YMR175W	-0.256
YNL270C	-0.303
YBR221C	-0.300
YER081W	0.010
YKL190W	0.129
YML117W	-0.559
YPL149W	-0.308
YER024W	-0.488
YIL097W	-0.097
YNL224C	-0.276
YNL279W	-0.004
YGR051C	0.162
YMR150C	-0.881
YAL030W	-0.395
YBR290W	-0.318
YDR334W	0.083
YML048W-A	0.237
YMR225C	-0.368
YNL332W	-0.064
YNR007C	0.085
YER061C	-0.512
YIL070C	0.510
YJL157C	-0.023
YLL010C	-0.407
YLR064W	-0.173
YOR092W	-0.149
YNL324W	0.056
YPL120W	-0.357
YER007W	-0.151
YER071C	-0.117
YMR250W	NaN
YNL154C	0.159
YOR055W	0.106
YJL126W	-0.266
YJL152W	0.017
YJL207C	-0.222
YLR096W	-0.031
YLR120C	-0.186
YBL039C	0.468
YHL038C	-1.118
YNL122C	-0.083
YOR238W	-0.037
YPL246C	-0.485
YHR017W	-0.128
YMR163C	-0.361
YAL008W	-0.126
YIL044C	-0.226
YJR117W	-0.080
YML089C	-0.032
YNL316C	0.021
YOR050C	-0.037
YOR094W	-0.075
YER031C	0.017
YHR044C	-0.534
YNL148C	0.817
YNL325C	-0.355
YPL140C	-0.169
YAL031C	-0.161
YBR056W	0.079
YKR006C	-0.346
YLR089C	-0.204
YMR180C	-0.304
YOL016C	-0.056
YER098W	0.289
YHR022C	0.002
YHR193C	0.463
YNL117W	0.199
YOR150W	-0.288
YPL194W	-0.486
YAL028W	-0.230
YCR094W	0.170
YER142C	0.217
YHR045W	-0.249
YLL040C	-0.509
YML037C	-0.253
YMR262W	0.194
YOL115W	0.315
YOR138C	-0.186
YPL065W	-0.704
YEL031W	0.211
YER069W	-0.297
YJL185C	-0.688
YLR077W	-0.182
YLR093C	-0.145
YLR268W	-0.716
YNL305C	-0.291
YBR130C	0.114
YDR304C	0.465
YOL028C	0.215
YOR266W	-0.361
YPL230W	0.372
YPR070W	0.112
YBL091C-A	-0.502
YGL101W	0.112
YNL286W	-0.146
YNL292W	-0.075
YPL203W	-0.033
YPL245W	-0.367
YPL272C	-0.004
YEL038W	-0.150
YJR044C	-0.337
YLR108C	0.221
YLR125W	0.007
YLR326W	0.229
YNL135C	0.365
YAL037W	-0.132
YBR244W	-0.152
YER113C	-0.037
YHL022C	-0.286
YHL043W	-0.094
YHR035W	-0.363
YJL020C	-0.051
YJR142W	-0.005
YMR311C	0.034
YCR062W	-0.286
YCR086W	-0.270
YER091C	0.064
YER169W	0.385
YIL117C	-0.769
YMR176W	-0.570
YPL027W	-0.244
YPL215W	-1.181
YBR032W	-0.245
YBR075W	-0.158
YDR028C	-0.649
YDR465C	0.144
YER066C-A	-0.316
YNL095C	0.120
YPL060W	0.171
YDR221W	0.247
YER067C-A	-0.245
YMR300C	0.325
YOR123C	0.154
YPL091W	-1.152
YPL162C	-0.312
YBL013W	-0.397
YBR212W	-0.546
YLR329W	0.147
YMR055C	-0.136
YMR119W-A	-0.079
YNL265C	-0.064
YPL227C	0.054
YNL327W	-0.281
YOL011W	0.139
YPL159C	-0.086
YIR001C	-0.448
YJL053W	-0.424
YLR121C	-0.101
YLR334C	-0.080
YMR182C	-0.178
YNL219C	0.267
YNL319W	-0.192
YOR195W	-0.076
YOR368W	-0.116
YPL198W	0.017
YER056C	0.201
YJL216C	-0.051
YMR237W	0.158
YNL106C	-0.267
YPL033C	0.136
YEL060C	-0.511
YFR048W	0.172
YGR228W	-0.035
YIL161W	-0.527
YML078W	-0.547
YMR303C	-0.273
YNL339C	0.098
YPL148C	-0.521
YDL162C	0.436
YIL012W	-0.070
YJL162C	-0.396
YMR283C	0.068
YNL085W	-0.245
YOR231W	0.286
YPL170W	-0.231
YER164W	-0.093
YLR374C	NaN
YMR153C-A	-0.168
YNL157W	0.071
YOR024W	-0.332
YAL018C	-0.113
YBR114W	-0.092
YDR179W-A	-0.458
YER064C	0.035
YLR252W	-0.155
YDL001W	0.261
YDR462W	-0.646
YEL001C	-0.405
YER073W	-0.422
YML011C	0.331
YMR297W	-0.519
YAL022C	-0.110
YBR197C	0.138
YBR220C	-0.539
YGL253W	0.095
YGR078C	0.934
YPL002C	-0.507
YDL119C	0.317
YER030W	-0.035
YHL045W	-0.239
YKL002W	0.280
YLL053C	-0.384
YOR142W	0.081
YBR129C	0.097
YDR085C	0.307
YEL063C	-0.197
YMR244W	0.085
YEL007W	-0.174
YER011W	-0.337
YML079W	NaN
YMR119W	NaN
YPL127C	-0.321
YHL008C	-0.541
YJL149W	0.248
YJL214W	0.135
YLR031W	-0.012
YMR004W	-0.264
YMR304C-A	-0.292
YNL250W	-0.014
YOR355W	0.655
YAL004W	-0.167
YBR214W	-0.021
YCL055W	-0.004
YDL089W	0.320
YDR485C	0.168
YER080W	-0.191
YKL087C	0.487
YLR201C	-0.902
YMR106C	0.176
YNL125C	-0.065
YOR041C	-0.157
YOR135C	0.343
YBL088C	-0.633
YDR220C	0.159
YER068C-A	-0.213
YGR052W	-0.025
YIL015C-A	NaN
YIL124W	-0.592
YLR237W	0.125
YMR234W	0.146
YMR299C	-0.377
YOR016C	0.083
YOR058C	-0.060
YPL038W	0.280
YAL060W	-0.087
YBR064W	0.140
YBR275C	-0.172
YFL013C	0.143
YJL078C	0.028
YJL187C	-0.199
YML012W	0.131
YOL096C	-0.845
YOR084W	0.121
YBR175W	-0.005
YDR458C	0.316
YJL212C	-0.381
YKR073C	0.181
YNL111C	-0.895
YOL049W	0.094
YOR049C	-0.021
YPL030W	0.496
YBL082C	-0.269
YBR003W	-1.000
YHR012W	-0.627
YMR243C	0.016
YNL130C	-0.327
YOL018C	NaN
YPL057C	0.283
YPL166W	-0.440
YBR119W	NaN
YDR153C	-0.003
YER090W	-0.415
YHR189W	0.322
YLL063C	-0.349
YMR074C	-0.180
YMR172W	-0.239
YNL022C	-0.110
YNL335W	-0.081
YPL023C	0.035
YBR063C	-0.041
YDL161W	0.408
YJL183W	NaN
YNL141W	-0.057
YOR093C	0.035
YPL261C	0.083
YDL172C	0.283
YFL007W	-0.268
YKL135C	-0.519
YOR037W	0.128
YPL273W	-0.286
YDR505C	0.121
YJL182C	0.114
YML007W	-1.330
YML061C	-0.140
YOR083W	0.106
YPL156C	-0.435
YDL167C	0.489
YDL170W	0.224
YEL039C	-0.280
YHR105W	-0.316
YJL080C	-0.005
YLR246W	0.252
YPL139C	-0.352
YPL171C	-0.266
YPL197C	0.125
YBR001C	0.092
