orf	hom | growth (pooled culture) | temperature [40 C] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | ethanol [7%] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | hydrogen peroxide [3 mM] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | sodium chloride [1.25 M], sodium chloride [1.25 M] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | cobalt chloride [1 mM] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | paraquat [4 mM] | YPD | Maclean CJ~Zhang J, 2017
YJL063C	0.8137589561354691	0.8140602678798444	0.7721881526859977	0.9599895632888483	1.1948238512282272	0.9627372136561994
YJL064W	0.9719061154381883	0.9379842246122696	0.9978995900032375	0.9933022960956385	0.9721319065726863	0.9425033949825066
YJL065C	0.9768108463501824	0.9218063034897739	0.9919679087730483	0.9754062563775511	1.0098677020152749	0.987155238925298
YJL066C	0.9987550017808852	0.9967060932228172	1.0036386348159996	0.9897009386115232	0.9653807659930403	0.9900416371256925
YJL067W	0.9837579878916871	0.9894200492668039	0.9999297656079661	0.9808285981694327	0.9472173756690899	0.9869163395213955
YJL068C	0.9743238976759204	0.9720216614546893	0.978912212601309	0.9582784623926685	0.9468121671210018	0.962145634195124
YJL070C	1.0345651671330391	1.0019821508073246	1.0158828195739054	1.0004658782638136	1.025745056024193	1.0211166390903534
YJL071W	0.994061521184974	1.0169894160607933	0.996876096425509	1.0025161075078628	1.0249244631103451	1.0358311816126675
YJL073W	0.9040851455354935	1.0100954975132088	0.9728002977209809	0.9494212571745272	0.8936686675119917	1.0188271692967077
YJL075C	0.6578183979983148	0.6682418047964139	0.6631348755177623	0.614508936998367	0.9283266641113714	1.0792832769177294
YJL077C	1.0364118405152458	1.0436076669910483	1.0267999493621502	1.0176299325240783	1.0337070288982282	1.025083111068551
YJL078C	0.9916587043777648	0.9941806050450516	1.0078544476322633	0.9810661978319696	0.9736790950846473	0.9919158623114193
YJL079C	0.9926940190619371	1.0026343679534162	0.9914346847066383	0.9708541206578766	1.0337304140222712	1.011104335360371
YJL080C	0.6903200160426706	1.0049043927927503	0.9109516216625921	0.8177506003633845	0.9048932494723547	0.9236797641700502
YJL082W	0.9921545933353031	0.9903491328414441	0.9822912390052118	0.9395659449337488	0.9775522614654389	1.0027917496914625
YJL083W	0.9967943355067335	0.9907852350854459	0.9864917460146072	0.974740530895109	0.9677038156555214	0.9725501012907688
YJL084C	1.0068266855279855	0.9873503059672454	0.998651018556257	0.971555769167415	0.9899035693133452	1.0124151656242728
YJL089W	0.9802599845014743	1.0207888671237069	1.0126838592858494	1.0001047607763587	1.046641820962491	1.029260168713345
YJL092W	0.9061878432064803	0.7555161977750671	0.7560898681449469	0.9224071059943464	0.8048061715313363	0.934217909433775
YJL093C	1.001306761858819	1.001470171042556	0.9859835328334823	0.9890506824624121	0.9832423884081742	0.9791946519557717
YJL094C	1.0288377190543585	1.015956616282992	1.0096287278741776	1.0183180324629777	0.8991729150240522	0.9981203599449568
YJL095W	0.744780970846411	0.8998274726462285	0.9693694797210279	0.9245682252277685	0.9060720170889405	0.7920433196829034
YJL096W	0.7532032233867857	0.8037396671765553	0.7565198832468099	0.9595770872624133	1.1339377979158858	0.9487575157501017
YJL098W	1.0085759342893759	1.013319150480513	1.039821814995275	1.0406180231412827	1.0314009722235544	1.14322536654643
YJL099W	0.9491189528078248	1.013563940101799	1.007834962739931	0.9911451388565129	0.995865613960673	0.9286251817973262
YJL100W	0.9734443673772177	0.9806652037097179	0.9826899980367572	0.9600667434619231	1.0005870652013884	0.9562721256756842
YJL101C	0.9744375326865348	1.0241204111596462	1.0055376552693358	0.9225566626795776	0.8841683990366531	0.9805112908590594
YJL102W	0.9198341674241899	0.7345536151048183	0.7764786306585908	0.975082872042913	1.0095674057801947	1.0186998780650256
YJL103C	1.0105836424080616	1.0163071947359579	1.0096076624169787	1.0054807915831865	1.0144792933482019	1.0448026181655077
YJL105W	0.9957568799262951	0.9732840213347618	1.0085110114748446	0.9803680532547091	1.058356852358013	0.9690972840348593
YJL106W	0.9852267992197599	0.94095083312184	0.9950435386495785	0.9846980886796998	0.9986699194112375	1.0014062220858615
YJL107C	0.9799792140074628	0.9738921884669421	0.9925078856122311	0.9925471054603499	0.9931189171995087	0.9809315056619258
YJL108C	0.9865782375088621	0.9635964457991878	0.9994290519569439	0.9911664040131907	0.9981502184665862	1.0091537849946688
YJL110C	0.9370749734110624	0.9759291145210683	0.9762728285463717	1.0157219735692364	0.9928392655865627	1.0068188845141615
YJL112W	0.9455796116210681	0.9928256077950504	0.9679968588999777	0.9575384466853222	0.9863903726596457	0.9151237843156181
YJL115W	0.7000515941399664	0.8555296137439261	0.8179442575885256	0.8377355252426468	0.7414924360549873	0.5465483063787833
YJL116C	0.9749097754951918	0.9923978451761959	0.9820800533081562	0.9597503247935316	0.9649445016235899	0.9894290513417078
YJL117W	0.8319184068523097	1.009831760841442	0.8671523290021009	0.9617838081382886	0.7714066386741287	0.8376357025272382
YJL118W	1.0092596566355654	1.0080513410959264	1.018913174308704	1.002786805462595	1.0335623183303224	1.0130120101867335
YJL119C	1.0143307989992387	1.0252364175780933	1.0327064691192736	1.0061578852513762	0.9870917347296336	1.0107340821186068
YJL120W	0.8681693690936222	0.9616866720376281	0.953146563090116	0.9361060536256426	1.0784047406809492	0.9177779898897249
YJL121C	0.8097378772365683	0.9498714195889925	0.946431470215578	0.868267802855632	1.0854259658724956	0.8682165352516973
YJL122W	1.0004345895801383	1.0070594330357237	1.0006880769439044	1.0137176637921554	1.0315834064664413	1.010862332293056
YJL123C	0.901284698860916	1.0350002551796957	0.9701408262662019	0.9799409834496412	0.9000596618197824	0.9737937667932416
YJL124C	0.826145844178286	0.9576830689169946	0.893164623846173	0.9762272952115235	0.7883885950484125	0.857932061831764
YJL126W	0.9676758290856123	0.9610169854776259	0.9742446163151313	0.9817736505104889	0.9592358249006107	0.9858609931053711
YJL127C	0.8020705041183235	0.9065851548158588	0.7870203077322203	0.7747842319361667	0.9361222806616712	0.9404074679593719
YJL128C	0.8673086085524141	0.9951694906648322	0.9431618143619807	0.4939396997111202	0.9499509739270227	1.000001779164216
YJL129C	0.9644994478271409	1.0252493878278606	0.8709130136111847	0.7802681130232516	0.8968233250741657	0.7749209736350333
