ORF	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015
YJL013C	0.396	-0.193	0.446	0.833	-0.082	1.059
YJL014W	NaN	0.193	NaN	-1.748	NaN	0.145
YJL015C	NaN	-0.356	NaN	-0.613	NaN	-0.186
YJL016W	0.097	0.114	-0.142	0.036	1.567	0.131
YJL019W	NaN	-0.911	NaN	0.029	NaN	1.784
YJL020C	-0.174	-0.523	-2.129	-0.057	0.017	-0.038
YJL022W	0.026	0.009	0.474	2.316	0.230	1.295
YJL023C	-1.686	0.502	1.173	-0.100	0.062	0.047
YJL024C	-3.852	0.215	-1.094	-0.169	0.155	1.007
YJL025W	0.104	-0.531	0.406	1.769	0.048	0.317
YJL026W	NaN	-0.046	NaN	-0.006	NaN	0.580
YJL027C	0.465	0.028	0.031	2.564	0.311	-0.007
YJL028W	-0.335	-0.143	0.126	0.567	1.682	0.467
YJL029C	-0.003	-0.147	-1.728	0.112	0.001	0.672
YJL030W	-0.077	-0.043	-0.137	0.284	1.539	0.917
YJL031C	NaN	-1.271	NaN	-1.214	NaN	0.246
YJL032W	NaN	-0.047	NaN	-0.019	NaN	-0.035
YJL033W	NaN	-1.260	NaN	-0.161	NaN	-0.054
YJL034W	NaN	0.717	NaN	0.074	NaN	0.800
YJL035C	NaN	0.067	NaN	-0.114	NaN	0.107
YJL036W	0.473	-0.866	-0.035	0.023	1.335	-0.043
YJL037W	-0.015	0.993	0.019	-0.296	-0.027	0.125
YJL038C	0.838	0.221	0.030	-0.118	0.003	0.151
YJL039C	NaN	-0.186	NaN	-0.173	NaN	0.216
YJL041W	NaN	0.277	NaN	-0.098	NaN	0.454
YJL042W	-0.075	-0.891	-0.029	-0.096	0.510	0.777
YJL043W	-0.537	0.092	0.093	0.083	1.016	-0.006
YJL044C	0.158	-0.244	-0.078	-0.165	0.002	0.118
YJL045W	0.031	0.679	-0.309	-0.016	-2.039	0.724
YJL046W	0.403	-1.435	0.027	-0.026	0.768	0.029
YJL047C	0.595	0.276	0.186	-0.214	1.028	0.016
YJL048C	0.187	0.366	-0.150	-0.372	0.176	0.264
YJL049W	-0.927	0.491	-0.498	0.161	0.214	0.836
YJL050W	NaN	0.003	NaN	-0.114	NaN	0.191
YJL051W	-0.015	0.037	0.215	1.297	-0.101	0.199
YJL052W	0.211	-0.035	2.062	-0.068	-0.028	0.382
YJL053W	-6.607	-0.159	-2.969	-0.226	0.086	-0.844
YJL054W	0.105	-0.118	-0.836	0.247	1.745	-0.137
YJL055W	-1.348	0.005	-0.152	0.538	-0.709	0.948
YJL056C	-0.971	-0.703	0.005	1.576	-0.100	0.552
YJL057C	-0.644	-0.463	0.445	-0.445	-0.205	1.488
YJL058C	-0.562	-1.144	-0.021	-0.283	-0.626	-0.220
YJL060W	0.020	0.130	0.544	0.704	-0.245	1.345
YJL061W	NaN	0.053	NaN	0.090	NaN	0.171
YJL062W	-2.113	0.373	-0.271	-0.659	-0.086	0.138
YJL063C	0.770	0.178	0.136	-0.180	-0.787	0.163
YJL064W	-0.017	-0.085	0.520	0.075	-0.012	-0.097
YJL065C	0.875	-0.056	0.168	-0.301	-1.508	0.160
YJL066C	-0.051	-1.256	0.004	0.474	-0.023	0.366
YJL067W	-0.304	-0.544	0.963	0.675	-0.586	1.118
YJL068C	0.688	0.455	0.421	0.027	0.692	0.170
YJL069C	NaN	0.012	NaN	0.169	NaN	1.183
YJL070C	-0.220	1.136	0.024	0.053	-2.286	0.409
YJL071W	0.067	1.383	0.445	0.039	-1.255	0.133
YJL072C	NaN	-0.126	NaN	0.748	NaN	0.032
YJL073W	-0.065	-0.215	-1.131	-0.149	0.453	1.174
YJL074C	NaN	0.218	NaN	-0.343	NaN	1.156
YJL075C	0.020	-0.220	0.533	0.212	0.086	0.270
YJL076W	NaN	-0.004	NaN	0.116	NaN	1.207
YJL077C	-0.217	0.005	0.190	-0.009	-0.092	0.527
YJL078C	0.029	-0.373	-0.049	-0.158	0.527	0.010
YJL079C	0.104	0.114	-0.023	-0.346	1.125	1.637
YJL080C	0.717	-0.494	-1.069	-0.073	0.169	-0.257
YJL081C	NaN	-0.217	NaN	-1.462	NaN	0.449
YJL082W	-0.061	-0.043	-0.146	-0.041	-0.053	0.025
YJL083W	0.307	0.017	-0.051	0.033	0.534	0.983
YJL084C	-0.017	0.412	-2.009	-0.193	0.330	1.130
YJL085W	NaN	0.209	NaN	0.104	NaN	0.452
YJL086C	NaN	-0.032	NaN	0.024	NaN	0.049
YJL087C	NaN	-0.243	NaN	-0.024	NaN	0.062
YJL088W	NaN	1.030	NaN	-0.148	NaN	0.157
YJL089W	-0.009	NaN	0.566	NaN	2.260	NaN
YJL090C	NaN	0.086	NaN	-0.284	NaN	1.062
YJL091C	NaN	-0.297	NaN	-0.017	NaN	0.600
YJL092W	0.677	-0.009	1.653	0.526	0.114	1.354
YJL093C	-0.720	-0.060	0.195	0.010	0.221	-0.030
YJL094C	-0.082	0.199	0.038	-0.059	-0.005	-0.063
YJL095W	0.053	0.873	-2.108	0.167	-0.008	0.568
YJL096W	0.080	0.150	0.700	0.626	0.899	0.075
YJL097W	0.002	-0.035	-0.020	0.830	-0.788	0.087
YJL098W	-2.193	-0.237	-1.352	-2.496	0.076	0.035
YJL099W	1.328	-0.369	0.454	0.015	0.261	1.170
YJL100W	0.426	-0.083	0.353	-0.058	0.264	0.103
YJL101C	-0.092	1.126	-0.023	0.022	-0.002	-0.045
YJL102W	-0.159	-0.157	-0.023	-0.019	-0.009	-0.951
YJL103C	0.174	-0.088	-0.464	-0.096	0.999	-0.004
YJL104W	NaN	-0.259	NaN	-0.110	NaN	0.646
YJL105W	-0.016	-0.085	0.883	0.924	0.256	-0.112
YJL106W	-0.323	-0.004	0.159	-0.319	0.060	0.138
YJL107C	0.072	1.206	-0.194	0.020	-0.099	0.622
YJL108C	-0.493	-0.304	-0.087	0.043	-0.055	0.022
YJL109C	NaN	0.002	NaN	1.251	NaN	0.048
YJL110C	-0.492	-0.038	-0.709	0.021	-2.679	0.220
YJL111W	NaN	-0.793	NaN	0.545	NaN	0.067
YJL112W	-0.007	0.683	-0.025	-0.003	-0.060	0.267
YJL115W	0.005	-1.534	0.111	0.088	0.006	-0.022
YJL116C	-0.578	-0.062	0.542	-0.312	-0.820	0.553
YJL117W	0.233	-0.155	0.679	0.410	0.734	0.438
YJL118W	0.818	0.869	0.062	1.036	0.038	0.411
YJL119C	0.042	-0.399	-0.123	-0.068	-0.924	-0.122
YJL120W	1.037	1.380	0.071	-0.071	0.001	0.001
YJL121C	-0.069	-0.389	-0.257	0.124	-0.285	-0.047
YJL122W	-0.706	-0.348	1.339	-0.045	-1.906	0.065
YJL123C	-0.030	-0.420	-1.526	-0.047	-0.219	0.148
YJL124C	0.588	0.441	0.220	0.043	0.003	0.069
YJL125C	NaN	-0.369	NaN	-0.099	NaN	0.727
YJL126W	-0.013	-0.016	-0.068	-0.042	0.504	1.131
YJL127C	0.340	-0.684	2.154	-0.175	-0.037	-0.327
YJL128C	-0.447	-0.139	-0.830	0.065	-2.409	0.295
YJL129C	0.978	-0.025	0.312	-0.019	0.061	-0.047
YJL130C	-0.064	-0.441	0.229	-0.242	0.003	-0.013
YJL131C	1.106	-0.364	0.139	0.072	0.004	1.467
YJL132W	-0.050	0.064	0.022	0.127	0.033	0.982
YJL133W	-0.350	0.209	-0.165	0.755	-0.198	0.996
YJL134W	-1.235	-0.854	-1.044	-0.098	-2.602	0.014
YJL135W	-0.852	-0.011	-0.791	0.559	-1.400	-0.048
YJL136C	0.017	-0.977	0.013	0.431	0.604	0.043
YJL137C	0.019	-0.465	-0.250	-0.093	0.734	0.021
YJL138C	NaN	-0.594	NaN	0.207	NaN	0.012
YJL139C	-0.257	0.075	-1.949	0.218	-0.007	-0.007
YJL140W	0.481	0.759	-1.069	1.321	0.344	0.590
YJL141C	0.334	0.450	-0.905	-1.403	0.231	0.181
YJL142C	-0.035	-0.966	-0.006	-0.098	0.225	-0.256
YJL143W	NaN	0.590	NaN	-0.063	NaN	0.128
YJL144W	-0.134	0.102	-1.280	0.107	0.582	0.049
YJL145W	0.216	-0.226	-1.303	-0.072	1.333	1.042
YJL146W	-0.272	-0.607	0.109	-0.103	0.115	0.006
YJL147C	-0.002	-0.112	0.168	0.004	0.797	0.104
YJL148W	-0.717	-0.028	1.287	0.130	0.675	-0.373
YJL149W	-0.092	-0.499	-0.067	-0.595	0.027	-0.029
YJL150W	-1.140	-0.196	-0.101	1.128	-0.105	0.038
YJL151C	0.117	0.021	-0.306	-1.253	0.479	-0.295
YJL152W	0.170	-0.097	0.143	0.070	-0.085	-1.158
YJL153C	-0.764	-0.140	-0.072	-0.031	-0.110	-0.010
YJL154C	-6.825	-0.214	-3.426	-0.004	-0.342	-1.068
YJL155C	0.590	0.069	0.032	-1.648	0.010	0.023
YJL156C	NaN	0.054	NaN	0.041	NaN	-0.015
YJL157C	-0.118	-0.060	-0.389	-0.294	0.204	-0.039
YJL158C	-0.791	0.004	-0.351	-0.160	1.746	0.000
YJL159W	0.125	-0.218	-0.324	0.847	0.550	-0.006
YJL160C	0.054	0.191	1.448	-0.114	-0.047	-0.076
YJL161W	-0.068	-0.023	1.357	-0.026	-0.003	-0.160
YJL162C	-0.381	0.447	-0.029	0.005	-0.704	-1.892
YJL163C	0.615	-0.890	-0.331	-0.045	2.046	0.074
YJL164C	-0.419	-0.613	-0.220	0.382	0.132	-1.286
YJL165C	0.494	-1.145	-0.806	0.015	1.037	-0.048
YJL166W	-0.041	0.119	-0.131	0.009	0.244	0.092
YJL167W	NaN	0.794	NaN	-1.955	NaN	-0.072
YJL168C	0.162	-1.042	-0.042	0.310	0.098	-0.047
YJL169W	-1.166	0.365	-1.154	0.097	-0.012	-0.014
YJL170C	0.016	-0.009	-0.098	0.305	0.068	-1.284
YJL171C	-0.030	-0.463	0.304	-0.002	0.008	0.567
YJL172W	0.390	-0.018	1.009	0.393	-3.601	-0.246
YJL173C	NaN	0.188	NaN	-0.083	NaN	-0.028
YJL174W	NaN	0.139	NaN	0.633	NaN	-0.228
YJL175W	0.822	-0.144	0.191	-0.067	1.356	-0.090
YJL176C	NaN	-0.375	NaN	-0.019	NaN	0.210
YJL177W	0.938	1.451	0.024	0.652	0.546	0.072
YJL178C	0.013	-0.798	-0.212	-0.043	0.029	-0.531
YJL179W	0.932	0.194	-0.162	0.164	0.014	-0.042
YJL180C	0.208	0.082	-0.003	0.043	0.989	-0.614
YJL181W	-1.590	0.020	0.862	-0.002	-0.072	0.073
YJL182C	0.040	-0.830	0.135	-0.262	0.001	-0.985
YJL183W	-3.720	-0.144	-4.123	-1.750	-1.204	-0.736
YJL184W	NaN	-0.052	NaN	0.012	NaN	-0.246
YJL185C	-0.156	-1.071	0.050	-0.210	0.017	-1.091
YJL186W	-0.133	-0.760	-0.002	-0.159	1.139	-0.888
YJL187C	-0.670	0.035	0.407	-0.021	0.155	-0.174
YJL188C	NaN	-0.064	NaN	-1.499	NaN	-0.552
YJL189W	-0.020	NaN	0.018	NaN	0.703	NaN
YJL190C	1.100	0.030	-0.757	-0.072	0.175	0.008
YJL191W	-0.001	0.017	0.282	-0.401	-0.109	-1.152
YJL192C	-0.278	0.175	-0.066	1.773	1.482	-0.337
YJL193W	0.310	0.640	-0.001	-0.563	0.838	-1.146
YJL194W	NaN	0.044	NaN	1.188	NaN	0.104
YJL195C	NaN	0.747	NaN	0.075	NaN	-0.006
YJL196C	0.001	-0.291	0.067	0.001	0.442	-0.003
YJL197W	-0.061	-1.012	-0.139	0.552	0.523	-0.754
YJL198W	-0.737	0.593	-1.580	-0.142	0.203	-0.039
YJL199C	-0.483	-0.819	-0.734	-0.114	1.497	-1.554
YJL200C	0.351	-0.121	0.061	0.759	0.053	-0.103
YJL201W	NaN	-0.421	NaN	-0.005	NaN	-0.019
YJL202C	NaN	0.100	NaN	0.021	NaN	0.014
YJL203W	NaN	0.072	NaN	-0.505	NaN	-0.421
YJL204C	-1.177	0.480	-0.568	-0.032	-0.023	-0.006
YJL206C	0.566	-0.166	0.031	-0.287	0.018	-2.992
YJL207C	-0.087	0.784	-0.029	-0.076	0.224	-0.550
YJL208C	-0.542	0.007	0.031	-0.068	0.335	-0.075
YJL209W	-0.035	-0.021	-0.062	-0.099	0.919	-0.012
YJL210W	0.035	-0.059	0.030	1.175	0.197	-0.138
YJL211C	-0.047	0.519	0.075	-0.054	-0.023	0.059
YJL212C	1.171	0.341	-0.207	0.341	0.063	-1.751
YJL213W	0.060	0.227	-0.041	-0.017	1.077	0.247
YJL214W	-0.023	0.442	0.037	-0.080	1.007	0.003
YJL215C	-0.757	0.167	-0.279	-0.011	0.203	0.002
YJL216C	1.472	0.128	-0.003	0.095	0.372	-1.279
YJL217W	0.007	0.004	-0.003	0.227	0.260	-0.443
YJL218W	0.122	-0.139	0.103	0.191	-0.662	-0.454
YJR001W	0.021	0.767	-0.025	0.482	-0.242	0.011
YJR002W	NaN	0.018	NaN	-0.075	NaN	-0.010
YJR003C	0.245	-0.404	-0.176	-0.560	0.253	0.053
YJR004C	0.887	0.154	-0.013	-0.030	0.177	0.728
YJR005W	0.349	-0.251	-0.851	-0.113	-0.055	-1.359
YJR006W	0.133	-0.158	-2.091	-0.288	NaN	0.229
YJR007W	NaN	0.645	NaN	0.151	NaN	-0.275
YJR008W	0.319	0.600	-0.007	0.242	0.017	0.081
YJR009C	-0.463	0.138	0.109	-0.131	0.006	-1.344
YJR010C-A	-0.451	NaN	-0.125	NaN	-0.014	NaN
YJR010W	-0.086	-0.133	0.056	-1.116	0.076	0.120
YJR011C	-0.068	0.091	0.079	0.621	0.340	-0.057
YJR012C	NaN	0.817	NaN	0.181	NaN	0.044
YJR013W	NaN	-0.740	NaN	-1.709	NaN	-0.055
YJR014W	-0.080	-0.163	-0.015	-0.037	-0.317	-0.252
YJR015W	0.238	0.057	-0.017	-0.005	0.213	1.921
YJR016C	NaN	0.096	NaN	0.694	NaN	0.135
YJR017C	NaN	-0.561	NaN	0.789	NaN	0.200
YJR018W	NaN	0.226	NaN	-0.121	NaN	1.198
YJR019C	-0.244	-0.551	0.902	-0.046	0.010	0.983
YJR020W	0.048	0.021	0.130	-0.723	-1.298	0.453
YJR021C	-0.099	0.032	0.041	1.673	0.056	0.036
YJR022W	NaN	0.018	NaN	0.158	NaN	0.409
YJR023C	NaN	-0.083	NaN	-0.068	NaN	0.221
YJR024C	0.179	-0.005	0.736	0.248	-0.027	0.201
YJR025C	-0.589	-0.657	0.067	-0.286	0.127	0.096
YJR030C	0.020	NaN	-0.151	NaN	-0.002	NaN
YJR031C	-0.027	-0.054	0.260	-0.009	-0.017	1.485
YJR032W	0.395	0.068	0.008	-2.720	0.104	0.601
YJR033C	-2.502	-0.652	-2.885	-0.005	-0.454	0.598
YJR034W	0.277	-0.018	-0.540	-0.688	0.023	0.360
YJR035W	0.128	0.803	-0.085	-0.215	0.623	1.287
YJR036C	0.680	0.751	0.048	-1.002	-0.724	0.219
YJR037W	-1.113	0.064	-0.047	0.159	-0.234	0.789
YJR038C	1.110	0.274	-0.164	-0.205	1.840	0.831
YJR039W	-0.361	-0.295	-1.135	-0.047	0.020	-1.257
YJR040W	-0.002	-0.426	-0.058	0.013	0.144	2.570
YJR041C	NaN	-2.059	NaN	0.007	NaN	0.010
YJR042W	NaN	-0.065	NaN	-0.352	NaN	0.032
YJR043C	1.097	-0.858	-0.007	0.264	-0.863	0.025
YJR044C	0.755	-0.447	0.025	-0.830	0.262	0.064
YJR045C	NaN	-0.014	NaN	-0.143	NaN	-0.045
YJR046W	NaN	-1.229	NaN	NaN	NaN	NaN
YJR047C	0.099	0.196	0.068	-0.275	0.013	0.041
YJR048W	0.015	0.016	0.007	0.003	2.050	1.300
YJR049C	-0.039	0.884	1.588	-0.031	0.743	0.101
YJR050W	-0.324	-1.221	0.311	-0.225	0.374	-0.078
YJR051W	0.435	0.181	-1.569	-0.317	-0.071	0.181
YJR052W	-0.008	-0.089	0.109	-0.847	0.324	-0.110
YJR053W	0.058	0.042	-0.331	0.004	1.818	0.074
YJR054W	-0.472	0.780	-0.073	0.026	1.690	0.964
YJR055W	0.104	0.420	0.060	-0.966	0.204	0.189
YJR056C	0.076	0.361	0.431	0.004	-1.604	0.460
YJR057W	NaN	0.055	NaN	0.307	NaN	0.306
YJR058C	-0.009	0.019	-0.047	-0.047	-0.073	0.887
YJR059W	-0.063	-0.233	-1.791	-1.845	-0.029	-0.893
YJR060W	0.176	0.064	1.574	0.150	-0.261	0.000
YJR061W	0.140	0.061	-0.122	-0.232	2.968	1.398
YJR062C	0.104	0.115	-0.115	-1.855	0.672	0.000
YJR063W	NaN	0.441	NaN	0.224	NaN	0.275
YJR064W	NaN	0.020	NaN	0.155	NaN	-0.032
YJR065C	NaN	-0.718	NaN	0.068	NaN	-0.018
YJR066W	-0.920	-0.004	0.090	-0.157	0.951	1.477
YJR067C	NaN	0.199	NaN	2.823	NaN	0.661
YJR068W	NaN	0.009	NaN	0.032	NaN	0.064
YJR069C	0.520	-1.705	0.208	0.261	0.613	0.040
YJR070C	1.359	-0.339	-0.042	0.027	0.931	-1.504
YJR072C	NaN	-0.127	NaN	-1.097	NaN	1.392
YJR073C	0.085	-0.135	-1.103	0.113	0.009	0.035
YJR074W	-0.450	0.051	-0.738	2.335	0.362	-0.271
YJR075W	-1.178	0.247	-2.232	0.155	-0.066	-0.028
YJR076C	NaN	0.563	NaN	-0.039	NaN	-0.006
YJR077C	-0.453	-0.685	0.637	-0.451	0.074	-0.191
YJR078W	-0.018	0.489	0.133	1.787	-2.657	0.503
YJR079W	0.960	0.079	0.069	1.559	0.101	-0.081
YJR080C	0.045	-1.032	0.758	0.040	1.644	-0.280
YJR082C	0.488	0.037	-0.397	-0.005	-0.033	-0.209
YJR083C	0.128	-0.058	-0.020	0.077	0.687	-0.366
YJR084W	0.619	-0.964	0.189	-0.040	0.230	-1.274
YJR087W	-0.456	-0.593	-0.749	1.521	0.027	0.004
YJR088C	-0.401	-0.296	0.233	2.446	1.325	0.068
YJR090C	NaN	-1.112	NaN	-0.354	NaN	0.009
YJR091C	-1.266	-0.134	-1.905	-2.687	0.034	-0.048
YJR092W	-0.095	0.092	-0.042	-0.276	-1.492	-0.096
YJR093C	NaN	-1.288	NaN	0.016	NaN	-1.009
YJR094C	-0.279	0.052	-1.014	-0.163	0.080	0.254
YJR094W-A	-1.004	0.203	0.051	0.653	0.030	0.019
YJR095W	-0.296	-0.608	0.221	-0.181	-0.002	0.000
YJR096W	0.110	-0.112	-0.314	0.228	-0.182	1.017
YJR097W	0.016	0.735	-0.263	-0.189	0.064	-0.046
YJR098C	-0.073	-0.000	0.108	0.280	-1.313	-0.972
YJR099W	-0.517	-0.919	-0.488	-1.573	-0.884	-0.327
YJR100C	-0.008	0.363	-0.009	0.171	-1.006	-0.126
YJR102C	-3.737	0.044	-1.840	0.971	-1.024	-0.127
YJR103W	-0.185	-0.114	-0.154	-0.606	0.216	-0.278
YJR104C	NaN	0.010	NaN	0.003	NaN	-0.013
YJR105W	0.045	-0.769	0.609	-0.006	0.080	1.009
YJR106W	-0.051	-0.827	-0.109	0.310	-0.736	-0.228
YJR107W	0.063	-0.043	0.005	-0.073	-2.103	-0.009
YJR108W	-0.011	-0.059	0.433	0.210	-1.163	-0.932
YJR109C	0.179	-0.012	-0.106	0.029	-0.024	-0.087
YJR110W	-0.356	0.098	0.010	0.598	-1.614	-0.156
YJR111C	0.204	-0.014	-0.088	-0.030	0.116	-0.716
YJR112W	NaN	-0.144	NaN	0.644	NaN	-0.370
YJR113C	0.018	-0.282	1.042	0.015	0.493	-0.102
YJR115W	0.133	-0.272	0.251	-0.010	0.058	-0.040
YJR116W	0.098	0.550	0.380	0.036	0.123	-0.173
YJR117W	-4.580	-0.101	-0.020	0.316	-0.490	0.921
YJR118C	0.022	-1.238	0.789	-0.075	1.066	-1.709
YJR119C	-0.550	-0.040	-0.078	-0.594	0.142	0.150
YJR120W	-0.015	-0.009	0.143	-0.913	-0.116	-0.010
YJR121W	-0.009	-0.863	-0.013	-0.043	0.017	-0.970
YJR122W	NaN	-0.001	NaN	-0.123	NaN	-0.518
YJR123W	NaN	0.055	NaN	0.074	NaN	-0.117
YJR124C	0.114	-0.566	-0.071	0.144	0.025	0.072
YJR125C	-2.535	-0.221	-2.920	0.038	-0.226	-0.088
YJR126C	1.541	0.007	-0.329	-0.771	-0.014	-0.207
YJR127C	0.388	0.103	-0.012	-0.025	-0.004	-1.043
YJR128W	-0.214	-0.021	-0.028	0.849	-0.011	0.206
YJR129C	0.027	-0.695	0.218	0.878	-1.060	-0.766
YJR130C	-0.164	-0.741	-0.225	-0.039	-0.934	-0.065
YJR131W	0.930	0.839	-0.333	0.174	-0.013	0.039
YJR133W	-0.481	-0.005	-0.020	0.114	0.039	-0.264
YJR134C	-0.159	0.718	0.106	-0.189	0.004	-1.572
YJR135C	-0.857	-0.323	-1.359	0.155	0.023	-0.386
YJR137C	-0.326	0.873	-0.178	0.169	0.210	-0.106
YJR139C	NaN	-0.492	NaN	0.253	NaN	-0.216
YJR140C	0.359	0.078	-0.268	0.455	0.004	-0.082
YJR141W	NaN	-0.499	NaN	-0.399	NaN	-0.037
YJR142W	-0.833	0.005	-0.189	-1.010	-0.050	0.056
YJR144W	-0.236	0.389	0.170	0.265	0.047	-1.687
YJR145C	-0.021	-0.120	0.508	0.036	-0.019	0.649
YJR146W	0.689	-0.296	0.060	-0.075	-0.026	-1.400
YJR147W	0.219	-0.381	0.009	0.061	-0.147	0.036
YJR148W	-0.019	-0.330	-0.609	2.501	0.051	-2.222
YJR149W	0.283	-0.013	0.069	-0.003	1.789	0.018
YJR150C	0.032	-0.288	-0.734	-0.011	0.821	-0.042
YJR152W	-0.038	-0.177	0.009	0.099	-0.001	-1.712
YJR153W	0.194	0.257	-0.422	-1.093	0.512	-0.097
YJR154W	-0.470	0.031	-0.038	0.343	1.256	-0.241
YKL001C	-1.551	0.065	-1.195	0.210	-0.072	0.893
YKL002W	-1.301	0.106	0.016	-0.080	0.240	0.034
YKL003C	0.145	0.379	-0.214	-0.051	0.081	0.243
YKL004W	NaN	-0.046	NaN	-0.323	NaN	-0.176
YKL005C	0.025	-0.791	0.293	-0.187	-0.391	0.051
YKL006C-A	NaN	-0.002	NaN	0.000	NaN	0.267
YKL006W	0.220	0.080	0.069	-0.734	0.328	0.139
YKL007W	-0.042	0.112	-0.169	0.259	0.122	-0.119
YKL008C	-0.086	1.065	-0.138	-0.216	0.427	0.103
YKL009W	-0.797	0.050	0.901	0.960	0.096	0.229
YKL010C	0.029	0.588	-0.065	-1.532	0.028	-0.187
YKL011C	0.071	-1.114	0.008	0.001	0.224	-0.006
YKL012W	NaN	0.921	NaN	0.084	NaN	0.259
YKL013C	NaN	0.372	NaN	1.473	NaN	0.440
YKL014C	NaN	0.231	NaN	-0.012	NaN	0.383
YKL015W	-0.053	0.093	-0.074	-1.395	-0.148	0.007
YKL016C	-0.512	-0.128	1.134	-0.037	1.127	0.915
YKL017C	-0.029	-0.702	0.203	-0.006	-0.189	0.148
YKL018W	NaN	0.033	NaN	0.595	NaN	0.907
YKL019W	NaN	-1.009	NaN	-0.264	NaN	0.257
YKL020C	-2.169	-0.339	-2.938	-0.142	-1.629	-1.261
YKL021C	NaN	0.011	NaN	0.354	NaN	0.096
YKL022C	NaN	-0.821	NaN	0.287	NaN	-0.004
YKL023W	-0.070	0.774	0.353	0.008	-0.004	0.867
YKL024C	NaN	0.220	NaN	0.014	NaN	-0.085
YKL025C	-0.634	0.865	0.017	2.352	-0.209	0.455
YKL026C	0.058	-0.012	0.054	0.234	-0.049	0.244
YKL027W	-0.012	0.588	0.417	0.831	-0.133	0.205
YKL028W	NaN	-0.004	NaN	0.003	NaN	0.118
YKL029C	0.044	-0.291	-0.007	-0.018	0.008	0.012
YKL030W	-1.572	-0.448	-0.101	0.874	-0.388	0.032
YKL031W	-0.155	-0.011	0.389	0.033	-0.596	0.230
YKL032C	0.592	-0.015	-0.009	1.346	0.123	0.047
YKL033W	NaN	-0.135	NaN	-0.044	NaN	0.996
YKL033W-A	0.009	0.088	-0.597	-2.128	-0.007	0.226
YKL034W	-1.038	-0.082	0.056	0.099	-0.003	0.041
YKL035W	NaN	0.117	NaN	-0.006	NaN	0.307
YKL036C	NaN	0.012	NaN	0.099	NaN	0.756
YKL037W	-0.061	-0.310	-0.065	0.095	0.173	-0.063
YKL038W	-0.160	-0.271	0.837	0.095	-0.134	0.053
YKL039W	-0.051	0.147	-0.107	1.406	-0.236	1.287
YKL040C	0.010	-1.024	0.306	0.074	-0.379	-0.024
YKL041W	-3.054	0.230	-0.752	-0.046	0.518	0.133
YKL042W	NaN	-0.837	NaN	0.135	NaN	-1.035
YKL043W	0.218	-0.991	0.544	0.418	-0.040	1.487
YKL044W	-0.209	-0.163	-0.079	-0.682	-0.243	-0.008
YKL045W	NaN	-1.771	NaN	0.828	NaN	0.159
YKL046C	-0.294	-0.340	0.026	-0.087	-0.348	0.093
YKL047W	0.003	0.595	0.120	0.136	0.093	0.031
YKL048C	-1.681	-0.177	-3.153	-1.587	-0.072	-0.021
YKL049C	NaN	-0.328	NaN	-0.625	NaN	0.065
YKL050C	-0.038	-0.872	-0.548	-0.059	0.005	0.088
YKL051W	0.063	-0.001	-1.295	0.389	-2.376	0.045
YKL052C	NaN	0.044	NaN	-0.074	NaN	0.701
YKL053C-A	-0.420	-0.018	-1.510	0.091	0.765	-0.044
YKL053W	0.184	-0.267	-0.001	-0.058	-0.920	-0.019
YKL054C	-0.317	0.429	0.556	-0.011	1.451	0.494
YKL055C	NaN	-0.685	NaN	-0.196	NaN	-0.048
YKL056C	0.006	-0.004	0.069	0.009	0.329	0.260
YKL057C	0.511	0.063	-0.083	-0.012	0.640	0.007
YKL058W	NaN	0.040	NaN	-0.072	NaN	0.019
YKL059C	NaN	-0.209	NaN	-0.010	NaN	0.582
YKL060C	NaN	0.219	NaN	1.435	NaN	0.011
YKL061W	-0.095	-0.626	-0.010	-0.104	-0.608	0.064
YKL062W	-0.066	0.175	0.170	-0.004	-0.090	0.194
YKL063C	0.952	-1.761	1.425	-0.009	-1.269	1.009
YKL064W	0.316	1.041	0.016	0.801	-0.139	0.091
YKL065C	-0.162	NaN	0.052	NaN	-0.259	NaN
YKL066W	1.236	-0.210	0.125	-0.762	-0.132	-0.596
YKL067W	-0.252	-0.632	1.301	-0.020	-1.595	-0.062
YKL068W	0.116	0.293	-0.084	0.518	0.270	0.782
YKL069W	0.130	0.040	0.185	1.212	-0.194	0.236
YKL070W	-0.761	-0.159	0.036	0.018	-0.013	0.778
YKL071W	0.313	0.195	-0.012	0.032	-1.219	1.013
YKL072W	0.752	0.217	0.119	0.034	0.010	-0.007
YKL073W	NaN	-0.220	-1.522	-2.515	-2.128	-0.466
YKL074C	0.076	0.045	0.022	0.009	0.120	0.091
YKL075C	0.355	0.692	0.347	-0.267	-0.003	0.328
YKL076C	0.641	-0.149	0.172	-0.079	-0.033	0.001
YKL077W	-0.094	-0.586	2.306	0.128	-0.006	0.125
YKL078W	NaN	-0.048	NaN	1.185	NaN	0.465
