ORF	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015
YOR194C	NaN	-0.075	NaN	-0.641	NaN	-0.027
YOR195W	-0.028	-0.185	0.115	0.933	-0.022	1.498
YOR196C	0.010	-1.182	0.807	1.801	-0.059	0.249
YOR197W	-0.196	0.053	0.912	-0.047	-0.139	0.285
YOR198C	-0.925	0.059	-3.293	0.027	-0.797	-0.002
YOR199W	-0.284	-0.082	-0.152	1.614	0.964	0.060
YOR200W	0.625	0.001	0.181	1.603	0.049	-0.092
YOR201C	0.301	-0.365	0.215	0.142	0.008	0.228
YOR202W	-0.144	-0.040	-0.057	-0.146	0.006	0.074
YOR203W	NaN	-0.041	NaN	0.051	NaN	0.204
YOR204W	NaN	0.532	NaN	0.062	NaN	0.081
YOR205C	-1.031	-0.003	0.612	0.029	0.057	-0.172
YOR206W	NaN	-0.068	NaN	0.039	NaN	0.253
YOR207C	NaN	0.091	NaN	-0.042	NaN	0.046
YOR208W	0.665	0.133	0.214	1.933	-0.045	0.005
YOR209C	0.107	0.048	0.149	0.015	-0.045	0.050
YOR210W	NaN	0.265	NaN	-0.000	NaN	-0.044
YOR211C	0.161	0.775	-0.027	-0.879	1.331	-0.019
YOR212W	NaN	0.065	NaN	-0.108	NaN	0.626
YOR213C	0.470	0.046	0.253	0.013	0.094	0.177
YOR214C	-0.085	0.057	0.623	-1.139	0.231	0.319
YOR215C	0.589	0.095	0.025	0.040	1.082	0.064
YOR216C	-2.515	0.751	-1.669	0.032	-1.396	2.706
YOR217W	NaN	0.894	NaN	-0.285	NaN	1.791
YOR218C	NaN	-1.107	NaN	-0.578	NaN	0.002
YOR219C	-0.113	-0.018	-0.066	-0.156	-0.011	0.114
YOR220W	0.014	-0.961	1.228	0.146	0.008	-0.062
YOR221C	-0.163	-0.280	0.032	0.088	0.089	0.841
YOR222W	0.985	-0.222	0.090	-0.008	0.067	0.431
YOR223W	-0.030	0.207	-0.071	-1.710	-0.022	-0.034
YOR224C	NaN	-0.037	NaN	0.002	NaN	-0.141
YOR225W	-0.502	-0.165	0.025	1.163	-0.760	-0.463
YOR226C	-0.670	0.346	0.368	0.064	0.130	2.370
YOR227W	0.307	-0.016	-0.024	-0.009	-0.414	-0.068
YOR228C	-0.008	0.485	0.004	-0.021	0.647	0.210
YOR229W	0.480	0.228	0.053	-0.016	0.266	0.124
YOR230W	0.748	-0.052	-0.062	0.018	0.247	0.106
YOR231W	0.017	0.175	-0.034	-1.171	0.160	-0.039
YOR232W	NaN	0.006	NaN	-1.139	NaN	0.251
YOR233W	-0.095	0.537	0.199	1.079	0.192	-0.019
YOR234C	0.011	-0.226	0.019	0.928	1.626	0.416
YOR235W	0.103	-0.332	0.611	0.027	0.188	-0.941
YOR236W	NaN	-0.861	NaN	0.049	NaN	0.087
YOR237W	0.058	-0.051	0.276	-0.127	0.166	0.184
YOR238W	-0.064	0.690	-0.869	0.328	-0.111	-0.052
YOR239W	-0.009	-0.096	0.189	1.321	-0.014	0.034
YOR241W	0.315	-0.041	NaN	0.031	0.299	0.016
YOR242C	0.530	-0.227	-0.849	1.260	0.036	-0.567
YOR243C	0.426	-0.031	1.589	1.873	0.258	0.074
YOR244W	NaN	0.900	NaN	-0.005	NaN	0.002
YOR245C	-0.589	-0.268	0.214	0.018	-1.739	1.063
YOR246C	0.316	0.165	-0.930	-0.241	-0.605	-0.020
YOR247W	0.334	-0.036	0.004	-0.979	-0.168	0.042
YOR248W	0.903	0.640	0.001	-0.163	-0.024	0.934
YOR249C	NaN	0.056	NaN	0.308	NaN	1.223
YOR250C	NaN	0.312	NaN	-0.012	NaN	0.361
YOR251C	-1.025	-0.468	-0.010	0.598	0.063	-0.767
YOR252W	0.059	0.103	-0.013	-0.232	0.048	-0.005
YOR253W	0.067	0.197	0.481	-0.391	-0.168	-0.006
YOR254C	NaN	-26.560	NaN	-49.610	NaN	-21.358
YOR255W	-0.015	0.102	0.562	0.065	-1.319	0.018
YOR256C	NaN	0.285	NaN	-1.023	NaN	0.005
YOR257W	NaN	0.578	NaN	-0.031	NaN	-0.006
YOR258W	1.643	NaN	1.727	NaN	-0.004	NaN
YOR259C	NaN	0.009	NaN	1.280	NaN	-0.438
YOR260W	NaN	1.081	NaN	-0.054	NaN	-0.175
YOR261C	NaN	0.690	NaN	-0.376	NaN	-0.103
YOR262W	NaN	-0.053	NaN	0.097	NaN	0.003
YOR263C	0.202	0.003	0.574	0.001	-0.020	0.065
YOR264W	0.040	0.127	0.392	-0.010	-0.264	0.174
YOR265W	-0.229	0.109	-3.250	2.126	-0.011	-0.117
YOR266W	0.162	0.461	0.027	0.067	0.865	0.151
YOR267C	-0.349	-0.034	-2.528	-0.024	-0.914	-0.530
YOR268C	0.126	1.043	-1.358	-0.445	0.027	0.123
YOR269W	-0.284	-0.071	0.082	-1.518	-1.556	-0.133
YOR270C	0.356	0.747	-0.009	-0.233	0.529	-0.150
YOR271C	-0.088	0.525	0.068	-0.916	0.044	-0.077
YOR272W	NaN	0.141	NaN	0.030	NaN	0.205
YOR273C	0.222	0.000	0.065	0.091	-0.401	-0.187
YOR274W	0.253	1.012	0.071	-0.038	1.377	-0.020
YOR275C	-0.030	0.102	-0.027	-0.024	-0.099	1.993
YOR276W	0.914	-0.072	-0.089	-0.762	0.278	0.232
YOR277C	0.180	0.078	0.230	0.267	-0.149	0.123
YOR278W	NaN	-0.043	NaN	-0.068	NaN	0.139
YOR279C	0.230	-0.485	-0.097	-0.562	-0.483	-1.006
YOR280C	0.704	-0.815	-0.750	-0.006	-0.035	0.041
YOR282W	NaN	0.006	NaN	1.354	NaN	0.011
YOR283W	1.081	0.076	0.015	1.915	-0.004	0.091
YOR284W	0.017	-0.057	0.403	0.011	-0.954	NaN
YOR285W	-0.175	-1.201	1.173	0.002	-0.014	0.155
YOR286W	0.237	-0.144	-0.021	-0.079	0.009	0.683
YOR287C	NaN	-0.094	NaN	-0.507	NaN	-0.161
YOR288C	0.373	0.035	-0.093	-0.134	0.628	-1.714
YOR289W	-0.631	0.085	-0.006	-0.001	-0.679	0.012
YOR290C	-0.005	0.452	-0.035	0.466	0.396	0.103
YOR291W	-0.009	-0.078	0.052	0.070	0.027	0.324
YOR292C	-0.041	-0.188	-0.834	-1.290	0.079	-0.005
YOR293W	0.003	0.029	0.132	0.209	0.075	0.399
YOR294W	NaN	0.928	NaN	1.204	NaN	0.073
YOR295W	-1.379	0.117	0.004	0.029	0.846	-0.039
YOR296W	0.462	-1.013	0.063	-0.410	-1.522	-0.156
YOR297C	0.107	0.371	0.563	0.004	0.685	0.663
YOR298C-A	-0.064	0.138	-0.282	-0.053	-0.271	0.102
YOR298W	-0.082	0.018	-0.564	0.220	-0.577	0.141
YOR299W	NaN	0.262	NaN	-0.169	NaN	-0.043
YOR300W	-0.031	-0.382	0.108	-0.014	-0.063	-0.006
YOR301W	0.040	-0.170	0.016	-0.251	-0.295	0.148
YOR302W	0.059	0.015	-0.038	0.530	-0.857	0.193
YOR303W	-0.243	-0.052	-0.117	-0.150	0.173	0.041
YOR304C-A	-0.234	0.040	-2.041	-0.088	0.118	0.537
YOR304W	0.037	0.524	-0.107	-0.083	0.874	-0.021
YOR305W	NaN	0.035	NaN	0.038	NaN	-1.395
YOR306C	0.411	1.238	-0.094	-1.157	1.134	0.088
YOR307C	-0.694	0.034	-0.031	-0.091	0.142	-1.261
YOR308C	0.012	0.720	0.292	0.932	-0.586	-0.022
YOR309C	-1.301	0.060	0.484	2.094	-0.002	0.527
YOR310C	NaN	0.139	NaN	0.809	NaN	0.222
YOR311C	1.154	0.124	0.056	0.153	0.185	0.799
YOR312C	0.426	-0.110	0.026	-1.055	1.015	0.137
YOR313C	-0.092	0.147	-0.098	0.304	-0.003	-0.008
YOR314W	0.154	-0.784	-0.234	-1.560	0.880	1.133
YOR315W	-0.027	0.026	-2.992	0.069	0.687	-0.056
YOR316C	-0.013	-0.226	-0.008	0.266	1.053	0.081
YOR317W	-0.099	0.539	0.954	-0.470	0.092	-0.007
YOR318C	0.071	0.535	-0.886	-0.175	1.338	-0.360
YOR319W	NaN	0.520	NaN	0.180	NaN	-0.024
YOR320C	-0.198	NaN	0.063	NaN	1.064	NaN
YOR321W	-0.197	0.262	-0.111	0.020	-0.106	-0.024
YOR322C	0.670	0.024	-0.037	-0.007	0.759	0.169
YOR323C	NaN	-1.038	NaN	-0.244	NaN	-0.281
YOR324C	0.297	0.057	0.006	0.072	-0.002	0.456
YOR325W	0.500	0.085	0.008	-0.201	0.195	0.114
YOR326W	NaN	0.342	NaN	-0.031	NaN	-1.450
YOR327C	-0.094	-0.010	-0.074	-0.102	0.427	0.021
YOR328W	-1.125	-1.174	-0.234	1.021	-0.298	-0.067
YOR329C	NaN	0.432	NaN	0.647	NaN	-0.314
YOR330C	0.107	-0.252	0.013	-0.104	0.037	0.401
YOR331C	NaN	0.286	NaN	-1.323	NaN	0.687
YOR332W	0.137	0.032	0.145	-0.038	0.990	0.147
YOR333C	0.093	0.331	-0.092	-0.149	0.148	0.416
YOR334W	0.004	0.036	0.074	-0.027	-0.132	0.074
YOR335C	NaN	0.142	NaN	1.502	NaN	-0.060
YOR336W	NaN	-0.014	NaN	0.096	NaN	0.095
YOR337W	-0.049	-0.123	-0.474	-0.102	-0.011	-0.054
YOR338W	0.355	-0.645	0.058	2.664	0.004	-0.159
YOR339C	0.047	0.716	0.057	1.833	-0.062	-0.117
YOR340C	NaN	0.467	NaN	0.051	NaN	1.065
YOR341W	NaN	0.141	NaN	1.026	NaN	0.003
YOR342C	0.060	0.071	0.006	-0.109	0.689	-1.075
YOR343C	-0.393	-0.432	0.121	-0.073	0.834	-0.007
YOR344C	0.303	0.283	-0.173	-0.023	-0.801	-0.131
YOR345C	-0.388	-0.075	-0.534	-0.748	0.008	-0.032
YOR346W	-1.710	0.790	-0.047	0.548	-1.512	-0.007
YOR347C	-0.020	-0.180	0.026	-0.051	-0.184	-1.452
YOR348C	0.094	-0.362	-0.037	1.357	1.145	-0.093
YOR349W	NaN	-0.072	NaN	-0.061	NaN	-0.087
YOR350C	0.163	0.103	1.061	-0.546	-0.035	-1.255
YOR351C	0.056	0.513	0.575	-1.646	1.693	-0.139
YOR352W	-0.768	-0.330	0.533	-0.020	0.144	-0.026
YOR353C	NaN	0.341	NaN	0.014	NaN	-1.147
YOR354C	-0.371	0.953	0.575	-0.020	-1.448	-1.548
YOR355W	-0.806	0.005	0.202	-0.479	-0.703	0.014
YOR356W	-1.246	-0.034	0.582	-0.041	-0.104	-1.450
YOR357C	0.322	0.959	-0.069	0.246	2.091	0.459
YOR358W	0.086	-0.087	-0.141	1.017	0.426	-0.044
YOR359W	0.125	0.193	-0.014	1.053	0.871	-0.015
YOR360C	-1.188	-0.026	-0.265	-0.068	-0.006	-0.332
YOR361C	NaN	-0.524	NaN	-0.004	NaN	0.026
YOR362C	NaN	0.997	NaN	0.329	NaN	0.278
YOR363C	-0.296	0.166	0.292	0.022	0.033	-0.234
YOR364W	0.709	0.410	0.335	-0.140	0.032	-0.732
YOR365C	0.031	-0.771	-0.130	-0.022	2.856	-0.322
YOR366W	0.062	0.049	-0.515	-0.334	0.966	-1.043
YOR367W	0.129	NaN	0.007	NaN	-0.216	NaN
YOR368W	0.081	0.167	-0.115	0.063	1.046	0.470
YOR369C	0.173	-0.577	-0.205	-0.052	-0.048	0.030
YOR370C	NaN	-0.555	NaN	-0.205	NaN	-0.023
YOR371C	-0.946	0.530	-0.253	-0.025	0.680	-0.065
YOR372C	NaN	-0.687	NaN	0.070	NaN	-1.024
YOR373W	NaN	0.134	NaN	-0.165	NaN	-0.019
YOR374W	-1.242	-0.387	-0.020	-0.310	0.445	-0.571
YOR375C	0.076	-0.028	-0.532	0.031	0.240	-0.676
YOR376W	-0.896	-1.566	-0.338	0.223	-0.020	-0.035
YOR377W	0.627	-0.489	-0.004	1.129	0.010	-0.078
YOR378W	1.073	0.032	-0.193	1.000	-2.166	-0.540
YOR379C	0.562	0.099	-1.178	-1.088	1.187	0.027
YOR380W	0.033	-0.570	0.165	-0.025	2.034	-0.206
YOR381W	-0.093	-0.335	0.012	0.292	0.095	-0.154
YOR382W	-0.175	0.510	-1.063	0.118	0.985	-0.160
YOR383C	NaN	-0.972	NaN	-1.819	NaN	-0.548
YOR384W	-0.046	-0.192	-0.079	0.956	0.035	-0.081
YOR385W	-0.021	0.048	0.185	-0.161	0.074	-1.616
YOR386W	-0.145	-0.208	1.725	-0.215	0.056	0.145
YPL001W	0.025	0.113	-1.488	-0.032	0.031	0.397
YPL002C	-5.857	0.139	-3.429	0.143	-0.443	0.682
YPL003W	0.219	-0.665	-0.021	-0.721	1.792	0.017
YPL004C	-0.217	0.327	0.903	-0.385	-1.464	0.873
YPL005W	-0.479	0.566	-0.015	-0.041	0.135	0.105
YPL006W	-0.024	-0.049	-0.058	0.069	1.408	0.177
YPL007C	NaN	0.060	NaN	-2.896	NaN	-0.334
YPL008W	0.117	-0.012	-0.816	-1.012	-0.877	0.046
YPL009C	-0.080	0.231	0.036	-0.162	0.489	0.034
YPL010W	NaN	0.053	NaN	-0.038	NaN	0.090
YPL011C	NaN	0.218	NaN	1.349	NaN	-0.040
YPL012W	NaN	-0.013	NaN	-0.136	NaN	0.026
