orf	hap alpha | growth (colony size) | polygodial [2 ug/ml] | SD + his + leu + lys + ura | Kipanga PN~Luyten W, 2021	hap alpha | growth (colony size) | polygodial [6 ug/ml] | SD + his + leu + lys + ura | Kipanga PN~Luyten W, 2021
YDR406W	3.5	3.5
YDR408C	3.5	3.5
YDR409W	3.5	3.5
YDR410C	3.5	3.5
YDR411C	3.5	3.5
YDR414C	3.5	3.5
YDR415C	3.5	3.5
YDR418W	3.5	3.5
YDR419W	3.5	3.5
YDR420W	3.5	3.5
YDR421W	3.5	3.5
YDR422C	3.5	3.5
YDR423C	3.5	3.5
YDR425W	3.5	3.5
YDR426C	3.5	3.5
YDR428C	3.5	3.5
YDR430C	3.5	3.5
YDR431W	3.5	3.5
YDR432W	0.0	3.5
YDR433W	1.0	3.5
YDR435C	3.5	3.5
YDR436W	3.5	3.5
YEL001C	3.5	3.5
YEL003W	3.5	3.5
YEL005C	3.5	3.5
YEL006W	3.5	3.5
YEL007W	3.5	3.5
YEL008W	3.5	3.5
YEL009C	3.5	3.5
YEL010W	3.5	3.5
YEL013W	3.5	3.5
YEL014C	3.5	3.5
YEL015W	3.5	3.5
YEL016C	3.5	3.5
YEL017C-A	3.5	3.5
YEL017W	3.5	3.5
YEL018W	3.5	3.5
YEL020C	3.5	3.5
YEL023C	3.5	3.5
YEL024W	3.5	3.5
YEL025C	3.5	3.5
YEL027W	0.0	3.5
YEL028W	3.5	3.5
YEL030W	3.5	3.5
YEL031W	3.5	3.5
YEL033W	3.5	3.5
YER016W	3.5	3.5
YEL037C	3.5	3.5
YEL038W	3.5	5.0
YEL039C	3.5	3.5
YEL040W	3.5	3.5
YEL041W	3.5	5.0
YEL042W	3.5	3.5
YEL043W	3.5	3.5
YER028C	3.5	3.5
YEL045C	3.5	3.5
YEL046C	3.5	3.5
YEL047C	3.5	3.5
YEL048C	3.5	3.5
YEL049W	3.5	3.5
YEL050C	3.5	3.5
YEL051W	0.0	3.5
YEL052W	3.5	3.5
YEL053C	3.5	3.5
YEL054C	3.5	3.5
YEL056W	3.5	3.5
YEL057C	3.5	3.5
YEL059W	3.5	3.5
YEL060C	3.5	3.5
YEL061C	3.5	3.5
YEL062W	3.5	3.5
YEL063C	3.5	3.5
YEL064C	3.5	3.5
YEL065W	3.5	3.5
YEL066W	3.5	3.5
YEL067C	3.5	3.5
YEL068C	3.5	3.5
YEL071W	3.5	3.5
YEL072W	3.5	3.5
YER001W	3.5	3.5
YER002W	3.5	3.5
YER004W	3.5	3.5
YER005W	3.5	3.5
YER007C-A	3.5	3.5
YER007W	3.5	3.5
YER010C	3.5	3.5
YER011W	3.5	3.5
YER019W	3.5	3.5
YER019C-A	3.5	3.5
YER020W	3.5	3.5
YER024W	3.5	3.5
YER030W	3.5	3.5
YER033C	3.5	3.5
YER034W	3.5	3.5
YER035W	3.5	3.5
YER038W-A	3.5	5.0
YER040W	3.5	3.5
YER041W	3.5	3.5
YER042W	3.5	3.5
YER044C-A	3.5	3.5
YER045C	3.5	3.5
YER046W-A	3.5	3.5
YER047C	3.5	3.5
YER048C	3.5	3.5
YER049W	3.5	3.5
YER051W	3.5	3.5
YER053C	3.5	3.5
YER054C	3.5	3.5
YER056C	3.5	3.5
YER056C-A	3.5	3.5
YER058W	3.5	3.5
YER059W	3.5	3.5
YER060W	3.5	3.5
YER062C	3.5	3.5
YER065C	3.5	3.5
YER067W	3.5	3.5
YER067C-A	3.5	3.5
YER044C	1.0	3.5
YER068C-A	3.5	3.5
YER069W	3.5	3.5
YER071C	3.5	3.5
YER072W	3.5	3.5
YER073W	3.5	3.5
YER074W	3.5	3.5
YER075C	3.5	3.5
YER080W	3.5	3.5
YER081W	3.5	3.5
YER083C	3.5	3.5
YER084W	3.5	3.5
YER085C	3.5	3.5
YER086W	3.5	3.5
YER087W	3.5	3.5
YER087C-B	3.5	3.5
YGR123C	3.5	3.5
YGR124W	3.5	3.5
YGR125W	3.5	3.5
YGR126W	3.5	3.5
YGR127W	3.5	3.5
YGR129W	3.5	3.5
YGR130C	3.5	3.5
YGR131W	3.5	5.0
YGR132C	3.5	3.5
YGR133W	3.5	3.5
YGR135W	3.5	5.0
YGR136W	3.5	3.5
YGR137W	3.5	5.0
YGR138C	3.5	3.5
YGR139W	3.5	3.5
YGR141W	3.5	3.5
YGR142W	3.5	3.5
YGR143W	3.5	3.5
YGR144W	3.5	5.0
YGR146C	3.5	3.5
YGR148C	3.5	5.0
YGR149W	3.5	3.5
YGR151C	3.5	3.5
YGR152C	3.5	3.5
YGR153W	3.5	5.0
YGR154C	3.5	3.5
YGR157W	3.5	3.5
YGR159C	3.5	3.5
YGR160W	3.5	3.5
YGR161C	3.5	3.5
YGR163W	3.5	6.0
YGR164W	3.5	3.5
YGR165W	3.5	3.5
YGR166W	3.5	3.5
YGR168C	3.5	3.5
YGR169C	3.5	3.5
YGR170W	3.5	3.5
YGR173W	3.5	3.5
YGR176W	3.5	3.5
YGR177C	3.5	3.5
YGR178C	3.5	3.5
YGR181W	3.5	3.5
YGR182C	3.5	3.5
YGR183C	3.5	6.0
YGR184C	3.5	5.0
YGR187C	3.5	3.5
YGR189C	3.5	3.5
YGR192C	3.5	6.0
YGR193C	3.5	5.0
YGR194C	3.5	3.5
YGR196C	3.5	3.5
YGR197C	3.5	3.5
YGR199W	3.5	3.5
YGR200C	3.5	3.5
YGR202C	3.5	3.5
YGR203W	3.5	3.5
YGR205W	3.5	3.5
YGR206W	3.5	5.0
YGR207C	3.5	3.5
YGR208W	0.0	3.5
YGR209C	3.5	3.5
YGR212W	3.5	3.5
YGR213C	3.5	3.5
YGR214W	3.5	3.5
YGR217W	3.5	3.5
YHL047C	3.5	3.5
YHL046C	3.5	3.5
YHL045W	3.5	3.5
YHL044W	3.5	3.5
YHL043W	3.5	3.5
YHL040C	3.5	3.5
YHL037C	3.5	3.5
YHL036W	3.5	3.5
YHL035C	3.5	3.5
YHL034C	3.5	3.5
YHL033C	3.5	3.5
YHL032C	3.5	3.5
YHL031C	3.5	3.5
YHL028W	3.5	3.5
YHL027W	3.5	3.5
YHL026C	3.5	3.5
YHL023C	3.5	3.5
YHL022C	3.5	3.5
YHL020C	3.5	3.5
YHL019C	3.5	3.5
YHL017W	3.5	3.5
YHL014C	3.5	3.5
YHL013C	3.5	3.5
YHL012W	3.5	3.5
YHL010C	3.5	3.5
YHL009C	3.5	3.5
YHL008C	3.5	3.5
YHL006C	3.5	3.5
YHR001W-A	0.0	3.5
YHR012W	3.5	3.5
YHR013C	3.5	3.5
YHR014W	3.5	3.5
YHR015W	3.5	3.5
YHR018C	3.5	3.5
YHR021C	3.5	3.5
YHR022C	3.5	3.5
YHR028C	3.5	3.5
YHR029C	3.5	3.5
YHR030C	3.5	3.5
YHR031C	3.5	3.5
YHR033W	3.5	3.5
YHR035W	3.5	3.5
YHR037W	3.5	3.5
YHR038W	3.5	3.5
YHR039C	3.5	3.5
YHR043C	3.5	3.5
YHR044C	3.5	3.5
YHR046C	3.5	3.5
YHR047C	3.5	3.5
YHR048W	3.5	3.5
YHR049W	3.5	3.5
YHR049C-A	3.5	3.5
YHR050W	3.5	3.5
YHR057C	0.0	3.5
YHR060W	3.5	3.5
YHR061C	3.5	3.5
YHR066W	3.5	3.5
YHR073W	3.5	3.5
YHR075C	3.5	3.5
YHR076W	3.5	3.5
YHR077C	3.5	3.5
YHR078W	3.5	3.5
YHR079C	3.5	3.5
YHR080C	3.5	3.5
YHR081W	3.5	3.5
YHR082C	3.5	3.5
YHR086W	3.5	3.5
YHR087W	3.5	3.5
YHR092C	3.5	3.5
YHR093W	3.5	3.5
YHR094C	3.5	3.5
YHR095W	3.5	3.5
YHR097C	3.5	3.5
YHR100C	3.5	3.5
YHR103W	3.5	3.5
YHR104W	3.5	3.5
YHR105W	3.5	3.5
YHR106W	3.5	3.5
YHR108W	3.5	3.5
YHR109W	3.5	3.5
YHR110W	3.5	3.5
YHR111W	3.5	3.5
YHR112C	3.5	3.5
YHR113W	3.5	3.5
YHR114W	3.5	3.5
YHR115C	3.5	3.5
YHR116W	3.5	3.5
YHR117W	3.5	3.5
YHR121W	3.5	3.5
YHR123W	3.5	3.5
YHR124W	3.5	3.5
YHR125W	3.5	3.5
YHR126C	3.5	3.5
YHR129C	3.5	3.5
YHR130C	3.5	3.5
YHR132C	3.5	3.5
YHR133C	3.5	3.5
YHR134W	3.5	3.5
YHR135C	3.5	3.5
YHR136C	3.5	3.5
YHR137W	3.5	3.5
YHR138C	3.5	3.5
YHR139C	3.5	3.5
YHR139C-A	3.5	3.5
YHR142W	3.5	3.5
YHR143W	3.5	3.5
YHR151C	3.5	3.5
YHR152W	3.5	3.5
YHR153C	3.5	3.5
YHR154W	3.5	3.5
YHR155W	1.0	3.5
YHR156C	3.5	3.5
YHR157W	3.5	3.5
YHR158C	3.5	3.5
YHR159W	3.5	3.5
YHR160C	3.5	3.5
YHR161C	3.5	3.5
YHR163W	3.5	3.5
YHR167W	3.5	3.5
YHR178W	3.5	3.5
YHR179W	3.5	3.5
YHR182W	3.5	3.5
YHR183W	3.5	3.5
YHR184W	3.5	3.5
YHR189W	3.5	3.5
YHR195W	3.5	3.5
YHR198C	3.5	3.5
YHR199C	3.5	3.5
YHR200W	3.5	3.5
YHR202W	3.5	3.5
YHR203C	3.5	3.5
YHR204W	3.5	3.5
YHR206W	3.5	3.5
YHR207C	3.5	3.5
YHR209W	3.5	3.5
YHR210C	3.5	3.5
YCL001W	3.5	3.5
YCL002C	3.5	3.5
YCL004W	3.5	3.5
YCL005W	3.5	3.5
YCL007C	3.5	3.5
YCL008C	3.5	3.5
YCL009C	3.5	3.5
YCL011C	3.5	3.5
YCL014W	3.5	3.5
YCL016C	1.0	3.5
YCL024W	3.5	3.5
YCL025C	3.5	3.5
YCL027W	3.5	3.5
YCL028W	3.5	3.5
YCL029C	3.5	3.5
YCL033C	3.5	3.5
YCL034W	3.5	3.5
YCL036W	3.5	3.5
YCL037C	3.5	3.5
YCL039W	3.5	3.5
YCL040W	3.5	3.5
YCL042W	3.5	3.5
YCL044C	3.5	3.5
YCL045C	3.5	3.5
YCL046W	3.5	3.5
YCL047C	3.5	3.5
YCL048W	3.5	3.5
YCL049C	3.5	3.5
YCL050C	3.5	3.5
YCL051W	3.5	3.5
YCL055W	3.5	3.5
YCL056C	3.5	3.5
YCL057W	3.5	3.5
YCL061C	3.5	3.5
YCL063W	3.5	3.5
YCL064C	3.5	3.5
YCL069W	3.5	3.5
YCR001W	3.5	3.5
YCR004C	3.5	3.5
YCR005C	3.5	3.5
YCR006C	3.5	3.5
YCR007C	3.5	3.5
YCR008W	3.5	3.5
YCR009C	3.5	6.0
YCR010C	3.5	3.5
YCR011C	3.5	3.5
YCR014C	3.5	3.5
YCR015C	3.5	3.5
YCR016W	3.5	3.5
YCR017C	3.5	3.5
YCR019W	3.5	3.5
YCR020C	3.5	3.5
YCR020C-A	3.5	3.5
YCR021C	3.5	3.5
YCR022C	3.5	3.5
YCR023C	3.5	3.5
YLR420W	3.5	5.0
YLR451W	3.5	3.5
YLR126C	3.5	3.5
YLR128W	3.5	3.5
YLR130C	3.5	3.5
YLR131C	3.5	3.5
YLR133W	3.5	3.5
YLR134W	3.5	3.5
YLR135W	3.5	3.5
YLR136C	3.5	3.5
YLR137W	3.5	3.5
YLR138W	3.5	3.5
YLR142W	3.5	3.5
YLR143W	3.5	3.5
YLR149C	3.5	3.5
YLR150W	3.5	3.5
YLR151C	3.5	3.5
YLR152C	3.5	3.5
YLR154C	3.5	3.5
YLR164W	3.5	3.5
YLR165C	3.5	3.5
YLR168C	3.5	5.0
YLR169W	3.5	5.0
YLR170C	3.5	3.5
YLR171W	3.5	3.5
YLR172C	3.5	3.5
YLR173W	3.5	3.5
YLR174W	3.5	3.5
YLR176C	3.5	5.0
YLR177W	3.5	3.5
YLR178C	3.5	3.5
YLR179C	3.5	3.5
YLR180W	3.5	3.5
YLR181C	3.5	3.5
YLR182W	3.5	3.5
YLR183C	3.5	3.5
YLR184W	3.5	5.0
YLR185W	3.5	6.0
YLR187W	3.5	3.5
YLR188W	3.5	5.0
YLR189C	3.5	3.5
YLR190W	3.5	3.5
YLR191W	3.5	3.5
YLR193C	3.5	3.5
YLR194C	3.5	3.5
YLR199C	3.5	3.5
YLR200W	3.5	3.5
YLR204W	3.5	3.5
YLR205C	3.5	3.5
YLR206W	3.5	3.5
YLR207W	3.5	3.5
YLR209C	3.5	3.5
YLR210W	3.5	3.5
YLR211C	3.5	3.5
YLR213C	3.5	3.5
YLR214W	3.5	3.5
YLR216C	3.5	3.5
YLR217W	3.5	3.5
YLR218C	3.5	3.5
YLR219W	3.5	3.5
YLR220W	3.5	5.0
YLR221C	3.5	3.5
YLR224W	3.5	3.5
YLR225C	3.5	3.5
YLR226W	0.0	3.5
YLR227C	3.5	3.5
YKL001C	3.5	3.5
YKL006W	3.5	3.5
YKL007W	3.5	3.5
YKL008C	3.5	3.5
YKL009W	3.5	3.5
YKL010C	3.5	3.5
YKL011C	3.5	5.0
YKL015W	3.5	3.5
YKL017C	3.5	3.5
YKL020C	3.5	3.5
YKL023W	3.5	3.5
YKL025C	3.5	3.5
YKL026C	3.5	3.5
YKL027W	3.5	3.5
YKL029C	3.5	3.5
YKL031W	3.5	3.5
YKL032C	3.5	3.5
YKL034W	3.5	3.5
YKL037W	3.5	3.5
YKL038W	3.5	3.5
YKL039W	3.5	3.5
YKL040C	3.5	3.5
YKL041W	3.5	3.5
YKL043W	3.5	3.5
YKL044W	3.5	3.5
YKL046C	3.5	3.5
YKL047W	3.5	3.5
YKL048C	3.5	3.5
YKL050C	3.5	3.5
YKL051W	3.5	3.5
YKL053W	3.5	3.5
YKL054C	3.5	3.5
YKL055C	3.5	3.5
YKL056C	3.5	3.5
YKL057C	3.5	3.5
YKL061W	3.5	3.5
YKL062W	3.5	3.5
YKL063C	3.5	3.5
YKL064W	3.5	3.5
YKL065C	3.5	3.5
YKL066W	3.5	3.5
YKL067W	3.5	5.0
YKL069W	3.5	3.5
YKL070W	3.5	3.5
YKL071W	3.5	3.5
YKL072W	3.5	5.0
YKL073W	3.5	3.5
YKL074C	3.5	3.5
YKL075C	3.5	5.0
YKL076C	3.5	3.5
YKL077W	3.5	3.5
YKL079W	3.5	3.5
YKL080W	3.5	3.5
YKL081W	3.5	3.5
YKL084W	3.5	5.0
YKL085W	3.5	3.5
YKL086W	3.5	3.5
YKL090W	3.5	3.5
YKL091C	3.5	3.5
YKL092C	3.5	5.0
YKL093W	3.5	3.5
YKL094W	3.5	3.5
YKL096W	3.5	3.5
YKL097C	3.5	3.5
YKL098W	3.5	3.5
YKL100C	3.5	3.5
YKL101W	3.5	3.5
YKL102C	3.5	3.5
YKL103C	3.5	3.5
YKL105C	3.5	3.5
YKL106W	3.5	5.0
YKL107W	3.5	3.5
YKL109W	3.5	6.0
YKL110C	3.5	3.5
YKL113C	3.5	3.5
YKL116C	3.5	3.5
YKL117W	3.5	3.5
YKL118W	3.5	3.5
YKL119C	0.0	3.5
YKL120W	3.5	3.5
YKL121W	3.5	3.5
YKL123W	3.5	3.5
YKL124W	3.5	5.0
YKL126W	3.5	3.5
YKL127W	3.5	3.5
YKL128C	3.5	3.5
YKL129C	3.5	3.5
YKL130C	3.5	3.5
YKL131W	3.5	3.5
YKL132C	3.5	3.5
YKL133C	3.5	3.5
YKL136W	3.5	3.5
YKL137W	3.5	3.5
YKL140W	3.5	3.5
YKL142W	3.5	5.0
YKL143W	3.5	5.0
YKL146W	3.5	5.0
YKL148C	3.5	3.5
YKL149C	3.5	3.5
YKL150W	3.5	3.5
YKL151C	3.5	3.5
YKL155C	3.5	3.5
YKL156W	3.5	3.5
YKL157W	3.5	3.5
YKL159C	3.5	5.0
YKL160W	3.5	3.5
YKL161C	3.5	5.0
YKL162C	3.5	3.5
YKL163W	3.5	3.5
YKL164C	3.5	3.5
YKL166C	3.5	3.5
YKL167C	3.5	3.5
YKL168C	3.5	3.5
YKL171W	3.5	3.5
YKL174C	3.5	3.5
YKL175W	3.5	3.5
YKL176C	3.5	5.0
YKL179C	3.5	5.0
YKL183W	3.5	3.5
YKL184W	3.5	3.5
YKL185W	3.5	3.5
YKL187C	3.5	3.5
YKL188C	3.5	3.5
YKL190W	3.5	5.0
YGR027C	3.5	5.0
YGR031W	3.5	3.5
YGR033C	3.5	3.5
YGR034W	3.5	3.5
YGR035C	3.5	3.5
YGR036C	3.5	3.5
YGR037C	3.5	3.5
YGR039W	3.5	3.5
YGR041W	3.5	3.5
YGR042W	3.5	3.5
YGR043C	3.5	5.0
YGR044C	3.5	3.5
YGR045C	3.5	3.5
YGR049W	3.5	3.5
YGR051C	3.5	3.5
YGR052W	3.5	5.0
YGR054W	3.5	3.5
YGR055W	3.5	3.5
YGR056W	3.5	3.5
YGR057C	3.5	3.5
YGR058W	3.5	3.5
YGR059W	3.5	3.5
YGR061C	3.5	3.5
YGR064W	3.5	3.5
YGR066C	3.5	3.5
YGR067C	3.5	3.5
YGR068C	3.5	3.5
YGR069W	3.5	3.5
YGR070W	3.5	3.5
YGR071C	3.5	3.5
YGR072W	3.5	3.5
YGR077C	3.5	3.5
YGR078C	3.5	3.5
YGR079W	3.5	3.5
YGR080W	3.5	3.5
YGR081C	3.5	3.5
YGR084C	3.5	3.5
YGR085C	3.5	3.5
YGR087C	3.5	3.5
YGR088W	3.5	3.5
YGR096W	3.5	3.5
YGR097W	3.5	3.5
YGR100W	3.5	3.5
YGR101W	1.0	3.5
YGR104C	1.0	3.5
YGR105W	3.5	3.5
YGR107W	3.5	3.5
YGR108W	3.5	3.5
YGR109C	3.5	3.5
YGR111W	3.5	3.5
YGR112W	3.5	3.5
YGR118W	3.5	3.5
YGR121C	3.5	3.5
YGR122W	3.5	3.5
YOR097C	3.5	3.5
YOR099W	3.5	3.5
YOR100C	3.5	3.5
YOR101W	3.5	3.5
YOR104W	3.5	3.5
YOR105W	3.5	3.5
YOR106W	0.0	3.5
YOR107W	3.5	3.5
YOR108W	3.5	3.5
YOR109W	3.5	3.5
YOR111W	3.5	3.5
YOR112W	3.5	3.5
YOR113W	3.5	3.5
YOR114W	3.5	3.5
YOR115C	3.5	3.5
YOR118W	3.5	3.5
YOR120W	3.5	3.5
YOR121C	3.5	3.5
YOR123C	3.5	3.5
YOR124C	3.5	3.5
YOR126C	3.5	3.5
YOR129C	3.5	3.5
YOR130C	3.5	3.5
YOR131C	3.5	3.5
YOR132W	3.5	3.5
YOR133W	3.5	3.5
YOR134W	3.5	3.5
YOR135C	3.5	3.5
YOR136W	3.5	3.5
YOR137C	3.5	3.5
YOR138C	3.5	3.5
YOR139C	3.5	3.5
YOR140W	3.5	3.5
YOR142W	3.5	3.5
YOR144C	3.5	3.5
YOR152C	3.5	3.5
YOR153W	3.5	3.5
YOR154W	3.5	3.5
YOR156C	3.5	3.5
YOR161C	3.5	3.5
YOR162C	3.5	3.5
YOR163W	3.5	3.5
YOR164C	0.0	3.5
YOR165W	3.5	3.5
YOR166C	3.5	3.5
YOR167C	3.5	3.5
YOR170W	3.5	3.5
YOR171C	3.5	3.5
YOR172W	3.5	3.5
YOR173W	3.5	3.5
YOR175C	3.5	3.5
YOR177C	3.5	3.5
YOR178C	3.5	3.5
YOR179C	3.5	3.5
YOR180C	3.5	3.5
YOR182C	3.5	3.5
YOR183W	3.5	3.5
YOR184W	0.0	3.5
YOR185C	3.5	3.5
YOR186W	3.5	3.5
YOR188W	3.5	3.5
YOR189W	3.5	3.5
YOR190W	3.5	3.5
YOR191W	1.0	3.5
YOR192C	3.5	3.5
YOR193W	3.5	3.5
YOR195W	3.5	3.5
YOR196C	3.5	3.5
YOR197W	3.5	3.5
YOR198C	3.5	3.5
YOR199W	3.5	3.5
YOR200W	3.5	3.5
YOR201C	3.5	3.5
YOR202W	3.5	3.5
YOR205C	3.5	3.5
YOR208W	3.5	3.5
YOR209C	3.5	3.5
YOR213C	3.5	3.5
YOR214C	3.5	3.5
YOR215C	3.5	3.5
YOR216C	3.5	3.5
YOR219C	3.5	3.5
YOR220W	3.5	3.5
YOR221C	3.5	3.5
YOR222W	3.5	3.5
YOR223W	3.5	3.5
YOR225W	3.5	3.5
YOR226C	3.5	3.5
YOR227W	3.5	3.5
YOR228C	3.5	3.5
YOR229W	3.5	3.5
YOR230W	3.5	3.5
YOR231W	3.5	3.5
YOR233W	3.5	3.5
YOR234C	3.5	3.5
YOR235W	3.5	3.5
YOR237W	3.5	3.5
YOR238W	3.5	3.5
YOR239W	3.5	3.5
YOR242C	3.5	3.5
YOR243C	3.5	3.5
YOR245C	3.5	3.5
YOR246C	3.5	3.5
YOR247W	3.5	3.5
YOR248W	3.5	3.5
YOR251C	3.5	3.5
YOR252W	3.5	3.5
YOR253W	3.5	3.5
YOR255W	3.5	3.5
YOR258W	3.5	3.5
YOR263C	3.5	3.5
YOR264W	3.5	3.5
YOR277C	3.5	3.5
YOR279C	3.5	3.5
YOR280C	3.5	3.5
YOR283W	3.5	3.5
YOR284W	3.5	3.5
YOR285W	3.5	3.5
YOR286W	3.5	3.5
YOR288C	3.5	3.5
YJL218W	3.5	3.5
YJL217W	3.5	3.5
YJL216C	3.5	3.5
YJL215C	3.5	3.5
YJL214W	3.5	3.5
YJL212C	3.5	3.5
YJL210W	3.5	3.5
YJL211C	3.5	3.5
YJL208C	3.5	3.5
YJL207C	3.5	3.5
YJL199C	3.5	3.5
YJL198W	3.5	3.5
YJL197W	3.5	3.5
YJL193W	3.5	3.5
YJL192C	3.5	3.5
YJL190C	3.5	3.5
YJL188C	3.5	3.5
YJL187C	3.5	3.5
YJL186W	3.5	3.5
YJL185C	3.5	3.5
YJL183W	3.5	3.5
YJL181W	3.5	3.5
YJL182C	3.5	3.5
YJL179W	3.5	3.5
YJL178C	3.5	3.5
YJL176C	1.0	3.5
YJL171C	3.5	3.5
YJL170C	3.5	3.5
YJL169W	3.5	3.5
YJL168C	3.5	3.5
YJL166W	3.5	3.5
YJL164C	1.0	3.5
YJL162C	1.0	3.5
YJL160C	3.5	3.5
YJL159W	3.5	3.5
YJL158C	3.5	3.5
YJL157C	3.5	3.5
YJL155C	3.5	3.5
YJL154C	1.0	3.5
YJL153C	3.5	3.5
YJL152W	3.5	3.5
YJL150W	3.5	3.5
YJL149W	3.5	3.5
YJL148W	3.5	3.5
YJL147C	3.5	5.0
YJL146W	3.5	3.5
YJL145W	3.5	3.5
YJL144W	3.5	3.5
YJL142C	3.5	3.5
YJL135W	3.5	3.5
YJL134W	3.5	3.5
YJL133W	3.5	3.5
YJL132W	3.5	3.5
YJL131C	3.5	3.5
YJL129C	1.0	3.5
YLR324W	3.5	5.0
YLR325C	3.5	3.5
YLR326W	3.5	3.5
YLR327C	3.5	3.5
YLR328W	3.5	3.5
YLR329W	3.5	3.5
YLR330W	1.0	3.5
YLR331C	3.5	3.5
YLR332W	3.5	3.5
YLR333C	3.5	3.5
YLR335W	3.5	3.5
YOR300W	3.5	3.5
YMR038C	1.0	3.5
YLR341W	3.5	3.5
YLR342W	1.0	3.5
YLR390W-A	3.5	3.5
YLR392C	3.5	3.5
YLR393W	3.5	3.5
YLR395C	3.5	3.5
YOR364W	3.5	3.5
YLR398C	3.5	3.5
YLR006C	3.5	3.5
YLR400W	3.5	3.5
YLR401C	3.5	3.5
YLR402W	3.5	3.5
YLR403W	3.5	3.5
YLR404W	3.5	3.5
YLR405W	3.5	3.5
YLR407W	3.5	5.0
YLR408C	3.5	3.5
YLR410W	3.5	3.5
YLR412W	3.5	3.5
YLR413W	3.5	3.5
YLR414C	3.5	3.5
YLR415C	3.5	3.5
YLR416C	3.5	3.5
YLR417W	3.5	5.0
YLR418C	3.5	3.5
YLR421C	3.5	3.5
YDR147W	3.5	3.5
YDR148C	1.0	3.5
YDR149C	3.5	3.5
YDR150W	3.5	3.5
YDR151C	3.5	3.5
YDR152W	3.5	3.5
YDR153C	3.5	3.5
YDR154C	3.5	3.5
YDR155C	3.5	3.5
YDR156W	1.0	3.5
YDR157W	1.0	3.5
YDR158W	3.5	3.5
YDR159W	1.0	3.5
YDR161W	3.5	3.5
YDR162C	1.0	3.5
YDR163W	3.5	3.5
YDR165W	3.5	3.5
YDR169C	3.5	3.5
YDR171W	3.5	3.5
YDR176W	3.5	3.5
YDR178W	3.5	3.5
YDR179C	3.5	3.5
YDR179W-A	3.5	3.5
YDR181C	3.5	3.5
YDR183W	3.5	3.5
YDR184C	3.5	3.5
YDR185C	3.5	3.5
YDR186C	3.5	3.5
YDR191W	3.5	3.5
YDR192C	3.5	3.5
YDR193W	3.5	3.5
YDR195W	3.5	3.5
YDR198C	3.5	3.5
YDR199W	3.5	3.5
YDR200C	3.5	3.5
YDR203W	3.5	3.5
YDR204W	3.5	3.5
YDR206W	3.5	3.5
YDR207C	1.0	3.5
YDR209C	3.5	3.5
YDR210W	3.5	3.5
YDR213W	3.5	3.5
YDR214W	3.5	3.5
YDR215C	3.5	3.5
YDR216W	3.5	3.5
YDR217C	3.5	3.5
YDR218C	3.5	3.5
YDR219C	3.5	3.5
YDR220C	3.5	3.5
YDR221W	3.5	3.5
YDR222W	3.5	3.5
YDR223W	3.5	3.5
YDR225W	3.5	3.5
YDR226W	1.0	3.5
YDR229W	3.5	3.5
YDR231C	3.5	3.5
YDR233C	3.5	3.5
YDR234W	3.5	3.5
YDR237W	3.5	3.5
YDR239C	3.5	3.5
YDR241W	3.5	5.0
YLR027C	3.5	3.5
YML001W	3.5	3.5
YMR266W	3.5	3.5
YNL330C	3.5	3.5
YOR305W	3.5	3.5
YOR369C	3.5	3.5
YDR103W	3.5	3.5
YDR127W	3.5	3.5
YEL004W	3.5	3.5
YEL029C	3.5	3.5
YER032W	3.5	3.5
YER039C	3.5	3.5
YER052C	3.5	3.5
YER057C	3.5	3.5
YER060W-A	3.5	3.5
YER061C	3.5	3.5
YER066C-A	3.5	3.5
YER079W	3.5	3.5
YHL042W	3.5	3.5
YHL041W	3.5	3.5
YHL030W	3.5	3.5
YHL029C	3.5	6.0
YHL021C	3.5	3.5
YHL016C	3.5	3.5
YHL007C	3.5	3.5
YHL005C	3.5	3.5
YHL003C	3.5	3.5
YHR150W	3.5	3.5
YHR176W	3.5	3.5
YHR177W	3.5	3.5
YCL032W	3.5	3.5
YCR002C	3.5	3.5
YKL068W	3.5	3.5
YKL135C	3.5	3.5
YKL177W	3.5	3.5
YKL178C	3.5	3.5
YOR212W	3.5	3.5
YJL205C	3.5	5.0
YJL204C	3.5	3.5
YJL201W	3.5	3.5
YJL184W	0.0	3.5
YJL138C	3.5	3.5
YJL130C	3.5	3.5
YDR173C	3.5	3.5
YDR227W	3.5	3.5
YCL030C	3.5	3.5
YLR228C	3.5	3.5
YLR231C	3.5	3.5
YLR232W	3.5	3.5
YLR236C	3.5	3.5
YLR238W	3.5	3.5
YLR241W	3.5	3.5
YLR247C	3.5	3.5
YLR248W	3.5	3.5
YLR250W	3.5	3.5
YLR251W	3.5	3.5
YLR252W	3.5	3.5
YLR253W	3.5	5.5
YLR254C	3.5	3.5
YLR255C	3.5	3.5
YLR257W	3.5	3.5
YLR258W	3.5	5.0
YLR260W	3.5	3.5
YLR261C	1.0	3.5
YLR262C	0.0	3.5
YLR263W	3.5	3.5
YLR264W	3.5	6.0
YLR265C	3.5	3.5
YLR266C	3.5	3.5
YLR267W	1.0	3.5
YLR268W	1.0	3.5
YLR269C	3.5	3.5
YLR270W	3.5	3.5
YLR271W	3.5	5.0
YLR273C	3.5	3.5
YLR278C	3.5	3.5
YLR279W	3.5	3.5
YLR280C	3.5	3.5
YLR281C	3.5	3.5
YLR282C	3.5	3.5
YLR283W	3.5	3.5
YLR284C	3.5	3.5
YLR285W	3.5	3.5
YLR287C	3.5	3.5
