ORF	hom | growth (relative abundance in pooled culture) | YPGal, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | YPGal, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Lys, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Trp, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Thr, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | standard | YPD | Giaever G~Johnston M, 2002	hom | cell size | standard | YPAD | Giaever G~Johnston M, 2002	hom | elongated cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | round cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | clumped cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | football cell shape | standard | YPAD | Giaever G~Johnston M, 2002
YJR073C	-33.672	-0.451	-207.071	-13.958	-113.537	0.320	-1.881	-15.659	-2.304	-0.106	-59.690	-14.811	-1.930	-3.602	-0.221	0.522	0.000	2.000	0.000	0.000	0.000	0.000
YJR074W	-1.257	12.934	40.398	28.474	16.979	-0.598	10.907	1.892	3.872	12.591	-0.171	0.808	-0.390	-0.874	-0.544	-0.349	0.000	0.000	3.000	0.000	0.000	0.000
YJR075W	-2.016	10.163	-2.461	-4.064	-76.925	-1.226	9.155	-46.572	-3.304	11.328	-19.941	-18.584	1.851	0.948	0.308	2.446	0.000	2.000	0.000	3.000	0.000	0.000
YJR077C	-10.956	5.271	-7.775	-4.495	0.942	-1.909	2.572	-11.550	-8.680	-7.892	-0.807	0.645	-6.857	-13.264	-1.148	-3.638	0.000	0.000	0.000	0.000	0.000	0.000
YJR078W	-1.172	2.352	-2.268	-17.829	-5.889	0.274	1.718	-0.328	-1.706	2.551	1.522	1.766	0.387	0.911	1.056	-1.809	0.000	0.000	0.000	0.000	0.000	0.000
YJR079W	-0.461	2.803	0.608	-3.210	3.394	-0.918	-3.581	3.521	6.133	-0.106	1.005	0.207	-16.019	-18.856	-18.048	-17.387	0.000	0.000	0.000	0.000	0.000	0.000
YJR080C	0.427	-4.875	1.574	-76.287	-12.955	0.744	-6.203	-9.738	-13.089	-8.797	-1.768	-1.256	-2.053	-4.445	-1.373	-1.776	0.000	0.000	0.000	0.000	0.000	0.000
YJR082C	-0.536	6.013	2.998	-53.711	-38.233	2.543	0.972	-9.326	-2.195	0.456	-16.781	-1.913	-3.092	-3.523	-2.670	-2.410	0.000	0.000	0.000	0.000	0.000	0.000
YJR083C	-1.079	1.932	-2.356	-11.124	-77.418	-1.084	2.017	-1.769	-0.719	4.385	-1.931	1.252	-0.070	0.700	0.366	-0.327	0.000	2.000	0.000	0.000	0.000	0.000
YJR084W	-1.723	36.410	3.088	-110.239	12.142	1.279	8.636	-1.282	-6.781	10.750	-4.554	-1.396	-10.528	-10.930	-9.023	-6.931	0.000	0.000	0.000	0.000	0.000	0.000
YJR087W	0.008	2.570	1.410	-39.381	-5.705	1.102	1.464	0.152	-3.118	1.411	-1.187	0.162	0.441	0.075	0.455	0.800	0.000	0.000	0.000	0.000	0.000	0.000
YJR088C	-1.081	6.653	-1.481	-52.320	-3.106	0.091	3.538	-1.303	-3.036	-2.929	-3.544	-5.945	1.901	4.934	4.179	3.684	0.000	0.000	0.000	0.000	0.000	0.000
YJR090C	-1.302	2.727	3.004	18.874	-0.802	1.191	-0.151	-0.862	1.149	-0.344	-2.393	1.547	1.607	0.908	0.722	0.165	-9.700	0.000	4.000	0.000	0.000	0.000
YJR091C	-1.691	-2.603	1.842	-12.301	6.275	0.941	-1.747	2.372	-0.204	-1.733	1.426	-1.921	-0.694	1.423	-0.341	-0.482	0.000	0.000	0.000	0.000	0.000	0.000
YJR092W	0.014	-2.815	-0.023	-20.223	-17.136	0.472	-2.600	-2.862	-3.895	-0.689	-1.814	1.969	1.711	2.048	2.550	1.064	0.000	0.000	0.000	0.000	0.000	0.000
YJR094C	2.311	2.380	0.172	-15.965	0.894	-0.179	-0.056	3.189	-1.241	0.742	3.174	-1.469	1.383	0.526	0.736	1.056	0.000	0.000	0.000	0.000	0.000	0.000
YJR094W-A	1.746	-7.410	0.297	-7.178	-8.076	-1.550	-0.071	-6.491	-8.228	-2.374	0.061	-0.512	-6.529	-9.701	-10.760	-4.941	0.000	0.000	0.000	0.000	0.000	0.000
YJR095W	-2.796	-1.138	-2.778	-17.554	-1.646	-0.862	-2.236	-1.333	-2.241	1.662	0.978	2.290	0.033	0.785	0.590	0.333	0.000	0.000	0.000	0.000	0.000	0.000
YJR096W	-0.177	3.486	-2.630	-27.204	-4.553	-0.835	2.044	-2.334	-3.517	2.114	-2.346	0.536	0.249	-0.473	-0.099	1.214	0.000	0.000	0.000	0.000	0.000	0.000
