ORF	growth (colony size);Camptothecin	growth (colony size);Hydroxyurea	growth (colony size);Benomyl	growth (colony size);Caffeine	growth (colony size);Cycloheximide	growth (colony size);CsA	growth (colony size);FK506	growth (colony size);Fluconazole	growth (colony size);Rapamycin	growth (colony size);Sulfometuron methyl	growth (colony size);Tunicamycin	growth (colony size);Wortmannin
YKL190W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000
YNL225C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YPL172C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YER141W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YBR036C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000
YMR048W	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR380W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YPR135W	-3.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YHR191C	-2.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YKL139W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YEL027W	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-3.000	-0.000	-0.000	-0.000	-3.000	-2.000
YPR049C	-0.000	-0.000	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000
YCL007C	-1.000	-2.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000
YGR155W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-1.000	-0.000
YBR301W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YGR092W	-2.000	-2.000	-0.000	-2.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YCL016C	-2.000	-2.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YPL194W	-3.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YFL001W	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YAL013W	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR080W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YKR035W-A	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YKL002W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-2.000	-0.000
YER166W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YKL213C	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR069C	-0.000	-0.000	-0.000	-2.000	-1.000	-0.000	-0.000	-0.000	-1.000	-0.000	-1.000	-0.000
YKL191W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YAL026C	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-3.000	-0.000	-0.000	-0.000	-0.000
YDL101C	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YKR054C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YKL204W	-0.000	-2.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YBR076W	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YBL047C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YKL048C	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR080W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000
YMR202W	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-1.000	-0.000	-1.000	-3.000
YER044C	-1.000	-1.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR056W	-2.000	-2.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-3.000
YGL012W	-2.000	-1.000	-0.000	-0.000	-3.000	-0.000	-0.000	-3.000	-1.000	-0.000	-0.000	-3.000
YMR015C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-0.000	-0.000
YML008C	-2.000	-1.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-1.000	-2.000	-0.000	-3.000
YNL125C	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YFR019W	-1.000	-2.000	-0.000	-2.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YCR034W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000
YCR028C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000
YNL325C	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YLR342W	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLL043W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YPL262W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-1.000
YAL035W	-1.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YDL151C	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YNL133C	-0.000	-3.000	-3.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR068W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOL051W	-2.000	-2.000	-0.000	-0.000	-3.000	-0.000	-0.000	-3.000	-0.000	-2.000	-2.000	-2.000
YMR307W	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGL195W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000
YDR283C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000
YFR009W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000
YKR026C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000
YEL009C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000
YNL199C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YMR189W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YJR040W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YNL153C	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YEL003W	-0.000	-0.000	-1.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000
YML094W	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000
YPR160W	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-2.000	-1.000	-0.000	-1.000	-0.000
YJR090C	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-1.000	-3.000	-1.000
YML121W	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-2.000
YGR163W	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-2.000
YGL084C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000
YPL189W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR070C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YFL031W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000
YNL281W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YNL021W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YJR140C	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YFR025C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YDR174W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJR075W	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-0.000
YMR032W	-2.000	-2.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-3.000	-0.000
YDR158W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YER052C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YJR139C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YGL033W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGL194C	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YBR215W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YJL092W	-2.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YMR186W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YBR133C	-1.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YNL215W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YLR052W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YER092W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YEL044W	-1.000	-3.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-1.000
YCL009C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YNL106C	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR109W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YHR079C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000
YER019W	-0.000	-1.000	-0.000	-0.000	-3.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YBR245C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-2.000
YMR294W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YPR141C	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YNL238W	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-2.000	-3.000	-2.000	-1.000	-0.000	-0.000
