orf	hap a | growth (colony size) | camptothecin [15 ug/ml]	hap a | growth (colony size) | hydroxyurea [100 mM]	hap a | growth (colony size) | benomyl [15 ug/ml]	hap a | growth (colony size) | caffeine [0.15 %]	hap a | growth (colony size) | cycloheximide [0.1 ug/ml]	hap a | growth (colony size) | cyclosporin A [100 ug/ml]	hap a | growth (colony size) | tacrolimus (anhydrous) [2 ug/ml]	hap a | growth (colony size) | fluconazole [15 ug/ml]	hap a | growth (colony size) | sirolimus [0.015 ug/ml]	hap a | growth (colony size) | sulfometuron methyl [3 ug/ml]	hap a | growth (colony size) | tunicamycin [5 ug/ml]	hap a | growth (colony size) | wortmannin [1.3 ug/ml]
YGL023C	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YGL024W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-1.0	-1.0	-3.0
YGL025C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YGL033W	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL045W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YGL050W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YGL066W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YGL070C	-2.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL072C	-0.0	-2.0	-2.0	-1.0	-3.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YGL084C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL086W	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL087C	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL127C	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL148W	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL151W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0
YGL157W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL163C	-3.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL167C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-2.0
YGL168W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-2.0	-2.0
YGL175C	-2.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL194C	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL195W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0
YGL211W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YGL212W	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-1.0	-2.0	-0.0	-2.0	-0.0
YGL244W	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGL252C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGR020C	-0.0	-1.0	-0.0	-0.0	-0.0	-1.5	-1.5	-0.0	-0.0	-1.0	-1.5	-0.0
YGR036C	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGR041W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGR057C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YGR063C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0
YGR078C	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGR081C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YGR092W	-2.0	-2.0	-0.0	-2.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGR097W	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGR105W	-0.0	-0.0	-0.0	-1.0	-0.0	-2.0	-2.0	-0.0	-0.0	-0.0	-3.0	-0.0
YGR112W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YGR135W	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YGR155W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-1.0	-0.0
YGR161C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YGR163W	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-2.0
YGR167W	-0.0	-0.0	-0.0	-3.0	-0.0	-3.0	-3.0	-0.0	-0.0	-1.0	-0.0	-0.0
YGR188C	-0.0	-2.0	-1.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0
YGR208W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YGR217W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YGR229C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-1.0	-0.0
YGR285C	-3.0	-1.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0
YHL011C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-3.0
YHL020C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YHL025W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-2.0	-0.0
YHL027W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-1.0	-0.0
YHL029C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0	-0.0	-2.0
YHR004C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YHR010W	-0.0	-1.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YHR012W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-2.0	-1.0	-0.0	-0.0	-0.0
YHR013C	-0.0	-0.0	-0.0	-2.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YHR025W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YHR026W	-0.0	-0.0	-0.0	-0.0	-3.0	-3.0	-3.0	-0.0	-2.0	-1.0	-3.0	-2.0
YHR030C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0	-3.0	-0.0
YHR039C-A	-0.0	-0.0	-0.0	-0.0	-1.5	-1.5	-1.5	-0.0	-0.0	-0.5	-1.0	-1.0
YHR041C	-0.0	-2.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YHR045W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0
YHR060W	-0.0	-1.0	-0.0	-0.0	-3.0	-3.0	-3.0	-0.0	-0.0	-0.0	-3.0	-0.0
YHR064C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0
YHR079C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YHR111W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YHR121W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YHR129C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-2.0	-0.0	-0.0
YHR154W	-2.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YHR167W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YHR171W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YHR178W	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YHR189W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YHR191C	-2.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YHR206W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YIL008W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YIL018W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YIL027C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YIL029C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YIL040W	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YIL052C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-2.0	-0.0	-0.0
YIL076W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YIL092W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YIL102C	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YIL103W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YIL105C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0
YIL128W	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YIL153W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YIL161W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YIR021W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YIR026C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0
YJL022W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL027C	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL030W	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL036W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YJL047C	-3.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL053W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YJL080C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL092W	-2.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL095W	-0.0	-0.0	-0.0	-3.0	-2.0	-0.0	-0.0	-0.0	-2.0	-0.0	-3.0	-0.0
YJL115W	-2.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL121C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0
YJL124C	-2.0	-1.0	-0.0	-3.0	-3.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0
YJL127C	-3.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL140W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YJL148W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YJL154C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YJL162C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YJL175W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YJL179W	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL183W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0	-0.0
YJL187C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YJL188C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YJL190C	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJL204C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YJR033C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YJR040W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YJR043C	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJR066W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0
YJR074W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-3.0
YJR075W	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0	-0.0
YJR084W	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YJR090C	-2.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-1.0	-3.0	-1.0
YJR095W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YJR102C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-3.0	-2.0	-0.0	-1.0	-0.0
YJR104C	-1.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YJR105W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YJR117W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YJR139C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YJR140C	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YKL002W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0	-2.0	-0.0
YKL006W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YKL011C	-2.0	-1.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YKL037W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKL041W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKL048C	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YKL054C	-2.0	-3.0	-3.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-1.0	-0.0
YKL080W	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-3.0	-0.0	-1.0	-3.0	-2.0	-1.0
YKL081W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKL110C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YKL118W	-0.0	-1.0	-0.0	-0.0	-0.0	-3.0	-3.0	-3.0	-1.0	-2.0	-3.0	-2.0
YKL119C	-0.0	-1.0	-0.0	-2.0	-3.0	-3.0	-3.0	-1.0	-1.0	-2.0	-2.0	-2.0
YKL126W	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-3.0	-0.0	-2.0	-0.0	-3.0
YKL134C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YKL138C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0
YKL139W	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YKL155C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YKL157W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKL162C-A	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YKL176C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKL190W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YKL191W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YKL204W	-0.0	-2.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YKL212W	-0.0	-0.0	-0.0	-2.0	-0.0	-1.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0
YKL213C	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YKR001C	-0.0	-0.0	-0.0	-2.0	-0.0	-1.0	-1.0	-1.0	-2.0	-0.0	-0.0	-0.0
YKR006C	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YKR007W	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0
YKR020W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-2.0	-1.0	-0.0	-0.0	-2.0
YKR026C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0
YKR029C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YKR032W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKR033C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKR035W-A	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKR040C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKR047W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YKR048C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKR054C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKR059W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YKR082W	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLL002W	-3.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLL023C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YLL028W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YLL042C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YLL043W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YLL045C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YLR006C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YLR025W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0	-1.0	-0.0
YLR027C	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-1.0	-0.0
YLR032W	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR047C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YLR052W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YLR055C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0
YLR056W	-2.0	-2.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-3.0
YLR061W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR067C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YLR068W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR080W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0
YLR085C	-0.0	-0.0	-1.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR096W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YLR119W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR138W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YLR182W	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR200W	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR218C	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0
YLR226W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR234W	-1.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR235C	-3.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR242C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YLR261C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-2.0	-0.0
YLR288C	-2.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR295C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YLR320W	-3.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR322W	-0.0	-2.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YLR330W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YLR332W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
