orf	hap a (post-SGA) | protein stability (tFT-Pex15Δ30) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019	hap a (post-SGA) | protein stability (tFT-Tom5) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019
YBR165W	-0.07807388282517132	-0.1376361205963717
YBR166C	-0.3606927130316443	-0.13473010539456445
YBR168W	0.6970686739631721	
YBR169C	-0.28914762098265195	0.00253718253737401
YBR171W	1.3215566029576793	-0.3594669942299095
YBR172C	-0.019787936510051944	0.11262026564275562
YBR174C	2.2014101495802176	0.123698174696659
YBR175W	1.8309671358884811	0.36473257130642567
YBR176W	-0.3636498739646455	-0.08845923156866864
YBR177C	0.05077389613394443	0.19906827454089024
YBR178W	-0.15436028885519218	-0.16044664916602464
YBR180W	-0.05707384120987316	-0.5362649727022992
YBR182C	-0.2689192554500795	0.13643569516939322
YBR182C-A	0.10390737736086113	-0.13444272779478414
YBR183W	0.1448214305452038	-0.06341560422914846
YBR184W	0.0892031721490868	-0.0204597658042982
YBR185C	0.03612859231939262	0.6652173182660653
YBR186W	0.11458100838189068	-0.11234796965290852
YBR187W	0.6223108111179312	0.7016858620960476
YBR188C	-0.09755811919738258	-0.12240821824365616
YBR195C	0.5619577165890751	-0.25151726811624153
YBR196C-B	0.14360442780228014	-0.09636569691983714
YBR197C	-0.005776343420677338	0.003296475867331383
YBR199W	0.1685327044985276	0.027149752931611926
YBR200W	4.1743409375280605	0.29580327660360833
YBR200W-A	-0.1595603671686699	-0.08982367004552945
YBR201W	-0.1595138000475572	-0.1156548072861906
YBR203W	-0.5517155727398665	-0.3346227021925803
YBR204C	-0.33974860560017156	-0.1183468717430051
YBR205W	0.15927240790969663	0.12794259185042486
YBR206W	-0.07729500299384066	0.009980005157684907
YBR207W	0.13949518854356657	-0.1543492917173086
YBR208C	0.4055946756067795	0.011508142201505112
YBR209W	-0.1368243724023773	0.047159755092937405
YBR210W	0.462572079423299	-0.20725665972571247
YBR212W	0.2090342995579133	-0.04509642711434297
YBR213W	0.9517242689048703	0.02787295925126202
YBR214W	-0.12668186175562504	-0.35061360492942184
YBR215W	0.1525764284157095	-0.08635874876839668
YBR216C	0.27402572893012955	0.03920529545213969
YBR217W	0.018241565731672002	-0.0146834128103726
YBR218C	0.06449903699509184	-0.10968337810002107
YBR219C	-0.14878538535034339	0.0014343895941313866
YBR220C	0.18738883985014643	-0.06605552870197087
YBR221W-A	0.7037233340491829	
YBR222C	-0.47180425522605085	0.0032442404540270735
YBR223C	-0.811229163907177	0.12681728921107077
YBR224W	0.0967147453319364	-0.16304537989867862
YBR225W	-0.730347897817948	-0.04445168761260182
YBR226C	0.23196141240108054	-0.15935962239827742
YBR227C	-0.9115840031726151	-0.05045625432329714
YBR228W	-0.31455589832031106	-0.16307611055077914
YBR229C	0.8672855278654241	0.08950751970506994
YBR230C	-0.1021259865864574	-0.11628726671466054
YBR230W-A	-0.09147489583294172	-0.15202926811818537
YBR231C	0.8191112040684787	0.12118209948107676
YBR232C	-1.053738334853239	-0.08823696266092629
YBR233W	-0.354226832206975	-0.0652234729528122
YBR235W	0.41162720300499916	-0.11745924380459336
YBR238C	0.35380498643276065	0.14165836732678647
YBR239C	-0.4056416378527733	0.16496559762448482
YBR240C	0.5220099206142661	-0.07854749459010978
YBR241C	-0.1218206032595214	0.01509577076055234
YBR242W	-0.18587810125366608	-0.04954877858435275
YBR244W	0.09196447920776187	-0.1342390205126307
YBR245C	0.4374236700845874	-0.12372562675371966
YBR246W	0.7573931902822578	-0.031235081874918365
YBR249C	0.10369841910710223	0.06097961157994221
YBR250W	-0.10505139860391834	-0.11118217061830502
