orf	hap a | growth (colony size) | calcofluor white [50 ug/ml] | YPD | Zhao F~Han S, 2019	hap a | growth (colony size) | calcofluor white [500 ug/ml] | YPD | Zhao F~Han S, 2019
YKL204W	-3.0833822949500758	0.0
YKL212W	-3.0833822949500758	0.0
YKL213C	-3.0833822949500758	0.0
YKR001C	-3.0833822949500758	0.0
YKR019C	-3.0833822949500758	0.0
YKR020W	-3.0833822949500758	0.0
YKR024C	-3.0833822949500758	0.0
YKR027W	-3.0833822949500758	0.0
YKR035C	-3.0833822949500758	0.0
YKR035W-A	-3.0833822949500758	0.0
YKR055W	-3.0833822949500758	0.0
YKR084C	-3.0833822949500758	0.0
YLL002W	-3.0833822949500758	0.0
YLL006W-A	-3.0833822949500758	0.0
YLL043W	-3.0833822949500758	0.0
YLL049W	-3.0833822949500758	0.0
YLR027C	-3.0833822949500758	0.0
YLR039C	-3.0833822949500758	0.0
YLR056W	-3.0833822949500758	0.0
YLR079W	-3.0833822949500758	0.0
YLR083C	-3.0833822949500758	0.0
YLR087C	-3.0833822949500758	0.0
YLR110C	-3.0833822949500758	0.0
YLR111W	-3.0833822949500758	0.0
YLR119W	-3.0833822949500758	0.0
YLR148W	-3.0833822949500758	0.0
YLR177W	-3.0833822949500758	0.0
YLR180W	0.0	8.955981631674975
YLR181C	-3.0833822949500758	0.0
YLR182W	-3.0833822949500758	0.0
YLR185W	0.0	4.4779908158374875
YLR190W	-3.0833822949500758	0.0
YLR226W	-3.0833822949500758	0.0
YLR238W	-3.0833822949500758	0.0
YLR242C	-3.0833822949500758	0.0
YLR244C	-3.0833822949500758	0.0
YLR252W	-3.0833822949500758	0.0
YLR261C	-3.0833822949500758	0.0
YLR262C	-3.0833822949500758	0.0
YLR268W	-3.0833822949500758	0.0
YLR320W	-3.0833822949500758	0.0
YLR322W	-3.0833822949500758	0.0
YLR330W	0.0	13.433972447512463
YLR331C	-3.0833822949500758	0.0
YLR353W	0.0	13.433972447512463
YLR358C	-3.0833822949500758	0.0
YLR361C-A	-3.0833822949500758	0.0
YLR371W	-3.0833822949500758	0.0
YLR384C	-3.0833822949500758	0.0
YLR412W	-3.0833822949500758	0.0
