ORF	hap alpha | abundance of calcium | hypotonic shock (sodium 2-(N-morpholino)ethanesulfonate [10 mM], minimal complete-leu [standard]) | Loukin SH~Saimi Y, 2007
YJR018W	0.452
YGL079W	0.452
YER002W	0.452
YER142C	0.452
YJR080C	0.457
YGR118W	0.457
YBR210W	0.457
YOR312C	0.457
YDL160C-A	0.457
YPL109C	0.457
YMR119W-A	0.457
YEL068C	0.457
YCL047C	0.457
YBR032W	0.457
YJR117W	0.457
YPL172C	0.457
YBR057C	0.457
YHR137W	0.457
YOL055C	0.457
YLR067C	0.462
YCL009C	0.462
YKL198C	0.462
YGR169C	0.462
YOR313C	0.462
YGR207C	0.462
YBR244W	0.462
YLL016W	0.462
YMR225C	0.462
YNR029C	0.462
YML084W	0.462
YDR521W	0.462
YDR455C	0.462
YJL120W	0.462
YBR209W	0.462
YLR429W	0.462
YIR020W-B	0.462
YGL013C	0.467
YDR310C	0.467
YMR063W	0.467
YIL017C	0.467
YGL090W	0.467
YBR108W	0.467
YDR347W	0.467
YOR288C	0.467
YBL071C-B	0.467
YNR061C	0.467
YDL162C	0.467
YNL128W	0.467
YNR006W	0.467
YMR232W	0.467
YMR080C	0.467
YNL101W	0.472
YDL077C	0.472
YKR098C	0.472
YMR042W	0.472
YDR448W	0.472
YBR081C	0.472
YJL065C	0.472
YKR069W	0.472
YDR265W	0.472
YNL011C	0.683
YLR128W	0.472
YOR246C	0.472
YER132C	0.472
YJL079C	0.472
YEL057C	0.472
YBR181C	0.472
YER049W	0.472
YDL187C	0.472
YBR162C	0.472
YPR051W	0.472
YML007W	0.472
YHR171W	0.472
YBL075C	0.472
YKL199C	0.472
YLR375W	0.477
YBR156C	0.477
YLR384C	0.477
YBR093C	0.477
YKL222C	0.477
YKL068W-A	0.477
YBR074W	0.477
YHR139C	0.477
YOR285W	0.477
YCR032W	0.477
YPL198W	0.477
YBR191W	0.477
YOR239W	0.477
YPR114W	0.477
YPL247C	0.477
YIL067C	0.477
YDR442W	0.477
YDR379W	0.477
YPR023C	0.477
YER090W	0.477
YHR193C	0.477
YGL046W	0.477
YDR409W	0.483
YDL130W	0.483
YKR045C	0.483
YDL213C	0.483
YER162C	0.483
YPR066W	0.483
YMR004W	0.483
YJR055W	0.486
YNL321W	0.483
YBR148W	0.483
YDR414C	0.483
YER044C-A	0.483
YGL249W	0.483
YML020W	0.483
YGL072C	0.483
YDR417C	0.698
YDL180W	0.483
YOR079C	0.483
YOR219C	0.483
YDR359C	0.483
YGL017W	0.483
YMR275C	0.488
YJL132W	0.721
YIR016W	0.488
YDR289C	0.488
YER167W	0.488
YNR048W	0.488
YIL136W	0.488
YHR016C	0.488
YLR330W	0.488
YBL085W	0.488
YCL069W	0.488
YJL112W	0.488
YDR126W	0.488
YKR092C	0.488
YHR017W	0.488
YDL124W	0.488
YBR043C	0.488
YPL173W	0.488
YHR067W	0.488
YOR111W	0.488
YDR249C	0.488
YMR199W	0.488
YJL075C	0.488
YMR007W	0.488
YPL195W	0.488
YER005W	0.488
YJR011C	0.488
YDR469W	0.494
YNL107W	0.494
YMR137C	0.494
YGL004C	0.494
YNL021W	0.494
YIL095W	0.494
YMR251W-A	0.494
YBR052C	0.494
YBR151W	0.494
YDR032C	0.494
YFL023W	0.494
YMR230W	0.494
YFR023W	0.531
YDR384C	0.494
YLR380W	0.494
YDL210W	0.494
YBR291C	0.494
YLR134W	0.494
YIR031C	0.494
YPR059C	0.494
YPR014C	0.494
YML089C	0.494
YJR146W	0.494
YGL177W	0.494
YGL118C	0.494
YDR370C	0.494
YDR389W	0.494
YEL011W	0.494
YHR120W	0.494
YDL168W	0.494
YBR056W-A	0.494
YDR253C	0.500
YPL116W	0.500
YKR059W	0.500
YNL139C	0.500
YNL074C	0.500
YJR129C	0.500
YHR146W	0.500
YDR014W	0.500
YMR175W	0.679
YEL029C	0.500
YNL083W	0.500
YBR166C	0.500
YNL329C	0.500
YML079W	0.500
YGL037C	0.500
YMR226C	0.500
YCR037C	0.500
YGR077C	0.500
YBR040W	0.500
YER175W-A	0.500
YGL041C-B	0.500
YNL109W	0.500
YIL054W	0.500
YGR291C	0.500
YDR344C	0.500
YCR021C	0.500
YLR299W	0.500
YDR330W	0.506
YGL058W	0.506
YDR202C	0.506
YLR096W	0.506
YHR131C	0.506
YIL007C	0.506
YMR107W	0.506
YDR312W	0.506
YCR020C	0.506
YOL003C	0.506
YDR257C	0.506
YFL036W	0.506
YGL109W	0.506
YDR266C	0.506
YCR006C	0.506
YJR153W	0.506
YOR031W	0.506
YCL008C	0.506
YNL142W	0.506
YDR011W	0.506
YKL113C	0.506
YBR098W	0.512
YLR194C	0.512
YOR120W	0.512
YOR306C	0.956
YCL049C	0.512
YDR283C	0.512
YHR184W	0.512
YOR385W	0.512
YNL013C	0.512
YDL121C	0.512
YBR113W	0.512
YOR323C	0.512
YEL071W	0.512
YIL015W	0.512
YJR131W	0.512
YHR129C	0.512
YBR103W	0.519
YPL227C	0.519
YCL044C	0.519
YJR084W	0.519
YML055W	0.519
YIL113W	0.519
YBL036C	0.519
YJL200C	0.519
YAR023C	0.519
YLR221C	0.519
YDL099W	0.519
YJL216C	0.519
YDR485C	0.519
YLR410W	0.519
YNL246W	0.519
YKL041W	0.519
YML056C	0.519
YDR003W-A	0.519
YNL305C	0.519
YMR194C-A	0.519
YBL104C	0.519
YER174C	0.519
YLL060C	0.519
YDR251W	0.519
YOL158C	0.519
YJL215C	0.519
YDR305C	0.519
YPL002C	0.519
YHR096W	0.519
YJR099W	0.525
YBR289W	0.525
YDR371W	0.525
YHR114W	0.525
YDR436W	0.525
YMR026C	0.525
YIL166C	0.525
YHR007C-A	0.525
YNL035C	0.525
YNR036C	0.525
YDR242W	0.631
YOR307C	0.525
YNL237W	0.525
YNL299W	0.525
YBR168W	0.525
YDR127W	0.525
YLR085C	0.525
YJR106W	0.525
YGR062C	0.525
YNL195C	0.525
YOL049W	0.525
YMR075W	0.525
YJL117W	0.525
YBR300C	0.525
YKR035W-A	0.525
YNL167C	0.525
YGR177C	0.525
YGR217W	0.532
YPR074C	0.532
YDL170W	0.532
YOR156C	0.532
YDR108W	0.532
YOL110W	0.532
YGR180C	0.532
YBR259W	0.532
YCL001W-B	0.532
YJR111C	0.532
YDL089W	0.532
YGL108C	0.532
YML128C	0.532
YNL332W	0.532
YGR178C	0.532
YDL194W	0.532
YJR077C	0.532
YPL130W	0.532
YDR112W	0.532
YOL150C	0.532
YDR274C	0.532
YBR101C	0.532
YHR176W	0.532
YLR349W	0.532
YJL169W	0.532
YDR419W	0.532
YMR255W	0.532
YLR069C	0.532
YBR083W	0.538
YDL116W	0.538
YER096W	0.538
YLR268W	0.538
YKL063C	0.538
YPR154W	0.538
YOL047C	0.538
YOR165W	0.538
YPL232W	0.538
YLR237W	0.538
YNL030W	0.538
YOR325W	0.538
YIL055C	0.538
YPR029C	0.538
YKR047W	0.538
YFL032W	0.538
YDL094C	0.538
YDL101C	0.538
YNR030W	0.538
YPR171W	0.538
YJR127C	0.545
YDR139C	0.545
YDR146C	0.545
YBR126C	0.545
YNL196C	0.545
YBR173C	0.545
YDL135C	0.545
YBL067C	0.545
YBR163W	0.545
YKL039W	0.545
YJR069C	0.545
YNL044W	0.545
YNL229C	0.545
YDR107C	0.545
YNL249C	0.545
YDR205W	0.545
YOR135C	0.545
YPR063C	0.545
YPL105C	0.545
YDR467C	0.545
YGR252W	0.545
YPL101W	0.545
YHR093W	0.545
YPR060C	0.545
YER055C	0.545
YDR423C	0.545
YIL035C	0.545
YBR217W	0.553
YHR048W	0.553
YHL008C	0.553
YJR115W	0.553
YGL051W	0.553
YPR067W	0.553
YPL166W	0.553
YCL048W	0.553
YJL083W	0.553
YKL009W	0.553
YBR159W	0.553
YIL002W-A	0.553
YIL089W	0.553
YDR250C	0.553
YKR039W	0.553
YMR040W	0.553
YDL074C	0.553
YFL013W-A	0.553
YLL030C	0.553
YPL194W	0.638
YMR154C	0.553
YGR261C	0.553
YDR422C	0.553
YER001W	0.553
YIR027C	0.553
YCL012W	0.553
YOR172W	0.560
YIL157C	0.560
YPL138C	0.560
YJL140W	0.560
YKL106C-A	0.560
YMR310C	0.560
YAL024C	0.560
YLR047C	0.560
YMR048W	0.560
YER071C	0.560
YLR309C	0.560
YER161C	0.560
YMR285C	0.560
YDR083W	0.560
YMR044W	0.560
YHR181W	0.560
YOR238W	0.560
YNL303W	0.560
YNL285W	0.560
YNL155W	0.560
YJR061W	0.560
YER093C-A	0.560
YBL094C	0.560
YJR009C	0.560
YLR377C	0.560
YNL294C	0.560
YOR251C	0.560
YMR009W	0.560
YHR206W	0.560
YCR053W	0.568
YOR324C	0.568
YOR106W	0.568
YHL024W	0.568
YGR126W	0.568
YHR032W	0.568
YGR063C	0.568
YOR043W	0.568
YBR203W	0.568
YDR348C	0.568
YKL129C	0.568
YDR461W	0.568
YDR430C	0.568
YDR345C	0.568
YKR040C	0.568
YIL059C	0.568
YGL010W	0.568
YDL156W	0.568
YDL144C	0.568
YGL223C	0.568
YNL043C	0.568
YAL012W	0.568
YEL041W	0.568
YOL136C	0.568
YML009C	0.640
YIL131C	0.575
YLR102C	0.575
YNL304W	0.575
YGL021W	0.575
YJL049W	0.575
YGR146C-A	0.575
YHR136C	0.575
YBR162W-A	0.575
YJL214W	0.575
YHL006C	0.575
YIL040W	0.575
YOL121C	0.575
YGL027C	0.575
YEL043W	0.575
YGL195W	0.575
YBR008C	0.575
YPL176C	0.575
YOR315W	0.575
YDR268W	0.575
YNL323W	0.575
YGL251C	0.575
YMR209C	0.575
YBL095W	0.575
YLR258W	0.575
YBR277C	0.575
YJL030W	0.575
YNL225C	0.575
YNR051C	0.583
YNL014W	0.992
YOL006C	0.583
YFL040W	0.583
YBR001C	0.583
YNL029C	0.583
YMR006C	0.583
YFL020C	0.583
YJL088W	0.583
YNL187W	0.583
YDR372C	0.583
YLR244C	0.583
YBR045C	0.583
YJL062W	0.583
YOR376W	0.583
YGR053C	0.583
YDL011C	0.583
YBR030W	0.583
YDR513W	0.583
YER087C-B	0.583
YER177W	0.583
YJR001W	0.592
YGL025C	0.592
YDR502C	0.592
YER070W	0.592
YNR070W	0.592
YLR398C	0.592
YNL122C	0.592
YIR014W	0.592
YHR045W	0.592
YHL017W	0.592
YCR051W	0.592
YHL015W-A	0.592
YDR291W	0.592
YBR276C	0.592
YLL040C	0.592
YDR078C	0.592
YPR129W	0.592
YNL173C	0.592
YGL056C	0.592
YNL031C	0.592
YGL135W	0.592
YPR002W	0.592
YJL136W-A	0.592
YGL057C	0.592
YGL050W	0.592
YAL064C-A	0.592
YMR156C	0.592
YCL050C	0.592
YAL039C	0.592
YDL134C	0.592
YDR435C	0.592
YIL044C	0.592
YPR044C	0.592
YOR349W	0.600
YDR223W	0.600
YER175C	0.600
YHR185C	0.600
YLR032W	0.600
YDL117W	0.600
YDL175C	0.600
YNL134C	0.600
YNL210W	0.600
YGL144C	0.600
YML029W	0.600
YDL239C	0.600
YDL214C	0.600
YKR057W	0.600
YLR190W	0.600
YJL093C	0.600
YLR381W	0.600
YIL167W	0.600
YMR069W	0.600
YGL089C	0.600
YGR086C	0.600
YOL114C	0.600
YMR057C	0.600
YNL327W	0.600
YIL159W	0.600
YMR075C-A	0.600
YDR284C	0.600
YPL091W	0.600
YMR174C	0.628
YDR406W	0.600
YDL134C-A	0.600
YER182W	0.609
YBR284W	0.609
YMR295C	0.609
YMR244C-A	0.609
YFL034W	0.609
YPL074W	0.609
YKL221W	0.609
YGL175C	0.609
YDR022C	0.609
YLR094C	0.609
YGR213C	0.609
YDR522C	0.609
YGL066W	0.609
YJR066W	0.609
YPL018W	0.609
YBR296C	0.609
YIL120W	0.609
YPR042C	0.609
YIL073C	0.609
YLR438W	0.609
YJL151C	0.609
YNL224C	0.609
YLR445W	0.609
YIL152W	0.609
YGL059W	0.609
YDR340W	0.609
YDR306C	0.609
YDL021W	0.609
YAL040C	0.609
YKR012C	0.609
YJL092W	0.609
YLR420W	0.609
YJL217W	0.609
YJL144W	0.609
YGR100W	0.609
YOL051W	0.609
YJR062C	0.609
YNR008W	0.609
YJL071W	0.609
YPL133C	0.618
YJL048C	0.618
YDL067C	0.618
YHR167W	0.618
YJL106W	0.618
YDL184C	0.618
YMR160W	1.033
YBR187W	0.618
YGL250W	0.618
YJL193W	0.618
YDR349C	0.618
YGR189C	0.618
YMR053C	0.618
YNL336W	0.618
YGL023C	0.618
YNL076W	0.618
YIL047C	0.618
YJR110W	0.618
YHR021W-A	0.618
YLR138W	0.618
YBR179C	0.618
YOL079W	0.618
YGL082W	0.618
YEL014C	0.618
YPR095C	0.618
YGR254W	0.618
YKL115C	0.618
YLR112W	0.618
YDR321W	0.618
YJR130C	0.618
YBR177C	0.618
YOR240W	0.618
YMR119W	0.618
YBR075W	0.909
YLL052C	0.627
YOL093W	0.627
YBR117C	0.627
YKL162C-A	0.627
YOL039W	0.627
YGL062W	0.627
YDL073W	0.627
YJR008W	0.627
YGR283C	0.627
YMR192W	0.627
YNL077W	0.627
YER047C	0.627
YCR107W	0.627
YDR030C	0.627
YFL003C	0.627
YCL051W	0.627
YDL048C	0.627
YER059W	0.627
YER042W	0.627
YAL017W	0.627
YOR320C	0.627
YIL098C	0.627
YBR085W	0.627
YPR153W	0.627
YPR126C	0.627
YOR121C	0.627
YMR320W	0.627
YCL046W	0.627
YAR047C	0.627
YDR508C	0.627
YLR452C	0.627
YIR038C	0.627
YLR122C	0.627
YDL034W	0.627
YIL160C	0.627
YKL218C	0.627
YML059C	0.627
YML058C-A	0.627
YML033W	0.627
YAR037W	0.627
YDL033C	0.636
YOR011W	0.636
YBR047W	0.636
YOR153W	0.636
YBL089W	0.636
YKL023W	0.636
YJL016W	0.636
YGR125W	0.636
YKR017C	0.636
YGR201C	0.636
YOL141W	0.636
YNL078W	0.636
YGL115W	0.636
YNL278W	0.636
YML075C	0.636
YBR033W	0.636
YDR497C	0.636
YBR288C	0.636
YIL093C	0.636
YJL066C	0.636
YBR245C	0.636
YDL019C	0.636
YOR333C	0.636
YOL162W	0.636
YPL150W	0.636
YOR012W	0.636
YJR037W	0.636
YIL028W	0.636
YDL186W	0.636
YBL107C	0.636
YBL071C	0.636
YHR092C	0.636
YGR070W	0.636
YOR041C	0.636
YLR123C	0.636
YKL087C	0.636
YCR005C	0.636
YNL270C	0.636
YAL005C	0.636
YFL035C-B	0.636
YAR040C	0.636
YAL030W	0.646
YDR480W	0.646
YER054C	0.646
YPR058W	0.646
YDL240W	0.646
YDL243C	0.646
YJR035W	0.646
YBL051C	0.646
YKL208W	0.646
YER131W	0.646
YGL240W	0.646
YGL067W	0.646
YBL064C	0.646
YPR038W	0.646
YOR131C	0.646
YOR112W	0.646
YNL191W	0.646
YMR294W-A	0.646
YER137C	0.646
YKR014C	0.646
YLR019W	0.646
YPR045C	0.646
YJL084C	0.646
YML054C	0.646
YML036W	0.646
YLR396C	0.646
YJR004C	0.646
YIL030C	0.656
YLR109W	0.656
YLR135W	0.656
YGR122C-A	0.656
YDR481C	0.656
YFR006W	0.656
YMR163C	0.656
YGR210C	0.656
YCR043C	0.656
YJR030C	0.656
YKR015C	0.656
YBR104W	0.656
YIL173W	0.656
YBR235W	0.656
YBR266C	0.656
YNR034W	0.656
YDL093W	0.656
YEL017W	0.656
YBL088C	0.656
YLR039C	0.656
YLR344W	0.656
YDR071C	0.656
YGL053W	0.656
YJL198W	0.656
YOL092W	0.656
YNR021W	0.656
YIL025C	0.656
YFR035C	0.656
YDR186C	0.656
YDL176W	0.656
YDL158C	0.656
YDL072C	0.656
YOR264W	0.656
YDR067C	0.656
YDR482C	0.656
YDL142C	0.656
YIL036W	0.656
YNL032W	0.667
YDR043C	0.667
YER086W	0.667
YJR120W	0.667
YLR143W	0.667
YKL162C	0.667
YDR259C	0.667
YLR394W	0.667
YER037W	0.667
YKL056C	0.667
YPL079W	0.667
YBL087C	0.667
YOR109W	0.667
YMR088C	0.667
YBR010W	0.667
YBR031W	0.667
YGL036W	0.667
YPR018W	0.667
YDR182W-A	0.667
YPR077C	0.667
YOL106W	0.667
YNR068C	0.667
YEL028W	0.667
YDR374C	0.667
YDL041W	0.667
YBR064W	0.667
YML027W	0.667
YBR260C	0.667
YGL094C	0.667
YKR053C	0.667
YIR004W	0.667
YER033C	0.667
YJL006C	0.667
YOL100W	0.667
YDR029W	0.667
YGR162W	0.677
YGL049C	0.677
YDR420W	0.677
YJR079W	0.677
YML030W	0.677
YOR384W	0.677
YDL018C	0.677
YMR065W	0.677
YBL086C	0.677
YDL024C	0.677
YDR309C	0.677
YOR275C	0.677
YGL213C	0.677
YGL147C	0.677
YPL189W	1.116
YIL170W	0.677
YNL135C	0.677
YER064C	0.677
YJL099W	0.677
YHR124W	0.677
YBL063W	0.677
YNL143C	0.677
YGR168C	0.677
YGL140C	0.677
YFR018C	0.677
YER163C	0.677
YER067W	0.677
YDR124W	0.677
YDR094W	0.677
YBR206W	0.677
YIR001C	0.677
YEL039C	0.677
YOR368W	0.677
YJR010W	0.677
YDR483W	0.677
YGR037C	0.677
YMR280C	0.677
YER072W	0.689
YJL024C	0.689
YKR058W	0.689
YDL051W	0.689
YDR313C	0.689
YDL010W	0.689
YML119W	0.689
YBR182C-A	0.689
YBR054W	0.689
YIR039C	0.689
YGL002W	0.689
YCR073W-A	0.689
YKL191W	0.689
YER180C	0.689
YMR124W	0.689
YJL078C	0.689
YLR422W	0.689
YLR054C	0.689
YMR029C	0.689
YLR013W	0.689
YMR189W	0.689
YDR258C	0.689
YML078W	0.689
YGL219C	0.689
YJL042W	0.689
YPR079W	0.689
YOR299W	0.689
YPL245W	0.689
YOR114W	0.689
YOL029C	0.689
YJR039W	0.689
YGR050C	0.689
YFR012W	0.689
YDR119W	0.689
YCR085W	0.689
YEL065W	0.689
YLR358C	0.689
YGR259C	0.689
YMR150C	0.689
YDL155W	0.689
YOR039W	0.689
YIL107C	0.689
YIL015C-A	0.689
YFL010C	0.700
YMR067C	0.700
YOR081C	0.700
YLR131C	0.700
YER153C	0.700
YBR204C	0.700
YLR059C	0.700
YDL086W	0.700
YLR003C	0.700
YOR084W	0.700
YAL020C	0.700
YCL056C	0.700
YDR411C	0.700
YDL123W	0.700
YOR221C	0.700
YDR451C	0.700
YOR173W	0.700
YDR383C	0.700
YLR084C	0.700
YOR090C	0.700
YGL064C	0.700
YBL091C	0.700
YGL033W	0.700
YGR292W	0.700
YDR315C	0.700
YPR022C	0.700
YPR011C	0.700
YOR248W	0.700
YOR029W	0.700
YDR333C	0.700
YDR262W	0.700
YAL004W	0.700
YDR144C	0.700
YOR123C	0.700
YGR072W	0.700
YER173W	0.700
YJR152W	0.700
YJL172W	0.712
YNR012W	0.712
YDR181C	0.712
YDR260C	0.712
YML117W	0.712
YBR220C	0.712
YMR178W	0.712
YGL160W	0.712
YLR083C	0.712
YBR120C	0.712
YOR161C	0.712
YLR091W	0.712
YJR108W	0.712
YDL076C	0.712
YDR317W	0.712
YGL054C	0.712
YKL116C	0.712
YHR103W	0.712
YGL181W	0.712
YJL190C	0.712
YEL013W	0.712
YGR040W	0.712
YDR322W	0.712
YDL066W	0.712
YPL034W	0.712
YGL146C	0.712
YCR050C	0.712
YBL096C	0.712
YBL029W	0.712
YPR052C	0.712
YFL033C	1.756
YLR224W	0.712
YIR033W	0.712
YNR039C	0.712
YDR457W	0.712
YBR073W	0.712
YIL128W	0.712
YGR155W	0.712
YGL003C	0.712
YDR256C	0.712
YER024W	0.712
YBR145W	0.712
YAL043C-A	0.712
YML099C	0.724
YDL128W	0.724
YOR286W	0.724
YKR016W	0.724
YCL001W-A	0.724
YPL221W	0.724
YKR018C	0.724
YIR003W	0.724
YGR263C	0.724
YIR024C	0.724
YHR132C	0.724
YER141W	0.724
YGL168W	0.724
YLR072W	0.724
YGR266W	0.724
YER041W	0.724
YDR281C	0.724
YHR121W	0.724
YDR314C	0.724
YGR034W	0.724
YDR440W	0.724
YOR374W	0.724
YNR013C	0.724
YGL241W	0.724
YMR084W	0.724
YIL100W	0.724
YER053C-A	0.724
YDR336W	0.724
YBR090C	0.724
YBR201W	0.724
YCR025C	0.724
YOR284W	0.724
YER011W	0.724
YLR342W	0.724
YJL051W	0.724
YEL060C	0.737
YPL154C	0.737
YKR100C	0.737
YML051W	0.737
YLL062C	0.737
YIL045W	0.737
YEL064C	0.737
YJL213W	0.737
YLL029W	0.737
YHR159W	0.737
YLR361C	0.737
YMR177W	0.737
YAR027W	0.737
YCR011C	0.737
YER056C	0.737
YNL125C	0.737
YNL175C	0.737
YDL059C	0.737
YER180C-A	0.737
YMR322C	0.737
YGL154C	0.737
YFL041W	0.737
YKR027W	0.737
YER065C	0.737
YAL067W-A	0.737
YPR195C	0.737
YMR086C-A	0.737
YHR095W	0.737
YGL101W	0.737
YGL081W	0.737
YFR020W	0.737
YBR068C	0.737
YKL017C	0.737
YDR386W	0.737
YDL096C	0.737
YLR192C	0.737
YDL178W	0.737
YDR486C	0.737
YOR330C	0.737
YDR505C	0.737
YBR183W	0.737
YLR203C	0.737
YCR062W	0.737
YCL061C	0.737
YIL112W	0.750
YDL040C	0.750
YKL109W	0.750
YJL191W	0.750
YDR279W	0.750
YBR261C	0.750
YKR011C	0.750
YHR022C-A	0.750
YLL055W	0.750
YHR075C	0.750
YGL060W	0.750
YDR183W	0.750
YML012W	0.750
YNL023C	0.750
YPR083W	0.750
YDR210W	0.750
YLR376C	0.750
YPL267W	0.750
YMR132C	0.750
YJL077C	0.750
YDR316W	0.750
YOR237W	0.750
YIL130W	0.750
YER020W	0.750
YEL015W	0.750
YMR055C	0.750
YCL027W	0.750
YER019W	0.750
YPL199C	0.750
YNL205C	0.750
YHL026C	0.750
YGL085W	0.750
YDR444W	0.750
YBR094W	0.750
YBR042C	0.750
YBL081W	0.750
YBL059W	0.750
YDR488C	0.750
YEL066W	0.750
YGR088W	0.750
YPR101W	0.750
YKL117W	0.750
YDL188C	0.750
YHL011C	0.750
YBR021W	0.764
YJL183W	0.764
YDR322C-A	0.764
YOR242C	0.764
YCR102W-A	0.764
YKL033W-A	0.764
YBR296C-A	0.764
YBR200W-A	0.764
YLR455W	0.764
YLR063W	0.764
YIL158W	0.764
YJL094C	0.764
YFL056C	0.764
YPL159C	0.764
YER063W	0.764
YBR157C	0.764
YOL007C	0.764
YBR005W	0.764
YBR024W	0.764
YIL020C	0.764
YMR109W	0.764
YCR020C-A	0.764
YKL120W	0.764
YML060W	0.764
YIL155C	0.764
YMR145C	0.764
YDR492W	0.764
YAL036C	0.764
YBR298C	0.764
YJR044C	0.764
YDR072C	0.764
YPR027C	0.764
YOR283W	0.764
YIL102C	1.295
YDL068W	0.764
YEL030W	0.764
YFR015C	0.764
YDL079C	0.764
YPR037C	0.764
YHL028W	0.764
YGR033C	0.764
YDR484W	0.764
YGR032W	0.764
YGR240C	0.764
YHR204W	0.764
YML102C-A	0.764
YLR228C	0.764
YIR032C	0.778
YGR080W	0.778
YIL139C	0.778
YNL273W	0.778
YDR297W	0.778
YHR030C	0.778
YIL079C	0.778
YKR096W	0.778
YJL123C	0.778
YJR003C	0.778
YGR154C	0.778
YGL114W	0.778
YLR090W	0.778
YJR034W	0.778
YPR172W	0.778
YDR275W	0.778
YOR091W	0.778
YKR101W	0.778
YMR020W	0.778
YPL058C	0.778
YLR151C	0.778
YHR195W	0.778
YLR436C	0.778
YDR277C	0.778
YMR193W	0.778
YAL008W	0.778
YDL085W	0.778
YJR094C	0.778
YDR503C	0.778
YNL200C	0.778
YPR076W	0.778
YPR015C	0.778
YOR055W	0.778
YOL159C	0.778
YNL217W	0.778
YER187W	0.778
YDR352W	0.778
YLR366W	0.778
YLR111W	0.778
YGR268C	0.778
YDL078C	0.778
YGR279C	0.778
YPL171C	0.792
YKR082W	0.792
YAR003W	0.792
YJL210W	0.792
YLR154C	0.792
YKR103W	0.792
YIL119C	0.792
YBR182C	0.792
YBR219C	0.792
YKL047W	0.792
YNL024C	0.792
YKR048C	0.792
YJL098W	0.792
YDR034W-B	0.792
YJR083C	0.792
YNR072W	0.792
YDR517W	0.792
YOR167C	0.792
YKL026C	0.792
YNL214W	0.792
YBL069W	0.792
YCR026C	0.792
YOL054W	0.792
YMR129W	0.792
YDL036C	0.792
YPL158C	0.792
YOR152C	0.792
YOR006C	0.792
YOL131W	0.792
YGL117W	0.792
YDR476C	0.792
YDL174C	0.792
YML070W	0.792
YFL053W	0.792
YJR048W	0.792
YPR031W	0.792
YDR075W	0.792
YGR205W	0.792
YNR044W	0.792
YNR019W	0.792
YJL021C	0.792
YBR111C	0.792
YOR124C	0.808
YHL047C	0.808
YOR140W	0.808
YDR245W	0.808
YFR030W	0.808
YML095C	0.808
YDR447C	0.808
YOR178C	0.808
YFL042C	0.808
YGR110W	0.808
YGL139W	0.808
YJL131C	0.808
YGR121W-A	0.808
YIL085C	0.808
YGL083W	0.808
YPL003W	0.808
YPR073C	0.808
YHL035C	0.808
YOR137C	0.808
YGR284C	0.808
YGL158W	0.808
YPL092W	0.808
YIL105C	0.808
YNL106C	0.808
YFR021W	1.040
YIL037C	0.808
YGR004W	0.808
YLL017W	0.808
YLR315W	0.808
YOR147W	0.808
YDR273W	0.808
YOR382W	0.808
YPL183C	0.808
YFR007W	0.808
YER184C	0.808
YDL183C	0.808
YGR152C	0.808
YBR078W	0.808
YJL101C	0.808
YCR065W	0.808
YLL059C	0.808
YPL248C	0.808
YNL121C	0.808
YGR129W	0.808
YML102W	0.808
YDL065C	0.808
YJR005W	0.808
YIL153W	0.808
YDR143C	0.824
YOR339C	0.824
YKR056W	0.824
YML094W	0.824
YDR227W	0.824
YHR138C	0.824
YMR031C	0.824
YOR129C	0.824
YNL292W	0.824
YBR114W	0.824
YPL201C	0.824
YNL091W	0.824
YKL093W	0.824
YOR130C	0.824
YDR395W	0.824
YPL220W	0.824
YOR350C	0.824
YOL104C	0.824
YBL039C	0.824
YMR071C	0.824
YPL216W	0.824
YNR073C	0.824
YLR031W	0.824
YHR049C-A	0.824
YER139C	0.824
YDR319C	0.824
YDL173W	0.824
YDL050C	0.824
YAL068C	0.824
YER031C	0.824
YOR054C	0.824
YDR233C	0.824
YGR282C	0.824
YPL046C	0.824
YMR299C	0.824
YGR269W	0.824
YGL149W	0.824
YLR058C	0.824
YMR169C	0.995
YGR275W	0.824
YAL058W	0.824
YIL034C	0.824
YBL061C	0.824
YMR158W-A	0.824
YKR035C	0.824
YJR054W	0.840
YOR213C	0.840
YKL054C	0.840
YFL041W-A	0.840
YMR074C	0.840
YJR149W	0.840
YLR426W	0.840
YLR097C	0.840
YPR068C	0.840
YCL074W	0.840
YAL019W	0.840
YOR220W	0.840
YPL253C	0.840
YER092W	0.840
YIL137C	0.840
YBR172C	0.840
YOR322C	0.840
YMR133W	0.840
YOL072W	0.840
YNL090W	0.840
YDR446W	0.840
YER106W	0.840
YPL118W	0.840
YOL113W	0.840
YIL140W	0.840
YBR230C	0.840
YLR173W	0.840
YGL015C	0.840
YFL019C	0.840
YER186C	0.840
YER140W	0.840
YBR096W	0.840
YIL094C	0.840
YPL170W	0.840
YFL047W	0.840
YJL044C	0.840
YKL065C	0.840
YMR316C-A	0.840
YDL200C	0.840
YPR062W	0.840
YLR043C	0.840
YCR002C	0.840
YGR286C	0.840
YPL214C	0.840
YFL030W	0.840
YIL074C	0.840
YLR391W	0.840
YBL101W-C	0.840
YCL057W	0.857
YDR176W	0.857
YOL067C	0.857
YIL111W	0.857
YJL058C	0.857
YIR025W	0.857
YOR344C	0.857
YGR287C	0.857
YML018C	0.857
YLR036C	0.857
YFL054C	0.857
YJR036C	0.857
YER069W	0.857
YMR159C	0.857
YOL090W	0.857
YIL103W	0.857
YDR504C	0.857
