ORF	hom | cell size | standard [standard] | Zhang J~Schneider BL, 2002	het | cell size | standard [standard] | Zhang J~Schneider BL, 2002
YOL032W	44.663	NaN
YOL035C	49.820	NaN
YOL036W	45.490	NaN
YOL037C	45.799	NaN
YOL039W	46.140	NaN
YOL041C	44.178	NaN
YOL042W	58.320	NaN
YOL043C	51.060	NaN
YOL044W	48.448	NaN
YOL045W	47.809	NaN
YOL046C	48.192	NaN
YOL047C	49.354	NaN
YOL048C	49.614	NaN
YOL048W	NaN	50.534
YOL050C	44.816	NaN
YOL051W	44.420	NaN
YOL052C	57.030	NaN
YOL053C-A	NaN	47.872
YOL053W	45.152	NaN
YOL054W	56.550	NaN
YOL055C	46.171	NaN
YOL056W	45.459	NaN
YOL057W	46.109	NaN
YOL058W	46.985	NaN
YOL059W	49.321	NaN
YOL060C	52.509	NaN
YOL061W	46.828	NaN
YOL062C	47.968	NaN
YOL063C	47.777	NaN
YOL064C	45.706	NaN
YOL065C	47.048	NaN
YOL067C	41.138	NaN
YOL068C	51.834	NaN
YOL070C	46.954	NaN
YOL071W	44.542	NaN
YOL072W	58.889	NaN
YOL075C	63.760	NaN
YGR078C	53.190	NaN
YOL079W	47.840	NaN
YOL080C	51.165	NaN
YGR107W	47.143	NaN
YOL082W	53.499	NaN
YOL083W	51.165	NaN
YOL084W	48.770	NaN
YOL085C	46.734	NaN
YPL274W	45.954	NaN
YPL273W	51.930	NaN
YPL272C	47.491	NaN
YPL270W	42.625	NaN
YPL269W	58.560	NaN
YPL267W	46.734	NaN
YPL265W	48.064	NaN
YPL264C	47.364	NaN
YPL263C	45.768	NaN
YPL260W	50.106	NaN
YPL261C	50.007	NaN
YPL259C	47.649	NaN
YPL258C	46.797	NaN
YPL257W	53.030	NaN
YPL256C	46.922	NaN
YPL254W	36.272	NaN
YPL253C	52.374	NaN
YPL250C	42.184	NaN
YPL249C	42.096	NaN
YPL248C	47.649	NaN
YPL247C	74.610	NaN
YPL246C	52.200	NaN
YPL245W	46.954	NaN
YPL244C	48.352	NaN
YPL241C	50.832	NaN
YPL240C	45.336	NaN
YPL239W	44.269	NaN
YPL236C	46.985	NaN
YPL234C	47.745	NaN
YPL232W	45.490	NaN
YPL230W	53.130	NaN
YPL229W	43.010	NaN
YPL227C	43.876	NaN
YPL226W	41.340	NaN
YPL225W	53.020	NaN
YPL223C	54.330	NaN
YPL222W	47.745	NaN
YPL221W	54.100	NaN
YPL220W	47.904	NaN
YPL219W	48.609	NaN
YPL216W	44.511	NaN
YPL214C	46.922	NaN
YPL213W	48.320	NaN
YPL212C	44.602	NaN
YPL207W	45.490	NaN
YPL206C	49.354	NaN
YPL205C	46.452	NaN
YPL203W	49.126	NaN
YPL202C	49.876	NaN
YPL201C	50.832	NaN
YPL200W	47.459	NaN
YPL199C	46.078	NaN
YPL198W	43.997	NaN
YPL197C	46.577	NaN
YPL196W	45.029	NaN
YPL195W	45.768	NaN
YPL193W	41.369	NaN
YPL192C	49.647	NaN
YPL191C	44.359	NaN
YPL187W	46.265	NaN
YPL185W	47.017	NaN
YPL186C	48.320	NaN
YPL184C	47.080	NaN
YPL181W	49.843	NaN
YPL182C	48.641	NaN
YPL180W	54.600	NaN
YPL179W	51.969	NaN
YPL178W	59.439	NaN
YPL177C	45.367	NaN
YPL176C	48.706	NaN
YPL174C	61.262	NaN
YPL171C	52.442	NaN
YPL170W	54.820	NaN
YPL168W	53.225	NaN
YPL167C	54.980	NaN
YPL166W	50.865	NaN
YPL165C	52.104	NaN
YPL164C	54.814	NaN
YPL163C	53.636	NaN
YPL162C	51.231	NaN
YPL161C	59.400	NaN
YPL159C	51.432	NaN
YPL157W	50.580	NaN
YPL156C	49.582	NaN
YPL155C	49.126	NaN
YPL154C	50.073	NaN
YPL152W	64.360	NaN
YPL150W	70.340	NaN
