orf	hap a | growth (pooled culture, microarray) | cordycepin [20 ug/ml], time [12 gen] | SC | Holbein S~Dichtl B, 2009	hap a | growth (pooled culture, microarray) | cordycepin [20 ug/ml], time [18 gen] | SC | Holbein S~Dichtl B, 2009
YBL061C	0.03038254543643351	-0.32867392260603145
YBL062W	-0.2042661134561935	-0.010941621706979349
YBL063W	-0.348847392232625	0.169092621770962
YBL064C	0.0498937573242524	-0.230349617902651
YBL065W	0.2163321641341005	0.251090557388855
YBL066C	0.5466521897677135	0.459456121590735
YBL067C	-1.656941865147795	-2.071753663038265
YBL068W	-0.018904716798957846	-0.1235284687326325
YBL069W	0.013700601989786	0.30213785608277
YBL070C	-0.007015589198673303	-0.04376075402760515
YBL072C	0.7358068309164314	1.22361601877509
YBL075C		0.146780607239916
YBL078C	0.09707761979620515	0.09487805375540165
YBL080C	-0.1151861604347864	0.018251430509495375
YBL081W	0.3464742040426929	0.1217601673603681
YBL082C	0.235149977573865	0.5364320687096055
YBL083C	0.05892014411869061	0.04858160117226865
YBL085W	-0.284065440955781	-0.363197719568103
YBL086C	0.237584125939713	0.23066275652675108
YBL087C		1.36313961413485
YBL088C	0.0033735649386415073	-0.23355369722083363
YBL089W	-0.07409710588781375	-0.0560021975407441
YBL090W	0.01433409057214505	-0.03917306198870152
YBL091C	0.14606744562354051	0.09006978143691134
YBL091C-A	0.0294861132219029	-0.0879514087477308
YBL094C	1.27481547538143	
YBL095W	0.20744794477838602	0.04242578565808834
YBL096C	-0.07411244318751381	-0.1145057900064196
YBL098W	-0.045888442809037006	-0.057668629553784496
YBL099W	-0.11920593644579397	0.440660015060754
YBL100C		0.0208037235240536
YBL101C		0.121666626848923
YBL102W	0.24901879280246625	0.12872267252037936
YBL104C	-1.70743669125286	-2.72015796917137
YBL106C	-0.07638356652430425	-0.20390941103972648
YBL107C	0.18647105992469248	0.1951901920552705
YBR001C	0.10806282460838029	0.2467758394404635
YBR003W	-0.79386316069399	-1.45665870802936
YBR005W	0.20705887165543693	0.26468754646278847
YBR006W	-0.05524833558139485	-0.2426160474135765
YBR007C	0.077732137594692	-0.06017463428422509
YBR008C	0.11709023920529871	0.2071368095110829
YBR009C	0.16522874753229444	0.33785291675938056
YBR010W	0.33925433046869446	0.367370922923244
YBR012C	0.08250678080291285	0.08298907855572549
YBR013C	0.112279672864657	-0.020887870166727895
YBR014C	0.03342082975204315	-0.015869347732979898
YBR015C	-0.41867172081049153	-0.525998513005805
YBR016W	-0.044342760545158094	-0.431494028020218
YBR018C	0.03139480699456995	-0.01766432168715805
YBR019C	0.1504594808245435	0.16868161971398948
YBR020W	0.03867292215634476	0.04210582935208585
YBR022W	-0.08654658625490015	-0.2089104345882145
YBR023C	0.11304046370427145	-0.19270979443010344
YBR024W	0.028947926680662504	-0.11415670483799929
YBR025C	0.435800068007519	0.6451443590914335
YBR026C	-0.696440810412892	
YBR027C	0.0883747365851264	0.0836854535948548
YBR030W	0.020846720694956203	0.253375762851005
YBR031W	0.6574471594978225	1.0391937913488585
YBR032W	0.09679022712992875	0.348964929047184
YBR033W	0.11430558314804805	0.241401021116378
YBR034C	0.1083104685380977	0.2194424527210084
YBR036C	0.411220374955367	0.450658838474937
