ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YMR206C	NaN	0.008	NaN
YDL201W	0.000	0.014	0.021
YHR160C	0.008	0.010	0.014
YLR098C	0.004	0.020	0.008
YOR050C	0.010	0.011	0.005
YOL035C	0.016	0.008	0.014
YJL142C	0.020	0.006	0.009
YBL048W	0.009	0.029	0.008
YPR138C	0.013	0.008	0.009
YNL168C	0.034	0.008	0.003
YCR044C	0.001	0.009	0.072
YNL210W	NaN	0.008	NaN
YEL062W	0.007	0.026	0.018
YNR008W	0.008	0.028	0.008
YMR315W	0.008	0.016	0.015
YLR247C	0.000	0.025	0.036
YLR345W	NaN	0.016	0.003
YGR088W	0.027	0.008	0.009
YJR035W	0.030	0.006	0.016
YMR075C-A	0.020	0.014	0.006
YGR266W	0.000	0.043	0.018
YJR054W	0.031	0.005	0.039
YBR255W	0.007	0.016	0.008
YPR157W	0.003	0.034	0.006
YNR072W	0.006	0.016	0.003
YJR103W	0.018	0.014	0.004
YDR129C	NaN	0.009	0.005
YHR009C	0.012	NaN	0.005
YIL086C	0.027	0.008	0.011
YLR089C	0.006	0.008	0.027
YJL197W	0.004	0.008	0.029
YOL085C	0.005	0.030	0.003
YIL173W	0.006	0.038	0.014
YDR059C	0.000	0.019	0.019
YMR280C	0.005	0.005	0.018
YMR025W	NaN	0.008	0.009
YMR109W	0.010	0.012	0.000
YLR211C	NaN	0.012	0.004
YLR441C	0.009	0.013	0.008
YJR009C	0.008	0.005	0.021
YBR258C	0.000	0.016	0.008
YDR428C	0.042	0.003	0.011
YBR054W	0.007	0.004	0.034
YLR444C	0.025	0.008	0.016
YOR365C	0.011	0.015	0.007
YKR054C	0.007	0.015	0.005
YOR239W	0.033	0.007	0.005
YBL091C	0.008	0.011	0.003
YNL086W	0.099	0.008	0.001
YDR363W-A	0.008	0.013	0.042
YOL155C	NaN	0.007	0.010
YCL034W	0.012	0.013	0.007
YMR185W	NaN	0.008	NaN
YOL153C	0.026	0.022	0.003
YGR067C	0.012	0.063	0.000
YMR106C	0.015	0.013	0.000
YOL014W	NaN	0.014	0.003
YFL049W	0.025	0.042	0.007
YGL160W	0.004	0.013	0.006
YDR111C	0.038	0.008	0.011
YOR376W	0.000	0.017	0.011
YIL040W	0.005	0.038	0.019
YGR050C	0.007	0.032	0.021
YBR032W	0.009	0.006	0.017
YOR327C	0.002	0.046	0.022
YBR158W	0.013	0.007	0.014
YPL113C	0.025	0.017	0.002
YER038W-A	0.009	0.008	0.008
YGL202W	0.029	0.002	0.014
YLR307W	0.039	0.013	0.002
YLR449W	0.003	0.018	0.013
YER119C-A	0.005	0.009	0.008
YOL082W	0.004	0.010	0.010
YDL233W	0.015	0.008	0.013
YPL208W	0.000	0.017	0.010
YPL183W	0.008	NaN	NaN
YHR049C-A	0.011	0.016	0.005
YIL122W	0.044	0.013	0.001
YDR098C	0.047	0.008	0.012
YNL192W	0.008	NaN	NaN
YFR053C	0.006	0.013	0.008
YNL253W	0.002	0.029	0.007
YGL164C	0.018	0.007	0.032
YDR471W	0.000	0.009	0.043
YGR231C	0.002	0.013	0.027
YDR015C	0.015	0.008	0.019
YBR215W	0.007	0.031	0.011
YLR394W	0.004	0.035	0.018
YDR112W	0.034	0.006	0.014
YMR122C	0.019	0.011	0.000
YBR301W	0.003	0.037	0.014
YLR061W	NaN	0.007	0.114
YOR230W	0.017	0.008	0.009
YPL130W	0.034	0.010	0.006
YJR026W	0.020	0.008	0.011
YGL221C	0.005	0.004	0.009
YHR006W	0.011	0.007	0.006
YJL084C	0.012	0.011	0.000
YGL231C	0.023	0.007	0.006
YOR080W	0.004	0.011	NaN
YHR073W	0.005	0.006	0.012
YLL054C	0.032	0.008	0.001
YNL139C	0.015	0.046	0.000
YDR043C	0.020	0.012	0.007
YOL106W	0.015	0.008	0.019
YIL015W	0.005	0.062	0.008
YGL109W	0.005	0.008	0.012
YIL157C	0.005	0.038	0.010
YHR115C	0.015	0.012	0.003
YLR388W	0.002	0.012	0.036
YIL011W	0.010	0.029	0.007
YNL226W	0.003	0.012	0.044
YGR003W	0.014	0.004	0.007
YJR128W	0.008	0.017	0.001
YNR057C	0.001	0.016	0.009
YKR105C	0.007	0.084	0.003
YFL041W	0.025	0.008	0.008
YMR085W	0.008	0.008	0.011
YPL225W	0.048	0.010	0.001
YOL064C	0.005	0.006	0.134
YCL046W	0.008	0.008	0.007
YBR146W	0.000	NaN	0.017
YBR269C	0.091	0.006	0.029
YDR415C	0.000	0.016	0.015
YPR128C	0.011	0.008	0.007
YJR019C	0.019	0.008	0.017
YFL018C	0.060	0.008	0.003
YPL168W	0.019	0.008	0.015
YOR186W	0.029	0.004	0.039
YDR248C	0.004	0.011	0.009
YPL112C	0.007	0.014	0.002
YML056C	0.037	0.008	0.010
YOR175C	NaN	0.008	0.005
YOR087W	0.060	0.012	0.003
YNR067C	0.005	0.013	0.007
YAR050W	0.023	0.017	0.007
YOR227W	0.012	0.006	0.016
YMR099C	0.008	0.005	0.007
YHR135C	0.019	0.012	0.004
YJL016W	0.041	0.006	0.012
YER129W	0.025	0.008	0.029
YMR176W	0.009	0.011	0.008
YDR451C	0.000	0.008	0.247
YBL067C	0.009	0.020	0.006
YFR010W	NaN	0.012	0.003
YLR232W	0.020	0.005	0.003
YNL154C	0.028	0.011	0.001
YCR106W	0.031	0.008	0.020
YOR118W	0.020	0.008	0.008
YPR001W	0.010	0.013	0.006
YEL057C	0.003	0.016	0.008
YNL249C	0.008	0.009	0.005
YBL069W	0.006	0.013	0.012
YLR287C	0.036	0.006	0.003
YOR006C	0.005	0.013	0.005
YAL064C-A	0.021	0.007	0.012
YOL084W	0.001	0.062	0.010
YDL170W	0.002	0.012	0.010
YCR051W	0.015	0.008	0.018
YLR170C	NaN	0.020	0.006
YGR242W	0.003	0.011	0.039
YDL186W	0.028	0.008	0.017
YNL307C	0.002	0.013	0.009
YGR268C	0.000	0.040	0.018
YDL124W	0.027	0.008	0.019
YLR213C	0.021	0.014	0.002
YOR215C	0.024	0.008	0.007
YDR340W	0.008	0.008	0.016
YER108C	0.024	0.008	0.007
YLR236C	0.016	0.005	0.006
YGR146C	0.022	0.014	0.008
YBR223C	0.014	0.011	0.006
YMR148W	0.032	0.008	0.021
YGL009C	NaN	NaN	0.008
YDL223C	0.000	0.017	0.009
YOR288C	0.021	0.008	0.008
YDR431W	0.003	0.010	0.019
YER134C	0.010	0.006	0.030
YLL060C	0.005	0.006	0.041
YGR037C	0.027	0.020	0.004
YOR311C	0.001	0.020	0.022
YDL230W	0.014	0.008	0.011
YMR244W	0.034	0.007	0.011
YOR284W	0.024	0.013	0.003
YNR055C	0.004	0.009	0.009
YGR161C	0.029	0.015	0.006
YHR061C	0.018	0.008	0.008
YHL041W	0.006	0.008	0.007
YOR021C	0.009	0.058	0.007
YLR416C	NaN	0.014	0.002
YGL216W	0.040	0.003	0.008
YLR096W	0.001	0.007	0.331
YGR148C	0.016	0.009	0.008
YGR197C	0.005	0.018	0.005
YMR245W	0.026	0.010	0.008
YKL098W	0.011	0.008	0.018
YDR435C	0.000	0.022	0.013
YBR299W	0.028	0.008	0.004
YJR024C	0.015	0.008	0.011
YPR120C	0.026	0.004	0.009
YDR281C	0.008	0.008	0.005
YBL066C	0.004	0.009	0.005
YJR061W	0.023	0.007	0.011
YOR081C	0.015	0.017	0.001
YBL107C	0.125	0.002	0.006
YBR115C	0.027	0.006	NaN
YML022W	0.002	0.031	0.015
YOR231W	0.019	0.008	0.014
YKR005C	0.019	0.012	0.007
YJR130C	0.016	0.020	0.003
YLR348C	0.035	0.012	0.005
YLL002W	0.003	0.005	0.058
YJL077C	0.008	0.136	0.000
YBR114W	0.000	0.008	0.069
YIR042C	0.004	0.009	0.021
YMR118C	0.004	0.019	0.006
YFR022W	0.008	0.025	0.005
YIL072W	0.003	0.022	0.013
YOL028C	0.004	0.015	0.020
YBR227C	0.000	0.008	0.039
YPL183W-A	0.008	NaN	0.021
YNR045W	0.008	NaN	NaN
YJR137C	0.015	0.017	0.007
YMR135C	0.024	0.025	0.000
YLR011W	0.012	0.005	0.008
YGR023W	0.029	0.008	0.010
YJL059W	0.008	0.018	0.000
YER069W	0.004	0.009	0.014
YMR224C	0.011	0.011	0.007
YCL039W	0.010	0.038	0.007
YBL063W	0.028	0.006	0.008
YCR099C	NaN	0.006	0.018
YGL252C	NaN	0.007	0.008
YNL146W	0.005	0.011	0.013
YGR183C	0.008	0.008	0.008
YDR318W	0.004	0.027	0.019
YIL018W	0.030	0.005	0.086
YDR186C	NaN	0.007	0.067
YGL135W	0.004	NaN	0.031
YGL094C	0.026	0.005	0.019
YDR258C	0.006	0.007	0.022
YDL175C	0.007	0.007	0.025
YDL133W	0.031	0.007	0.042
YLR455W	0.008	0.004	0.009
YJL138C	0.014	0.016	0.002
YFR047C	0.003	0.020	0.013
YKR088C	0.004	0.015	0.005
YNL031C	0.011	0.004	0.009
YGL222C	0.005	0.009	0.013
YLR149C	0.008	0.007	NaN
YKR094C	0.024	0.010	0.004
YFL050C	0.011	0.011	0.006
YCR053W	0.002	0.020	0.013
YOR324C	0.006	0.010	0.024
YDR179C	0.004	0.008	0.014
YJR129C	0.008	0.016	0.003
YEL052W	0.002	0.013	0.012
YDR042C	0.033	0.007	0.008
YDR205W	0.011	0.055	0.003
YLR349W	0.016	0.029	0.003
YGR155W	0.006	0.022	0.007
YHR140W	0.010	0.007	0.014
YMR154C	0.008	0.006	0.007
YIL116W	0.009	0.007	0.011
YLR164W	0.025	0.006	0.007
YDL090C	0.012	0.007	0.019
YOR283W	0.015	0.011	0.003
YDR294C	0.044	0.005	0.016
YCL042W	0.002	0.018	0.006
YER051W	0.009	0.007	0.017
YBR233W	0.010	0.007	0.009
YLR094C	0.009	0.006	0.013
YDR453C	0.000	0.007	0.034
YLR107W	NaN	0.011	0.003
YGR225W	0.004	0.013	0.005
YLR372W	0.001	0.007	0.052
YOR027W	0.010	0.008	0.001
YBL095W	0.016	0.006	0.012
YLR251W	0.018	0.007	0.003
YCL037C	0.004	0.005	0.023
YCL029C	0.022	0.006	0.004
YLR368W	0.000	0.019	0.007
YOR005C	0.000	0.012	0.009
YOR015W	0.006	0.009	0.009
YBR221C	0.177	0.002	0.006
YIL138C	0.010	0.042	0.004
YOR197W	0.019	0.006	0.014
YGR096W	0.020	0.006	0.003
YEL017W	0.038	0.012	0.002
YGR173W	0.026	0.038	0.007
YLR395C	0.006	0.010	0.009
YGL260W	0.015	0.006	0.012
YNL046W	0.004	0.032	0.014
YDL176W	0.007	0.011	0.025
YKR065C	0.008	0.013	0.007
YJR015W	0.010	0.007	0.012
YGL154C	0.013	0.007	0.006
YLR437C	0.031	0.014	0.005
YHR203C	0.016	0.007	0.010
YLR183C	0.045	0.006	0.002
YML021C	0.001	0.017	0.010
YJL160C	0.013	0.004	0.011
YHL023C	0.012	0.007	0.012
YDL022W	0.000	0.011	0.007
YOR076C	0.006	0.050	0.001
YER024W	0.024	0.011	0.006
YEL037C	0.004	0.017	0.019
YER037W	0.000	0.035	0.020
YKL132C	0.021	0.005	0.017
YCL009C	0.026	0.010	0.007
YGL002W	0.010	0.011	0.005
YGR031W	0.019	0.007	0.005
YLR313C	0.025	0.003	0.008
YBR180W	NaN	0.012	0.003
YDR358W	0.006	0.020	0.021
YBL070C	0.003	0.019	0.005
YPL249C	0.018	0.007	0.014
YLR146C	0.024	0.006	0.028
YDL086W	0.010	0.007	0.016
YDL189W	0.007	0.009	0.016
YOR084W	0.023	0.012	0.001
YLR413W	0.016	0.006	0.002
YKL167C	0.005	0.005	0.007
YNL193W	NaN	0.014	0.002
YOR176W	NaN	NaN	0.007
YCR015C	0.011	0.007	0.028
YGR263C	0.000	0.035	0.029
YPL077C	0.007	0.015	0.001
YDR219C	0.020	0.004	0.014
YJR036C	0.030	0.005	0.021
YPL104W	NaN	0.007	0.000
YPL021W	0.004	0.012	0.007
YML084W	0.004	0.006	0.012
YDR371W	0.000	0.029	0.023
YDR278C	0.012	0.007	0.010
YMR162C	0.013	0.006	0.009
YDL001W	0.000	0.009	0.009
YGR028W	0.023	0.027	0.004
YHL032C	0.025	0.014	0.007
YDL134C	0.013	0.008	0.007
YML054C	0.004	0.006	0.009
YLR407W	0.004	0.004	0.010
YLR210W	0.026	0.012	0.007
YGL227W	0.004	0.028	0.006
YNL173C	0.033	0.017	0.003
YDL057W	0.000	0.009	0.038
YDR503C	0.000	0.007	0.025
YDR221W	0.005	0.002	0.015
YOR086C	NaN	0.012	0.005
YJL045W	0.018	0.014	0.000
YKR018C	0.023	0.025	0.004
YDL237W	0.001	0.010	0.012
YHR030C	0.026	0.012	0.007
YJL215C	0.125	0.007	0.000
YNL273W	0.020	0.010	0.004
YER007C-A	NaN	0.018	0.007
YDR110W	0.014	0.007	0.008
YGL060W	0.019	0.005	0.022
YER121W	0.004	0.014	0.004
YBR014C	0.040	0.005	0.013
YIL006W	0.016	0.007	0.024
YNL180C	0.006	0.007	NaN
YCL063W	0.005	0.009	0.010
YPL213W	0.002	0.017	0.063
YPL115C	0.018	0.019	0.007
YER128W	0.005	0.009	0.010
YLR265C	0.024	0.003	0.004
YDR139C	0.002	0.016	0.011
YLR004C	0.006	0.007	0.009
YNL230C	0.015	0.005	0.010
YMR102C	0.016	0.017	0.002
YER067W	0.005	0.012	0.005
YDR432W	0.000	0.023	0.007
YKL206C	0.024	0.014	0.004
YJR020W	0.014	0.006	0.012
YOR274W	0.002	0.010	0.010
YBR101C	0.014	0.007	0.008
YLL047W	0.005	0.007	0.009
YOR298W	0.005	0.014	0.004
YDR314C	0.018	0.014	0.006
YML090W	0.004	0.013	0.071
YJL145W	0.025	0.007	0.000
YDR097C	0.018	0.006	0.011
YNL319W	0.005	0.009	0.006
YJL172W	0.004	0.027	0.003
YKR080W	0.021	0.007	0.010
YDR056C	0.000	0.015	0.016
YPR148C	0.000	0.014	0.009
YBR095C	0.008	0.005	NaN
YOR325W	0.004	0.021	0.003
YOR347C	0.002	0.017	0.012
YBR034C	0.007	0.007	0.026
YGL174W	0.005	0.007	NaN
YPR044C	0.012	0.010	0.001
YKR033C	0.002	0.023	0.005
YPL172C	0.000	0.007	0.039
YFL020C	0.027	0.008	0.005
YER032W	0.018	0.004	0.013
YNL037C	0.019	0.005	NaN
YOR252W	0.018	0.017	0.007
YOR079C	0.033	0.012	0.002
YDR230W	NaN	0.009	0.007
YFL042C	0.013	0.006	0.012
YPL019C	0.017	0.007	0.007
YHL030W	0.005	0.009	0.004
YNL093W	NaN	0.007	0.013
YML026C	0.000	0.007	0.069
YAL065C	NaN	0.005	0.027
YPR166C	0.076	0.006	0.000
YDR049W	0.037	0.018	0.002
YJL153C	0.014	0.003	0.004
YOL051W	0.001	0.007	0.205
YJL044C	0.021	0.015	0.000
YKL187C	0.032	0.011	0.000
YLR436C	0.021	0.011	0.000
YEL030W	0.001	0.016	0.012
YGR207C	0.001	0.011	0.009
YLR137W	0.017	0.033	0.007
YDR461W	0.008	0.017	0.004
YIL058W	0.000	0.014	0.010
YLR194C	0.021	0.014	0.002
YNL303W	0.007	0.026	0.000
YJR083C	NaN	0.010	0.005
YDL085W	0.002	NaN	0.017
YKL197C	0.005	0.015	0.017
YGR194C	0.015	0.012	0.007
YPR130C	0.007	0.009	0.006
YMR116C	0.009	0.010	0.000
YGL096W	0.023	0.006	0.009
YDR218C	0.018	0.007	0.007
YHR126C	0.005	0.014	0.010
YER149C	0.006	0.007	0.010
YER014C-A	0.015	0.007	NaN
YLR280C	0.066	0.007	0.004
YOR382W	0.005	0.008	0.004
YOL037C	0.001	0.008	0.047
YDR401W	0.000	0.012	0.015
YJR030C	0.035	0.009	0.006
YBR272C	0.020	0.005	0.002
YJR049C	0.034	0.004	0.015
YNR065C	0.016	0.008	0.007
YMR294W	0.005	0.028	0.003
YIL090W	0.006	0.007	0.011
YBR268W	0.007	NaN	NaN
YEL064C	0.001	0.016	0.016
YJL128C	0.000	0.013	0.008
YOR188W	NaN	0.004	0.017
YCR105W	0.018	0.007	0.025
YEL006W	0.018	0.006	0.023
YHR018C	0.009	0.019	0.005
YAR030C	0.007	0.016	0.000
YNL176C	0.043	0.011	0.001
YGL180W	0.014	0.007	0.020
YOR363C	0.003	0.010	0.006
YLR199C	0.012	0.012	0.001
YBR212W	0.001	0.017	0.007
YDR444W	0.010	0.016	0.005
YBR219C	NaN	0.007	0.012
YLR239C	0.010	0.005	0.019
YNL016W	0.038	0.003	0.017
YFL019C	NaN	0.007	0.018
YGR256W	0.014	0.043	0.004
YGL204W	NaN	0.007	NaN
YDL026W	0.025	0.006	0.016
YIL161W	0.006	0.016	0.017
YER030W	0.019	0.007	0.007
YJR115W	0.016	0.011	0.001
YDR253C	0.005	0.007	0.008
YHL009C	0.007	0.008	0.017
YHR043C	0.016	0.007	0.017
YBR063C	NaN	0.002	0.016
YGR254W	0.011	0.006	0.019
YKL106W	0.024	0.007	0.000
YML009W-B	0.001	0.006	0.040
YMR139W	0.000	0.025	0.007
YGR291C	0.013	0.007	0.005
YFR020W	0.011	0.011	0.005
YOR237W	0.030	0.006	0.009
YGL007W	0.000	0.011	0.008
YFR054C	0.007	0.013	0.007
YMR194C-A	0.032	0.020	0.006
YMR111C	0.021	0.007	0.000
YDR175C	0.002	0.008	0.008
YDR458C	0.016	0.002	0.017
YLR152C	0.058	0.008	0.004
YBR058C	0.012	0.004	0.008
YMR183C	0.002	0.009	0.010
YJL132W	0.002	0.010	0.014
YKR032W	0.002	0.027	0.005
YLR282C	NaN	0.003	0.218
YLR376C	NaN	0.012	0.001
YER120W	0.005	0.007	0.009
YMR158W-B	0.009	0.009	0.002
YOR315W	0.001	0.013	0.008
YFL034W	0.009	0.007	0.006
YPL014W	0.007	0.012	0.008
YDL162C	0.009	0.006	0.009
YBR294W	0.003	0.023	0.016
YDL080C	0.008	0.007	0.006
YML083C	0.004	0.012	0.004
YER139C	0.002	0.013	0.018
YLR380W	0.005	0.017	0.002
YBR016W	0.020	0.006	0.015
YNL191W	0.024	0.015	0.002
YLR290C	0.022	0.009	0.004
YPL240C	0.038	0.014	0.004
YLR018C	0.001	0.012	0.011
YMR159C	0.006	0.007	0.011
YPR127W	0.007	0.008	0.007
YDL174C	0.024	0.007	0.030
YDL048C	0.000	0.007	0.267
YAL056W	0.033	0.007	0.000
YGR279C	0.002	0.011	0.010
YNL269W	0.018	0.010	0.003
YOR049C	0.008	0.015	0.002
YMR313C	0.007	0.008	0.019
YMR158W	0.008	NaN	0.005
YOR386W	0.013	0.014	0.004
YDR525W	0.000	0.010	0.032
YCR060W	0.006	0.024	0.015
YER010C	0.023	0.011	0.004
YLR381W	0.015	0.016	0.001
YGL248W	0.015	0.008	0.004
YFR057W	0.002	0.011	0.027
YOR082C	0.007	0.013	0.000
YOR094W	0.011	0.010	0.002
YPR197C	0.020	0.005	0.002
YDR032C	0.028	0.007	0.025
YNL123W	NaN	0.006	0.024
YLR435W	0.000	0.009	0.086
YDR423C	0.007	0.008	0.006
YPL256C	0.001	0.012	0.015
YHR076W	0.008	0.008	0.006
YJL175W	0.011	0.006	0.007
YLL010C	0.013	0.006	0.007
YPR191W	0.058	0.006	0.001
YDR010C	0.054	0.001	0.011
YML034W	0.002	0.016	0.014
YBL098W	NaN	0.004	0.008
YPR152C	0.017	0.001	0.009
YPL170W	0.004	0.007	0.008
YPR024W	0.021	0.006	0.038
YNL333W	0.009	0.011	0.004
YGR123C	0.008	0.003	0.020
YMR097C	0.007	NaN	0.000
YGL218W	0.064	NaN	0.000
YJR063W	0.004	0.009	0.008
YGR169C	0.010	0.010	0.006
YMR014W	0.006	NaN	0.012
YDR351W	0.000	0.044	0.029
YBR009C	0.045	0.002	0.004
YER169W	0.005	0.007	0.014
YPR155C	0.016	0.002	0.004
YGR237C	0.006	0.009	0.022
YIL140W	0.004	0.055	0.013
YKR052C	0.016	0.006	0.004
YDR282C	0.008	0.018	0.004
YJR079W	0.009	0.007	0.005
YPL116W	0.005	0.015	0.009
YMR101C	0.009	0.011	0.001
YEL008W	0.017	0.006	0.008
YIL139C	0.003	0.109	0.003
YNL324W	0.039	0.009	0.003
YNL332W	0.005	0.029	0.003
YER048C	0.002	0.006	0.012
YPR031W	0.000	0.008	0.020
YOR172W	0.020	0.006	0.014
YLR369W	NaN	NaN	0.006
YLR201C	NaN	0.004	0.008
YMR095C	0.013	0.006	0.015
YNL299W	0.024	0.012	0.001
YNR056C	0.000	0.019	0.008
YIL136W	0.014	0.011	0.004
YOR314W	0.001	0.014	0.012
YKR090W	0.005	0.017	0.002
YHR120W	0.000	0.011	0.021
YML014W	0.009	0.014	0.006
YHR124W	0.004	0.012	0.026
YER156C	0.019	0.006	0.016
YNL241C	0.000	0.019	NaN
YIL159W	0.001	0.049	0.012
YPR126C	0.006	0.013	0.009
YCR075C	0.000	0.051	0.015
YOL024W	NaN	0.013	0.002
YML006C	0.022	0.008	0.006
YHR050W	0.010	0.009	0.005
YML068W	0.002	0.017	0.018
YMR057C	0.008	0.006	0.005
YNL318C	0.003	0.008	0.008
YPR009W	0.012	0.007	0.006
YDR046C	0.011	0.006	0.015
YBR280C	0.016	0.005	0.013
YJL116C	0.010	0.015	0.004
YOL125W	0.026	0.020	0.004
YML080W	0.015	0.009	0.004
YDR157W	0.014	0.006	0.012
YNL231C	0.012	0.006	0.013
YKR058W	0.020	0.011	0.003
YHL042W	0.003	0.012	0.005
YML118W	0.007	0.005	0.015
YOR013W	0.008	0.012	0.000
YMR302C	0.002	0.007	0.013
YML018C	0.032	0.009	0.006
YFR045W	0.003	0.015	0.014
YDR074W	0.024	0.037	0.006
YDL197C	0.022	0.006	0.028
YKR056W	0.023	0.011	0.002
YBR264C	0.002	0.026	0.004
YDR210W	0.020	0.004	0.025
YBR244W	0.019	0.019	0.006
YLR177W	0.053	0.018	0.001
YOL047C	0.002	0.009	0.024
YMR096W	0.005	0.006	0.010
YAL012W	0.000	0.019	0.017
YML004C	NaN	0.009	0.005
YLL013C	0.014	0.013	0.000
YGL208W	0.004	0.023	0.006
YBL062W	0.019	NaN	0.005
YDR184C	0.014	0.003	0.004
YJL013C	0.033	0.006	0.013
YOR225W	0.008	0.005	0.009
YJL155C	0.015	0.003	0.003
YBR076W	0.013	0.003	0.012
YOR058C	0.000	0.010	0.009
YJL214W	0.170	0.006	0.000
YOL013C	0.030	0.017	0.001
YKL148C	0.020	0.009	0.004
YNL084C	0.016	0.016	0.005
YPL017C	0.008	0.006	0.008
YJL152W	0.016	0.018	0.000
YDL168W	0.006	0.004	0.013
YER096W	0.021	0.002	0.009
YJR149W	0.015	0.015	0.003
YIL114C	0.011	0.010	0.004
YDR501W	0.000	0.006	0.015
YNL111C	0.000	0.023	0.008
YNL014W	0.035	0.006	0.011
YNL203C	0.003	0.010	0.006
YLR001C	0.000	0.006	0.024
YPL138C	0.010	0.016	0.006
YOR226C	0.011	0.005	0.011
YJR043C	0.004	0.005	0.041
YGL163C	0.009	0.006	0.030
YLR121C	0.011	0.015	0.001
YER068C-A	0.004	0.005	0.011
YOR093C	0.006	0.018	0.000
YDL194W	0.019	0.024	0.000
YOR300W	NaN	0.017	0.006
YOL052C-A	0.000	0.012	0.009
YGL003C	0.007	0.012	0.006
YIL053W	0.004	0.009	0.015
YPL186C	0.000	0.011	0.010
YBR232C	0.016	0.002	0.013
YPR118W	0.003	0.011	0.005
YDL112W	0.020	0.005	0.013
YGR199W	0.004	0.011	0.004
YDR169C	0.029	0.002	0.004
YML120C	0.010	0.006	0.013
YGR044C	0.020	0.006	0.004
YDR048C	0.002	0.011	0.005
YJL007C	0.012	0.006	0.006
YBR141C	0.007	0.003	0.016
YCL040W	NaN	0.014	0.006
YLR224W	0.014	0.005	0.009
YDL171C	0.008	0.006	0.015
YDR338C	0.006	0.015	0.019
YHR125W	0.003	0.018	0.014
YPR174C	0.041	0.004	0.002
YIL049W	0.004	0.007	0.031
YPR129W	0.017	0.006	0.006
YER101C	0.009	0.006	0.011
YDL135C	0.013	0.005	0.009
YDL122W	0.030	0.004	0.010
YDR346C	0.023	0.005	0.007
YNL336W	0.004	0.018	0.002
YOR371C	0.004	0.011	0.007
YOR228C	0.014	0.005	0.008
YBR162C	0.007	0.008	0.006
YLR123C	0.001	0.007	0.043
YHR193C	0.010	0.009	0.001
YOR286W	0.003	0.016	0.004
YML063W	0.001	0.005	0.017
YHR094C	0.005	0.011	0.006
YDL082W	0.003	0.006	0.084
YIL074C	NaN	0.004	0.015
YER042W	0.013	0.010	0.006
YPR195C	0.018	0.003	0.003
YPL066W	0.025	0.004	0.002
YOL079W	0.002	0.013	0.017
YBR259W	0.002	0.009	0.007
YLR055C	0.007	0.015	0.005
YPR196W	0.025	0.004	0.002
YML117W	0.013	0.006	0.032
YNL028W	0.004	0.010	NaN
YOR192C	0.016	0.005	0.025
YIL070C	0.025	0.003	0.032
YDR178W	0.013	0.006	0.011
YOL081W	0.006	0.008	0.019
YOR301W	0.000	0.013	0.008
YBR126C	0.000	0.016	0.009
YDL182W	0.008	0.005	0.011
YOR343C	0.000	0.019	0.018
YOR179C	0.008	0.005	0.008
YDL125C	0.019	0.004	0.024
YAL007C	0.011	0.007	0.005
YPL022W	0.009	0.011	0.006
YER041W	0.003	0.007	0.006
YDR535C	0.010	0.004	0.014
YOR129C	0.014	0.016	0.000
YER117W	0.013	0.006	0.026
YBR048W	0.010	0.003	0.007
YER142C	0.000	0.012	0.015
YMR293C	0.000	0.010	0.006
YER060W	0.002	0.042	0.006
YHR106W	0.006	0.007	0.004
YLR454W	0.026	0.014	0.005
YHR117W	0.004	0.007	0.008
YJR008W	0.015	0.006	0.015
YDR234W	0.012	0.006	0.012
YER093C-A	0.010	0.004	0.028
YPL152W	0.038	0.006	0.007
YPR134W	0.005	0.008	0.007
YOL036W	0.002	0.008	0.020
YBR064W	0.006	0.005	0.011
YHR048W	NaN	0.014	0.006
YJR058C	0.015	0.006	0.021
YJR154W	0.022	0.014	0.002
YDR350C	0.000	0.006	0.033
YDL130W-A	0.025	0.003	0.020
YKL147C	0.018	NaN	0.006
YFR035C	0.005	0.008	0.021
YPL229W	0.010	0.012	0.006
YGR107W	0.016	0.006	0.008
YDL214C	0.018	0.006	0.014
YLR120C	0.011	0.019	0.000
YGL175C	0.016	0.006	0.012
YEL004W	0.018	0.008	0.004
YHR202W	0.043	0.012	0.005
YFR025C	0.009	0.006	0.024
YML058W	0.017	0.015	0.004
YDR215C	0.001	0.010	0.015
YIL108W	NaN	0.006	0.014
YHR207C	0.022	0.020	0.005
YOR208W	0.031	0.005	0.007
YDR317W	0.005	0.034	0.007
YPL258C	0.001	0.015	0.006
YBL053W	0.002	0.020	0.010
YNR073C	0.015	0.061	0.003
YML111W	0.001	0.029	0.014
YER164W	NaN	0.002	0.010
YPL219W	0.000	0.008	0.009
YGR100W	0.013	0.004	0.021
YOR040W	0.004	0.010	0.006
YLR069C	0.000	0.010	0.014
YOR296W	0.004	0.011	0.004
YKL040C	0.016	0.008	0.006
YJL112W	0.023	0.015	0.000
YHR171W	0.000	0.014	0.020
YLR328W	0.017	0.005	0.006
YMR273C	0.005	0.006	0.010
YEL045C	0.001	0.006	0.028
YHR178W	0.022	0.006	0.009
YGL177W	0.004	0.007	0.007
YLR073C	0.002	0.011	0.010
YHR112C	0.014	0.005	0.011
YDL110C	0.017	0.004	0.011
YAL030W	NaN	0.006	0.005
YFL015C	0.027	0.008	0.004
YBR159W	0.034	0.007	0.004
YDL054C	0.000	0.007	0.006
YBR052C	0.003	0.010	0.003
