ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YGR167W	0.031	NaN	0.125
YOL112W	0.048	0.032	0.011
YDR195W	0.015	0.020	0.243
YBR035C	0.020	0.078	0.014
YDR296W	0.036	NaN	0.005
YIR018W	0.045	0.026	0.028
YNL056W	0.036	0.019	0.073
YNL082W	NaN	0.033	0.028
YLL049W	0.018	0.042	0.033
YPL121C	0.086	0.020	0.064
YOL006C	0.574	0.014	0.028
YNL043C	0.033	0.029	0.048
YGL084C	0.008	0.033	0.115
YJL178C	NaN	0.029	0.074
YDR477W	0.071	0.024	0.016
YLR425W	0.046	0.041	0.018
YIL027C	0.040	0.035	0.028
YGR282C	0.206	0.021	0.018
YDL025C	0.028	0.013	0.109
YDR138W	0.017	0.032	0.055
YLR292C	0.119	0.020	0.033
YLR226W	NaN	NaN	0.032
YML128C	0.037	0.021	0.027
YMR320W	0.051	0.028	0.018
YCR049C	0.021	0.038	0.017
YKL047W	0.034	0.047	0.015
YMR317W	0.037	0.017	0.021
YOL099C	0.058	0.016	0.018
YNL128W	0.032	0.029	0.028
YGL045W	0.123	0.012	0.015
YJL030W	0.045	0.011	0.036
YNL225C	NaN	0.032	0.090
YBL082C	0.032	NaN	0.055
YGL215W	0.105	0.019	0.032
YOL068C	NaN	0.094	0.023
YNR049C	0.031	0.034	0.027
YKL198C	0.026	0.020	0.020
YAL042C-A	0.023	0.018	0.170
YIR035C	0.031	0.031	0.028
YER031C	0.048	0.014	0.112
YIL163C	0.050	0.020	0.012
YNL115C	0.034	0.018	0.024
YEL012W	0.042	0.012	0.274
YLL029W	0.041	0.022	0.021
YHR127W	0.032	0.021	0.022
YOL109W	0.051	0.026	0.012
YIL153W	0.031	0.042	0.026
YCR061W	0.030	0.028	0.037
YGR239C	0.031	0.052	0.022
YPL207W	0.103	0.028	0.008
YNL291C	0.011	0.029	0.091
YJL052W	0.042	0.015	0.097
YCR002C	0.006	0.090	0.025
