ORF	hom | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012	het | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012
YCR013C	NaN	-0.095
YCR014C	0.158	-0.835
YCR015C	0.436	-0.000
YCR016W	-0.310	-0.946
YCR017C	-1.128	-0.635
YCR019W	0.147	-1.132
YCR020C	-0.142	-0.924
YCR020C-A	-1.029	-0.315
YCR020W-B	-0.339	0.848
YCR021C	0.047	-0.549
YCR022C	0.109	-0.315
YCR023C	-0.494	-0.564
YCR024C	-3.085	1.700
YCR024C-A	1.926	0.948
YCR025C	0.567	0.747
YCR026C	0.558	2.173
YCR027C	1.891	1.517
YCR028C	-3.752	1.124
YCR028C-A	-3.047	-1.226
YCR030C	-0.007	-0.220
YCR031C	-0.294	2.165
YCR032W	0.105	0.505
YCR033W	-0.098	-0.133
YCR034W	1.504	3.484
YCR035C	NaN	-4.182
YCR036W	0.969	9.056
YCR037C	0.195	2.324
YCR043C	-0.105	0.900
YCR044C	1.545	2.871
YCR045C	0.812	0.754
YCR046C	NaN	0.283
YCR047C	-1.187	-0.056
YCR048W	-0.260	0.405
YCR049C	1.686	0.858
YCR050C	1.886	2.443
YCR051W	-0.325	1.871
YCR052W	NaN	-1.400
YCR053W	0.622	0.545
YCR054C	NaN	-0.296
YCR057C	NaN	-1.072
YCR059C	0.615	0.889
YCR060W	-0.265	0.459
YCR061W	2.848	0.391
YCR063W	-0.218	1.444
YCR064C	NaN	0.893
YCR065W	-1.536	2.149
YCR066W	-1.014	1.200
YCR067C	0.300	0.337
YCR068W	0.235	2.174
YCR069W	-0.032	-0.195
YCR071C	-0.421	0.290
YCR072C	NaN	0.135
YCR073C	0.096	1.277
YCR073W-A	0.133	1.806
YCR075C	-0.118	0.068
YCR076C	-0.043	0.977
YCR077C	5.611	1.579
YCR079W	1.946	0.799
YCR081W	1.835	2.495
YCR082W	-0.611	1.660
YCR083W	-0.164	0.657
YCR084C	-0.084	-3.422
YCR085W	1.219	2.215
YCR086W	0.042	1.648
YCR087C-A	-0.060	1.937
YCR087W	0.261	1.547
YCR088W	0.248	1.141
YCR089W	-0.267	0.051
YCR090C	0.280	0.129
YCR091W	-0.351	-0.283
YCR092C	-0.233	-0.060
YCR093W	NaN	10.152
YCR094W	-2.873	0.181
YCR095C	2.991	0.608
YCR098C	-3.374	-0.167
YCR099C	-0.692	-0.147
YCR100C	-0.162	-0.170
YCR101C	-0.100	-0.379
YCR102C	-0.444	-0.010
YCR102W-A	-0.698	-0.476
YCR105W	-0.555	-0.181
YCR106W	-0.815	0.157
YCR107W	-0.126	0.013
YDL001W	1.096	0.078
YDL002C	-0.948	-0.575
YDL003W	NaN	0.289
YDL004W	NaN	0.072
YDL005C	NaN	0.042
YDL006W	-2.163	0.051
YDL007W	NaN	-0.452
YDL008W	NaN	0.497
YDL009C	0.128	0.479
