orf	hap a | protein/peptide metabolism (unfolded protein response (UPR)) | standard [standard] | Jonikas MC~Schuldiner M, 2009
YDL168W	-0.09216941
YDL169C	-0.01415791
YDL170W	0.02480204
YDL171C	-0.06915257
YDL172C	-0.03891653
YDL173W	-0.004531256
YDL174C	-0.1425129
YDL175C	-0.04009775
YDL176W	0.08920246
YDL177C	-0.06764688
YDL178W	-0.1449335
YDL179W	-0.04802145
YDL180W	-0.1338354
YDL181W	0.04357419
YDL182W	0.09442622
YDL183C	-0.008844651
YDL184C	0.06037729
YDL185W	0.1169797
YDL186W	-0.09299358
YDL187C	0.04768769
YDL188C	-0.06914908
YDL189W	-0.1022774
YDL190C	0.61236
YDL191W	-0.7540693
YDL192W	1.586894
YDL194W	0.2028104
YDL197C	0.04852958
YDL199C	0.08558793
YDL200C	-0.01596431
YDL201W	-0.01297152
YDL203C	0.05729196
YDL204W	0.04176315
YDL206W	0.1052942
YDL210W	-0.02932215
YDL211C	-0.01970239
YDL213C	-0.1357704
YDL214C	0.002075995
YDL215C	-0.006160384
YDL216C	0.05845394
YDL218W	-0.009842429
YDL219W	0.03401688
YDL222C	-0.08629311
YDL223C	0.1248446
YDL224C	-0.1822772
YDL225W	0.01562971
YDL226C	0.4915106
YDL227C	-0.04968166
YDL229W	-0.06252519
YDL230W	-0.1537105
YDL231C	-0.0822084
YDL232W	0.01131835
YDL233W	0.0365439
YDL234C	0.01383596
YDL236W	0.02017422
YDL237W	0.08587468
YDL238C	-0.0560434
YDL239C	0.005933808
YDL240W	0.3032683
YDL241W	-0.01974042
YDL242W	-0.06399797
YDL243C	0.02199842
YDR001C	0.129761
YDR003W	-0.07301914
YDR004W	-0.3427031
YDR005C	-0.311014
YDR006C	-0.3256278
YDR007W	-0.2216552
YDR008C	-0.002522425
YDR009W	-0.03352206
YDR010C	-0.008365966
YDR011W	0.1414964
YDR014W	-0.05259144
YDR015C	0.04522068
YDR017C	-1.010364
YDR018C	-0.02207934
YDR019C	0.04653199
YDR020C	-0.01943547
YDR022C	0.03138851
YDR024W	-0.8715043
YDR025W	-0.8827139
YDR026C	0.002599764
YDR027C	1.350752
YDR028C	0.7715363
YDR029W	0.120227
YDR030C	0.006292488
YDR031W	0.04169069
YDR032C	0.0909006
YDR033W	-0.04189429
YDR034C	-0.5431114
YDR035W	0.1348921
YDR036C	0.3076505
YDR042C	0.1237003
YDR043C	0.1244648
YDR046C	0.001778864
YDR048C	-0.2687538
YDR049W	-0.1907564
YDR050C	0.06658525
YDR051C	0.1359081
YDR055W	0.09214509
YDR056C	0.02674875
YDR057W	0.886497
YDR058C	-0.05575764
YDR059C	0.1553302
YDR061W	0.07966676
YDR063W	0.05389763
YDR066C	0.05561986
YDR067C	-0.01343913
YDR068W	0.05764931
YDR069C	0.418427
YDR070C	-0.03230036
YDR071C	-0.06020157
YDR072C	0.1754417
YDR073W	0.007763526
YDR074W	0.4254163
YDR075W	-0.08318538
YDR076W	-0.103645
YDR077W	0.09833765
YDR078C	-0.1103825
YDR079W	-0.1383094
YDR080W	0.1488844
YDR083W	-0.6127189
YDR084C	0.01423567
YDR085C	0.01490457
YDR089W	0.1006631
YDR090C	0.08012289
YDR092W	-0.04982422
YDR093W	0.1936773
YDR094W	0.0716487
YDR095C	-0.06923691
YDR096W	0.04125709
YDR097C	-0.1152679
YDR098C	-0.0651187
YDR099W	-0.05523722
YDR100W	0.05482608
YDR101C	-1.140418
YDR102C	0.03318852
YDR104C	0.02449595
YDR105C	0.09052648
YDR107C	0.04999563
YDR108W	0.5279764
YDR109C	-0.02200521
YDR110W	-0.2755962
YDR111C	0.03523275
YDR112W	0.02041902
YDR116C	-0.05647763
YDR117C	-0.0652074
YDR119W	0.01694783
YDR120C	-0.3627129
YDR121W	-0.6457501
YDR122W	0.05404775
YDR123C	-0.06804016
YDR124W	0.0158239
YDR125C	-0.02110377
YDR126W	0.2700747
YDR127W	1.126595
YDR128W	0.1738698
YDR129C	-0.04954706
YDR130C	0.05536034
YDR131C	0.03119174
YDR132C	0.09855503
YDR133C	0.1280726
YDR135C	0.02396427
YDR136C	1.323268
YDR137W	0.2337472
