ORF	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YDL121C	0.070	NaN
YDL122W	-1.500	NaN
YDL123W	-1.240	NaN
YDL124W	1.270	NaN
YDL125C	0.260	NaN
YDL126C	NaN	1.350
YDL127W	0.560	NaN
YDL128W	-0.040	NaN
YDL129W	0.520	NaN
YDL130W	1.500	NaN
YDL130W-A	0.300	NaN
YDL131W	-0.260	NaN
YDL132W	NaN	0.250
YDL133C-A	0.260	NaN
YDL133W	-7.010	NaN
YDL134C	-1.690	NaN
YDL135C	-0.640	NaN
YDL136W	0.190	NaN
YDL137W	-0.900	NaN
YDL138W	0.220	NaN
YDL139C	NaN	1.960
YDL140C	NaN	-0.000
YDL141W	NaN	2.270
YDL142C	0.600	NaN
YDL143W	NaN	-0.670
YDL144C	-1.650	NaN
YDL145C	NaN	1.100
YDL146W	0.670	NaN
YDL147W	NaN	12.260
YDL148C	NaN	0.550
YDL149W	-0.820	NaN
YDL150W	NaN	-1.590
YDL152W	NaN	1.960
YDL153C	NaN	3.130
YDL154W	0.710	NaN
YDL155W	1.870	NaN
YDL156W	0.860	NaN
YDL157C	0.490	NaN
YDL160C	-1.840	NaN
YDL161W	-0.600	NaN
YDL162C	0.070	NaN
YDL163W	NaN	-0.060
YDL164C	NaN	-0.920
YDL165W	NaN	-2.020
YDL166C	NaN	-2.640
YDL167C	-0.790	NaN
YDL168W	-0.940	NaN
YDL169C	-0.670	NaN
YDL170W	1.720	NaN
YDL171C	-0.040	NaN
YDL172C	-2.210	NaN
YDL173W	-0.000	NaN
YDL174C	-0.260	NaN
YDL175C	2.400	NaN
YDL176W	-0.040	NaN
YDL177C	-0.340	NaN
YDL178W	-1.720	NaN
YDL179W	0.340	NaN
YDL180W	0.260	NaN
YDL182W	1.460	NaN
YDL183C	-1.870	NaN
YDL184C	-0.670	NaN
YDL186W	0.220	NaN
YDL187C	-1.090	NaN
YDL188C	3.150	NaN
YDL189W	-0.520	NaN
YDL190C	0.560	NaN
YDL191W	1.910	NaN
YDL192W	-0.520	NaN
YDL193W	NaN	-2.510
YDL194W	0.340	NaN
YDL195W	NaN	5.640
YDL196W	NaN	-3.560
YDL197C	1.650	NaN
YDL198C	1.420	NaN
YDL199C	-0.000	NaN
YDL200C	1.650	NaN
YDL201W	0.110	NaN
YDL202W	3.070	NaN
YDL203C	1.050	NaN
YDL204W	1.910	NaN
YDL205C	NaN	2.450
YDL207W	NaN	0.060
YDL208W	NaN	-2.760
YDL209C	NaN	-0.490
YDL210W	-0.190	NaN
YDL211C	0.220	NaN
YDL212W	NaN	-0.250
YDL213C	-2.140	NaN
YDL214C	-0.560	NaN
YDL215C	-0.340	NaN
YDL216C	-2.400	NaN
YDL217C	NaN	-0.800
YDL218W	-1.200	NaN
YDL219W	0.110	NaN
YDL220C	NaN	-0.430
YDL221W	NaN	0.250
YDL222C	0.340	NaN
YDL223C	-0.900	NaN
YDL224C	-0.300	NaN
YDL225W	-0.450	NaN
YDL226C	1.650	NaN
YDL229W	0.370	NaN
YDL230W	-0.340	NaN
