orf	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YDL064W		-0.18
YDL065C	1.46	
YDL066W	-4.46	
YDL067C	0.79	
YDL068W	0.56	
YDL070W	1.87	
YDL071C	0.71	
YDL072C	-0.82	
YDL073W	-1.8	
YDL074C	-0.97	
YDL075W	-0.97	
YDL076C	0.49	
YDL077C	1.91	
YDL078C	0.11	
YDL079C	0.15	
YDL080C	0.26	
YDL081C	1.01	
YDL082W	1.65	
YDL083C	0.37	
YDL084W		0.18
YDL085W	0.86	
YDL086W	0.79	
YDL087C		1.59
YDL088C	1.12	
YDL089W	-0.79	
YDL090C	1.01	
YDL091C	0.86	
YDL092W		2.08
YDL093W	1.42	
YDL094C	-0.86	
YDL095W	-4.23	
YDL096C	-1.42	
YDL097C		0.98
YDL098C		0.8
YDL099W	-0.49	
YDL100C	1.99	
YDL101C	1.05	
YDL102W		-0.06
YDL103C		-0.55
YDL104C	-1.42	
YDL105W		-0.37
YDL107W	0.82	
YDL108W		2.45
YDL109C	0.94	
YDL110C	-1.54	
YDL111C		-0.49
YDL112W	-0.94	
YDL113C	-0.15	
YDL114W	0.67	
YDL115C	-1.91	
YDL117W	0.34	
YDL118W	0.94	
YDL119C	0.0	
YDL120W		-0.74
YDL121C	0.07	
YDL122W	-1.5	
YDL123W	-1.24	
YDL124W	1.27	
YDL125C	0.26	
YDL126C		1.35
YDL127W	0.56	
YDL128W	-0.04	
YDL129W	0.52	
YDL130W	1.5	
YDL130W-A	0.3	
YDL131W	-0.26	
YDL132W		0.25
YDL133C-A	0.26	
YDL133W	-7.01	
YDL134C	-1.69	
YDL135C	-0.64	
YDL136W	0.19	
YDL137W	-0.9	
YDL138W	0.22	
YDL139C		1.96
YDL140C		0.0
YDL141W		2.27
YDL142C	0.6	
YDL143W		-0.67
YDL144C	-1.65	
YDL145C		1.1
YDL146W	0.67	
YDL147W		12.26
YDL148C		0.55
YDL149W	-0.82	
YDL150W		-1.59
YDL152W		1.96
YDL153C		3.13
YDL154W	0.71	
YDL155W	1.87	
YDL156W	0.86	
YDL157C	0.49	
YDL160C	-1.84	
YDL161W	-0.6	
YDL162C	0.07	
YDL163W		-0.06
YDL164C		-0.92
YDL165W		-2.02
YDL166C		-2.64
YDL167C	-0.79	
YDL168W	-0.94	
YDL169C	-0.67	
YDL170W	1.72	
YDL171C	-0.04	
YDL172C	-2.21	
YDL173W	0.0	
YDL174C	-0.26	
YDL175C	2.4	
YDL176W	-0.04	
YDL177C	-0.34	
YDL178W	-1.72	
YDL179W	0.34	
YDL180W	0.26	
YDL182W	1.46	
YDL183C	-1.87	
YDL184C	-0.67	
YDL186W	0.22	
YDL187C	-1.09	
YDL188C	3.15	
YDL189W	-0.52	
YDL190C	0.56	
YDL191W	1.91	
YDL192W	-0.52	
YDL193W		-2.51
YDL194W	0.34	
YDL195W		5.64
YDL196W		-3.56
YDL197C	1.65	
YDL198C	1.42	
YDL199C	0.0	
YDL200C	1.65	
YDL201W	0.11	
YDL202W	3.07	
YDL203C	1.05	
YDL204W	1.91	
YDL205C		2.45
YDL207W		0.06
YDL208W		-2.76
YDL209C		-0.49
YDL210W	-0.19	
YDL211C	0.22	
YDL212W		-0.25
YDL213C	-2.14	
YDL214C	-0.56	
YDL215C	-0.34	
YDL216C	-2.4	
YDL217C		-0.8
YDL218W	-1.2	
YDL219W	0.11	
YDL220C		-0.43
YDL221W		0.25
YDL222C	0.34	
YDL223C	-0.9	
YDL224C	-0.3	
YDL225W	-0.45	
YDL226C	1.65	
YDL229W	0.37	
YDL230W	-0.34	
YDL231C	0.49	
YDL233W	1.8	
YDL234C	0.56	
YDL235C		-0.92
YDL236W	0.41	
YDL237W	0.64	
YDL238C	-0.49	
YDL239C	-2.17	
YDL240W	-0.34	
YDL241W	0.75	
YDL242W	-0.52	
YDL243C	-0.45	
YDR001C	-1.72	
YDR002W		0.31
YDR003W	1.65	
YDR004W	-0.15	
YDR005C	-1.2	
