COMPOUND	COMPOUND_CONCENTRATION	CONCENTRATION	EXPERIMENT	EXPERIMENT_NUMBER_HIPHOP	EXPERIMENT_TYPE	GENE_NAME	SCORE	SCORE_TYPE	SYSTEMATIC_NAME	VIABILITY	Z_SCORE
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MSB3	-0.0877581130471956	Adj.	YNL293W	viable	-0.0975674077130685
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RIM21	0.00132571834031378	Adj.	YNL294C	viable	0.00197114456384041
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL295W	-0.0969382933697833	Adj.	YNL295W	viable	-0.0846498129588183
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL296W	-0.0408471903355592	Adj.	YNL296W	viable	-0.0569957530137877
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MON2	-0.154523129881134	Adj.	YNL297C	viable	-0.199391201220342
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	CLA4	0.00587057866240757	Adj.	YNL298W	viable	0.00709414837451937
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	TRF5	0.133708742862625	Adj.	YNL299W	viable	0.186275256120936
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	TOS6	0.00838651773005205	Adj.	YNL300W	viable	0.0111405135727411
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RPL18B	-0.337996362998973	Adj.	YNL301C	viable	-0.462462392250286
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RPS19B	5.40859013121737	Adj.	YNL302C	viable	2.16037214665596
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL303W	-0.166675112155401	Adj.	YNL303W	viable	-0.164167810816681
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YPT11	-0.139370556553276	Adj.	YNL304W	viable	-0.118561555156407
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	BXI1	-0.90265927480072	Adj.	YNL305C	viable	-1.24269461285775
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MRPS18	0.354068412514812	Adj.	YNL306W	inviable	0.397359694963633
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MCK1	-1.39699818273256	Adj.	YNL307C	viable	-1.08416352167127
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	KRI1	0.513134784269366	Adj.	YNL308C	inviable	0.356935050245822
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	STB1	0.368523860131228	Adj.	YNL309W	viable	0.687104258697696
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ZIM17	-0.0875512506931139	Adj.	YNL310C	inviable	-0.0836491694935399
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SKP2	-0.78392710034457	Adj.	YNL311C	viable	-1.03240076415516
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RFA2	0.0171383797174538	Adj.	YNL312W	inviable	0.0179935999593111
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	EMW1	-0.903410180184989	Adj.	YNL313C	inviable	-0.787837299608006
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	DAL82	-0.0334015725138379	Adj.	YNL314W	viable	-0.0448317958481162
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ATP11	-0.0535735753818407	Adj.	YNL315C	viable	-0.0713548367858594
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PHA2	0.0198613956004762	Adj.	YNL316C	viable	0.0248549066286933
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PFS2	-2.11216323929474	Adj.	YNL317W	inviable	-1.198135925229
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	HXT14	-0.197754364627721	Adj.	YNL318C	viable	-0.162992780362383
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL319W	-0.114816166737259	Adj.	YNL319W	viable	-0.0982190430848248
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL320W	0.178837631752749	Adj.	YNL320W	viable	0.115312279047403
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	VNX1	0.0488834980221996	Adj.	YNL321W	viable	0.0338055493565743
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	KRE1	-0.00508177325195739	Adj.	YNL322C	viable	-0.00351952142220166
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	LEM3	0.0864515548219365	Adj.	YNL323W		0.0571906013697445
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL324W	-0.135793515920504	Adj.	YNL324W	viable	-0.129862119516217
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	FIG4	-0.233339181531091	Adj.	YNL325C	viable	-0.222243467961631
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PFA3	-0.0602761649218732	Adj.	YNL326C	viable	-0.0548750834418623
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	EGT2	-1.86948128195606	Adj.	YNL327W	viable	-1.67605442738131
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MDJ2	-0.81421834261284	Adj.	YNL328C	viable	-0.73524675903184
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PEX6	0.00460982656777626	Adj.	YNL329C	viable	0.00440534337960401
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RPD3	-0.262757264114138	Adj.	YNL330C	viable	-0.158381337328631
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	AAD14	-0.0327273469929366	Adj.	YNL331C	viable	-0.0086787425048534
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	THI12	-0.0706778865191691	Adj.	YNL332W	viable	-0.0621567727611318
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SNZ2	-1.96971242709398	Adj.	YNL333W	viable	-1.89182673866646
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SNO2	0.000852118002286155	Adj.	YNL334C	viable	0.00066691254789717
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	DDI3	-0.893235515234226	Adj.	YNL335W	viable	-0.724942202274727
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	COS1	-0.195032000890025	Adj.	YNL336W	viable	-0.192858073206497
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL338W	0.032779194833574	Adj.	YNL338W	viable	0.041533291914086
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YRF1-6	-0.156897078535158	Adj.	YNL339C	viable	-0.184424602277131
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	CIT1	0.00248118707401393	Adj.	YNR001C	viable	0.00140977365669811
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNR005C	0.102881878054125	Adj.	YNR005C	viable	0.088794127898948
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ATO2	0.0610076254814896	Adj.	YNR002C	viable	0.094363035341401
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RPC34	-0.0310428329294388	Adj.	YNR003C	inviable	-0.0208906066769049
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SWM2	-0.14194936123526	Adj.	YNR004W	viable	-0.223956826203177
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	VPS27	-0.0317231283712241	Adj.	YNR006W	viable	-0.0413874929982223
