orf	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Leu, Gal [2%] | Armakola M~Gitler AD, 2012	hap a (post-SGA) | growth (colony size) | expression of human TDP-43 [GAL] | SC - Ura, Gal [2%] | Armakola M~Gitler AD, 2012
YDL065C	0.154834	0.21858456284141958
YDL066W	1.206841	0.015605773743202267
YDL067C	0.295618	-0.7773754837922597
YDL068W	-0.892428	-0.8337031597411345
YDL069C	1.319063	-0.8335282827175968
YDL070W	0.279648	0.16779179734072583
YDL071C	0.344819	0.09602467878593443
YDL072C		2.73635038748589
YDL073W		
YDL074C	2.66462	-0.5854358691353758
YDL075W	1.429903	3.553107427352301
YDL076C	1.4339	-0.731164601649288
YDL077C	-0.708973	-0.38381886800935344
YDL078C	0.35801	0.053947805366485524
YDL079C	-0.909646	0.1108300503028064
YDL080C	-0.837401	0.43588150990926244
YDL081C	-0.595124	0.7898778808617749
YDL082W	2.664149	0.7222179140488534
YDL083C	-0.766691	1.135601940437188
YDL085C-A	-0.120501	
YDL085W	0.338048	0.2236212273632367
YDL086W	1.584995	0.016577923409885703
YDL088C	0.26531	-0.1288209041587497
YDL089W	-0.586345	-0.08098752842387164
YDL090C		
YDL091C	-0.448119	0.05553985367685485
YDL093W	-0.528271	0.6745171438457045
YDL094C	0.28367	0.2637958737775398
YDL095W	-2.114009	0.6743179116278857
YDL096C	-0.525781	-0.009809238387389951
YDL099W	-0.950962	-0.2991359249208022
YDL100C	0.387232	-0.1146755399463078
YDL101C	-2.435835	0.07968976640787287
YDL104C		-0.350856797775841
YDL106C	0.812586	1.5820528648850694
YDL107W		-0.8467571443339197
YDL109C		0.02389245404194007
YDL110C		-0.13112793098025108
YDL112W	0.280252	-0.05336901198898078
YDL113C	0.131144	-0.17767381491879217
YDL114W	-0.445763	-0.15660384102306668
YDL115C	0.470053	4.087269939416852
YDL116W	-0.005514	0.8037604058037807
YDL117W	-0.012034	0.1448974037578562
YDL118W		1.9843400054070321
YDL119C	1.151435	0.1522043617939196
YDL121C	0.478636	-0.0907674577752278
YDL122W	1.0215	0.08486030174036419
YDL123W		0.07276284403766103
YDL124W	0.737102	0.10242041316472308
YDL125C		-0.08208955417875682
YDL127W		-0.2530311161355923
YDL128W	0.252791	-0.033265706740557316
YDL129W		-0.15730868081629099
YDL130W	3.239478	0.7101650700958037
YDL130W-A	-0.103174	0.06638804235284732
YDL131W	0.086303	0.16104401233134405
YDL133C-A	0.20292849999999998	-0.0500980622014328
YDL133W	0.859737	0.07728746743120907
YDL134C	-0.045229	0.8564326788497061
YDL135C	0.725267	0.0761099762272883
YDL136W		0.5659393921489946
YDL137W	-0.258207	-0.2571476243923901
YDL138W	-0.331024	0.1945383708161919
YDL142C		-0.677446696705366
YDL144C	0.649019	-0.13234117022886385
YDL146W	0.271931	0.021169479881881365
YDL149W	1.420388	-0.2850800084041998
YDL151C	1.397125	2.6271071544477955
YDL154W	0.291096	0.06342822710203022
YDL155W		-0.3648922744213077
YDL156W	-0.114198	-0.09195727947506485
YDL157C		0.09890887265905393
YDL159W		
YDL159W-A	-0.259302	
YDL160C		0.3534235608557805
YDL160C-A		
YDL161W		0.05568383900874191
YDL162C		-0.17629155635154195
YDL167C	-0.308153	-0.3510754110743173
YDL168W	-0.322021	0.01598065689408265
YDL169C	-0.409518	-0.02941443412565492
YDL170W	0.194495	0.02313849353752609
