orf	hap a (post-SGA) | growth (colony size) | expression of amyloid-beta 42 | SGA final selection medium | Chen X~Petranovic D, 2020
YDL006W	-0.406775
YDL010W	0.26293
YDL011C	0.005469999999999996
YDL012C	0.08533
YDL013W	0.47441
YDL018C	-0.17085
YDL019C	-0.19746
YDL020C	-0.10686499999999999
YDL023C	-0.344115
YDL024C	-0.019799999999999998
YDL025C	0.229685
YDL026W	0.269725
YDL027C	0.13477
YDL033C	-0.083065
YDL034W	-0.09193499999999999
YDL035C	-0.09795000000000001
YDL036C	-0.29011
YDL037C	-0.05835
YDL039C	-0.017162499999999997
YDL040C	-0.24287999999999998
YDL041W	0.0
YDL042C	0.0
YDL046W	-0.08216000000000001
YDL048C	-0.00918999999999999
YDL050C	0.085965
YDL051W	0.056905
YDL052C	-0.09287
YDL053C	-0.010764999999999997
YDL054C	0.08167
YDL056W	0.35087
YDL059C	0.31023999999999996
YDL061C	0.20727
YDL062W	-0.5072949999999999
YDL065C	-0.24821500000000002
YDL066W	-0.16249999999999998
YDL070W	-0.058235
YDL071C	-0.40418
YDL074C	-0.14774
YDL076C	0.1556
YDL077C	-0.19505
YDL078C	-0.07660499999999999
YDL079C	0.31549000000000005
YDL080C	-0.321105
YDL081C	-0.55505
YDL082W	-0.18318500000000004
YDL083C	0.42894
YDL085W	-0.03263999999999999
YDL086W	-0.043065000000000006
YDL088C	-0.042965
YDL089W	0.12537500000000001
YDL090C	0.0
YDL091C	0.49501500000000004
YDL093W	0.07929
YDL094C	0.240195
YDL095W	0.49008
YDL096C	0.13662
YDL099W	0.209505
YDL100C	-0.124535
YDL104C	0.49439500000000003
YDL106C	-0.09129
YDL109C	0.09516999999999998
YDL110C	0.180035
YDL112W	-0.25171
YDL113C	0.10192
YDL114W	-0.08441
YDL117W	-0.31457
YDL118W	0.25313
YDL119C	0.04150999999999999
YDL121C	0.21443500000000001
YDL122W	-0.156325
YDL123W	-0.17805
YDL124W	-0.08655499999999999
YDL125C	-0.090085
YDL127W	0.199045
YDL128W	0.013889999999999986
YDL129W	-0.056465
YDL130W	0.05364
YDL130W-A	0.0007100000000000023
YDL131W	-0.062225
YDL133C-A	0.049452499999999996
YDL133W	0.24116
YDL134C	0.00233
YDL135C	0.2644
YDL136W	0.103235
YDL137W	0.31382
YDL138W	-0.06935999999999999
YDL142C	0.011555000000000003
YDL144C	-0.07685
YDL146W	0.09109500000000001
YDL149W	0.004124999999999997
YDL154W	-0.229465
YDL155W	-0.12304499999999999
YDL156W	0.315725
YDL157C	0.025849999999999998
YDL159W	0.0
YDL160C	0.0
YDL161W	0.38226499999999997
YDL162C	0.18821
YDL167C	-0.08597
YDL168W	0.227835
YDL169C	-0.04678
YDL170W	0.20257999999999998
YDL171C	0.04188499999999999
YDL172C	-0.220785
YDL173W	0.039064999999999996
YDL174C	-0.28259500000000004
YDL175C	-0.343585
YDL176W	-0.005689999999999973
YDL177C	0.36730999999999997
YDL178W	0.31354000000000004
YDL179W	0.16392
YDL180W	-0.03749999999999999
YDL181W	-0.06717
YDL182W	0.35203
YDL183C	0.397415
YDL184C	0.078295
YDL185W	0.187785
YDL186W	0.237125
YDL187C	-0.08071999999999999
YDL188C	-0.152035
YDL189W	0.030969999999999998
YDL190C	-0.17082
YDL191W	-0.44213499999999994
YDL192W	-0.13051
YDL194W	-0.010955
YDL197C	-0.019389999999999998
YDL199C	0.17047
YDL200C	-0.11717
YDL201W	0.06163
YDL203C	0.14735499999999999
YDL204W	0.051899999999999995
YDL206W	0.00016000000000000042
YDL210W	-0.005139999999999999
YDL211C	-0.10752
YDL213C	0.056965
YDL214C	-0.10286000000000001
YDL215C	-0.049449999999999994
YDL216C	0.22704
YDL218W	-0.08823
YDL219W	-0.14563
YDL222C	0.066545
YDL223C	0.01421
YDL224C	-0.23699
YDL226C	-0.09125
YDL227C	-0.074995
YDL229W	0.11479
YDL230W	-0.022160000000000003
YDL231C	-0.04356
YDL232W	-0.5641400000000001
YDL233W	0.229435
YDL234C	-0.15718500000000002
YDL236W	-0.022255
YDL237W	0.33619999999999994
YDL238C	0.120525
YDL239C	0.097895
YDL240W	-0.243455
