ORF	het | growth (relative abundance in pooled culture) | time [20 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012	hom | growth (relative abundance in pooled culture) | time [5 generations], Chitosan oligosaccharide [91.1 ug/ml] | Jaime MD~Nislow C, 2012
YDR023W	NaN	-1.009
YDR024W	-2.921	NaN
YDR025W	-2.263	NaN
YDR026C	0.233	NaN
YDR028C	-0.851	NaN
YDR029W	-0.077	NaN
YDR030C	0.145	NaN
YDR031W	0.396	NaN
YDR032C	0.646	NaN
YDR033W	0.603	NaN
YDR034C	-0.043	NaN
YDR035W	-0.542	NaN
YDR036C	-0.060	NaN
YDR037W	NaN	-1.910
YDR041W	NaN	-1.711
YDR042C	0.205	NaN
YDR043C	1.351	NaN
YDR044W	NaN	-0.090
YDR045C	NaN	2.004
YDR046C	0.332	NaN
YDR047W	NaN	-0.157
YDR048C	-0.226	NaN
YDR049W	0.309	NaN
YDR050C	NaN	-1.119
YDR052C	NaN	3.071
YDR053W	-2.790	NaN
YDR054C	NaN	-0.458
YDR056C	0.055	NaN
YDR057W	0.949	NaN
YDR058C	0.290	NaN
YDR059C	0.200	NaN
YDR060W	NaN	0.031
YDR061W	0.105	NaN
YDR062W	NaN	0.585
YDR063W	-0.256	NaN
YDR064W	NaN	-2.050
YDR065W	0.493	NaN
YDR067C	-1.477	NaN
YDR068W	-0.802	NaN
YDR069C	-0.054	NaN
YDR070C	-0.052	NaN
YDR071C	0.034	NaN
YDR072C	-1.522	NaN
YDR073W	0.489	NaN
YDR074W	1.635	NaN
YDR075W	0.701	NaN
YDR076W	0.004	NaN
YDR077W	0.842	NaN
YDR078C	0.490	NaN
YDR080W	-0.444	NaN
YDR081C	NaN	-1.378
YDR083W	-2.801	NaN
YDR084C	0.472	NaN
YDR085C	0.220	NaN
YDR086C	NaN	-0.835
YDR087C	NaN	-0.345
YDR088C	NaN	-0.603
YDR089W	-0.160	NaN
YDR090C	-0.184	NaN
YDR091C	NaN	-1.406
YDR092W	0.377	NaN
YDR093W	0.190	NaN
YDR094W	-0.246	NaN
YDR095C	0.508	NaN
YDR096W	-0.116	NaN
YDR097C	0.032	NaN
YDR099W	-1.357	NaN
YDR100W	1.434	NaN
YDR101C	-0.616	NaN
YDR102C	0.518	NaN
YDR104C	0.301	NaN
YDR105C	0.217	NaN
YDR107C	0.208	NaN
YDR108W	1.010	NaN
YDR109C	0.180	NaN
YDR110W	0.660	NaN
YDR111C	-0.084	NaN
YDR112W	-0.079	NaN
YDR113C	NaN	-1.803
YDR114C	0.222	NaN
YDR115W	-0.573	NaN
