ORF	growth;control barcode hybridization (microarray)
	growth;0.4 mM H202 barcode hybridization (microarray)
	growth;2.5 mM DDT barcode hybridization (microarray)
	growth;0.7 M NaClbarcode hybridization (microarray)
	growth;Heat Shock barcode hybridization (microarray)
	growth;20 uM tunicamycin barcode hybridization (microarray)
	growth;2.5 mM DDT, H2O2 barcode hybridization (microarray)
	growth;0.7 M NaCl, H2O2 barcode hybridization (microarray)
	growth;Heat Shock, H2O2 barcode hybridization (microarray)
	growth;20 uM tunicamycin, H2O2 barcode hybridization (microarray)
	growth;control barcode sequencing
	growth;0.4 mM H202 barcode sequencing
	growth;2.5 mM DDT barcode sequencing
	growth;0.7 M NaCl barcode sequencing
	growth;Heat Shock barcode sequencing
	growth;20 uM tunicamycin barcode sequencing
	growth;2.5 mM DDT, H2O2 barcode sequencing
	growth;0.7 M NaCl, H2O2 barcode sequencing
	growth;Heat Shock, H2O2 barcode sequencing
	growth;20 uM tunicamycin, H2O2 barcode sequencing
YCL056C	0.046
YCL057C-A	NaN
YCL057W	0.111
YCL058C	-0.797
YCL059C	0.369
YCL060C	-0.246
YCL061C	0.085
YCL062W	-0.057
YCL063W	0.001
YCL064C	0.017
YCL069W	0.010
YCL074W	-0.114
YCL075W	0.038
YCL076W	-0.063
YCR001W	0.032
YCR002C	-0.344
YCR003W	-0.578
YCR004C	-0.131
YCR005C	-0.050
YCR006C	0.122
YCR007C	-0.041
YCR008W	0.122
YCR009C	-0.091
YCR010C	-0.041
YCR011C	-0.074
YCR012W	-0.043
YCR013C	-0.289
YCR014C	0.071
YCR015C	0.104
YCR016W	-0.036
YCR017C	0.076
YCR019W	-0.175
YCR020C	-0.073
YCR020C-A	0.096
YCR020W-B	-0.956
YCR021C	0.000
YCR022C	0.002
YCR023C	0.131
YCR024C	-0.796
YCR024C-A	-0.215
YCR025C	-0.210
YCR026C	-0.068
YCR027C	-0.115
YCR028C	-0.071
YCR028C-A	-1.534
YCR030C	0.045
YCR031C	-0.060
YCR032W	-0.079
YCR033W	-0.253
YCR034W	-0.166
YCR035C	-0.027
YCR036W	-0.082
YCR037C	0.006
YCR043C	0.013
YCR044C	-0.223
YCR045C	-0.220
YCR046C	-3.558
YCR047C	0.190
YCR048W	0.129
YCR049C	-0.179
YCR050C	-0.449
YCR051W	-0.011
YCR052W	-0.530
YCR053W	0.067
YCR054C	0.065
YCR057C	0.147
YCR059C	-0.235
YCR060W	-0.120
YCR061W	-0.277
YCR062W	-0.127
YCR063W	-0.672
YCR064C	NaN
YCR065W	-0.435
YCR066W	-0.108
YCR067C	-0.034
YCR068W	-0.360
YCR069W	-0.043
YCR071C	0.529
YCR072C	0.106
YCR073C	-0.053
YCR073W-A	-0.065
YCR075C	0.012
YCR075W-A	NaN
YCR076C	-0.003
YCR077C	-0.083
YCR079W	0.030
YCR081W	-0.271
YCR082W	-0.030
YCR083W	0.010
YCR084C	0.015
YCR085W	-0.210
YCR086W	-0.090
YCR087C-A	-0.336
YCR087W	-0.324
YCR088W	0.044
YCR089W	0.241
YCR090C	-0.042
YCR091W	0.029
YCR092C	0.146
YCR093W	0.352
YCR094W	-0.223
YCR095C	-0.274
YCR095W-A	NaN
YCR098C	-0.012
YCR099C	0.020
YCR100C	0.058
YCR101C	0.192
YCR102C	-0.089
YCR102W-A	-0.021
YCR105W	0.060
YCR106W	0.041
YCR107W	0.207
YDL001W	-0.067
YDL002C	0.172
YDL003W	0.095
YDL004W	-0.002
YDL005C	NaN
YDL006W	-0.480
YDL007W	-0.318
YDL008W	0.027
YDL009C	0.092
YDL010W	0.084
YDL011C	0.192
YDL012C	0.078
YDL013W	-0.734
YDL014W	-0.047
YDL015C	0.124
YDL016C	0.038
YDL017W	-0.059
YDL018C	0.055
YDL019C	0.115
YDL020C	-0.178
YDL021W	0.011
YDL022W	0.074
YDL023C	-0.061
YDL024C	0.039
YDL025C	0.225
YDL026W	0.112
YDL027C	0.154
YDL028C	-0.037
YDL029W	0.064
YDL030W	-0.080
YDL031W	-0.024
YDL032W	-0.057
YDL033C	-0.036
YDL034W	0.071
YDL035C	0.052
YDL036C	0.019
YDL037C	-0.075
YDL038C	0.018
YDL039C	-0.008
YDL040C	-0.552
YDL041W	-0.804
YDL042C	1.342
YDL043C	-0.093
YDL044C	-1.138
YDL045C	0.093
YDL045W-A	-2.973
YDL046W	0.063
YDL047W	-1.262
YDL048C	-0.010
YDL049C	0.032
YDL050C	0.135
YDL051W	0.112
YDL052C	-0.157
YDL053C	0.051
YDL054C	0.052
YDL055C	0.050
YDL056W	-0.702
YDL057W	0.026
YDL058W	0.120
YDL059C	-0.103
YDL060W	-0.045
YDL061C	0.091
YDL062W	0.156
YDL063C	0.075
YDL064W	-0.013
YDL065C	-0.118
YDL066W	-0.024
YDL067C	-0.233
YDL068W	-0.331
YDL069C	0.025
YDL070W	-0.004
YDL071C	-0.105
YDL072C	0.056
YDL073W	-0.064
YDL074C	0.064
YDL075W	-1.537
YDL076C	-0.008
YDL077C	0.417
YDL078C	0.028
YDL079C	0.053
YDL080C	0.073
YDL081C	-0.828
YDL082W	0.042
YDL083C	0.103
YDL084W	-0.036
YDL085C-A	NaN
YDL085W	0.071
YDL086W	0.051
YDL087C	0.137
YDL088C	-0.010
YDL089W	0.011
YDL090C	-0.659
YDL091C	0.107
YDL092W	0.045
YDL093W	0.048
YDL094C	-0.017
YDL095W	-0.060
YDL096C	0.007
YDL097C	-0.065
YDL098C	-0.002
YDL099W	0.199
YDL100C	-0.208
YDL101C	-0.337
YDL102W	-0.072
YDL103C	0.189
YDL104C	-0.279
YDL105W	0.740
YDL106C	NaN
YDL107W	-0.148
YDL108W	0.213
YDL109C	-0.014
YDL110C	0.020
YDL111C	0.179
YDL112W	0.025
YDL113C	0.133
YDL114W	0.002
YDL115C	-0.261
YDL116W	NaN
YDL117W	-0.023
YDL118W	-0.714
YDL119C	-0.286
YDL120W	0.906
YDL121C	0.017
YDL122W	-0.023
YDL123W	0.122
YDL124W	-0.029
YDL125C	0.081
YDL126C	-0.052
YDL127W	0.001
YDL128W	0.087
YDL129W	-0.025
YDL130W	0.067
YDL130W-A	0.021
YDL131W	0.135
YDL132W	0.300
YDL133C-A	-0.036
YDL133W	0.182
YDL134C	0.144
YDL134C-A	0.033
YDL135C	-0.030
YDL136W	-0.030
YDL137W	0.082
YDL138W	0.213
YDL139C	-0.094
YDL140C	0.078
YDL141W	0.306
YDL142C	-0.659
YDL143W	-0.144
YDL144C	0.091
YDL145C	0.395
YDL146W	0.004
YDL147W	-0.052
YDL148C	0.104
YDL149W	0.057
YDL150W	-0.302
YDL151C	-0.390
YDL152W	0.326
YDL153C	-0.052
YDL154W	-0.011
YDL155W	0.232
YDL156W	0.136
YDL157C	-0.070
YDL158C	-0.025
YDL159W	NaN
YDL159W-A	NaN
YDL160C	-0.332
YDL160C-A	NaN
YDL161W	-0.021
YDL162C	-0.154
YDL163W	0.071
YDL164C	0.046
YDL165W	0.225
YDL166C	0.051
YDL167C	0.046
YDL168W	0.035
YDL169C	0.074
YDL170W	0.218
YDL171C	-0.022
YDL172C	0.025
YDL173W	0.074
YDL174C	-0.020
YDL175C	-0.050
YDL176W	0.002
YDL177C	0.059
YDL178W	0.023
YDL179W	-0.016
YDL180W	-0.004
YDL181W	0.272
YDL182W	0.002
YDL183C	-0.163
YDL184C	0.026
YDL185W	NaN
YDL186W	0.025
YDL187C	0.013
YDL188C	0.044
YDL189W	-0.051
YDL190C	-0.059
YDL191W	-0.372
YDL192W	-0.391
YDL193W	-0.400
YDL194W	0.092
YDL195W	-0.038
YDL196W	-0.306
YDL197C	0.028
YDL198C	-0.500
YDL199C	0.017
YDL200C	-0.049
YDL201W	0.007
YDL202W	-0.004
YDL203C	-0.116
YDL204W	0.091
YDL205C	-0.113
YDL206W	-0.007
YDL207W	-0.120
YDL208W	0.735
YDL209C	-0.043
YDL210W	-0.030
YDL211C	0.005
YDL212W	-0.075
YDL213C	0.131
YDL214C	0.104
YDL215C	0.053
YDL216C	0.176
YDL217C	-0.020
YDL218W	-0.004
YDL219W	0.040
YDL220C	0.114
YDL221W	-0.013
YDL222C	0.032
YDL223C	-0.040
YDL224C	-0.075
YDL225W	0.028
YDL226C	-0.032
YDL227C	0.074
YDL229W	-0.119
YDL230W	0.094
YDL231C	0.087
YDL232W	NaN
YDL233W	-0.013
YDL234C	0.066
YDL235C	-0.059
YDL236W	0.203
YDL237W	-0.082
YDL238C	-0.024
YDL239C	-0.004
YDL240W	0.060
YDL241W	0.039
YDL242W	-0.005
YDL243C	0.056
YDR001C	-0.007
YDR002W	0.168
YDR003W	0.129
YDR003W-A	NaN
YDR004W	-0.105
YDR005C	0.065
YDR006C	-0.084
YDR007W	0.017
YDR008C	0.328
YDR009W	0.077
YDR010C	-0.019
YDR011W	-0.148
YDR013W	0.105
YDR014W	0.045
YDR015C	0.069
YDR016C	-0.169
YDR017C	0.302
YDR018C	-0.006
YDR019C	0.027
YDR020C	-0.165
YDR021W	-0.078
YDR022C	-0.070
YDR023W	-0.073
YDR024W	-0.210
YDR025W	-0.111
YDR026C	0.019
YDR027C	NaN
YDR028C	-0.727
YDR029W	-0.071
YDR030C	-0.010
YDR031W	0.035
YDR032C	-0.064
YDR033W	0.034
YDR034C	-0.026
YDR034W-B	NaN
YDR035W	-0.004
YDR036C	-0.007
YDR037W	-0.065
YDR041W	0.127
YDR042C	0.086
YDR043C	0.167
YDR044W	-0.077
YDR045C	0.056
YDR046C	0.051
YDR047W	-0.257
YDR048C	-0.158
YDR049W	-0.125
