ORF	growth;control barcode hybridization (microarray)
	growth;0.4 mM H202 barcode hybridization (microarray)
	growth;2.5 mM DDT barcode hybridization (microarray)
	growth;0.7 M NaClbarcode hybridization (microarray)
	growth;Heat Shock barcode hybridization (microarray)
	growth;20 uM tunicamycin barcode hybridization (microarray)
	growth;2.5 mM DDT, H2O2 barcode hybridization (microarray)
	growth;0.7 M NaCl, H2O2 barcode hybridization (microarray)
	growth;Heat Shock, H2O2 barcode hybridization (microarray)
	growth;20 uM tunicamycin, H2O2 barcode hybridization (microarray)
	growth;control barcode sequencing
	growth;0.4 mM H202 barcode sequencing
	growth;2.5 mM DDT barcode sequencing
	growth;0.7 M NaCl barcode sequencing
	growth;Heat Shock barcode sequencing
	growth;20 uM tunicamycin barcode sequencing
	growth;2.5 mM DDT, H2O2 barcode sequencing
	growth;0.7 M NaCl, H2O2 barcode sequencing
	growth;Heat Shock, H2O2 barcode sequencing
	growth;20 uM tunicamycin, H2O2 barcode sequencing
YLL016W	0.038
YLL017W	0.070
YLL018C	0.119
YLL018C-A	-0.276
YLL019C	-0.048
YLL020C	-0.171
YLL021W	-0.006
YLL023C	-0.039
YLL024C	0.014
YLL025W	-0.025
YLL026W	-0.110
YLL027W	0.855
YLL028W	0.064
YLL029W	-0.412
YLL030C	0.032
YLL031C	0.027
YLL032C	-0.222
YLL033W	-0.519
YLL034C	-0.072
YLL035W	-0.054
YLL036C	0.056
YLL037W	0.004
YLL038C	-0.039
YLL039C	0.037
YLL040C	0.032
YLL041C	-0.024
YLL042C	-0.002
YLL043W	NaN
YLL044W	-0.225
YLL045C	-0.284
YLL046C	-0.060
YLL047W	0.014
YLL048C	0.040
YLL049W	0.058
YLL050C	-0.177
YLL051C	0.015
YLL052C	-0.037
YLL053C	0.039
YLL054C	0.018
YLL055W	0.022
YLL056C	0.020
YLL057C	0.165
YLL058W	0.009
YLL059C	0.002
YLL060C	-0.003
YLL061W	0.097
YLL062C	-0.051
YLL063C	0.132
YLR001C	0.130
YLR002C	-0.171
YLR003C	-0.027
YLR004C	-0.100
YLR005W	-0.084
YLR006C	0.046
YLR007W	0.032
YLR008C	0.140
YLR009W	-0.029
YLR010C	0.041
YLR011W	0.017
YLR012C	0.128
YLR013W	0.064
YLR014C	0.041
YLR015W	0.053
YLR016C	0.030
YLR017W	0.145
YLR018C	0.016
YLR019W	-0.098
YLR020C	0.114
YLR021W	-0.147
YLR022C	-0.042
YLR023C	0.293
YLR024C	0.101
YLR025W	-0.219
YLR026C	0.006
YLR027C	-0.032
YLR028C	-0.012
YLR029C	0.055
YLR030W	-0.032
YLR031W	-0.043
YLR032W	-0.074
YLR033W	-0.655
YLR034C	0.020
YLR035C	0.026
YLR036C	0.058
YLR037C	0.002
YLR038C	-0.167
YLR039C	-0.984
YLR040C	0.024
YLR041W	0.027
YLR042C	0.076
YLR043C	0.148
YLR044C	0.058
YLR045C	0.052
YLR046C	-0.070
YLR047C	-0.012
YLR048W	0.802
YLR049C	0.020
YLR050C	-0.013
YLR051C	0.197
YLR052W	-0.546
YLR053C	-0.055
YLR054C	-0.024
YLR055C	-0.211
YLR056W	-1.058
YLR057W	-0.009
YLR058C	-0.028
YLR059C	-0.212
YLR060W	-0.113
YLR061W	-0.951
YLR062C	NaN
YLR063W	0.034
YLR064W	-0.027
YLR065C	-0.094
YLR066W	0.041
YLR067C	-0.194
YLR068W	-0.412
YLR069C	1.245
YLR070C	-0.037
YLR071C	-0.168
YLR072W	-0.071
YLR073C	0.034
YLR074C	-0.310
YLR075W	-0.251
YLR076C	0.054
YLR077W	-0.128
YLR078C	0.021
YLR079W	0.196
YLR080W	0.037
YLR081W	0.020
YLR082C	0.016
YLR083C	-0.113
YLR084C	0.103
YLR085C	-0.129
YLR086W	0.158
YLR087C	-0.693
YLR088W	-0.212
YLR089C	0.066
YLR090W	-0.052
YLR091W	-1.482
YLR092W	-0.042
YLR093C	0.086
YLR094C	0.050
YLR095C	-0.024
YLR096W	-0.093
YLR097C	0.045
YLR098C	0.472
YLR099C	-0.217
YLR099W-A	-0.037
YLR100W	0.096
YLR101C	0.050
YLR102C	-0.075
YLR103C	-0.070
YLR104W	-0.020
YLR105C	-0.271
YLR106C	-0.106
YLR107W	-0.043
YLR108C	0.114
YLR109W	0.171
YLR110C	-0.019
YLR111W	-0.021
YLR112W	0.124
YLR113W	-0.012
YLR114C	0.175
YLR115W	0.127
YLR116W	0.064
YLR117C	-0.044
YLR118C	0.001
YLR119W	0.142
YLR120C	0.149
YLR121C	0.003
YLR122C	0.196
YLR123C	0.034
YLR124W	0.069
YLR125W	0.061
YLR126C	0.014
YLR127C	-0.012
YLR128W	-0.189
YLR129W	-0.030
YLR130C	0.102
YLR131C	0.049
YLR132C	0.386
YLR133W	-0.373
YLR134W	0.051
YLR135W	0.035
YLR136C	-0.025
YLR137W	-0.026
YLR138W	0.298
YLR139C	-2.316
YLR140W	-0.085
YLR141W	0.633
YLR142W	0.044
YLR143W	0.161
YLR144C	0.107
YLR145W	0.667
YLR146C	0.014
YLR147C	0.017
YLR148W	-0.523
YLR149C	-2.747
YLR150W	-0.102
YLR151C	0.101
YLR152C	0.180
YLR153C	0.042
YLR154C	0.009
YLR163C	0.179
YLR164W	0.116
YLR165C	-0.035
YLR166C	0.003
YLR167W	-0.021
YLR168C	-0.480
YLR169W	0.263
YLR170C	0.168
YLR171W	0.085
YLR172C	0.034
YLR173W	-0.008
YLR174W	-0.020
YLR175W	-0.099
YLR176C	-0.102
YLR177W	0.225
YLR178C	0.154
YLR179C	0.007
YLR180W	0.150
YLR181C	0.134
YLR182W	-0.874
YLR183C	-0.013
YLR184W	NaN
YLR185W	-0.786
YLR186W	0.009
YLR187W	0.075
YLR188W	-0.043
YLR189C	0.049
YLR190W	0.116
YLR191W	0.060
YLR192C	-1.222
YLR193C	-1.048
YLR194C	-0.062
YLR195C	0.349
YLR196W	-0.049
YLR197W	-0.035
YLR198C	-0.000
YLR199C	0.175
YLR200W	0.258
YLR201C	-0.437
YLR202C	-0.311
YLR203C	-0.004
YLR204W	-0.883
YLR205C	-0.012
YLR206W	0.143
YLR207W	0.010
YLR208W	0.113
YLR209C	0.081
YLR210W	0.011
YLR211C	0.026
YLR212C	0.139
YLR213C	-0.072
YLR214W	0.127
YLR215C	-0.041
YLR216C	0.057
YLR217W	-0.138
YLR218C	-0.087
YLR219W	0.031
YLR220W	0.052
YLR221C	-0.015
YLR222C	0.019
YLR223C	0.016
YLR224W	0.136
YLR225C	0.059
YLR226W	-1.330
YLR227C	-0.048
YLR228C	0.136
YLR229C	-0.043
YLR230W	0.145
YLR231C	0.199
YLR232W	-0.385
YLR233C	-0.233
YLR234W	NaN
YLR235C	NaN
YLR236C	0.008
YLR237W	0.026
YLR238W	-0.038
YLR239C	-0.437
YLR240W	NaN
YLR241W	-0.024
YLR242C	0.088
YLR243W	0.186
YLR244C	-1.436
YLR246W	-0.041
YLR247C	0.169
YLR248W	-0.014
YLR249W	-0.271
YLR250W	0.123
YLR251W	NaN
YLR252W	0.061
YLR253W	0.076
YLR254C	0.020
YLR255C	0.102
YLR257W	-0.110
YLR258W	0.007
YLR259C	-0.012
YLR260W	-1.394
YLR261C	0.579
YLR262C	1.125
YLR262C-A	0.009
YLR263W	0.046
YLR264C-A	NaN
YLR264W	0.027
YLR265C	0.079
YLR266C	0.153
YLR267W	0.059
YLR268W	-0.448
YLR269C	0.268
YLR270W	-1.587
YLR271W	-0.030
YLR272C	-0.069
YLR273C	0.099
YLR274W	0.010
YLR275W	-0.113
YLR276C	0.045
YLR277C	-0.210
YLR278C	0.047
YLR279W	0.143
YLR280C	-0.011
YLR281C	0.050
YLR282C	-0.009
YLR283W	0.156
YLR284C	0.062
YLR285C-A	NaN
YLR285W	0.040
YLR286C	-0.025
YLR287C	0.091
YLR287C-A	-0.018
YLR288C	0.033
YLR289W	-0.081
YLR290C	-0.049
YLR291C	0.159
YLR292C	0.035
YLR293C	-0.780
YLR294C	-0.117
YLR295C	-1.697
YLR296W	-0.037
YLR297W	0.154
YLR298C	-0.033
YLR299W	0.078
YLR300W	0.019
YLR303W	0.106
YLR304C	-0.753
YLR305C	-0.047
YLR306W	0.218
YLR307C-A	NaN
YLR307W	-0.008
YLR308W	0.085
YLR309C	-0.011
YLR310C	0.049
YLR311C	-0.004
YLR312C	0.015
YLR312C-B	NaN
YLR312W-A	-0.519
YLR313C	0.038
YLR314C	-0.052
YLR315W	-0.131
YLR316C	0.035
YLR317W	0.022
YLR318W	-0.104
YLR319C	0.023
YLR320W	NaN
YLR321C	NaN
YLR322W	-1.344
YLR323C	-0.143
YLR324W	0.090
YLR325C	0.192
YLR326W	0.062
YLR327C	0.625
YLR328W	-0.068
YLR329W	0.074
YLR330W	-0.029
YLR331C	0.066
YLR332W	-0.090
YLR333C	NaN
YLR334C	0.098
YLR335W	0.018
YLR336C	-0.004
YLR337C	-0.518
YLR338W	NaN
YLR339C	NaN
YLR340W	-0.020
YLR341W	0.010
YLR342W	-0.395
YLR342W-A	NaN
YLR343W	-0.001
YLR344W	0.135
YLR345W	0.058
YLR346C	-0.078
YLR347C	0.121
YLR348C	0.030
YLR349W	-0.117
YLR350W	0.111
YLR351C	0.078
YLR352W	0.016
YLR353W	-0.048
YLR354C	0.109
YLR355C	-0.028
YLR356W	-0.055
YLR357W	NaN
YLR358C	-0.900
YLR359W	0.025
YLR360W	0.074
YLR361C	-0.006
YLR361C-A	NaN
YLR362W	-0.105
YLR363C	0.099
YLR363W-A	NaN
YLR364W	0.019
YLR365W	0.074
YLR366W	0.038
YLR367W	-0.051
YLR368W	-0.135
YLR369W	0.200
YLR370C	-0.265
YLR371W	-1.097
YLR372W	-1.583
YLR373C	-0.807
YLR374C	0.032
YLR375W	-0.039
YLR376C	0.004
YLR377C	0.158
YLR378C	0.016
YLR379W	-0.013
YLR380W	-0.004
YLR381W	0.088
YLR382C	-1.235
YLR383W	NaN
YLR384C	-0.551
YLR385C	0.050
YLR386W	-0.330
YLR387C	0.049
YLR388W	-0.243
YLR389C	0.070
YLR390W	0.076
YLR390W-A	0.048
YLR391W	-0.066
YLR392C	0.102
YLR393W	-1.258
YLR394W	0.023
YLR395C	-0.034
YLR396C	1.739
YLR397C	0.331
YLR398C	0.138
YLR399C	NaN
YLR400W	-0.045
YLR401C	-0.008
YLR402W	0.234
YLR403W	NaN
YLR404W	0.075
YLR405W	-0.014
YLR406C	-0.030
YLR406C-A	NaN
YLR407W	-0.047
YLR408C	0.069
YLR409C	0.048
YLR410W	0.210
YLR412C-A	NaN
YLR412W	0.172
YLR413W	-0.123
YLR414C	-0.022
YLR415C	0.050
YLR416C	-0.063
YLR417W	-0.090
YLR418C	0.025
YLR419W	NaN
YLR420W	0.027
YLR421C	-0.047
YLR422W	0.130
YLR423C	-0.294
YLR424W	-0.190
YLR425W	-0.390
YLR426W	-0.184
YLR427W	0.094
YLR428C	0.078
YLR429W	0.114
YLR430W	-0.006
YLR431C	0.080
YLR432W	-0.018
YLR433C	0.065
YLR434C	0.181
YLR435W	-0.934
YLR436C	0.042
YLR437C	0.027
YLR438C-A	0.108
YLR438W	-0.008
YLR439W	-1.996
YLR440C	0.384
YLR441C	0.113
YLR442C	-0.068
YLR443W	0.031
YLR444C	0.228
YLR445W	-0.002
YLR446W	0.011
YLR447C	NaN
YLR448W	0.310
YLR449W	0.078
YLR450W	0.003
YLR451W	0.296
YLR452C	0.052
YLR453C	0.102
YLR454W	0.087
YLR455W	-0.007
YLR456W	0.006
YLR457C	-0.057
YLR458W	-0.010
YLR459W	-0.055
YLR460C	-0.014
YLR461W	0.090
YML001W	0.119
YML002W	0.100
YML003W	-0.046
YML004C	0.131
YML005W	0.058
YML006C	-0.202
YML007C-A	NaN
YML007W	0.074
YML008C	0.076
YML009C	-0.099
YML010C-B	-0.406
YML010W	0.074
YML010W-A	NaN
YML011C	-0.038
YML012W	0.079
YML013C-A	-0.428
YML013W	-0.028
YML014W	NaN
YML015C	0.019
YML016C	-0.469
YML017W	0.072
YML018C	0.018
YML019W	0.037
YML020W	-0.149
YML021C	-0.029
YML022W	-0.039
YML023C	0.122
YML024W	-0.292
YML025C	0.018
YML026C	-0.066
YML027W	-0.064
YML028W	-0.162
YML029W	0.023
YML030W	-0.014
YML031W	NaN
YML032C	NaN
YML033W	0.067
YML034W	0.130
YML035C	0.039
YML035C-A	0.089
YML036W	-0.784
YML037C	-0.025
YML038C	-0.009
YML041C	-0.246
YML042W	-0.022
YML043C	-0.040
YML046W	-0.010
YML047C	0.088
YML048W	0.340
YML048W-A	-0.121
YML049C	-0.354
YML050W	0.016
YML051W	0.049
YML052W	-0.030
YML053C	0.067
YML054C	0.310
YML054C-A	NaN
YML055W	-0.004
YML056C	0.318
YML057W	0.047
YML058C-A	0.030
YML058W	0.096
YML058W-A	NaN
YML059C	0.038
YML060W	0.056
YML061C	NaN
YML062C	0.077
YML063W	-0.188
YML064C	0.162
YML065W	0.093
YML066C	0.073
YML067C	0.003
YML068W	0.044
YML069W	-0.095
YML070W	0.046
YML071C	-0.106
YML072C	0.045
YML073C	-0.167
YML074C	-0.071
YML075C	-0.042
YML076C	0.129
YML077W	0.046
YML078W	-0.045
YML079W	NaN
YML080W	-0.165
YML081C-A	-0.739
YML081W	0.058
YML082W	0.131
YML083C	0.013
YML084W	0.051
YML085C	-0.138
YML086C	-0.039
YML087C	0.058
YML088W	0.055
YML089C	0.025
YML090W	-0.070
YML091C	-0.174
YML092C	0.237
YML093W	-0.170
YML094W	-0.672
YML095C	0.044
YML095C-A	-0.668
YML096W	0.042
YML097C	-0.309
YML098W	-0.074
YML099C	0.023
YML100W	-0.032
YML100W-A	-0.053
YML101C	0.052
YML102C-A	0.038
YML102W	0.031
YML103C	0.114
YML104C	-0.093
YML105C	-0.179
YML106W	0.237
YML107C	0.093
YML108W	0.223
YML109W	-0.025
YML110C	-0.464
YML111W	0.024
YML112W	-0.903
YML113W	-0.118
YML114C	0.110
YML115C	-0.713
YML116W	0.033
YML117W	-0.102
YML117W-A	0.094
YML118W	0.027
YML119W	-0.072
YML120C	0.277
YML121W	-0.221
YML122C	-0.026
YML123C	-0.662
YML124C	-0.078
YML125C	-0.016
YML126C	-0.027
YML127W	-0.303
YML128C	-0.574
YML129C	-0.197
YML130C	0.048
YML131W	0.140
YMR001C	0.054
YMR001C-A	NaN
YMR002W	-0.166
YMR003W	0.152
YMR004W	0.041
YMR005W	0.204
YMR006C	0.019
YMR007W	-0.005
YMR008C	0.042
YMR009W	0.044
YMR010W	0.074
YMR011W	0.090
YMR012W	0.030
YMR013C	0.165
YMR013W-A	NaN
YMR014W	NaN
YMR015C	-0.271
YMR016C	-0.155
YMR017W	-0.035
YMR018W	-0.003
YMR019W	0.032
YMR020W	-0.021
YMR021C	0.595
YMR022W	0.027
YMR023C	-0.019
YMR024W	NaN
YMR025W	0.095
YMR026C	0.074
YMR027W	-0.123
YMR028W	0.065
YMR029C	0.169
YMR030W	0.057
YMR031C	0.121
YMR031W-A	-0.437
YMR032W	NaN
YMR033W	-0.288
YMR034C	0.060
YMR035W	-0.328
YMR036C	0.068
YMR037C	0.026
YMR038C	-1.110
YMR039C	-0.259
YMR040W	0.158
YMR041C	0.143
YMR042W	0.538
YMR043W	-0.130
YMR044W	0.150
YMR047C	-0.058
YMR048W	-0.069
YMR049C	-0.051
YMR052C-A	0.028
YMR052W	0.045
YMR053C	-0.049
YMR054W	-0.041
YMR055C	-0.025
YMR056C	0.045
YMR057C	-0.035
YMR058W	0.020
YMR059W	0.001
YMR060C	-1.497
YMR061W	0.087
YMR062C	0.035
YMR063W	-0.666
YMR064W	-1.063
YMR065W	-0.030
YMR066W	-0.028
YMR067C	0.082
YMR068W	0.248
YMR069W	0.119
YMR070W	0.187
YMR071C	0.068
YMR072W	-1.631
YMR073C	-0.041
YMR074C	0.109
YMR075C-A	-0.088
YMR075W	-0.162
YMR076C	-0.085
YMR077C	-0.229
YMR078C	NaN
YMR079W	-0.067
YMR080C	-0.166
YMR081C	0.037
YMR082C	0.026
YMR083W	-0.171
YMR084W	0.015
YMR085W	0.076
YMR086C-A	0.065
YMR086W	-0.026
YMR087W	-0.015
YMR088C	-0.083
YMR089C	2.216
YMR090W	0.186
YMR091C	-1.567
YMR092C	0.193
YMR093W	0.020
YMR094W	-0.069
YMR095C	-0.007
YMR096W	-0.014
YMR097C	-1.198
YMR098C	-0.707
YMR099C	-0.052
YMR100W	-0.096
YMR101C	0.069
YMR102C	-0.040
YMR103C	0.047
YMR104C	-0.019
YMR105C	-0.124
YMR105W-A	NaN
YMR106C	0.096
YMR107W	0.067
YMR108W	0.170
YMR109W	0.030
YMR110C	0.049
YMR111C	-0.026
YMR112C	-0.089
YMR113W	0.110
YMR114C	0.042
YMR115W	-0.243
YMR116C	-0.651
YMR117C	-0.169
YMR118C	-0.058
YMR119W	0.102
YMR119W-A	-0.047
YMR120C	-0.020
YMR121C	-0.006
YMR122C	-0.096
YMR123W	-0.959
YMR124W	0.019
YMR125W	-0.856
YMR126C	-0.100
YMR127C	0.024
YMR128W	-0.105
YMR129W	-0.065
YMR130W	-0.058
YMR131C	0.373
YMR132C	-0.058
YMR133W	0.057
YMR134W	0.082
YMR135C	-0.002
YMR135W-A	0.038
YMR136W	-0.022
YMR137C	-0.107
YMR138W	-0.111
YMR139W	0.001
YMR140W	0.004
YMR141C	0.143
YMR142C	-2.070
YMR143W	1.286
YMR144W	-0.016
YMR145C	0.051
YMR146C	-0.072
YMR147W	0.166
YMR148W	0.022
YMR149W	0.012
YMR150C	-0.264
YMR151W	-0.347
YMR152W	-0.017
YMR153C-A	0.061
YMR153W	0.011
YMR154C	-0.316
YMR155W	-0.079
YMR156C	-0.074
YMR157C	0.102
YMR158C-B	0.104
YMR158W	0.060
YMR158W-A	0.059
YMR159C	0.201
YMR160W	0.004
YMR161W	-0.047
YMR162C	0.027
YMR163C	-0.090
YMR164C	0.027
YMR165C	NaN
YMR166C	-0.106
YMR167W	0.097
YMR168C	0.121
YMR169C	-0.089
YMR170C	0.318
YMR171C	-0.036
YMR172C-A	0.036
YMR172W	0.013
YMR173W	0.186
YMR173W-A	-0.017
YMR174C	0.058
YMR175W	0.105
YMR175W-A	NaN
YMR176W	-0.030
YMR177W	-0.109
YMR178W	-0.010
YMR179W	-0.643
YMR180C	0.006
YMR181C	-0.055
YMR182C	0.131
YMR182W-A	NaN
YMR183C	0.113
YMR184W	0.029
YMR185W	-0.053
YMR186W	0.001
YMR187C	-0.270
YMR188C	-2.955
YMR189W	-0.011
YMR190C	-0.719
YMR191W	0.061
YMR192W	0.021
YMR193C-A	0.035
YMR193W	0.293
YMR194C-A	-0.051
YMR194C-B	NaN
YMR194W	-0.342
YMR195W	-0.160
YMR196W	-0.038
YMR197C	-0.095
YMR198W	NaN
YMR199W	-0.001
YMR200W	0.029
YMR201C	0.025
YMR202W	-1.192
YMR203W	-0.744
YMR204C	0.063
YMR205C	-0.393
YMR206W	0.030
YMR207C	-0.335
YMR208W	0.066
YMR209C	-0.038
YMR210W	0.007
YMR211W	-0.037
YMR213W	-0.018
YMR214W	-0.234
YMR215W	-0.138
YMR216C	-1.225
YMR217W	NaN
YMR218C	-0.040
YMR219W	-0.505
YMR220W	0.045
YMR221C	-0.001
YMR222C	0.050
YMR223W	-0.014
YMR224C	NaN
YMR225C	0.065
YMR226C	0.059
YMR227C	-0.074
YMR228W	0.004
YMR229C	0.000
YMR230W	-0.302
YMR230W-A	NaN
YMR231W	-0.065
YMR232W	-0.090
YMR233W	-0.021
YMR234W	0.003
YMR235C	-0.132
YMR236W	0.112
YMR237W	0.088
YMR238W	0.001
YMR239C	0.019
YMR240C	-0.052
YMR241W	0.047
YMR242C	-0.109
YMR242W-A	NaN
YMR243C	0.037
YMR244C-A	-0.034
YMR244W	-0.102
YMR245W	-0.120
YMR246W	0.007
YMR247C	-0.051
YMR247W-A	NaN
YMR250W	0.066
YMR251W	0.059
YMR251W-A	-0.121
YMR252C	-0.059
YMR253C	0.108
YMR254C	0.007
YMR255W	-0.089
YMR256C	-0.462
YMR257C	-0.231
YMR258C	0.087
YMR259C	0.044
YMR260C	-0.038
YMR261C	0.006
YMR262W	0.003
YMR263W	-0.329
YMR264W	0.065
YMR265C	0.095
YMR266W	-0.201
YMR267W	-1.833
YMR268C	0.141
YMR269W	0.049
YMR270C	0.070
YMR271C	-0.096
YMR272C	0.041
YMR272W-B	NaN
YMR273C	-0.004
YMR274C	-0.009
YMR275C	-0.102
YMR276W	-0.023
YMR277W	-0.081
YMR278W	-0.044
YMR279C	0.035
YMR280C	-0.029
YMR281W	-0.017
YMR282C	-0.645
YMR283C	-0.026
YMR284W	0.072
YMR285C	-0.086
YMR286W	-0.112
YMR287C	-0.738
YMR288W	-0.049
YMR289W	0.075
YMR290C	-0.063
YMR290W-A	0.513
YMR291W	-0.016
YMR292W	0.019
YMR293C	-0.289
YMR294W	-0.133
YMR294W-A	0.080
YMR295C	-0.077
YMR296C	-0.057
YMR297W	-0.111
YMR298W	-0.049
YMR299C	-0.035
YMR300C	0.246
YMR301C	0.171
YMR302C	0.039
YMR303C	0.097
YMR304C-A	0.005
YMR304W	0.150
YMR305C	-0.029
YMR306C-A	0.049
YMR306W	-0.030
YMR307W	-1.806
YMR308C	0.112
YMR309C	-0.513
YMR310C	0.043
YMR311C	0.012
YMR312W	-0.319
YMR313C	-0.023
YMR314W	0.074
YMR315W	0.030
YMR315W-A	NaN
YMR316C-A	0.044
YMR316C-B	0.031
YMR316W	-0.032
YMR317W	0.003
YMR318C	-0.044
YMR319C	-0.088
YMR320W	-0.096
YMR322C	-0.036
YMR326C	0.231
YNL001W	0.067
YNL002C	-0.031
YNL003C	-0.426
YNL004W	-0.003
YNL005C	-0.908
YNL006W	0.158
YNL007C	0.397
YNL008C	NaN
YNL009W	0.319
YNL010W	0.048
YNL011C	-0.001
YNL012W	0.026
YNL013C	0.006
YNL014W	-0.026
YNL015W	NaN
YNL016W	0.011
YNL018C	NaN
YNL020C	0.033
YNL021W	NaN
YNL022C	-0.011
YNL023C	-0.039
YNL024C	-0.006
YNL024C-A	0.039
YNL025C	-0.216
YNL026W	0.061
YNL027W	0.081
YNL028W	NaN
YNL029C	NaN
YNL030W	NaN
YNL031C	0.094
YNL032W	0.091
YNL034W	0.039
YNL035C	0.067
YNL036W	NaN
YNL037C	NaN
YNL038W	0.349
YNL039W	0.138
YNL040W	NaN
YNL041C	-0.821
YNL042W	-0.083
YNL042W-B	NaN
YNL043C	-0.136
YNL044W	0.025
YNL045W	-0.065
YNL046W	0.144
YNL047C	0.230
YNL049C	0.047
YNL050C	-0.015
YNL051W	-0.553
YNL052W	-0.014
YNL053W	0.042
YNL054W	0.005
YNL055C	-0.327
YNL056W	-0.276
YNL057W	-0.119
YNL058C	0.067
YNL059C	-2.458
YNL061W	-0.033
YNL062C	0.047
YNL063W	0.010
YNL064C	NaN
YNL065W	0.049
YNL066W	-0.088
YNL067W	0.040
YNL067W-B	NaN
YNL068C	0.106
YNL069C	-0.312
YNL070W	-0.151
YNL071W	-0.373
YNL072W	0.141
YNL073W	-2.840
YNL074C	0.017
YNL075W	-0.170
YNL076W	-0.006
YNL077W	-0.040
YNL078W	0.007
YNL079C	-0.596
YNL080C	-1.066
YNL081C	-1.858
YNL082W	0.012
YNL083W	0.059
YNL084C	-0.083
YNL085W	-0.081
YNL086W	0.057
YNL087W	-0.098
YNL088W	-0.038
YNL089C	0.032
YNL090W	0.002
YNL091W	-0.216
YNL092W	-0.078
YNL093W	0.052
YNL094W	-0.025
YNL095C	0.040
YNL096C	0.066
YNL097C	-0.319
YNL097C-A	NaN
YNL098C	0.102
YNL099C	-0.143
YNL100W	0.060
YNL101W	-0.107
YNL102W	0.146
YNL103W	0.116
YNL104C	0.038
YNL105W	0.171
YNL106C	0.089
YNL107W	-0.450
YNL108C	-0.037
YNL109W	0.029
YNL110C	0.076
YNL111C	0.071
YNL112W	0.684
YNL113W	-0.058
YNL114C	-0.083
YNL115C	-0.156
YNL116W	-0.036
YNL117W	-0.064
YNL118C	-0.133
YNL119W	-0.164
YNL120C	-0.287
YNL121C	-0.269
YNL122C	0.114
YNL123W	-0.106
YNL124W	-0.089
YNL125C	-0.032
YNL126W	-0.232
YNL127W	0.177
YNL128W	-0.154
YNL129W	-0.063
YNL130C	-0.079
YNL130C-A	NaN
YNL131W	-0.350
YNL132W	-0.060
YNL133C	0.502
YNL134C	0.063
YNL135C	0.136
YNL136W	-0.226
YNL137C	-0.045
YNL138W	0.182
YNL138W-A	-0.035
YNL139C	NaN
YNL140C	0.185
YNL141W	0.065
YNL142W	-0.030
YNL143C	-0.109
YNL144C	-0.025
YNL145W	-0.127
YNL146C-A	NaN
YNL146W	-0.026
YNL147W	0.283
YNL148C	-0.152
YNL149C	0.031
YNL150W	0.145
YNL151C	0.183
YNL152W	-0.052
YNL153C	NaN
YNL154C	-0.038
YNL155W	0.053
YNL156C	NaN
YNL157W	-0.140
YNL158W	-0.055
YNL159C	-0.000
YNL160W	-0.061
YNL161W	-0.176
YNL162W	NaN
YNL162W-A	NaN
YNL163C	-0.013
YNL164C	NaN
YNL165W	NaN
YNL166C	-0.148
YNL167C	0.252
YNL168C	-0.009
YNL169C	NaN
YNL170W	-0.307
YNL171C	NaN
YNL172W	0.137
YNL173C	-0.014
YNL175C	-0.067
YNL176C	-0.100
YNL177C	0.448
YNL178W	-0.084
YNL179C	-0.123
YNL180C	-0.069
YNL181W	0.059
YNL182C	0.141
YNL183C	0.018
YNL184C	0.041
YNL185C	NaN
YNL187W	0.040
YNL188W	-0.277
YNL189W	0.129
YNL190W	0.039
YNL191W	-0.014
YNL192W	NaN
YNL193W	-0.002
YNL194C	-0.038
YNL195C	-0.022
YNL196C	-0.131
YNL197C	-0.220
YNL198C	0.104
YNL199C	-1.208
YNL200C	-0.042
YNL201C	-0.112
YNL202W	0.120
YNL203C	-0.191
YNL204C	-0.378
YNL205C	-0.108
YNL206C	0.183
YNL207W	-0.056
YNL208W	NaN
YNL209W	NaN
YNL210W	NaN
YNL211C	-0.211
YNL212W	-0.236
YNL213C	-0.302
YNL214W	-0.089
YNL215W	-0.066
YNL216W	-0.195
YNL217W	0.046
YNL218W	0.073
YNL219C	-0.035
YNL220W	0.048
YNL221C	-0.077
YNL222W	0.053
YNL223W	NaN
YNL224C	0.045
YNL225C	NaN
YNL226W	-0.952
YNL227C	-0.522
YNL228W	-0.514
YNL229C	-0.454
YNL230C	-0.092
YNL231C	-0.004
YNL232W	0.308
YNL233W	-0.064
YNL234W	NaN
YNL235C	0.023
YNL236W	0.074
YNL237W	-0.087
YNL238W	-0.054
YNL239W	0.113
YNL240C	0.060
YNL241C	0.041
YNL242W	0.057
YNL243W	NaN
YNL244C	0.027
YNL245C	0.038
YNL246W	-1.550
YNL247W	0.318
YNL248C	-0.253
YNL249C	-0.043
YNL250W	0.913
YNL251C	-0.130
YNL252C	-0.567
YNL253W	-0.043
YNL254C	0.015
YNL255C	0.093
YNL256W	-0.065
YNL257C	0.019
YNL258C	0.062
YNL259C	0.037
YNL260C	-0.042
YNL261W	0.030
YNL262W	0.014
YNL263C	0.063
YNL264C	-0.121
YNL265C	0.116
YNL266W	0.104
YNL267W	-0.006
YNL268W	0.188
YNL269W	-0.014
YNL270C	-0.028
YNL271C	-0.642
YNL272C	0.122
YNL273W	0.074
YNL274C	0.009
YNL275W	0.141
YNL276C	0.107
YNL277W	NaN
YNL277W-A	NaN
YNL278W	0.128
YNL279W	0.076
YNL280C	NaN
YNL281W	0.042
YNL282W	0.241
YNL283C	-0.017
YNL284C	-0.595
YNL285W	0.091
YNL286W	-0.135
YNL287W	0.120
YNL288W	-0.230
YNL289W	-0.025
