orf	hom | viral RNA replication (luciferase expression) | standard [standard] | Kushner DB~Ahlquist P, 2003
YCR065W	0.43412220881818075
YCR066W	1.020122332523353
YCR067C	-0.17726798093227078
YCR068W	0.35030168058302597
YCR069W	0.562252189196879
YCR071C	
YCR073C	0.4600690602319489
YCR073W-A	-0.3801661228367536
YCR075C	0.43458628816329314
YCR076C	0.3064722845632904
YCR077C	-1.4679781720814047
YCR079W	-0.5863797491966457
YCR081W	-1.0126745977721068
YCR082W	0.22863896948816007
YCR083W	0.16337934110635455
YCR084C	
YCR085W	-0.48017486685546346
YCR086W	
YCR087C-A	-0.4431238994928962
YCR087W	-0.7364534365755504
YCR088W	-0.141861247206523
YCR089W	-0.2689005626012315
YCR090C	0.24161186349692737
YCR091W	-0.05959312493961096
YCR092C	0.5307747835682245
YCR094W	8.456849406083835
YCR095C	-1.400197778695767
YCR098C	4.950786918073792
YCR099C	-0.19815821121273605
YCR100C	0.4067204215779493
YCR101C	-0.06943267699296779
YCR102C	-0.1342535302144962
YCR102W-A	0.5910900624642114
YCR105W	-0.15333647577683307
YCR106W	-0.19175141678056767
YCR107W	0.5090341916064061
YDL001W	0.07496758891942445
YDL002C	-0.014877838182625377
YDL006W	
YDL009C	-0.4173844061257901
YDL010W	0.2570380917020382
YDL011C	-0.1921257972500206
YDL012C	0.2719674184250835
YDL013W	
YDL018C	-0.26519663844930186
YDL019C	0.1559565910753126
YDL020C	-1.496049189427551
YDL021W	0.03433056186299627
YDL022W	0.9330424666881584
YDL023C	0.7263789488327028
YDL024C	0.21417141017325447
YDL025C	-0.46895455553841237
YDL026W	-0.19992189798194482
YDL027C	-0.590836766818838
YDL032W	
YDL033C	0.3562371362829041
YDL034W	-0.5517810464135996
YDL035C	0.37311236351521765
YDL036C	0.02501648244801529
YDL037C	-0.10006193184688064
YDL039C	0.1799601871121434
YDL040C	-0.04687435856323647
YDL041W	
YDL044C	
YDL045W-A	
YDL046W	0.5112614345343847
YDL047W	
YDL048C	0.06380431618741567
YDL049C	0.07268391272138311
YDL050C	-0.22714000699605563
YDL051W	
YDL052C	0.2940173546630604
YDL053C	0.2065130533997718
YDL054C	-0.1792623750020064
YDL056W	
YDL059C	0.08448514653527446
YDL061C	-0.09128906492392767
YDL062W	-0.06605814868763683
YDL063C	0.28362163217292286
YDL065C	-0.3413450418520536
YDL066W	-0.7868209130267213
YDL067C	
YDL068W	
YDL069C	
YDL070W	0.8586057219772295
YDL071C	0.5525062228268066
YDL072C	-0.2740520697897413
YDL073W	3.130711525353584
YDL074C	-1.0817263352485385
YDL075W	
YDL076C	0.35577348350024385
YDL077C	
YDL078C	-0.15263068050464645
