ORF	hap a | protein transport to the vacuole (GFP-Yif1) | rapamycin [200 ug/L], temperature [26 C] | SC - Ura | Dobzinski N~Gerst JE, 2015	hap a | protein transport to the vacuole (GFP-Yif1) | temperature [26 C] | SC - Ura | Dobzinski N~Gerst JE, 2015
YHL015W-A	0.000	0.000
YHL016C	0.000	0.000
YHL017W	0.000	0.000
YHL019C	0.000	0.000
YHL020C	0.000	0.000
YHL021C	0.000	0.000
YHL022C	0.000	0.000
YHL023C	0.000	0.000
YHL024W	0.000	0.000
YHL025W	0.000	0.000
YHL026C	0.000	0.000
YHL027W	0.000	0.000
YHL028W	0.000	0.000
YHL029C	0.000	0.000
YHL030W	0.000	0.000
YHL031C	0.000	0.000
YHL032C	0.000	0.000
YHL033C	0.000	0.000
YHL034C	0.000	0.000
YHL035C	0.000	0.000
YHL036W	0.000	0.000
YHL037C	0.000	0.000
YHL038C	0.000	0.000
YHL039W	0.000	0.000
YHL040C	0.000	0.000
YHL041W	0.000	0.000
YHL042W	0.000	0.000
YHL043W	0.000	0.000
YHL044W	0.000	0.000
YHL045W	0.000	0.000
YHL046C	0.000	0.000
YHL047C	0.000	0.000
YHR001W-A	0.000	0.000
YHR003C	0.000	0.000
YHR004C	0.000	0.000
YHR005C	0.000	0.000
YHR006W	0.000	0.000
YHR007C-A	0.000	0.000
YHR008C	0.000	0.000
YHR009C	0.000	0.000
YHR010W	0.000	0.000
YHR011W	0.000	0.000
YHR012W	0.000	0.000
YHR013C	0.000	0.000
YHR014W	0.000	0.000
YHR015W	0.000	0.000
YHR016C	0.000	0.000
YHR017W	0.000	0.000
YHR018C	0.000	0.000
YHR021C	0.000	0.000
YHR021W-A	0.000	0.000
YHR022C	0.000	0.000
YHR022C-A	0.000	0.000
YHR025W	0.000	0.000
YHR026W	0.000	0.000
YHR028C	0.000	0.000
YHR029C	0.000	0.000
YHR030C	0.000	0.000
YHR031C	0.000	0.000
YHR032W	0.000	0.000
YHR033W	0.000	0.000
YHR034C	0.000	0.000
YHR035W	0.000	0.000
YHR037W	0.000	0.000
YHR038W	0.000	0.000
YHR039C	0.000	0.000
YHR039C-A	0.000	0.000
YHR041C	0.000	0.000
YHR043C	0.000	0.000
YHR044C	0.000	0.000
YHR045W	0.000	0.000
YHR046C	0.000	0.000
YHR047C	0.000	0.000
YHR048W	0.000	0.000
YHR049C-A	0.000	0.000
YHR049W	0.000	0.000
YHR050W	0.000	0.000
YHR050W-A	0.000	0.000
YHR051W	0.000	0.000
YHR057C	0.000	0.000
YHR059W	0.000	0.000
YHR060W	0.000	0.000
YHR061C	0.000	0.000
YHR064C	0.000	0.000
YHR066W	0.000	0.000
YHR067W	0.000	0.000
YHR073W	0.000	0.000
YHR075C	0.000	0.000
YHR076W	0.000	0.000
YHR077C	0.000	0.000
YHR078W	0.000	0.000
YHR079C	0.000	0.000
YHR079C-A	0.000	0.000
YHR080C	0.000	0.000
YHR081W	0.000	0.000
YHR082C	0.000	0.000
YHR086W	0.000	0.000
YHR086W-A	0.000	0.000
YHR087W	0.000	0.000
YHR091C	0.000	0.000
YHR092C	0.000	0.000
YHR093W	0.000	0.000
YHR094C	0.000	0.000
YHR095W	0.000	0.000
YHR096C	0.000	0.000
YHR097C	0.000	0.000
YHR100C	0.000	0.000
YHR103W	0.000	0.000
YHR104W	0.000	0.000
YHR105W	0.000	0.000
YHR106W	0.000	0.000
YHR108W	0.000	0.000
YHR109W	0.000	0.000
YHR110W	0.000	0.000
YHR111W	0.000	0.000
YHR112C	0.000	0.000
YHR113W	0.000	0.000
YHR114W	0.000	0.000
YHR115C	0.000	0.000
YHR116W	0.000	0.000
YHR117W	0.000	0.000
YHR120W	0.000	0.000
YHR121W	0.000	0.000
YHR123W	0.000	0.000
YHR124W	0.000	0.000
YHR125W	0.000	0.000
YHR126C	0.000	0.000
YHR127W	0.000	0.000
YHR129C	0.000	0.000
YHR130C	0.000	0.000
YHR131C	0.000	0.000
YHR132C	0.000	0.000
YHR132W-A	0.000	0.000
YHR133C	0.000	0.000
YHR134W	0.000	0.000
YHR135C	0.000	0.000
YHR136C	0.000	0.000
YHR137W	0.000	0.000
YHR138C	0.000	0.000
YHR139C	0.000	0.000
YHR139C-A	0.000	0.000
YHR140W	0.000	0.000
YHR142W	0.000	0.000
YHR143W	0.000	0.000
YHR146W	0.000	0.000
YHR147C	0.000	0.000
YHR150W	0.000	0.000
YHR151C	0.000	0.000
YHR152W	0.000	0.000
YHR153C	0.000	0.000
YHR154W	0.000	0.000
YHR155W	0.000	0.000
YHR156C	0.000	0.000
YHR157W	0.000	0.000
YHR158C	0.000	0.000
YHR159W	0.000	0.000
YHR160C	0.000	0.000
YHR161C	0.000	0.000
YHR162W	0.000	0.000
YHR163W	0.000	0.000
YHR167W	0.000	0.000
YHR168W	0.000	0.000
YHR171W	0.000	0.000
YHR175W-A	0.000	0.000
YHR176W	0.000	0.000
YHR177W	0.000	0.000
YHR178W	0.000	0.000
YHR179W	0.000	0.000
YHR180W	0.000	0.000
YHR181W	0.000	0.000
YHR182W	0.000	0.000
YHR183W	0.000	0.000
YHR184W	0.000	0.000
YHR185C	0.000	0.000
YHR189W	0.000	0.000
YHR191C	0.000	0.000
YHR193C	0.000	0.000
YHR194W	0.000	0.000
YHR195W	0.000	0.000
YHR198C	0.000	0.000
YHR199C	0.000	0.000
YHR200W	0.000	0.000
YHR202W	0.000	0.000
YHR203C	0.000	0.000
YHR204W	0.000	0.000
YHR206W	0.000	0.000
YHR207C	0.000	0.000
YHR209W	0.000	0.000
YHR210C	0.000	0.000
YIL001W	0.000	0.000
YIL002C	0.000	0.000
YIL002W-A	0.000	0.000
YIL005W	0.000	0.000
YIL006W	0.000	0.000
YIL007C	0.000	0.000
YIL008W	0.000	0.000
YIL009C-A	0.000	0.000
YIL009W	0.000	0.000
YIL010W	0.000	0.000
YIL011W	0.000	0.000
YIL012W	0.000	0.000
YIL013C	0.000	0.000
YIL014C-A	0.000	0.000
YIL014W	0.000	0.000
YIL015W	0.000	0.000
YIL016W	0.000	0.000
YIL017C	0.000	0.000
YIL018W	0.000	0.000
YIL020C	0.000	0.000
YIL023C	0.000	0.000
YIL024C	0.000	0.000
YIL025C	0.000	0.000
YIL027C	0.000	0.000
YIL028W	0.000	0.000
YIL029C	0.000	0.000
YIL030C	0.000	0.000
YIL032C	0.000	0.000
YIL034C	0.000	0.000
YIL035C	0.000	0.000
YIL036W	0.000	0.000
YIL037C	0.000	0.000
YIL038C	0.000	0.000
YIL039W	0.000	0.000
YIL040W	0.000	0.000
YIL041W	0.000	0.000
YIL042C	0.000	0.000
YIL043C	0.000	0.000
YIL044C	0.000	0.000
YIL045W	0.000	0.000
YIL046W-A	0.000	0.000
YIL047C	0.000	0.000
YIL049W	0.000	0.000
YIL050W	0.000	0.000
YIL052C	0.000	0.000
YIL053W	0.000	0.000
YIL054W	0.000	0.000
YIL055C	0.000	0.000
YIL056W	0.000	0.000
YIL057C	0.000	0.000
YIL058W	0.000	0.000
YIL059C	0.000	0.000
YIL060W	0.000	0.000
YIL064W	0.000	0.000
YIL065C	0.000	0.000
YIL066C	0.000	0.000
YIL067C	0.000	0.000
YIL069C	0.000	0.000
YIL070C	0.000	0.000
YIL071C	0.000	0.000
YIL072W	0.000	0.000
YIL073C	0.000	0.000
YIL074C	0.000	0.000
YIL076W	0.000	0.000
YIL077C	0.000	0.000
YIL079C	0.000	0.000
YIL084C	0.000	0.000
YIL085C	0.000	0.000
YIL086C	0.000	0.000
YIL087C	0.000	0.000
YIL088C	0.000	0.000
YIL089W	0.000	0.000
YIL090W	0.000	0.000
YIL092W	0.000	0.000
YIL093C	0.000	0.000
YIL094C	0.000	0.000
YIL095W	0.000	0.000
YIL096C	0.000	0.000
YIL097W	0.000	0.000
YIL098C	0.000	0.000
YIL099W	0.000	0.000
YIL100W	0.000	0.000
YIL101C	0.000	0.000
YIL102C	0.000	0.000
YIL103W	0.000	0.000
YIL105C	0.000	0.000
YIL107C	0.000	0.000
YIL108W	0.000	0.000
YIL110W	0.000	0.000
YIL111W	0.000	0.000
YIL112W	0.000	0.000
YIL113W	0.000	0.000
YIL114C	0.000	0.000
YIL116W	0.000	0.000
YIL117C	0.000	0.000
YIL119C	0.000	0.000
YIL120W	0.000	0.000
YIL121W	0.000	0.000
YIL122W	0.000	0.000
YIL123W	0.000	0.000
YIL124W	0.000	0.000
YIL125W	0.000	0.000
YIL128W	0.000	0.000
YIL130W	0.000	0.000
YIL131C	0.000	0.000
YIL132C	0.000	0.000
YIL133C	0.000	0.000
YIL134C-A	0.000	0.000
YIL134W	0.000	0.000
YIL135C	0.000	0.000
YIL136W	0.000	0.000
YIL137C	0.000	0.000
YIL138C	0.000	0.000
YIL139C	0.000	0.000
YIL140W	0.000	0.000
YIL141W	0.000	0.000
YIL145C	0.000	0.000
YIL146C	0.000	0.000
YIL148W	0.000	0.000
YIL149C	0.000	0.000
YIL152W	0.000	0.000
YIL153W	0.000	0.000
YIL154C	0.000	0.000
YIL155C	0.000	0.000
YIL156W	0.000	0.000
YIL157C	0.000	0.000
YIL158W	0.000	0.000
YIL159W	0.000	0.000
YIL160C	0.000	0.000
YIL161W	0.000	0.000
YIL162W	0.000	0.000
YIL163C	0.000	0.000
YIL164C	0.000	0.000
YIL165C	0.000	0.000
YIL166C	0.000	0.000
YIL167W	0.000	0.000
YIL168W	0.000	0.000
YIL170W	0.000	0.000
YIL173W	0.000	0.000
YIR001C	0.000	0.000
YIR002C	0.000	0.000
YIR003W	0.000	0.000
YIR004W	0.000	0.000
YIR005W	0.000	0.000
YIR007W	0.000	0.000
YIR009W	0.000	0.000
YIR013C	0.000	0.000
YIR014W	0.000	0.000
YIR016W	0.000	0.000
YIR017C	0.000	0.000
YIR018C-A	0.000	0.000
YIR018W	0.000	0.000
YIR019C	0.000	0.000
YIR020C	0.000	0.000
YIR020W-A	0.000	0.000
YIR021W	0.000	0.000
YIR021W-A	0.000	0.000
YIR023W	0.000	0.000
YIR024C	0.000	0.000
YIR025W	0.000	0.000
YIR026C	0.000	0.000
YIR027C	0.000	0.000
YIR028W	0.000	0.000
YIR029W	0.000	0.000
YIR030C	0.000	0.000
YIR031C	0.000	0.000
YIR032C	0.000	0.000
YIR033W	0.000	0.000
YIR034C	0.000	0.000
YIR035C	0.000	0.000
YIR036C	0.000	0.000
YIR037W	0.000	0.000
YIR038C	0.000	0.000
YIR039C	0.000	0.000
YIR042C	0.000	0.000
YIR043C	0.000	0.000
YIR044C	0.000	0.000
YJL003W	0.000	0.000
YJL004C	0.000	0.000
YJL006C	0.000	0.000
YJL007C	0.000	0.000
YJL012C	0.000	0.000
YJL013C	0.000	0.000
YJL016W	0.000	0.000
YJL020C	0.000	0.000
YJL022W	0.000	0.000
YJL023C	0.000	0.000
YJL024C	0.000	0.000
YJL027C	0.000	0.000
YJL028W	0.000	0.000
YJL029C	0.000	0.000
YJL030W	0.000	0.000
YJL036W	0.000	0.000
YJL037W	0.000	0.000
YJL038C	0.000	0.000
YJL042W	0.000	0.000
YJL043W	0.000	0.000
YJL044C	0.000	0.000
YJL045W	0.000	0.000
YJL046W	0.000	0.000
YJL047C	0.000	0.000
YJL047C-A	0.000	0.000
YJL048C	0.000	0.000
YJL049W	0.000	0.000
YJL051W	0.000	0.000
YJL052W	0.000	0.000
YJL053W	0.000	0.000
YJL055W	0.000	0.000
YJL056C	0.000	0.000
YJL057C	0.000	0.000
YJL058C	0.000	0.000
YJL059W	0.000	0.000
YJL060W	0.000	0.000
YJL062W	0.000	0.000
YJL062W-A	0.000	0.000
YJL063C	0.000	0.000
YJL064W	0.000	0.000
YJL065C	0.000	0.000
YJL066C	0.000	0.000
YJL067W	0.000	0.000
YJL068C	0.000	0.000
YJL070C	0.000	0.000
YJL071W	0.000	0.000
YJL073W	0.000	0.000
YJL075C	0.000	0.000
YJL077C	0.000	0.000
YJL077W-B	0.000	0.000
YJL078C	0.000	0.000
YJL079C	0.000	0.000
YJL080C	0.000	0.000
YJL082W	0.000	0.000
YJL083W	0.000	0.000
YJL084C	0.000	0.000
YJL088W	0.000	0.000
YJL089W	0.000	0.000
YJL092W	0.000	0.000
YJL093C	0.000	0.000
YJL094C	0.000	0.000
YJL095W	0.000	0.000
YJL096W	0.000	0.000
YJL098W	0.000	0.000
YJL099W	0.000	0.000
YJL100W	0.000	0.000
YJL101C	0.000	0.000
YJL102W	0.000	0.000
YJL103C	0.000	0.000
YJL105W	0.000	0.000
YJL106W	0.000	0.000
YJL107C	0.000	0.000
YJL108C	0.000	0.000
YJL110C	0.000	0.000
YJL112W	0.000	0.000
YJL115W	0.000	0.000
YJL116C	0.000	0.000
YJL117W	0.000	0.000
YJL118W	0.000	0.000
YJL119C	0.000	0.000
YJL120W	0.000	0.000
YJL121C	0.000	0.000
YJL122W	0.000	0.000
YJL123C	0.000	0.000
YJL124C	0.000	0.000
YJL126W	0.000	0.000
YJL127C	0.000	0.000
YJL127C-B	0.000	0.000
YJL128C	0.000	0.000
YJL129C	0.000	0.000
YJL130C	0.000	0.000
YJL131C	0.000	0.000
YJL132W	0.000	0.000
YJL133W	0.000	0.000
YJL134W	0.000	0.000
YJL135W	0.000	0.000
YJL136C	0.000	0.000
YJL136W-A	0.000	0.000
YJL137C	0.000	0.000
YJL138C	0.000	0.000
YJL139C	0.000	0.000
YJL140W	0.000	0.000
YJL141C	0.000	0.000
YJL142C	0.000	0.000
YJL144W	0.000	0.000
YJL145W	0.000	0.000
YJL146W	0.000	0.000
YJL147C	0.000	0.000
YJL148W	0.000	0.000
YJL149W	0.000	0.000
YJL150W	0.000	0.000
YJL151C	0.000	0.000
YJL152W	0.000	0.000
YJL153C	0.000	0.000
YJL154C	0.000	0.000
YJL155C	0.000	0.000
YJL157C	0.000	0.000
YJL158C	0.000	0.000
YJL159W	0.000	0.000
YJL160C	0.000	0.000
YJL161W	0.000	0.000
YJL162C	0.000	0.000
YJL163C	0.000	0.000
YJL164C	0.000	0.000
YJL165C	0.000	0.000
YJL166W	0.000	0.000
YJL168C	0.000	0.000
YJL169W	0.000	0.000
YJL170C	0.000	0.000
YJL171C	0.000	0.000
YJL172W	0.000	0.000
YJL175W	0.000	0.000
YJL176C	0.000	0.000
YJL177W	0.000	0.000
YJL178C	0.000	0.000
YJL179W	0.000	0.000
YJL180C	0.000	0.000
YJL181W	0.000	0.000
YJL182C	0.000	0.000
YJL183W	0.000	0.000
YJL184W	0.000	0.000
YJL185C	0.000	0.000
YJL186W	0.000	0.000
YJL187C	0.000	0.000
YJL188C	0.000	0.000
YJL189W	0.000	0.000
YJL190C	0.000	0.000
YJL191W	0.000	0.000
YJL192C	0.000	0.000
YJL193W	0.000	0.000
YJL196C	0.000	0.000
YJL197W	0.000	0.000
YJL198W	0.000	0.000
YJL199C	0.000	0.000
YJL200C	0.000	0.000
YJL201W	0.000	0.000
YJL204C	0.000	0.000
YJL206C	0.000	0.000
YJL206C-A	0.000	0.000
YJL207C	0.000	0.000
YJL208C	0.000	0.000
YJL209W	0.000	0.000
YJL210W	0.000	0.000
YJL211C	0.000	0.000
YJL212C	0.000	0.000
YJL213W	0.000	0.000
YJL214W	0.000	0.000
YJL215C	0.000	0.000
YJL216C	0.000	0.000
YJL217W	0.000	0.000
YJL218W	0.000	0.000
YJR001W	0.000	0.000
YJR003C	0.000	0.000
YJR004C	0.000	0.000
YJR005C-A	0.000	0.000
YJR005W	0.000	0.000
YJR008W	0.000	0.000
YJR009C	0.000	0.000
YJR010C-A	0.000	0.000
YJR010W	0.000	0.000
YJR011C	0.000	0.000
YJR014W	0.000	0.000
YJR015W	0.000	0.000
YJR018W	0.000	0.000
YJR019C	0.000	0.000
YJR020W	0.000	0.000
YJR021C	0.000	0.000
YJR024C	0.000	0.000
YJR025C	0.000	0.000
YJR026W	0.000	0.000
YJR030C	0.000	0.000
YJR031C	0.000	0.000
YJR032W	0.000	0.000
YJR033C	0.000	0.000
YJR034W	0.000	0.000
YJR035W	0.000	0.000
YJR036C	0.000	0.000
YJR037W	0.000	0.000
YJR038C	0.000	0.000
YJR039W	0.000	0.000
YJR040W	0.000	0.000
YJR043C	0.000	0.000
YJR044C	0.000	0.000
YJR047C	0.000	0.000
YJR048W	0.000	0.000
YJR049C	0.000	0.000
YJR050W	0.000	0.000
YJR051W	0.000	0.000
YJR052W	0.000	0.000
YJR053W	0.000	0.000
YJR054W	0.000	0.000
YJR055W	0.000	0.000
YJR056C	0.000	0.000
YJR058C	0.000	0.000
YJR059W	0.000	0.000
YJR060W	0.000	0.000
YJR061W	0.000	0.000
YJR062C	0.000	0.000
YJR063W	0.000	0.000
YJR066W	0.000	0.000
YJR069C	0.000	0.000
YJR070C	0.000	0.000
YJR073C	0.000	0.000
YJR074W	0.000	0.000
YJR075W	0.000	0.000
YJR077C	0.000	0.000
YJR078W	0.000	0.000
YJR079W	0.000	0.000
YJR080C	0.000	0.000
YJR082C	0.000	0.000
YJR083C	0.000	0.000
YJR084W	0.000	0.000
YJR087W	0.000	0.000
YJR088C	0.000	0.000
YJR090C	0.000	0.000
YJR091C	0.000	0.000
YJR092W	0.000	0.000
YJR094C	0.000	0.000
YJR094W-A	0.000	0.000
YJR095W	0.000	0.000
YJR096W	0.000	0.000
YJR097W	0.000	0.000
YJR098C	0.000	0.000
YJR099W	0.000	0.000
YJR100C	0.000	0.000
YJR102C	1.000	0.000
YJR103W	0.000	0.000
YJR104C	0.000	0.000
YJR105W	0.000	0.000
YJR106W	0.000	0.000
YJR107W	0.000	0.000
YJR108W	0.000	0.000
YJR109C	0.000	0.000
YJR110W	0.000	0.000
YJR111C	0.000	0.000
YJR113C	0.000	0.000
YJR115W	0.000	0.000
YJR116W	0.000	0.000
YJR117W	0.000	0.000
YJR118C	0.000	0.000
YJR119C	0.000	0.000
YJR120W	0.000	0.000
YJR121W	0.000	0.000
YJR122W	0.000	0.000
YJR124C	0.000	0.000
YJR125C	0.000	0.000
YJR126C	0.000	0.000
YJR127C	0.000	0.000
YJR128W	0.000	0.000
YJR129C	0.000	0.000
YJR130C	0.000	0.000
YJR131W	0.000	0.000
YJR133W	0.000	0.000
YJR134C	0.000	0.000
YJR135C	0.000	0.000
YJR135W-A	0.000	0.000
YJR137C	0.000	0.000
YJR139C	0.000	0.000
YJR140C	0.000	0.000
YJR142W	0.000	0.000
YJR144W	0.000	0.000
YJR145C	0.000	0.000
YJR146W	0.000	0.000
YJR147W	0.000	0.000
YJR148W	0.000	0.000
YJR149W	0.000	0.000
YJR150C	0.000	0.000
YJR151W-A	0.000	0.000
YJR152W	0.000	0.000
YJR153W	0.000	0.000
YJR154W	0.000	0.000
YKL001C	0.000	0.000
YKL002W	1.000	0.000
YKL003C	0.000	0.000
YKL005C	0.000	0.000
YKL006W	0.000	0.000
YKL007W	0.000	0.000
YKL008C	0.000	0.000
YKL009W	0.000	0.000
YKL010C	0.000	0.000
YKL011C	0.000	0.000
YKL015W	0.000	0.000
YKL016C	0.000	0.000
YKL017C	0.000	0.000
YKL018C-A	0.000	0.000
YKL020C	0.000	0.000
YKL023W	0.000	0.000
YKL025C	0.000	0.000
YKL026C	0.000	0.000
YKL027W	0.000	0.000
YKL029C	0.000	0.000
YKL030W	0.000	0.000
YKL031W	0.000	0.000
YKL032C	0.000	0.000
YKL033W-A	0.000	0.000
YKL034W	1.000	0.000
YKL037W	0.000	0.000
YKL038W	0.000	0.000
YKL039W	0.000	0.000
YKL040C	0.000	0.000
YKL041W	1.000	0.000
YKL043W	0.000	0.000
YKL044W	0.000	0.000
YKL046C	0.000	0.000
YKL047W	0.000	0.000
YKL048C	0.000	0.000
YKL050C	0.000	0.000
YKL051W	0.000	0.000
YKL053C-A	0.000	0.000
YKL053W	0.000	0.000
YKL054C	0.000	0.000
YKL055C	0.000	0.000
YKL056C	0.000	0.000
YKL057C	0.000	0.000
YKL061W	0.000	0.000
YKL062W	0.000	0.000
YKL063C	0.000	0.000
YKL064W	0.000	0.000
YKL065C	0.000	0.000
YKL066W	0.000	0.000
YKL067W	0.000	0.000
YKL068W	0.000	0.000
YKL068W-A	0.000	0.000
YKL069W	0.000	0.000
YKL070W	0.000	0.000
YKL071W	0.000	0.000
YKL072W	0.000	0.000
YKL073W	0.000	0.000
YKL074C	0.000	0.000
YKL075C	0.000	0.000
YKL076C	0.000	0.000
YKL077W	0.000	0.000
YKL079W	0.000	0.000
YKL080W	0.000	0.000
YKL081W	0.000	0.000
YKL084W	0.000	0.000
YKL085W	0.000	0.000
YKL086W	0.000	0.000
YKL087C	0.000	0.000
YKL090W	0.000	0.000
YKL091C	0.000	0.000
YKL092C	0.000	0.000
YKL093W	0.000	0.000
YKL094W	0.000	0.000
YKL096C-B	0.000	0.000
YKL096W	0.000	0.000
YKL096W-A	0.000	0.000
YKL097C	0.000	0.000
YKL098W	0.000	0.000
YKL100C	0.000	0.000
YKL101W	0.000	0.000
YKL102C	0.000	0.000
YKL103C	0.000	0.000
YKL105C	0.000	0.000
YKL106C-A	0.000	0.000
YKL106W	0.000	0.000
YKL107W	0.000	0.000
YKL109W	0.000	0.000
YKL110C	0.000	0.000
YKL113C	0.000	0.000
YKL114C	0.000	0.000
YKL115C	0.000	0.000
YKL116C	0.000	0.000
YKL117W	0.000	0.000
YKL118W	0.000	0.000
YKL119C	0.000	0.000
YKL120W	0.000	0.000
YKL121W	0.000	0.000
YKL123W	0.000	0.000
YKL124W	0.000	0.000
YKL126W	0.000	0.000
YKL127W	0.000	0.000
YKL128C	0.000	0.000
YKL129C	0.000	0.000
YKL130C	0.000	0.000
YKL131W	0.000	0.000
YKL132C	0.000	0.000
YKL133C	0.000	0.000
YKL134C	0.000	0.000
YKL135C	0.000	0.000
YKL136W	0.000	0.000
YKL137W	0.000	0.000
YKL138C	0.000	0.000
YKL139W	0.000	0.000
YKL140W	0.000	0.000
YKL142W	0.000	0.000
YKL143W	0.000	0.000
YKL146W	0.000	0.000
YKL147C	0.000	0.000
YKL148C	0.000	0.000
YKL149C	0.000	0.000
YKL150W	0.000	0.000
YKL151C	0.000	0.000
YKL155C	0.000	0.000
YKL156W	0.000	0.000
YKL157W	0.000	0.000
YKL159C	0.000	0.000
YKL160W	0.000	0.000
YKL161C	0.000	0.000
YKL162C	0.000	0.000
YKL162C-A	0.000	0.000
YKL163W	0.000	0.000
YKL164C	0.000	0.000
YKL166C	0.000	0.000
YKL167C	0.000	0.000
YKL168C	0.000	0.000
YKL169C	0.000	0.000
YKL170W	0.000	0.000
YKL171W	0.000	0.000
YKL174C	0.000	0.000
YKL175W	0.000	0.000
YKL176C	0.000	0.000
YKL177W	0.000	0.000
YKL178C	0.000	0.000
YKL179C	0.000	0.000
YKL183W	0.000	0.000
YKL184W	0.000	0.000
YKL185W	0.000	0.000
YKL187C	0.000	0.000
YKL188C	0.000	0.000
YKL190W	0.000	0.000
YKL191W	0.000	0.000
YKL194C	0.000	0.000
YKL197C	0.000	0.000
YKL198C	0.000	0.000
YKL201C	0.000	0.000
YKL202W	0.000	0.000
YKL204W	0.000	0.000
YKL205W	0.000	0.000
YKL206C	0.000	0.000
YKL207W	0.000	0.000
YKL208W	0.000	0.000
YKL211C	0.000	0.000
YKL212W	0.000	0.000
YKL213C	1.000	0.000
YKL214C	0.000	0.000
YKL215C	0.000	0.000
YKL216W	0.000	0.000
YKL217W	0.000	0.000
YKL218C	0.000	0.000
YKL220C	0.000	0.000
YKL221W	0.000	0.000
YKL222C	0.000	0.000
YKR001C	0.000	0.000
YKR003W	0.000	0.000
YKR005C	0.000	0.000
YKR006C	0.000	0.000
YKR007W	0.000	0.000
YKR009C	0.000	0.000
YKR010C	0.000	0.000
YKR011C	0.000	0.000
YKR012C	0.000	0.000
YKR013W	0.000	0.000
YKR014C	0.000	0.000
YKR015C	0.000	0.000
YKR016W	0.000	0.000
YKR017C	0.000	0.000
YKR018C	0.000	0.000
YKR019C	0.000	0.000
YKR020W	0.000	0.000
YKR021W	0.000	0.000
YKR023W	0.000	0.000
YKR024C	0.000	0.000
YKR026C	0.000	0.000
YKR027W	0.000	0.000
YKR028W	0.000	0.000
YKR029C	0.000	0.000
YKR030W	0.000	0.000
YKR031C	0.000	0.000
YKR032W	0.000	0.000
YKR033C	0.000	0.000
YKR034W	0.000	0.000
YKR035C	0.000	0.000
YKR035W-A	1.000	0.000
YKR036C	0.000	0.000
YKR039W	0.000	0.000
YKR040C	0.000	0.000
YKR041W	0.000	0.000
YKR042W	0.000	0.000
YKR043C	0.000	0.000
YKR044W	0.000	0.000
YKR045C	0.000	0.000
YKR046C	0.000	0.000
YKR047W	0.000	0.000
YKR048C	0.000	0.000
YKR049C	0.000	0.000
YKR050W	0.000	0.000
YKR051W	0.000	0.000
YKR052C	0.000	0.000
YKR053C	0.000	0.000
YKR054C	0.000	0.000
YKR055W	0.000	0.000
YKR056W	0.000	0.000
YKR057W	0.000	0.000
YKR058W	0.000	0.000
YKR059W	0.000	0.000
YKR060W	0.000	0.000
YKR061W	0.000	0.000
YKR064W	0.000	0.000
YKR065C	0.000	0.000
YKR066C	0.000	0.000
YKR067W	0.000	0.000
YKR069W	0.000	0.000
YKR070W	0.000	0.000
YKR072C	0.000	0.000
YKR073C	0.000	0.000
YKR074W	0.000	0.000
YKR075C	0.000	0.000
YKR076W	0.000	0.000
YKR077W	0.000	0.000
YKR078W	0.000	0.000
YKR080W	0.000	0.000
YKR082W	0.000	0.000
YKR084C	0.000	0.000
YKR085C	0.000	0.000
YKR087C	0.000	0.000
YKR088C	0.000	0.000
YKR089C	0.000	0.000
YKR090W	0.000	0.000
YKR091W	0.000	0.000
YKR092C	0.000	0.000
YKR093W	0.000	0.000
YKR094C	0.000	0.000
YKR095W	0.000	0.000
YKR096W	0.000	0.000
YKR097W	0.000	0.000
YKR098C	0.000	0.000
YKR099W	0.000	0.000
YKR100C	0.000	0.000
YKR101W	0.000	0.000
YKR102W	0.000	0.000
YKR103W	0.000	0.000
YKR104W	0.000	0.000
YKR105C	0.000	0.000
YKR106W	0.000	0.000
YLL001W	0.000	0.000
YLL002W	0.000	0.000
YLL005C	0.000	0.000
YLL006W	0.000	0.000
YLL007C	0.000	0.000
YLL009C	0.000	0.000
YLL010C	0.000	0.000
YLL012W	0.000	0.000
YLL013C	0.000	0.000
YLL014W	0.000	0.000
YLL015W	0.000	0.000
YLL016W	0.000	0.000
YLL017W	0.000	0.000
YLL018C-A	0.000	0.000
YLL019C	0.000	0.000
YLL020C	0.000	0.000
YLL021W	0.000	0.000
YLL023C	0.000	0.000
YLL024C	0.000	0.000
YLL025W	0.000	0.000
YLL026W	0.000	0.000
YLL027W	0.000	0.000
YLL028W	0.000	0.000
YLL029W	0.000	0.000
YLL030C	0.000	0.000
YLL032C	0.000	0.000
YLL033W	0.000	0.000
YLL038C	0.000	0.000
YLL039C	0.000	0.000
YLL040C	0.000	0.000
YLL041C	0.000	0.000
YLL042C	0.000	0.000
YLL043W	0.000	0.000
YLL044W	0.000	0.000
YLL045C	0.000	0.000
YLL046C	0.000	0.000
YLL047W	0.000	0.000
YLL048C	0.000	0.000
YLL049W	0.000	0.000
YLL051C	0.000	0.000
YLL052C	0.000	0.000
YLL053C	0.000	0.000
YLL054C	0.000	0.000
YLL055W	0.000	0.000
YLL056C	0.000	0.000
YLL057C	0.000	0.000
YLL058W	0.000	0.000
YLL059C	0.000	0.000
YLL060C	0.000	0.000
YLL061W	0.000	0.000
YLL062C	0.000	0.000
YLL063C	0.000	0.000
YLR001C	0.000	0.000
YLR003C	0.000	0.000
YLR004C	0.000	0.000
YLR006C	0.000	0.000
YLR011W	0.000	0.000
YLR012C	0.000	0.000
YLR013W	0.000	0.000
YLR014C	0.000	0.000
YLR015W	0.000	0.000
YLR016C	0.000	0.000
YLR017W	0.000	0.000
