ORF	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YGL023C	-8.562
YEL062W	0.719
YGL024W	13.834
YEL063C	-0.741
YGL025C	9.720
YEL064C	-9.994
YGL026C	0.635
YEL065W	-14.432
YGL027C	12.697
YEL066W	-30.355
YGL028C	10.422
YEL067C	3.645
YDR363W	-29.252
YDR231C	1.452
YDR364C	0.000
YDR233C	14.368
YDR368W	-19.361
YDR234W	-14.223
YDR369C	24.323
YDR237W	0.000
YDR370C	3.346
YDR239C	17.977
YDR371W	-6.161
YDR241W	8.077
YDR372C	109.710
YDR244W	-1.134
YDR374C	-16.089
YDR245W	40.233
YDR375C	-7.286
YDR247W	-15.007
YDR377W	-9.488
YDR248C	-15.822
YDR378C	2.531
YDR249C	-2.777
YDR379W	7.389
YDR250C	4.326
YER087C-A	-20.504
YEL042W	50.021
YGL002W	-5.178
YEL043W	7.965
YGL003C	16.137
YEL044W	5.212
YGL004C	-6.372
YEL045C	25.713
YGL005C	38.367
YEL046C	0.000
YGL006W	-10.318
YEL047C	0.396
YGL007W	-1.093
YEL048C	19.620
YGL009C	-8.323
YEL049W	-10.991
YGL010W	-0.839
YEL050C	-0.610
YGL012W	14.789
YEL051W	0.000
YGL013C	-46.419
YEL052W	-0.180
YGL014W	35.937
YEL053C	10.843
YDR346C	13.193
YDR217C	10.408
YDR347W	0.000
YDR218C	6.477
YDR348C	18.510
YDR219C	39.447
YDR349C	33.564
YDR220C	34.379
YDR350C	-5.926
YDR221W	31.289
YDR351W	10.310
YDR222W	22.035
YDR352W	28.129
YDR223W	31.514
YDR354W	27.315
YDR225W	5.199
YDR357C	4.356
YDR226W	0.000
YDR358W	-7.158
YDR227W	8.906
YDR359C	48.181
YDR229W	-0.404
YDR360W	-1.008
YDR230W	-4.079
YER072W	4.639
YEL027W	0.000
YER073W	-0.306
YEL028W	-8.029
YER074W	2.165
YEL029C	-5.688
YER075C	24.675
YEL030W	36.007
YER079W	7.951
YEL031W	22.807
YER080W	1.253
YEL033W	-0.882
YER081W	-4.996
YEL036C	0.000
YER083C	0.000
YEL037C	6.322
YER084W	12.613
YEL038W	-8.661
YER085C	-16.019
YEL039C	-7.411
YER086W	67.180
YEL040W	-21.523
YER087W	22.764
YEL041W	16.670
YDR329C	8.594
YDR199W	1.197
YDR330W	1.983
YDR200C	-11.427
YDR332W	0.000
YDR203W	6.743
YDR333C	24.310
YDR204W	0.000
YDR334W	33.030
YDR206W	11.110
YDR335W	15.674
YDR207C	58.488
YDR336W	28.874
YDR209C	24.072
YDR337W	0.000
YDR210W	27.638
YDR338C	9.720
YDR213W	11.588
YDR340W	3.415
YDR214W	15.899
YDR344C	17.233
YDR215C	21.516
YDR345C	11.167
YDR216W	11.669
YER060W-A	13.521
YEL009C	2.643
YER061C	-3.550
YEL010W	7.797
YER062C	-7.103
YEL013W	21.880
YER065C	19.269
YEL014C	48.350
YER066C-A	5.367
YEL015W	3.767
YER067W	-8.913
YEL016C	-0.783
YER067C-A	-9.573
YEL017C-A	7.235
YER068W	17.456
YEL017W	-15.990
YER068C-A	21.783
YEL020C	3.078
YER069W	-1.149
YEL023C	12.515
YER070W	0.000
YEL024W	6.314
YER071C	21.586
YEL025C	30.522
YDR312W	-32.866
YDR181C	-4.055
YDR313C	-21.720
YDR183W	-9.896
YDR314C	9.678
YDR184C	10.408
YDR315C	-43.092
YDR185C	10.493
YDR316W	61.859
YDR186C	-21.776
YDR317W	-6.961
YDR191W	-17.620
YDR318W	-10.318
YDR192C	0.481
YDR319C	-14.895
YDR193W	-2.468
YDR320C	-1.105
YDR194C	0.000
YDR321W	-0.769
YDR195W	-2.580
YDR322W	-14.188
YDR197W	0.000
YDR323C	0.000
YDR198C	-17.376
YIL065C	-17.866
YHR108W	-90.712
YIL072W	-63.274
YHR109W	-83.410
YIL073C	-85.056
YHR110W	-78.544
YIL076W	-34.611
YHR111W	-22.279
YIL077C	-5.689
YHR112C	-16.392
YIL079C	-7.491
YHR113W	-24.320
YIL084C	15.073
YHR114W	-37.200
YIL086C	-47.321
YHR115C	-50.087
YIL087C	60.858
YHR116W	0.000
YIL088C	-0.066
YHR117W	-17.496
YIL090W	9.900
YHR120W	0.000
YIL093C	13.352
YHR121W	34.819
YGR212W	-20.599
YGR064W	9.842
YGR213C	-30.990
YGR066C	-29.502
YGR214W	27.121
YGR069W	4.202
YGR215W	7.237
YGR070W	27.255
YGR217W	25.498
YGR071C	48.802
YHL047C	27.156
YGR072W	32.605
YHL046C	28.160
YGR076C	0.000
YHL045W	-36.598
YGR077C	19.340
YHL044W	23.450
YGR078C	34.596
YHL043W	47.316
YGR079W	-21.615
YHL042W	-24.124
YGR080W	-10.550
YHL041W	36.063
YGR081C	6.339
YIL037C	8.565
YHR086W	39.279
YIL039W	-1.022
YHR087W	12.577
YIL040W	-6.883
YHR092C	10.512
YIL041W	27.117
YHR093W	13.685
YIL043C	5.429
YHR094C	46.418
YIL044C	4.775
YHR095W	33.871
YIL045W	16.720
YHR096C	-3.593
YIL049W	-15.007
YHR097C	-7.890
YIL050W	-42.784
YHR103W	21.160
YIL053W	30.403
YHR104W	-13.732
YIL057C	21.206
YHR105W	-26.443
YIL064W	-2.783
YHR106W	46.334
YGR194C	-14.835
YGR042W	1.245
YGR196C	12.992
YGR043C	6.427
YGR197C	-11.322
YGR044C	-2.885
YGR199W	6.619
YGR045C	-33.089
YGR200C	7.833
YGR049W	26.032
YGR202C	17.820
YGR051C	33.826
YGR203W	31.007
YGR052W	2.228
YGR205W	-9.711
YGR054W	-19.479
YGR206W	12.839
YGR057C	-3.045
YGR207C	22.736
YGR058W	-2.532
YGR208W	19.839
YGR059W	39.668
YGR209C	26.223
YGR062C	-16.910
YIL017C	4.977
YHR060W	0.000
YIL020C	9.375
YHR061C	22.408
YIL023C	-34.043
YHR066W	-38.430
YIL024C	7.191
YHR073W	15.606
YIL025C	31.147
YHR075C	-64.668
YIL027C	-3.541
YHR076W	12.704
YIL028W	-30.269
YHR077C	-25.605
YIL029C	5.282
YHR078W	-47.741
YIL032C	-19.661
YHR079C	-23.504
YIL034C	31.787
YHR080C	-16.891
YIL035C	32.699
YHR081W	35.637
YIL036W	14.913
YHR082C	-22.225
YGR176W	-12.046
YGR021W	24.664
YGR177C	-38.009
YGR023W	11.268
YGR178C	0.627
YGR026W	-7.728
YGR180C	0.000
YGR027C	12.587
YGR181W	-27.507
YGR031W	-2.474
YGR182C	-44.421
YGR033C	-13.931
YGR183C	-1.020
YGR034W	-8.469
YGR184C	-19.586
YGR035C	-49.388
YGR187C	18.438
YGR036C	54.414
YGR189C	27.794
YGR037C	-9.909
YGR192C	33.622
YGR039W	-35.056
YGR193C	26.514
YGR041W	21.400
YHR207C	-1.223
YHR037W	4.243
YHR209W	3.503
YHR038W	0.000
YHR210C	3.139
YHR039C	-19.479
YIL001W	16.540
YHR043C	-11.918
YIL002C	-3.270
YHR044C	-70.246
YIL005W	8.556
YHR046C	4.244
YIL011W	21.772
YHR047C	0.141
YIL012W	-12.299
YHR048W	7.062
YIL013C	17.469
YHR049W	32.882
YIL014W	13.010
YHR049C-A	-2.624
YIL015W	2.168
YHR050W	12.752
YIL016W	48.233
YHR057C	13.254
YGR161C	12.781
YGR004W	15.091
YGR163W	18.101
YGR006W	0.000
YGR164W	-7.468
YGR007W	-28.611
YGR165W	0.000
YGR008C	-15.022
YGR166W	35.716
YGR010W	7.552
YGR167W	0.000
YGR012W	21.037
YGR168C	-1.260
YGR014W	27.630
YGR169C	29.964
YGR015C	-18.651
YGR170W	22.232
YGR016W	36.717
YGR171C	3.469
YGR017W	48.542
YGR173W	24.892
YGR019W	33.328
YGR174C	-9.537
YGR020C	17.727
YHR182W	0.956
YHR014W	-36.423
YHR183W	77.935
YHR015W	1.601
YHR184W	24.259
YHR018C	17.443
YHR189W	15.535
YHR021C	55.247
YHR195W	15.060
YHR022C	-64.744
YHR198C	28.968
YHR028C	-54.752
YHR199C	1.056
YHR029C	14.320
YHR200W	8.912
YHR030C	8.954
YHR202W	8.131
YHR031C	-41.963
YHR203C	56.382
YHR033W	-8.538
YHR204W	-16.657
YHR034C	37.388
YHR206W	8.040
YHR035W	46.514
YGR144W	-5.368
YGL254W	18.822
YGR146C	-32.336
YGL255W	15.843
YGR148C	36.399
YGL256W	8.163
YGR149W	-7.177
YGL257C	21.341
YGR150C	0.000
YGL258W	12.148
YGR151C	-0.112
YGL259W	12.695
YGR152C	-29.103
YGL260W	-24.455
YGR153W	0.888
YGL261C	-10.311
YGR154C	0.200
YGL262W	2.337
YGR157W	11.202
YGL263W	10.020
YGR159C	46.826
YGR001C	7.648
YGR160W	56.042
YGR003W	12.574
YHR156C	3.808
YHL010C	-30.801
YHR157W	12.479
YHL009C	-9.617
YHR158C	-35.664
YHL008C	0.863
YHR159W	1.418
YHL007C	-28.991
YHR160C	-53.499
YHL006C	-30.951
YHR161C	-34.866
YHL005C	-3.655
YHR163W	-18.060
YHL003C	2.939
YHR167W	-21.489
YHR001W-A	-54.627
YHR176W	3.002
YHR010W	20.637
YHR177W	-22.442
YHR011W	0.000
YHR178W	-39.801
YHR012W	-23.413
YHR179W	31.694
YHR013C	19.972
YGR130C	-1.360
YGL240W	0.000
YGR131W	11.037
YGL241W	-32.309
YGR132C	21.004
YGL242C	-38.381
YGR133W	9.951
YGL243W	3.821
YGR135W	19.436
YGL244W	30.908
YGR136W	-5.321
YGL246C	0.000
YGR137W	-20.312
YGL248W	-8.122
YGR138C	-16.366
YGL249W	-14.156
YGR139W	10.836
YGL250W	14.144
YGR141W	6.550
YGL251C	-13.283
YGR142W	-7.389
YGL252C	-4.699
YGR143W	15.354
YGL253W	2.926
YHR138C	39.702
YHL027W	35.557
YHR139C	-1.664
YHL026C	-25.480
YHR139C-A	7.720
YHL023C	-31.289
YHR142W	17.286
YHL022C	22.459
YHR143W	8.868
YHL021C	10.569
YHR147C	0.000
YHL020C	4.598
YHR150W	7.324
YHL019C	-6.223
YHR151C	-21.071
YHL017W	-18.376
YHR152W	-2.129
YHL016C	1.041
YHR153C	-5.419
YHL014C	5.716
YHR154W	-3.438
YHL013C	-12.840
YHR155W	4.523
YHL012W	-18.174
YGR108W	2.135
YGL224C	11.061
YGR109C	9.285
YGL226C-A	-1.352
YGR111W	-43.798
YGL226W	-16.728
YGR112W	-6.049
YGL227W	3.532
YGR118W	-15.190
YGL228W	-2.661
YGR121C	-22.423
YGL229C	-4.096
YGR123C	13.193
YGL230C	9.324
YGR124W	-19.290
YGL231C	3.341
YGR125W	-4.601
YGL232W	6.112
YGR126W	-21.093
YGL234W	-0.864
YGR127W	7.762
YGL236C	-0.893
YGR129W	1.145
YGL237C	1.833
YHR123W	21.642
YHL040C	18.986
YHR124W	-3.789
YHL038C	0.000
YHR125W	-33.055
YHL037C	-30.041
YHR126C	-45.445
YHL036W	-22.166
YHR129C	13.172
YHL035C	-9.555
YHR130C	-1.061
YHL034C	-11.496
YHR132C	0.311
YHL033C	-17.094
YHR133C	-11.010
YHL032C	-14.857
YHR134W	14.083
YHL031C	7.066
YHR135C	20.714
YHL030W	31.259
YHR136C	-3.808
YHL029C	-33.994
YHR137W	28.653
YHL028W	17.693
YGR084C	44.679
YGL208W	-32.074
YGR085C	-16.756
YGL209W	-19.979
YGR087C	-46.110
YGL210W	-5.173
YGR088W	-18.465
YGL211W	26.022
YGR096W	-10.580
YGL212W	-13.100
YGR097W	-3.225
YGL213C	-29.760
YGR100W	-8.139
YGL215W	29.723
YGR101W	-6.479
YGL216W	-5.431
YGR102C	0.000
YGL220W	0.000
YGR104C	48.797
YGL221C	12.164
YGR105W	0.000
YGL222C	28.586
YGR107W	-1.407
YGL223C	2.931
YLR087C	-45.562
YLL006W	-39.854
YLR089C	-50.309
YLL009C	-47.204
YLR090W	-59.104
YLL010C	-10.890
YLR091W	-8.038
YLL012W	35.633
YLR092W	-3.295
YLL013C	-3.364
YLR093C	-31.478
YLL014W	6.868
YLR094C	12.578
YLL015W	-7.475
YLR095C	15.205
YLL016W	31.422
YLR096W	18.004
YLL017W	27.837
YLR097C	14.245
YLL019C	-9.023
YLR098C	8.535
YLL020C	38.552
YLR099C	25.980
YLL021W	21.180
YKL148C	-18.141
YKL015W	-5.546
