orf	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YDL175C	-5.5803
YDL176W	-18.635
YDL177C	14.968
YDL178W	21.217
YDL179W	26.972
YDL180W	10.268
YDL181W	49.372
YDL182W	11.1668
YDL183C	-2.583
YDL184C	-24.56
YDL186W	-22.328
YDL187C	-17.016
YDL188C	-8.538
YDL189W	-1.3534
YDL190C	21.495
YDL191W	18.534
YDL192W	3.779
YDL194W	14.79
YDL197C	8.7117
YDL198C	0.0
YDL199C	2.3186
YDL200C	4.6425
YDL201W	40.686
YDL203C	26.106
YDL204W	8.8655
YDL206W	11.9595
YDL210W	-31.917
YDL211C	-35.782
YDL213C	0.46929
YDL214C	-3.1574
YDL215C	15.04
YDL216C	8.4026
YDL218W	-37.549
YDL219W	27.206
YDL222C	24.329
YDL223C	52.597
YDL224C	-4.05045
YDL225W	39.5375
YDL226C	5.9969
YDL227C	-3.5285
YDL229W	-5.6845
YDL230W	-40.939
YDL231C	-22.587
YDL232W	12.081
YDL233W	23.373
YDL234C	8.5573
YDL236W	30.328
YDL237W	42.29
YDL238C	14.3945
YDL239C	7.736
YDL240W	-54.574
YDL241W	-25.784
YDL242W	-12.869
YDL243C	52.473
YDR001C	-39.779
YDR003W	6.1413
YDR004W	6.2635
YDR005C	20.948
YDR006C	-58.705
YDR007W	27.072
YDR008C	10.322
YDR009W	8.3465
YDR010C	-3.405333333333333
YDR011W	-8.285
YDR014W	21.688
YDR015C	16.859
YDR017C	27.224
YDR018C	12.78
YDR019C	15.08
YDR020C	10.982
YDR022C	35.56
YDR024W	34.625
YDR025W	13.9087
YDR048C	-9.4514
YDR049W	30.741
YDR051C	35.76
YDR055W	29.149
YDR056C	-25.363
YDR057W	-6.942769
YDR058C	26.013
YDR059C	9.1022
YDR061W	4.8877
YDR063W	-9.4763
YDR065W	3.4000999999999997
YDR066C	-0.58849
YDR067C	8.9505
YDR068W	-33.242
YDR069C	0.0
YDR070C	6.979
YDR071C	11.178
YDR072C	74.568
YDR073W	5.9118
YDR074W	-1.2377
YDR075W	13.523
YDR076W	41.812999999999995
YDR077W	22.588
YDR078C	0.0
YDR079W	0.0
YDR080W	0.28159
YDR083W	3.8911
YDR084C	36.404
YDR085C	12.317
YDR089W	-15.411
YDR090C	5.4191
YDR092W	-28.117
YDR093W	18.263
YDR094W	9.76275
YDR095C	1.0623
YDR096W	7.5469
YDR097C	3.0665
YDR098C	-33.549
YDR099W	-47.597
YDR100W	-20.535
YDR101C	2.8529
YDR102C	-20.651
YDR103W	-26.767
YDR104C	-15.423
YDR105C	-10.648
YDR107C	7.9404699999999995
YDR108W	-11.619
YDR109C	11.362
YDR110W	12.711
YDR111C	-32.847
YDR112W	6.2229
YDR114C	0.0
YDR115W	0.0
YDR116C	8.4237
YDR117C	9.802
YDR119W	-3.7188
YDR120C	-10.811
YDR121W	13.543500000000002
YDR122W	-32.88
YDR123C	2.8098
YDR124W	-44.044
YDR125C	-13.593
YDR126W	-6.8848
YDR127W	12.83
YDR128W	-20.814
YDR129C	41.358
YDR130C	-9.2448
YDR131C	-23.123
YDR132C	-47.424
YDR133C	12.2276
YDR135C	-26.565
YDR136C	17.878
YDR137W	38.206
YDR139C	-22.971
YDR140W	32.581
YDR142C	-25.689
YDR143C	-23.304
YDR144C	-7.9022
YDR146C	4.9688
YDR147W	-8.7521
YDR148C	0.024933333333333252
YDR149C	41.974
YDR150W	4.5908
YDR151C	28.142
YDR152W	14.999
YDR153C	-13.841
YDR154C	-27.835
YDR155C	1.9806
YDR156W	-8.7454
YDR157W	20.26
YDR158W	10.688
YDR159W	54.012
YDR161W	-52.634
YDR162C	32.488
YDR163W	-42.35
YDR165W	52.066
YDR169C	52.649
YDR171W	17.636
YDR173C	75.306
YDR174W	27.822
YDR175C	0.0
YDR176W	36.892
YDR178W	4.8542
YDR179C	-21.118
YDR179W-A	-63.726
YDR181C	-4.0548
YDR183W	-9.8961
YDR184C	10.408
YDR185C	10.493
YDR186C	-21.776
YDR191W	-17.62
YDR192C	0.48134
YDR193W	-2.4676
YDR194C	0.0
YDR195W	-2.5804
YDR197W	0.0
YDR198C	-17.376
YDR199W	1.1968
YDR200C	-11.427
YDR202C	19.338915
YDR203W	6.7431
YDR204W	0.0
YDR205W	13.389
YDR206W	11.11
YDR207C	58.488
YDR209C	24.072
YDR210W	27.638
YDR213W	11.588
YDR214W	15.899
YDR215C	21.516
YDR216W	11.669
YDR217C	10.408
YDR218C	6.4766
YDR219C	39.447
YDR220C	34.379
YDR221W	31.289
YDR222W	22.035
YDR223W	31.514
YDR225W	5.1987
YDR226W	0.0
YDR227W	8.9059
YDR229W	-0.40374
YDR230W	-4.079373333333334
YDR231C	1.4523
YDR233C	14.368
YDR234W	-14.223
YDR237W	0.0
YDR239C	17.977
YDR241W	8.0771
YDR242W	2.4825
YDR244W	-1.1338
YDR245W	40.233
YDR247W	-15.007
YDR248C	-15.822
YDR249C	-2.7771
YDR250C	4.32637
YDR251W	12.992
YDR252W	43.618
YDR253C	8.7793
YDR254W	4.9464
YDR255C	-22.773
YDR256C	-8.3105
YDR257C	22.26
YDR258C	-15.331
YDR259C	-4.4055
YDR260C	5.2129
YDR261C	4.1601
YDR262W	31.5265
YDR263C	-8.422
YDR264C	-4.2936
YDR265W	-25.933
YDR266C	-24.753
YDR268W	-5.7415
YDR270W	-29.907
YDR272W	-25.427
YDR273W	-32.434
YDR274C	-24.725
YDR275W	-26.003
YDR276C	2.3339
YDR277C	56.75695
YDR278C	-79.419
YDR279W	-34.667
YDR281C	-2.1455
YDR282C	-57.626
YDR283C	0.0
YDR284C	-29.176
YDR285W	25.896
YDR286C	-5.1923
YDR287W	-12.143
YDR289C	-1.9071
YDR291W	18.005
YDR293C	0.82635
YDR294C	-50.647
YDR295C	0.0
YDR296W	22.5755
YDR297W	-4.6309
YDR298C	7.1205
YDR300C	17.0555
YDR304C	24.942
YDR305C	26.669
YDR306C	-0.31992
YDR307W	-38.304
YDR309C	30.208
YDR310C	9.3929
YDR312W	-32.866
YDR313C	-21.72
YDR314C	9.6785
YDR315C	-43.092
YDR316W	61.859
YDR317W	-6.9614
YDR318W	-10.318
YDR319C	-14.895
YDR320C	-1.1054
YDR321W	-0.76917
YDR322W	-14.1875
YDR323C	0.0
YDR326C	45.161
YDR329C	8.5936
YDR330W	1.9827
YDR332W	0.0
YDR333C	24.31
YDR334W	33.03
YDR335W	15.674
YDR336W	28.874
YDR337W	0.0
YDR338C	9.7204
YDR340W	3.4152
YDR344C	17.233
YDR345C	11.167
YDR346C	13.19275
YDR347W	0.0
YDR348C	18.51
YDR349C	33.564
YDR350C	-5.9255
YDR351W	10.31
YDR352W	28.129
YDR354W	27.315
YDR357C	4.3562
YDR358W	-7.1582
YDR359C	48.181
YDR360W	-1.008
YDR363W	-29.2516
YDR363W-A	23.151
YDR364C	0.0
YDR368W	-19.361
YDR369C	24.323
YDR370C	3.3457
YDR371W	-6.1613
YDR372C	109.71
YDR374C	-16.089
YDR375C	-7.286
YDR377W	-9.488
YDR378C	2.531
YDR379W	7.3895
YDR380W	-6.9186
YDR382W	19.183
YDR383C	-4.1674
YDR384C	-1.5552
YDR385W	17.036
YDR386W	-4.1118
YDR387C	-2.1306
YDR388W	25.911
YDR389W	7.6004
YDR391C	32.974
