orf	hap a (post-SGA) | growth (colony size) | expression of yEVenus [prHSC82, 2u plasmid] | SC(MSG) - Leu | Farkas Z~Pal C, 2018
YDR107C	0.009015188
YDR108W	-0.004192949
YDR109C	0.031933137
YDR110W	-0.000562536
YDR111C	0.0118382
YDR112W	-0.046999952
YDR114C	-0.00277223
YDR115W	-0.005369091
YDR116C	-0.008669947
YDR117C	-0.007366972
YDR119W	-0.011991996
YDR120C	0.003308515
YDR121W	1.15e-05
YDR122W	0.016774348
YDR123C	0.015251114
YDR124W	0.011406545
YDR125C	0.012470556
YDR126W	-0.044247732
YDR127W	0.010481877
YDR128W	0.035182515
YDR129C	-0.011347923
YDR130C	0.009482236
YDR131C	-0.005890498
YDR132C	0.008813082
YDR133C	-0.00846712
YDR135C	0.005932691
YDR136C	-0.050532888
YDR137W	0.022275563
YDR138W	-0.1864531
YDR139C	0.016200866
YDR140W	-0.027073225
YDR142C	-0.009614571
YDR143C	-0.00801629
YDR144C	-0.002111851
YDR146C	0.006837561
YDR147W	-0.001657057
YDR148C	-0.058973859
YDR149C	0.019320478
YDR150W	-0.014447777
YDR151C	-0.017317821
YDR152W	-0.014091691
YDR153C	-0.055086374
YDR154C	-0.003875999
YDR155C	-0.018906278
YDR156W	-0.020082139
YDR157W	0.01060164
YDR158W	0.047959965
YDR159W	0.003394512
YDR161W	-0.034497716
YDR162C	-0.056428059
YDR163W	-0.054779908
YDR165W	0.006750611
YDR169C	-0.030870004
YDR169C-A	-0.000559095
YDR171W	0.002438497
YDR173C	0.003539353
YDR174W	-0.03211708
YDR175C	0.00695312
YDR176W	-0.006316692
YDR178W	-0.010268353
YDR179C	-0.014525237
YDR179W-A	-0.000759693
YDR181C	0.002752069
YDR182W-A	-0.00098961
YDR183W	0.003002273
YDR184C	-0.014144051
YDR185C	0.007954738
YDR186C	0.02043877
YDR191W	0.009394317
YDR192C	-0.013246943
YDR193W	-0.005040671
YDR194C	-0.004999787
YDR194W-A	-0.032665468
YDR195W	-0.057215359
YDR197W	-0.012064812
YDR198C	-0.005687338
YDR199W	0.00609969
YDR200C	-0.161048266
YDR202C	0.004228351
YDR203W	0.01289813
YDR204W	-0.031217008
YDR205W	0.003429428
YDR206W	0.006522897
YDR207C	-0.103357018
YDR209C	-0.019197042
YDR210W	0.003998471
YDR213W	0.007076266
YDR214W	0.007072049
YDR215C	-0.001310003
YDR216W	-0.013537997
YDR217C	-0.028396599
YDR218C	-0.018196681
YDR219C	-0.00737548
YDR220C	-0.037013907
YDR221W	-0.003067724
YDR222W	0.010635095
YDR223W	0.008057748
YDR225W	-0.007373759
YDR226W	-0.024935602
YDR227W	
YDR229W	0.000539521
YDR230W	-0.017974924
YDR231C	-0.009413693
YDR233C	-0.005615139
YDR234W	
YDR237W	0.019049075
YDR239C	
YDR241W	-0.08388726
YDR242W	-0.013135217
YDR244W	-0.028277584
YDR245W	0.030114728
YDR246W-A	-0.024428191
YDR247W	-0.008387063
YDR248C	0.011509408
YDR249C	0.003059944
YDR250C	0.030636076
YDR251W	0.003028988
YDR252W	0.009434139
YDR253C	-0.000466415
YDR254W	0.003594521
YDR255C	0.008545279
YDR256C	-0.030771824
YDR257C	-0.029967355
YDR258C	-0.020993702
YDR259C	-0.036386295
YDR260C	-0.017915031
YDR261C	0.008125808
YDR262W	-0.023690669
YDR263C	-0.005771945
YDR264C	-0.013439856
YDR265W	-0.042174767
YDR266C	0.004292014
YDR268W	0.036434798
YDR269C	-0.01024038
YDR270W	0.012262915
YDR271C	0.012283726
YDR272W	-0.012173327
YDR273W	0.038922409
YDR274C	-0.011059979
YDR275W	0.013285542
YDR276C	0.028498639
YDR277C	-0.007200447
YDR278C	-0.004296655
YDR279W	-0.014092926
YDR281C	-0.028538774
YDR282C	0.024884531
YDR283C	0.000720495
YDR284C	0.019926996
YDR285W	0.009129334
YDR286C	-0.004773379
YDR287W	0.002902761
YDR289C	-0.020953944
YDR290W	0.017265718
YDR291W	-0.029001499
YDR293C	0.023103231
YDR294C	0.001100993
YDR295C	0.014296869
YDR296W	0.034902084
YDR297W	-0.020435109
YDR298C	-0.035553713
YDR300C	0.024419775
YDR304C	-0.00669347
YDR305C	0.007794747
YDR306C	-0.00279801
YDR307W	-0.014138664
YDR309C	-0.000401287
YDR310C	0.001812517
YDR312W	-0.016017127
YDR313C	0.011547813
YDR314C	-0.026203417
YDR315C	-0.022642937
YDR316W	-0.002284424
YDR317W	-0.003465939
YDR318W	-0.02242237
YDR319C	-0.016743587
YDR320C	-0.009200724
YDR321W	0.016794954
YDR322C-A	-0.040028375
YDR322W	0.005224832
YDR323C	-0.008575248
YDR326C	-0.000199176
YDR329C	-0.016347263
YDR330W	-0.026733666
YDR332W	0.015940158
YDR333C	0.039918012
YDR334W	-0.022442699
YDR335W	-0.005458112
YDR336W	0.019715062
YDR337W	-0.024359519
YDR338C	0.017603522
YDR340W	-0.002612957
YDR344C	0.020176368
YDR345C	0.011344602
YDR346C	0.032490169
YDR347W	-0.036610255
YDR348C	-0.003317885
YDR349C	0.019428899
YDR350C	-0.022878474
YDR351W	-0.000393799
YDR352W	-0.001057044
YDR354W	0.012939058
YDR357C	0.002970217
YDR358W	0.014274486
YDR359C	0.013327809
YDR360W	0.001396262
YDR363W	0.043350664
YDR363W-A	-0.007285701
YDR364C	-0.080709385
YDR368W	0.035840203
YDR369C	-0.018730545
YDR370C	-0.010404224
YDR371W	-0.012803335
YDR372C	0.004860601
YDR374C	0.01338446
YDR375C	0.027111448
YDR377W	0.005214403
YDR378C	0.008627684
YDR379C-A	-0.002775092
YDR379W	0.011244358
YDR380W	0.030395469
YDR382W	-0.031210481
YDR383C	0.004847403
YDR384C	0.033035964
YDR385W	-0.014232602
YDR386W	-0.023431585
YDR387C	0.013468727
YDR388W	0.053151002
YDR389W	0.004927695
YDR391C	0.011311106
YDR392W	0.02294823
YDR393W	0.007761139
YDR395W	0.015341845
YDR399W	-0.011230641
YDR400W	0.050361002
YDR401W	-0.005536783
YDR402C	-0.017207252
YDR403W	0.012954102
YDR405W	0.015736469
YDR406W	0.001011528
YDR408C	-0.00780832
YDR409W	-0.014505235
YDR410C	
YDR411C	0.009217461
YDR414C	0.017723822
YDR415C	-0.002857437
YDR417C	-0.063054162
YDR418W	-0.092496745
