ORF	hom | growth (culture turbidity) | chitosan [25 g/ml, time 5 hour exposure] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 g/ml, time 5 hour exposure] | Zakrzewska A~Klis FM, 2007	hom | growth (culture turbidity) | chitosan [25 g/ml, time 9 hour exposure] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 g/ml, time 9 hour exposure] | Zakrzewska A~Klis FM, 2007
YGL040C	NaN	-0.038	NaN	0.019
YGL042C	0.125	NaN	-0.183	NaN
YGL043W	-0.089	NaN	-0.055	NaN
YGL044C	NaN	0.001	NaN	0.169
YGL045W	0.946	NaN	1.709	NaN
YGL046W	0.898	NaN	1.428	NaN
YGL047W	NaN	0.677	NaN	0.593
YGL048C	NaN	0.260	NaN	-0.424
YGL049C	0.112	NaN	0.027	NaN
YGL050W	0.090	NaN	0.023	NaN
YGL051W	-0.031	NaN	-0.127	NaN
YGL053W	0.039	NaN	0.136	NaN
YGL054C	-0.254	NaN	-0.390	NaN
YGL055W	NaN	0.593	NaN	0.006
YGL056C	-0.046	NaN	-0.089	NaN
YGL057C	0.125	NaN	-0.108	NaN
YGL058W	NaN	NaN	7.926	NaN
YGL059W	0.108	NaN	0.019	NaN
YGL060W	0.500	NaN	0.795	NaN
YGL061C	NaN	0.074	NaN	0.107
YGL062W	0.385	NaN	0.538	NaN
YGL063W	0.018	NaN	-0.477	NaN
YGL064C	0.190	NaN	-0.178	NaN
YGL065C	NaN	-0.084	NaN	0.045
YGL066W	0.101	NaN	0.458	NaN
YGL067W	0.041	NaN	0.050	NaN
YGL068W	NaN	0.438	NaN	-0.058
YGL069C	NaN	0.193	NaN	0.036
YGL070C	NaN	NaN	0.901	NaN
YGL071W	0.182	NaN	0.209	NaN
YGL072C	0.432	NaN	-0.104	NaN
YGL073W	NaN	0.014	NaN	0.007
YGL074C	NaN	-0.034	NaN	0.094
YGL075C	NaN	0.175	NaN	-0.089
YGL076C	-0.587	NaN	-1.016	NaN
YGL077C	0.519	NaN	0.596	NaN
YGL078C	-0.146	NaN	-1.112	NaN
YGL079W	0.180	NaN	0.154	NaN
YGL080W	0.059	NaN	-0.010	NaN
YGL081W	0.215	NaN	0.039	NaN
YGL082W	0.067	NaN	0.067	NaN
YGL083W	-0.077	NaN	-0.112	NaN
YGL084C	6.466	NaN	4.102	NaN
YGL085W	-0.041	NaN	-0.182	NaN
YGL086W	0.254	NaN	0.237	NaN
YGL087C	0.326	NaN	0.300	NaN
YGL088W	0.382	NaN	0.134	NaN
YGL089C	0.342	NaN	-0.213	NaN
YGL090W	0.934	NaN	-0.139	NaN
YGL091C	NaN	0.149	NaN	-0.352
YGL092W	NaN	0.073	NaN	-0.248
YGL093W	NaN	0.073	NaN	-0.143
YGL094C	-0.234	NaN	0.098	NaN
YGL095C	0.816	NaN	2.508	NaN
YGL096W	-0.064	NaN	0.042	NaN
YGL097W	NaN	0.327	NaN	0.014
YGL098W	NaN	0.118	NaN	-0.080
YGL099W	NaN	0.328	NaN	0.114
YGL101W	0.140	NaN	-0.113	NaN
YGL102C	NaN	0.860	NaN	-0.543
YGL103W	NaN	0.207	NaN	-0.154
YGL104C	0.126	NaN	-0.145	NaN
YGL105W	-0.363	NaN	NaN	NaN
YGL107C	0.099	NaN	-0.063	NaN
YGL108C	-0.029	NaN	-0.091	NaN
YGL109W	-0.083	NaN	-0.018	NaN
YGL110C	-0.023	NaN	-0.075	NaN
YGL111W	NaN	-0.152	NaN	-0.402
YGL112C	NaN	-0.125	NaN	-0.161
YGL113W	NaN	0.388	NaN	0.323
YGL114W	0.019	NaN	0.063	NaN
YGL115W	1.380	NaN	NaN	NaN
YGL117W	0.178	NaN	-0.133	NaN
YGL120C	NaN	0.156	NaN	-0.150
YGL121C	-0.278	NaN	0.037	NaN
YGL122C	NaN	0.198	NaN	-0.923
YGL123W	NaN	0.081	NaN	0.128
YGL124C	-0.162	NaN	-0.427	NaN
YGL125W	-0.015	NaN	-0.167	NaN
YGL126W	-0.163	NaN	-0.148	NaN
YGL127C	0.818	NaN	1.126	NaN
YGL128C	NaN	0.029	NaN	0.022
YGL129C	0.178	NaN	0.145	NaN
YGL130W	NaN	-0.250	NaN	-0.181
YGL131C	-0.133	NaN	0.047	NaN
YGL132W	-0.015	NaN	-0.165	NaN
YGL133W	0.219	NaN	0.367	NaN
YGL136C	0.000	NaN	-0.195	NaN
YGL137W	NaN	0.014	NaN	-0.238
YGL138C	-0.032	NaN	-0.005	NaN
YGL139W	-0.120	NaN	-0.013	NaN
YGL140C	0.033	NaN	0.204	NaN
YGL141W	-0.135	NaN	0.218	NaN
YGL142C	NaN	0.070	NaN	-0.365
YGL143C	0.341	NaN	-0.026	NaN
YGL144C	0.341	NaN	0.267	NaN
YGL145W	NaN	0.305	NaN	0.068
YGL146C	0.117	NaN	-0.020	NaN
YGL147C	-0.413	NaN	-0.517	NaN
YGL148W	0.817	NaN	-0.912	NaN
YGL149W	-0.109	NaN	-0.143	NaN
YGL150C	NaN	0.029	NaN	-0.437
YGL151W	-0.303	NaN	-0.683	NaN
YGL152C	0.170	NaN	0.232	NaN
YGL153W	0.103	NaN	0.313	NaN
YGL154C	-0.106	NaN	0.050	NaN
YGL155W	NaN	0.173	NaN	-0.432
YGL156W	0.047	NaN	-0.043	NaN
YGL157W	-0.066	NaN	-0.130	NaN
YGL158W	-0.001	NaN	-0.046	NaN
YGL159W	-0.088	NaN	0.016	NaN
YGL160W	-0.113	NaN	0.058	NaN
YGL161C	-0.124	NaN	-0.307	NaN
YGL162W	-0.045	NaN	-0.266	NaN
YGL163C	-0.306	NaN	-0.262	NaN
YGL164C	0.147	NaN	-0.020	NaN
YGL165C	-0.103	NaN	0.090	NaN
YGL166W	0.003	NaN	0.135	NaN
YGL167C	1.694	NaN	3.142	NaN
YGL168W	0.315	NaN	-0.199	NaN
YGL169W	NaN	0.300	NaN	-0.406
YGL170C	0.044	NaN	-0.001	NaN
YGL171W	NaN	0.287	NaN	0.191
YGL172W	NaN	0.042	NaN	-0.578
YGL175C	-0.012	NaN	-0.097	NaN
YGL176C	0.141	NaN	-0.118	NaN
YGL177W	-0.097	NaN	-0.253	NaN
YGL179C	-0.117	NaN	0.021	NaN
YGL180W	0.308	NaN	-0.143	NaN
YGL181W	-0.057	NaN	-0.179	NaN
YGL194C	-0.115	NaN	-0.341	NaN
YGL196W	-0.128	NaN	-0.306	NaN
YGL197W	-0.179	NaN	-0.193	NaN
YGL198W	-0.203	NaN	-0.334	NaN
YGL199C	-0.229	NaN	-0.559	NaN
YGL200C	0.422	NaN	0.037	NaN
YGL201C	NaN	0.014	NaN	-0.267
YGL202W	-0.098	NaN	-0.430	NaN
YGL203C	-0.646	NaN	-0.735	NaN
YGL205W	0.026	NaN	-0.159	NaN
YGL207W	NaN	0.319	NaN	-0.455
YGL208W	-0.132	NaN	0.119	NaN
YGL209W	-0.126	NaN	-0.256	NaN
YGL210W	-0.225	NaN	-0.312	NaN
YGL211W	0.335	NaN	-0.027	NaN
YGL212W	-0.492	NaN	-1.086	NaN
YGL213C	-0.177	NaN	-0.180	NaN
YGL214W	-0.133	NaN	-0.297	NaN
YGL215W	-0.071	NaN	0.251	NaN
YGL216W	-0.021	NaN	-0.111	NaN
YGL217C	-0.205	NaN	-0.098	NaN
YGL218W	0.188	NaN	-0.137	NaN
YGL219C	0.107	NaN	-0.029	NaN
YGL220W	1.633	NaN	NaN	NaN
YGL221C	-0.038	NaN	-0.040	NaN
YGL222C	-0.139	NaN	-0.164	NaN
YGL223C	1.722	NaN	0.079	NaN
YGL224C	-0.100	NaN	-0.232	NaN
YGL225W	NaN	0.376	NaN	-1.513
YGL226C-A	1.069	NaN	0.164	NaN
YGL226W	-0.068	NaN	0.126	NaN
YGL227W	0.079	NaN	-0.293	NaN
YGL228W	-0.214	NaN	-0.559	NaN
YGL229C	-0.107	NaN	-0.172	NaN
YGL230C	-0.198	NaN	-0.040	NaN
YGL231C	0.381	NaN	1.025	NaN
YGL232W	-0.126	NaN	-0.168	NaN
YGL233W	NaN	0.078	NaN	-0.248
YGL235W	-0.200	NaN	-0.259	NaN
YGL236C	0.779	NaN	0.041	NaN
YGL237C	1.313	NaN	-0.004	NaN
YGL238W	NaN	-0.893	NaN	0.280
YGL239C	NaN	0.092	NaN	-0.112
YGL240W	0.079	NaN	0.919	NaN
YGL241W	-0.214	NaN	-0.367	NaN
YGL242C	-0.080	NaN	-0.319	NaN
YGL243W	0.044	NaN	-0.144	NaN
YGL244W	1.160	NaN	3.426	NaN
YGL245W	NaN	0.245	NaN	-0.305
YGL246C	-0.335	NaN	-1.736	NaN
YGL247W	NaN	0.427	NaN	0.155
YGL248W	-0.182	NaN	-0.098	NaN
YGL249W	-0.123	NaN	-0.100	NaN
YGL250W	1.215	NaN	2.050	NaN
YGL252C	-0.319	NaN	-0.438	NaN
YGL253W	0.118	NaN	0.383	NaN
YGL254W	-0.105	NaN	-0.092	NaN
YGL255W	-0.098	NaN	-0.273	NaN
YGL256W	-0.027	NaN	-0.485	NaN
YGL257C	0.012	NaN	-0.145	NaN
YGL258W	-0.197	NaN	-0.119	NaN
YGL259W	-0.029	NaN	-0.201	NaN
YGL260W	-0.109	NaN	-0.083	NaN
YGL261C	0.049	NaN	-0.307	NaN
YGL262W	-0.124	NaN	-0.123	NaN
YGL263W	-0.047	NaN	-0.157	NaN
YGR001C	0.065	NaN	0.054	NaN
YGR002C	NaN	0.245	NaN	-0.043
YGR003W	0.123	NaN	-0.140	NaN
YGR004W	0.171	NaN	-0.277	NaN
YGR005C	NaN	0.110	NaN	0.019
YGR007W	0.228	NaN	0.563	NaN
YGR008C	0.101	NaN	0.242	NaN
YGR009C	NaN	0.074	NaN	0.148
YGR010W	-0.253	NaN	0.033	NaN
YGR011W	-0.094	NaN	-0.024	NaN
YGR012W	0.146	NaN	0.214	NaN
YGR013W	NaN	0.562	NaN	-0.187
YGR014W	-0.024	NaN	-0.038	NaN
YGR015C	0.187	NaN	-0.049	NaN
YGR017W	0.302	NaN	0.343	NaN
YGR018C	-0.029	NaN	0.171	NaN
YGR019W	-0.002	NaN	0.073	NaN
YGR020C	0.363	NaN	-0.458	NaN
YGR021W	0.251	NaN	-0.246	NaN
YGR022C	0.049	NaN	0.007	NaN
YGR023W	0.370	NaN	0.442	NaN
YGR024C	NaN	0.121	NaN	-0.627
YGR025W	-0.067	NaN	-0.005	NaN
YGR026W	0.115	NaN	-0.242	NaN
YGR027C	0.064	NaN	0.355	NaN
YGR028W	-0.059	NaN	-0.124	NaN
YGR029W	NaN	-0.106	NaN	0.047
YGR030C	NaN	0.154	NaN	0.259
YGR031W	0.008	NaN	0.142	NaN
YGR032W	0.436	NaN	0.160	NaN
YGR033C	0.145	NaN	-0.183	NaN
YGR034W	-0.133	NaN	-0.368	NaN
YGR035C	0.215	NaN	-0.151	NaN
YGR037C	-0.064	NaN	0.107	NaN
YGR038W	0.194	NaN	0.041	NaN
YGR039W	0.210	NaN	-0.054	NaN
YGR040W	0.184	NaN	-0.003	NaN
YGR041W	0.055	NaN	0.033	NaN
YGR042W	0.027	NaN	0.042	NaN
YGR043C	0.234	NaN	-0.096	NaN
YGR044C	0.156	NaN	-0.091	NaN
YGR045C	0.129	NaN	-0.055	NaN
YGR046W	NaN	1.156	NaN	0.984
YGR047C	NaN	0.532	NaN	0.321
YGR048W	NaN	0.474	NaN	0.071
YGR049W	0.120	NaN	-0.037	NaN
YGR050C	0.323	NaN	-0.056	NaN
YGR051C	0.265	NaN	0.269	NaN
YGR052W	0.320	NaN	0.276	NaN
YGR053C	0.189	NaN	-0.025	NaN
YGR054W	0.158	NaN	-0.105	NaN
YGR055W	0.174	NaN	0.160	NaN
YGR056W	2.362	NaN	3.507	NaN
YGR057C	0.479	NaN	0.672	NaN
YGR058W	0.054	NaN	-0.138	NaN
YGR059W	0.093	NaN	-0.102	NaN
YGR060W	NaN	0.313	NaN	0.294
YGR062C	0.282	NaN	0.008	NaN
YGR063C	0.242	NaN	0.045	NaN
YGR064W	0.293	NaN	0.039	NaN
YGR065C	NaN	0.578	NaN	-2.235
YGR066C	0.057	NaN	0.078	NaN
YGR067C	0.090	NaN	-0.082	NaN
YGR068C	0.343	NaN	0.527	NaN
YGR069W	0.035	NaN	-0.035	NaN
YGR070W	-0.205	NaN	0.195	NaN
YGR071C	0.562	NaN	0.800	NaN
YGR072W	0.055	NaN	0.214	NaN
YGR073C	NaN	0.453	NaN	-0.379
YGR074W	NaN	-0.069	NaN	-0.455
YGR075C	NaN	0.236	NaN	-0.264
YGR076C	0.293	NaN	0.175	NaN
YGR077C	0.268	NaN	0.400	NaN
YGR078C	-0.583	NaN	-0.519	NaN
YGR079W	0.096	NaN	0.187	NaN
YGR080W	-0.028	NaN	0.197	NaN
YGR081C	0.136	NaN	0.308	NaN
YGR082W	NaN	0.512	NaN	-0.876
YGR083C	NaN	0.221	NaN	-0.153
YGR084C	-0.166	NaN	0.013	NaN
YGR085C	-0.374	NaN	-1.128	NaN
YGR086C	0.959	NaN	0.164	NaN
YGR087C	-0.061	NaN	-0.009	NaN
YGR088W	-0.036	NaN	-0.101	NaN
YGR089W	-0.003	NaN	0.201	NaN
YGR090W	NaN	0.216	NaN	-0.038
YGR091W	NaN	0.133	NaN	-0.361
YGR092W	0.465	NaN	1.086	NaN
YGR093W	0.007	NaN	-0.096	NaN
YGR094W	NaN	0.082	NaN	0.197
YGR095C	NaN	0.101	NaN	0.101
YGR096W	-0.169	NaN	0.121	NaN
YGR097W	-0.424	NaN	-0.251	NaN
YGR098C	NaN	0.114	NaN	-0.037
YGR099W	NaN	0.309	NaN	0.024
YGR100W	0.281	NaN	0.435	NaN
YGR101W	0.248	NaN	-0.412	NaN
YGR102C	0.442	NaN	0.426	NaN
YGR103W	NaN	0.215	NaN	-0.108
YGR104C	0.925	NaN	2.329	NaN
YGR105W	-0.848	NaN	-0.155	NaN
YGR106C	1.747	NaN	0.765	NaN
YGR107W	0.263	NaN	-0.034	NaN
YGR108W	0.083	NaN	-0.011	NaN
YGR109C	-0.067	NaN	0.048	NaN
YGR110W	0.177	NaN	-0.180	NaN
YGR111W	-0.177	NaN	-0.159	NaN
YGR112W	-0.114	NaN	-0.012	NaN
YGR113W	NaN	0.068	NaN	-0.023
YGR114C	NaN	0.179	NaN	-0.171
YGR115C	NaN	0.535	NaN	0.512
YGR116W	NaN	0.203	NaN	-0.041
YGR117C	-0.266	NaN	-0.258	NaN
YGR118W	0.786	NaN	1.180	NaN
YGR119C	NaN	-0.065	NaN	-0.118
YGR120C	NaN	0.372	NaN	-0.099
YGR121C	-0.106	NaN	-0.132	NaN
YGR122C-A	0.361	NaN	0.539	NaN
YGR122W	1.419	NaN	1.530	NaN
YGR123C	0.052	NaN	0.131	NaN
YGR124W	0.064	NaN	0.126	NaN
YGR125W	0.010	NaN	0.043	NaN
YGR126W	0.125	NaN	0.085	NaN
YGR127W	0.061	NaN	0.040	NaN
YGR128C	NaN	0.116	NaN	-0.232
YGR129W	-0.004	NaN	0.106	NaN
YGR130C	0.074	NaN	-0.275	NaN
YGR131W	0.104	NaN	-0.116	NaN
YGR132C	0.058	NaN	0.009	NaN
YGR133W	0.165	NaN	0.546	NaN
YGR134W	0.031	NaN	-0.127	NaN
YGR135W	0.028	NaN	-0.114	NaN
YGR136W	0.302	NaN	0.496	NaN
YGR137W	0.501	NaN	0.435	NaN
YGR138C	0.212	NaN	0.071	NaN
YGR139W	0.187	NaN	0.055	NaN
YGR140W	NaN	0.088	NaN	0.051
YGR141W	0.113	NaN	0.000	NaN
YGR142W	0.309	NaN	-0.145	NaN
YGR143W	0.310	NaN	0.149	NaN
YGR144W	0.184	NaN	0.278	NaN
YGR145W	NaN	0.034	NaN	0.030
YGR146C	-0.041	NaN	-0.035	NaN
YGR147C	NaN	0.623	NaN	0.635
YGR148C	-0.209	NaN	-0.710	NaN
YGR149W	-0.116	NaN	-0.174	NaN
YGR150C	0.326	NaN	0.107	NaN
YGR151C	0.015	NaN	-0.038	NaN
YGR152C	0.007	NaN	-0.153	NaN
YGR153W	0.163	NaN	-0.156	NaN
YGR154C	-0.024	NaN	-0.003	NaN
YGR155W	0.277	NaN	1.991	NaN
YGR156W	NaN	0.406	NaN	0.301
YGR157W	-0.015	NaN	0.195	NaN
YGR158C	NaN	0.094	NaN	-0.164
YGR159C	-0.269	NaN	0.288	NaN
YGR161C	0.004	NaN	0.013	NaN
YGR162W	-0.483	NaN	NaN	NaN
YGR163W	0.322	NaN	1.100	NaN
YGR164W	1.470	NaN	2.446	NaN
YGR165W	6.313	NaN	NaN	NaN
YGR166W	-0.166	NaN	-0.437	NaN
YGR168C	0.174	NaN	0.056	NaN
YGR169C	0.177	NaN	-0.094	NaN
YGR170W	0.345	NaN	0.656	NaN
YGR171C	0.378	NaN	-0.213	NaN
YGR172C	NaN	-0.025	NaN	0.018
YGR173W	0.041	NaN	0.016	NaN
YGR174C	0.166	NaN	0.062	NaN
YGR175C	NaN	0.156	NaN	-0.016
YGR176W	-0.151	NaN	0.038	NaN
YGR177C	-0.128	NaN	0.200	NaN
YGR178C	0.123	NaN	0.096	NaN
YGR179C	NaN	-0.047	NaN	-0.037
YGR181W	0.243	NaN	-0.128	NaN
YGR182C	0.054	NaN	0.099	NaN
YGR183C	0.197	NaN	0.200	NaN
YGR184C	0.016	NaN	-0.111	NaN
YGR185C	NaN	-0.004	NaN	0.012
YGR186W	NaN	0.064	NaN	-0.002
YGR187C	0.065	NaN	-0.022	NaN
YGR189C	0.130	NaN	-0.115	NaN
YGR190C	NaN	0.278	NaN	0.434
YGR191W	NaN	0.304	NaN	0.168
YGR192C	0.156	NaN	-0.021	NaN
YGR193C	0.074	NaN	0.026	NaN
YGR194C	0.158	NaN	0.004	NaN
YGR195W	NaN	0.252	NaN	0.042
YGR196C	0.041	NaN	-0.180	NaN
YGR197C	0.122	NaN	-0.258	NaN
YGR198W	NaN	0.320	NaN	0.146
YGR199W	0.268	NaN	0.378	NaN
YGR200C	0.583	NaN	0.033	NaN
YGR201C	-0.057	NaN	-0.175	NaN
YGR202C	1.684	NaN	1.076	NaN
YGR203W	0.067	NaN	-0.261	NaN
YGR204W	0.839	NaN	NaN	NaN
YGR205W	0.068	NaN	0.006	NaN
YGR206W	-0.055	NaN	0.307	NaN
YGR207C	0.343	NaN	0.844	NaN
YGR208W	-0.563	NaN	-0.430	NaN
YGR209C	0.105	NaN	-0.125	NaN
YGR210C	0.088	NaN	-0.238	NaN
YGR211W	NaN	0.551	NaN	0.345
YGR212W	0.086	NaN	-0.059	NaN
YGR213C	-0.094	NaN	0.151	NaN
YGR214W	0.691	NaN	1.431	NaN
YGR215W	0.064	NaN	-0.057	NaN
YGR216C	NaN	0.334	NaN	0.155
YGR217W	0.035	NaN	-0.064	NaN
YGR218W	NaN	0.864	NaN	0.163
YGR219W	0.127	NaN	-0.208	NaN
YGR220C	0.171	NaN	0.065	NaN
YGR221C	-0.047	NaN	-0.005	NaN
YGR222W	0.100	NaN	0.358	NaN
YGR223C	-0.053	NaN	0.107	NaN
YGR224W	0.051	NaN	0.049	NaN
YGR225W	-0.330	NaN	0.102	NaN
YGR226C	0.038	NaN	0.176	NaN
YGR227W	0.399	NaN	0.887	NaN
YGR228W	0.911	NaN	1.326	NaN
YGR229C	1.057	NaN	3.082	NaN
YGR230W	-0.119	NaN	0.150	NaN
YGR231C	-0.030	NaN	-0.026	NaN
YGR232W	0.293	NaN	0.050	NaN
YGR233C	0.603	NaN	0.841	NaN
YGR234W	0.191	NaN	0.164	NaN
YGR235C	-0.012	NaN	0.075	NaN
YGR236C	0.232	NaN	-0.107	NaN
YGR237C	0.085	NaN	0.202	NaN
YGR238C	0.119	NaN	0.103	NaN
YGR239C	-0.074	NaN	0.050	NaN
YGR241C	0.183	NaN	0.052	NaN
YGR242W	0.465	NaN	-0.032	NaN
YGR243W	-0.063	NaN	-0.009	NaN
YGR244C	0.056	NaN	-0.226	NaN
YGR245C	NaN	0.090	NaN	-0.335
YGR246C	NaN	0.273	NaN	-0.535
YGR247W	-0.084	NaN	0.111	NaN
YGR248W	0.075	NaN	0.075	NaN
YGR249W	0.355	NaN	0.197	NaN
YGR250C	0.176	NaN	-0.000	NaN
YGR251W	NaN	0.134	NaN	-0.137
YGR252W	1.269	NaN	0.581	NaN
YGR253C	NaN	0.111	NaN	-0.150
YGR254W	0.238	NaN	0.172	NaN
YGR255C	0.094	NaN	0.259	NaN
YGR256W	0.054	NaN	0.136	NaN
YGR257C	-0.019	NaN	0.461	NaN
YGR258C	0.069	NaN	0.271	NaN
YGR259C	0.158	NaN	0.194	NaN
YGR260W	0.106	NaN	0.120	NaN
YGR261C	-0.058	NaN	-0.184	NaN
YGR263C	-0.009	NaN	-0.168	NaN
YGR264C	NaN	-0.007	NaN	0.001
YGR265W	NaN	0.447	NaN	0.856
YGR266W	0.256	NaN	0.216	NaN
YGR267C	NaN	0.113	NaN	0.029
YGR268C	0.068	NaN	0.097	NaN
YGR269W	0.060	NaN	-0.013	NaN
YGR270W	-0.118	NaN	-0.227	NaN
YGR271W	0.016	NaN	-0.092	NaN
YGR272C	6.911	NaN	NaN	NaN
YGR273C	0.087	NaN	0.035	NaN
YGR274C	NaN	0.222	NaN	-0.169
YGR275W	0.106	NaN	-0.087	NaN
YGR276C	-0.133	NaN	-0.088	NaN
YGR277C	NaN	0.242	NaN	-0.203
YGR278W	NaN	0.090	NaN	0.215
YGR279C	-0.107	NaN	-0.303	NaN
YGR280C	NaN	0.055	NaN	0.153
YGR281W	0.149	NaN	0.122	NaN
YGR282C	0.822	NaN	1.077	NaN
YGR283C	0.283	NaN	-0.060	NaN
YGR284C	0.133	NaN	-0.369	NaN
YGR285C	0.670	NaN	2.212	NaN
YGR286C	0.060	NaN	-0.097	NaN
YGR287C	0.028	NaN	0.063	NaN
YGR288W	0.098	NaN	0.042	NaN
YGR289C	0.100	NaN	0.130	NaN
YGR290W	0.030	NaN	-0.188	NaN
YGR291C	0.065	NaN	-0.155	NaN
YGR292W	0.073	NaN	0.099	NaN
YGR295C	0.009	NaN	0.246	NaN
YHL002W	0.022	NaN	0.074	NaN
YHL003C	0.166	NaN	0.055	NaN
YHL005C	0.307	NaN	0.102	NaN
YHL006C	0.062	NaN	0.077	NaN
YHL007C	0.097	NaN	0.430	NaN
YHL008C	0.180	NaN	0.023	NaN
YHL009C	3.032	NaN	3.804	NaN
YHL010C	0.194	NaN	0.070	NaN
YHL011C	0.223	NaN	1.570	NaN
YHL012W	0.091	NaN	0.007	NaN
YHL013C	-0.105	NaN	-0.433	NaN
YHL014C	0.125	NaN	0.053	NaN
YHL015W	NaN	0.281	NaN	0.119
YHL016C	0.070	NaN	-0.176	NaN
YHL017W	1.052	NaN	-0.074	NaN
YHL019C	0.019	NaN	0.094	NaN
YHL020C	1.795	NaN	3.315	NaN
YHL021C	0.176	NaN	-0.195	NaN
YHL022C	0.149	NaN	0.093	NaN
YHL023C	0.448	NaN	0.233	NaN
YHL024W	0.151	NaN	-0.137	NaN
YHL025W	0.450	NaN	1.222	NaN
YHL026C	0.142	NaN	0.167	NaN
YHL027W	1.192	NaN	1.907	NaN
YHL028W	0.310	NaN	-0.034	NaN
YHL029C	1.008	NaN	1.172	NaN
YHL030W	0.275	NaN	-0.198	NaN
YHL032C	0.092	NaN	-0.195	NaN
YHL033C	0.069	NaN	0.126	NaN
YHL034C	-0.164	NaN	-0.368	NaN
YHL035C	-0.080	NaN	0.095	NaN
YHL036W	0.078	NaN	-0.041	NaN
YHL037C	0.077	NaN	-0.115	NaN
YHL038C	0.242	NaN	-0.058	NaN
YHL039W	0.140	NaN	-0.122	NaN
YHL040C	-0.039	NaN	-0.297	NaN
YHL041W	0.046	NaN	-0.111	NaN
YHL042W	-0.120	NaN	-0.148	NaN
YHL043W	-0.058	NaN	0.029	NaN
YHL044W	0.582	NaN	1.337	NaN
YHL045W	0.741	NaN	-0.235	NaN
YHL046C	-0.253	NaN	-0.189	NaN
YHL047C	-0.157	NaN	-0.147	NaN
YHR001W-A	-0.095	NaN	-0.075	NaN
YHR003C	0.034	NaN	0.048	NaN
YHR004C	0.617	NaN	0.931	NaN
YHR005C-A	NaN	0.507	NaN	0.440
YHR006W	0.107	NaN	0.020	NaN
YHR007C	NaN	0.743	NaN	1.123
YHR008C	-0.007	NaN	-0.708	NaN
YHR009C	-0.041	NaN	0.097	NaN
YHR010W	-0.185	NaN	0.189	NaN
YHR011W	0.823	NaN	0.914	NaN
YHR012W	0.896	NaN	1.381	NaN
YHR013C	0.039	NaN	-0.315	NaN
YHR014W	-0.080	NaN	0.062	NaN
YHR015W	0.534	NaN	0.118	NaN
YHR016C	0.033	NaN	0.052	NaN
YHR017W	-0.043	NaN	0.011	NaN
YHR018C	-0.156	NaN	-0.000	NaN
YHR019C	NaN	-0.060	NaN	0.114
YHR020W	NaN	0.071	NaN	-0.205
YHR021C	1.885	NaN	1.176	NaN
YHR021W-A	0.222	NaN	0.076	NaN
YHR022C	0.065	NaN	0.118	NaN
YHR023W	NaN	0.143	NaN	-0.026
YHR024C	NaN	0.412	NaN	NaN
YHR025W	-1.120	NaN	0.291	NaN
YHR026W	-0.453	NaN	-0.482	NaN
YHR028C	-0.100	NaN	0.066	NaN
YHR029C	-0.318	NaN	0.061	NaN
YHR030C	-0.387	NaN	0.047	NaN
YHR031C	0.487	NaN	0.692	NaN
YHR032W	0.149	NaN	0.074	NaN
YHR033W	-0.053	NaN	0.105	NaN
YHR034C	-0.745	NaN	-0.547	NaN
YHR035W	0.070	NaN	0.103	NaN
YHR036W	NaN	-0.116	NaN	0.154
YHR037W	0.029	NaN	-0.047	NaN
YHR038W	-0.075	NaN	0.001	NaN
YHR039C	-0.095	NaN	-0.342	NaN
YHR039C-B	0.189	NaN	NaN	NaN
YHR040W	NaN	-0.092	NaN	0.159
YHR041C	0.716	NaN	1.758	NaN
YHR042W	NaN	0.017	NaN	-0.030
YHR043C	-0.305	NaN	0.038	NaN
YHR044C	-0.291	NaN	0.100	NaN
YHR045W	-0.039	NaN	-0.174	NaN
YHR046C	0.026	NaN	-0.189	NaN
YHR047C	-0.081	NaN	-0.036	NaN
YHR048W	0.313	NaN	-0.213	NaN
YHR049C-A	-0.029	NaN	0.108	NaN
YHR049W	0.013	NaN	-0.087	NaN
YHR051W	0.259	NaN	0.280	NaN
YHR057C	-0.140	NaN	-0.103	NaN
YHR058C	NaN	-0.475	NaN	-0.023
YHR059W	1.277	NaN	1.186	NaN
YHR060W	-0.174	NaN	-0.575	NaN
YHR061C	0.081	NaN	-0.116	NaN
YHR062C	NaN	0.044	NaN	0.297
YHR064C	0.183	NaN	0.256	NaN
YHR065C	NaN	1.009	NaN	-1.842
YHR066W	-0.568	NaN	-0.739	NaN
YHR067W	0.208	NaN	0.128	NaN
YHR068W	NaN	-0.372	NaN	-0.132
YHR069C	NaN	-0.490	NaN	-0.071
YHR072W	NaN	0.129	NaN	-0.266
YHR073W	-0.150	NaN	-0.308	NaN
YHR074W	NaN	0.069	NaN	-0.494
YHR075C	0.116	NaN	-0.194	NaN
YHR076W	0.244	NaN	0.016	NaN
YHR077C	0.179	NaN	0.151	NaN
YHR078W	0.367	NaN	0.336	NaN
YHR079C	-0.167	NaN	-0.044	NaN
YHR079C-B	0.283	NaN	0.336	NaN
YHR080C	-0.055	NaN	-0.120	NaN
YHR081W	-0.992	NaN	-0.108	NaN
YHR082C	-0.023	NaN	-0.022	NaN
YHR083W	NaN	0.105	NaN	0.150
YHR085W	NaN	-0.598	NaN	0.129
YHR086W	0.238	NaN	-0.112	NaN
YHR087W	-0.008	NaN	-0.011	NaN
YHR088W	NaN	-0.736	NaN	0.080
