orf	hap a | cell size | standard | YPD | Shimasawa M~Mizushima N, 2023
YFR015C	0.776
YFR016C	0.715
YFR017C	0.797
YFR018C	0.615
YFR019W	1.023
YFR020W	0.809
YFR021W	0.742
YFR022W	0.666
YFR023W	0.952
YFR024C-A	0.722
YFR025C	1.213
YFR026C	0.839
YFR030W	0.94
YFR031C-A	0.592
YFR032C	0.767
YFR032C-A	0.531
YFR033C	0.597
YFR034C	0.642
YFR035C	1.788
YFR036W	1.542
YFR038W	1.321
YFR039C	1.006
YFR040W	1.337
YFR041C	1.378
YFR043C	1.343
YFR044C	0.707
YFR045W	0.71
YFR046C	0.693
YFR047C	0.845
YFR048W	0.597
YFR049W	0.687
YFR053C	1.17
YFR054C	1.346
YFR055W	1.285
YFR056C	1.372
YFR057W	1.24
YGL002W	1.395
YGL003C	1.597
YGL004C	1.585
YGL005C	1.508
YGL006W	1.092
YGL007W	1.119
YGL010W	0.889
YGL012W	0.965
YGL013C	1.098
YGL014W	0.932
YGL015C	1.371
YGL016W	1.077
YGL017W	1.468
YGL019W	1.484
YGL020C	1.183
YGL021W	1.379
YGL023C	0.818
YGL024W	0.919
YGL025C	0.957
YGL026C	0.927
YGL027C	1.434
YGL028C	2.054
YGL029W	0.737
YGL031C	0.73
YGL032C	0.897
YGL033W	1.544
YGL034C	0.797
YGL035C	0.883
YGL036W	1.04
YGL037C	0.969
YGL039W	0.949
YGL041C	0.949
YGL042C	1.054
YGL043W	1.051
YGL045W	0.69
YGL049C	0.881
YGL050W	0.924
YGL051W	1.062
YGL053W	0.959
YGL054C	1.186
YGL056C	0.96
YGL057C	1.014
YGL059W	0.96
YGL060W	1.073
YGL062W	0.905
YGL063W	0.819
YGL064C	0.833
YGL066W	0.804
YGL067W	0.816
YGL070C	1.115
YGL071W	0.89
YGL072C	2.647
YGL076C	0.879
YGL077C	0.969
YGL078C	0.686
YGL079W	0.46
YGL080W	0.893
YGL081W	0.878
YGL082W	1.0
YGL083W	0.907
YGL084C	1.926
YGL085W	0.807
YGL086W	0.523
YGL087C	0.681
YGL088W	1.59
YGL089C	0.602
YGL090W	0.554
YGL094C	0.712
YGL095C	3.54
YGL096W	0.59
YGL101W	1.064
YGL104C	1.127
YGL105W	1.036
YGL107C	0.986
YGL108C	1.025
YGL118C	1.059
YGL121C	1.077
YGL124C	1.173
YGL125W	1.141
YGL126W	1.137
YGL127C	1.285
YGL129C	1.571
YGL131C	1.595
YGL132W	1.636
YGL133W	1.659
YGL135W	1.802
YGL136C	1.683
YGL138C	1.165
YGL139W	1.23
YGL140C	1.203
YGL141W	1.201
YGL143C	0.912
YGL144C	1.181
YGL146C	1.653
YGL147C	1.584
YGL148W	1.717
YGL149W	1.725
YGL151W	1.302
YGL152C	1.211
YGL153W	1.181
YGL154C	1.271
YGL156W	1.131
YGL157W	1.115
YGL158W	1.228
YGL159W	1.325
YGL160W	1.198
YGL161C	1.325
YGL162W	1.712
YGL163C	1.946
YGL164C	1.646
YGL165C	1.753
YGL166W	1.158
YGL167C	1.621
YGL168W	1.6
YGL170C	1.196
YGL173C	2.259
YGL174W	1.045
YGL175C	1.655
YGL176C	1.627
YGL177W	1.222
YGL179C	1.217
YGL180W	1.129
YGL181W	1.073
YGL194C	0.647
YGL195W	0.707
YGL196W	0.634
YGL197W	0.792
YGL198W	0.583
YGL199C	1.083
YGL200C	1.526
YGL202W	1.121
YGL203C	1.182
YGL205W	1.118
YGL208W	1.273
YGL209W	1.438
YGL210W	1.234
YGL211W	1.506
YGL212W	0.969
YGL213C	1.403
YGL214W	1.113
YGL215W	1.163
YGL216W	1.342
YGL217C	1.347
YGL218W	3.1865
YGL219C	1.118
YGL220W	0.815
YGL221C	1.105
YGL222C	1.131
YGL223C	1.335
YGL224C	1.384
YGL226C-A	1.206
YGL226W	1.106
YGL227W	0.853
YGL228W	1.212
YGL229C	1.085
YGL230C	1.154
YGL231C	1.11
YGL232W	0.945
YGL234W	1.311
YGL235W	1.088
YGL236C	1.128
YGL237C	1.05
YGL241W	0.956
YGL242C	1.175
YGL243W	1.184
YGL244W	1.267
YGL246C	0.975
YGL248W	1.077
YGL249W	1.253
YGL250W	1.226
YGL251C	1.19
YGL252C	1.209
YGL253W	1.159
YGL254W	0.719
YGL255W	0.731
YGL256W	0.75
YGL257C	0.703
YGL258W	0.909
YGL259W	1.278
YGL260W	1.129
YGL261C	2.003
YGL262W	1.347
YGR001C	0.722
YGR003W	0.594
YGR004W	0.866
YGR007W	0.963
YGR008C	0.703
YGR010W	1.055
YGR011W	0.875
YGR012W	0.915
YGR014W	0.65
YGR015C	0.73
YGR016W	0.782
YGR017W	0.744
YGR018C	0.85
YGR019W	1.091
YGR020C	0.881
YGR021W	0.759
YGR022C	1.455
YGR023W	0.68
YGR025W	1.1265
YGR026W	0.631
YGR027C	1.327
YGR028W	1.082
YGR031W	1.025
YGR032W	1.042
YGR033C	1.133
YGR034W	1.016
YGR035C	0.636
YGR036C	6.304
YGR037C	1.152
YGR038W	1.068
YGR039W	1.062
YGR040W	1.102
YGR041W	1.023
YGR042W	1.075
YGR043C	1.134
YGR044C	1.183
YGR045C	1.359
YGR049W	1.073
YGR050C	1.093
YGR051C	1.222
YGR052W	1.244
YGR053C	1.027
YGR054W	1.146
YGR055W	0.924
YGR056W	1.908
YGR057C	1.333
YGR058W	1.484
YGR059W	1.137
YGR061C	1.124
YGR062C	1.065
YGR063C	1.46
YGR064W	3.513
YGR066C	1.016
YGR067C	1.13
YGR068C	1.089
YGR069W	0.639
YGR070W	1.133
YGR071C	1.065
YGR072W	1.173
YGR076C	0.876
YGR077C	1.134
YGR078C	1.467
YGR079W	1.088
YGR080W	1.101
YGR081C	1.576
YGR084C	1.142
YGR085C	1.032
YGR086C	1.045
YGR087C	1.101
YGR088W	1.244
YGR089W	1.142
YGR092W	1.354
YGR093W	0.966
YGR096W	1.029
YGR097W	1.033
YGR100W	1.085
YGR101W	0.804
YGR102C	0.908
YGR104C	3.703
YGR105W	1.313
YGR106C	1.078
YGR107W	0.747
YGR108W	0.677
YGR109C	0.658
YGR110W	1.046
YGR111W	0.595
YGR112W	0.614
YGR117C	1.117
YGR118W	0.944
YGR121C	0.971
YGR122C-A	0.77
YGR122W	0.712
YGR123C	1.065
YGR124W	1.062
YGR125W	1.227
YGR126W	1.023
YGR127W	1.192
YGR129W	1.081
YGR130C	1.238
YGR131W	1.198
YGR132C	0.877
YGR133W	1.012
YGR134W	0.773
YGR135W	0.818
YGR136W	1.012
YGR137W	0.898
YGR138C	0.88
YGR139W	1.372
YGR141W	1.297
YGR142W	1.215
YGR143W	1.151
YGR144W	1.233
YGR146C	1.095
YGR148C	1.022
YGR149W	0.871
YGR150C	0.809
YGR151C	0.791
YGR152C	0.812
YGR153W	0.826
YGR154C	0.722
YGR155W	0.836
YGR157W	0.734
YGR159C	2.61
YGR160W	0.685
YGR161C	0.838
YGR162W	0.749
YGR163W	0.937
YGR164W	0.929
YGR165W	0.876
YGR166W	1.081
YGR168C	0.967
YGR169C	0.86
YGR170W	0.789
YGR171C	0.69
YGR173W	1.068
YGR174C	0.654
YGR176W	0.927
YGR177C	0.846
YGR178C	1.048
YGR181W	1.094
YGR182C	1.235
YGR183C	0.668
YGR184C	0.889
YGR187C	0.76
YGR188C	0.66
YGR189C	0.84
YGR192C	0.513
YGR193C	0.516
YGR194C	0.914
YGR196C	0.98
YGR197C	1.028
YGR199W	0.975
YGR200C	1.375
YGR201C	0.783
YGR202C	0.79
YGR203W	0.642
YGR204W	0.826
YGR205W	0.499
YGR206W	0.571
YGR207C	0.593
YGR208W	0.639
YGR209C	0.545
YGR210C	0.786
YGR212W	0.825
YGR213C	0.833
YGR214W	0.765
YGR215W	0.648
YGR217W	0.833
YGR219W	1.029
YGR220C	0.885
YGR221C	0.66
YGR222W	0.967
YGR223C	0.672
YGR224W	0.782
YGR225W	0.899
YGR226C	0.693
YGR227W	0.684
YGR228W	1.247
YGR229C	0.905
YGR230W	1.157
YGR231C	1.413
YGR232W	1.308
YGR233C	1.163
YGR234W	1.311
YGR235C	0.675
YGR236C	0.684
YGR237C	0.701
YGR238C	1.086
YGR239C	0.969
YGR240C	0.881
YGR241C	0.678
YGR242W	1.109
YGR243W	1.25
YGR244C	1.087
YGR247W	1.17
YGR248W	1.005
YGR249W	1.314
YGR250C	1.035
YGR252W	0.837
YGR254W	0.879
YGR255C	0.746
YGR256W	0.542
YGR257C	0.646
YGR258C	0.923
YGR259C	0.824
YGR260W	0.697
YGR261C	0.588
YGR263C	0.718
YGR266W	0.779
YGR268C	0.79
YGR269W	0.734
YGR270W	0.598
YGR271W	1.06
YGR273C	1.0
YGR275W	0.799
YGR276C	1.033
YGR279C	0.731
YGR281W	0.951
YGR282C	0.976
YGR283C	0.79
YGR284C	1.011
YGR285C	0.823
YGR286C	0.936
YGR287C	1.108
YGR288W	1.002
YGR289C	0.913
YGR290W	1.025
YGR291C	0.928
YGR292W	1.141
YGR295C	0.871
YHL002W	1.065
YHL003C	0.654
YHL005C	0.916
YHL006C	1.19
YHL007C	0.944
YHL008C	1.162
YHL009C	0.942
YHL010C	1.099
YHL011C	0.95
YHL012W	0.567
YHL013C	0.533
YHL014C	0.634
YHL016C	0.663
YHL017W	0.579
YHL019C	0.649
YHL020C	0.848
YHL021C	1.071
YHL022C	1.005
YHL023C	1.104
YHL024W	0.715
YHL025W	0.735
YHL026C	0.889
YHL027W	0.694
YHL028W	0.6
YHL029C	0.501
YHL030W	0.724
YHL031C	0.717
YHL032C	0.608
YHL033C	0.584
YHL034C	0.977
YHL035C	0.985
YHL036W	0.939
YHL037C	1.025
YHL038C	0.765
YHL039W	1.153
YHL040C	0.992
YHL041W	0.576
YHL042W	0.656
YHL043W	0.63
YHL044W	0.581
YHL045W	0.615
YHL046C	0.511
YHL047C	0.949
YHR001W-A	0.676
YHR003C	1.099
YHR004C	0.824
YHR005C	1.289
YHR006W	1.183
YHR008C	0.65
YHR009C	0.829
YHR010W	0.782
YHR011W	0.402
YHR012W	0.697
YHR013C	0.501
YHR014W	1.19
YHR015W	1.554
YHR016C	0.843
YHR017W	0.694
YHR018C	0.934
YHR021C	0.85
YHR021W-A	0.897
YHR022C	1.058
YHR025W	0.612
YHR026W	0.695
YHR028C	0.982
YHR029C	0.987
YHR030C	0.916
YHR031C	1.295
YHR032W	0.846
YHR033W	0.955
YHR034C	0.606
YHR035W	0.692
YHR037W	0.654
YHR038W	1.256
YHR039C	0.684
YHR041C	1.295
YHR043C	1.139
YHR044C	1.044
YHR045W	0.778
YHR046C	1.039
YHR047C	1.018
YHR048W	1.093
YHR049C-A	0.59
YHR049W	1.08
YHR050W	0.74
YHR051W	0.365
YHR057C	0.694
YHR059W	1.269
YHR060W	0.775
YHR061C	1.229
YHR064C	0.626
YHR066W	0.807
YHR067W	0.938
YHR073W	1.17
YHR075C	1.09
YHR076W	1.013
YHR077C	1.154
YHR078W	0.67
YHR079C	0.697
YHR080C	0.732
YHR081W	0.775
YHR082C	0.641
YHR086W	0.718
YHR087W	1.442
YHR091C	0.771
YHR092C	0.928
YHR093W	1.01
YHR094C	1.149
YHR095W	1.172
YHR096C	0.657
YHR097C	0.66
YHR100C	0.461
YHR103W	0.617
YHR104W	0.984
YHR105W	0.587
YHR106W	0.889
YHR108W	1.093
YHR109W	1.013
YHR110W	1.015
YHR111W	1.296
YHR112C	1.046
YHR113W	0.592
YHR114W	0.579
YHR115C	0.579
YHR116W	0.555
YHR117W	0.606
YHR120W	0.421
YHR121W	0.938
YHR123W	1.393
YHR124W	1.149
YHR125W	1.19
YHR126C	0.949
YHR127W	0.862
YHR129C	1.003
YHR130C	0.633
YHR132C	0.558
YHR132W-A	0.863
YHR134W	0.815
YHR135C	1.255
YHR136C	0.651
YHR137W	0.943
YHR138C	1.021
YHR139C	1.28
YHR139C-A	0.977
YHR140W	0.725
YHR142W	1.177
YHR143W	2.62
YHR146W	1.063
YHR147C	0.399
YHR150W	0.673
YHR151C	0.579
YHR152W	0.727
YHR153C	0.598
YHR154W	0.928
YHR155W	1.023
YHR156C	1.144
YHR157W	1.095
YHR158C	1.352
YHR159W	1.175
YHR160C	1.077
YHR161C	0.903
YHR162W	1.026
YHR163W	1.205
YHR167W	2.117
YHR168W	0.923
YHR171W	0.939
YHR176W	1.131
YHR177W	1.285
YHR178W	1.049
YHR179W	0.974
YHR180W	1.002
YHR181W	1.06
YHR182W	0.979
YHR183W	1.064
YHR184W	0.992
YHR185C	0.931
YHR189W	0.882
YHR191C	1.15
YHR193C	1.087
YHR194W	0.693
YHR195W	0.973
YHR198C	1.532
YHR199C	1.005
YHR200W	0.981
YHR202W	1.092
YHR203C	1.119
YHR204W	0.884
YHR206W	1.199
YHR207C	0.989
YHR209W	1.05
YHR210C	1.108
YIL001W	1.137
YIL002C	1.114
YIL005W	1.259
YIL006W	1.155
YIL007C	1.158
YIL008W	1.497
YIL009C-A	1.164
YIL009W	1.582
YIL010W	1.118
YIL011W	2.342
YIL012W	1.927
YIL013C	1.244
YIL014W	1.756
YIL015W	1.196
YIL016W	1.08
YIL020C	1.28
YIL023C	1.586
YIL024C	1.113
YIL025C	1.881
YIL027C	1.207
YIL028W	1.155
YIL029C	1.202
YIL030C	1.044
YIL032C	1.513
YIL034C	2.653
YIL035C	1.568
YIL036W	1.321
YIL037C	1.315
YIL038C	0.711
YIL039W	1.786
YIL040W	1.402
YIL041W	1.155
YIL042C	0.711
YIL043C	1.135
YIL044C	1.285
YIL045W	1.244
YIL047C	1.136
YIL049W	3.358
YIL050W	1.425
YIL052C	0.674
YIL053W	1.196
YIL054W	1.119
YIL055C	0.652
YIL056W	0.87
YIL057C	1.185
YIL059C	1.106
YIL060W	1.13
YIL064W	1.408
YIL065C	1.274
YIL067C	1.336
YIL069C	1.021
YIL070C	1.045
YIL071C	1.164
YIL072W	1.063
YIL073C	1.182
YIL074C	0.847
YIL076W	1.097
YIL077C	1.158
YIL079C	1.279
YIL084C	1.464
YIL085C	1.027
YIL086C	1.033
YIL087C	1.355
YIL088C	0.841
YIL089W	0.754
YIL090W	0.844
YIL092W	0.8805000000000001
YIL093C	1.037
YIL094C	0.951
YIL095W	0.878
YIL096C	0.992
YIL097W	1.756
YIL098C	0.886
YIL099W	0.494
YIL100W	0.555
YIL101C	1.1
YIL102C	1.079
YIL103W	1.048
YIL105C	1.139
YIL107C	1.066
YIL108W	1.058
YIL110W	1.032
YIL111W	1.037
YIL112W	0.814
YIL113W	0.791
YIL114C	0.769
YIL116W	0.861
YIL117C	0.791
YIL119C	0.74
YIL120W	0.936
YIL121W	0.951
YIL122W	1.026
YIL123W	0.938
YIL124W	0.922
YIL125W	0.954
YIL128W	0.79
YIL130W	0.812
YIL131C	1.198
YIL132C	0.707
YIL133C	0.776
YIL134W	0.826
YIL135C	0.788
YIL136W	0.817
YIL137C	0.772
YIL138C	0.91
YIL139C	0.91
YIL140W	0.91
YIL141W	0.966
YIL145C	0.979
YIL146C	0.981
YIL148W	0.804
YIL149C	0.791
YIL152W	0.773
YIL153W	0.762
YIL154C	0.765
YIL155C	0.779
YIL156W	0.375
YIL157C	0.995
YIL158W	0.949
YIL159W	0.982
YIL160C	0.989
YIL161W	0.9
YIL162W	0.881
YIL163C	0.704
YIL164C	0.75
YIL165C	0.974
YIL166C	0.927
YIL173W	0.877
YIR001C	0.896
YIR002C	0.914
YIR003W	0.928
YIR004W	0.893
YIR005W	0.951
YIR007W	0.845
YIR009W	0.407
YIR013C	0.917
YIR014W	0.881
YIR016W	0.805
YIR017C	0.929
YIR018W	0.938
YIR019C	0.9
YIR020C	0.914
YIR021W	0.966
YIR023W	1.079
YIR024C	0.958
YIR025W	1.002
YIR026C	0.862
YIR027C	1.054
YIR028W	1.027
YIR029W	0.852
YIR030C	1.113
YIR031C	0.883
YIR032C	1.091
YIR033W	0.927
YIR034C	0.945
YIR035C	0.878
YIR036C	0.898
YIR037W	1.099
YIR038C	0.975
YIR039C	0.985
YIR042C	1.333
YJL003W	0.822
YJL004C	3.637
YJL006C	4.193
YJL007C	0.614
YJL012C	3.463
YJL013C	3.509
YJL016W	1.16
YJL020C	1.02
YJL022W	1.101
YJL023C	0.87
YJL024C	0.507
YJL027C	3.447
YJL028W	0.779
YJL029C	0.658
YJL030W	0.933
YJL036W	1.144
YJL037W	1.144
YJL038C	1.017
YJL042W	1.191
YJL043W	1.035
YJL044C	1.065
YJL045W	0.665
YJL046W	1.098
YJL047C	1.363
YJL048C	0.69
YJL049W	1.133
YJL051W	1.163
YJL052W	0.963
YJL053W	0.994
YJL055W	1.073
YJL056C	0.944
YJL057C	1.199
YJL058C	1.245
YJL059W	1.227
YJL060W	1.326
YJL062W	2.232
YJL063C	1.04
YJL064W	1.1
YJL065C	1.086
YJL066C	1.145
YJL067W	1.091
YJL068C	0.937
YJL070C	1.233
YJL071W	1.232
YJL073W	1.149
YJL075C	0.655
YJL077C	1.179
YJL078C	0.967
YJL079C	1.409
YJL080C	1.927
YJL082W	1.298
YJL083W	1.126
YJL084C	0.977
YJL088W	1.089
YJL089W	1.135
YJL092W	1.301
YJL093C	1.212
YJL094C	0.913
YJL095W	1.081
YJL096W	0.947
YJL098W	1.437
YJL099W	1.475
YJL100W	1.366
YJL101C	1.076
YJL102W	0.98
YJL103C	1.081
YJL105W	1.076
YJL106W	1.296
YJL107C	1.233
YJL108C	1.312
YJL110C	0.965
YJL112W	1.583
YJL115W	1.65
YJL116C	1.053
YJL117W	1.187
YJL118W	0.949
YJL119C	1.429
YJL120W	1.126
YJL121C	1.033
YJL122W	1.163
YJL123C	1.86
YJL124C	1.238
YJL126W	1.198
YJL127C	3.657
YJL128C	1.144
YJL129C	0.929
YJL130C	1.179
YJL131C	1.17
YJL132W	1.035
YJL133W	1.128
YJL134W	0.948
YJL135W	1.112
YJL136C	0.994
YJL137C	0.959
YJL138C	1.101
YJL139C	1.108
YJL140W	0.799
YJL141C	1.038
YJL142C	0.978
YJL144W	1.13
YJL145W	1.145
YJL146W	0.923
YJL147C	1.074
YJL148W	0.861
YJL149W	0.866
YJL150W	0.837
YJL151C	1.167
YJL152W	0.97
YJL153C	1.123
YJL154C	1.099
YJL155C	1.028
YJL157C	1.136
YJL158C	1.145
YJL159W	0.898
YJL160C	1.209
YJL161W	1.091
YJL162C	1.022
YJL163C	1.1565
YJL164C	1.147
YJL165C	1.0605
YJL166W	0.992
YJL168C	1.155
YJL169W	1.253
YJL170C	0.972
YJL171C	0.858
YJL172W	1.0234999999999999
YJL175W	1.01
YJL176C	3.515
YJL177W	0.997
YJL178C	1.327
YJL179W	1.18
YJL180C	0.926
YJL181W	0.973
YJL182C	1.065
YJL183W	2.684
YJL184W	1.876
YJL185C	1.076
YJL186W	1.071
YJL187C	1.151
YJL188C	1.302
YJL189W	1.1355
YJL190C	0.975
YJL191W	1.061
YJL192C	0.94
YJL193W	0.989
YJL196C	1.071
YJL197W	1.125
YJL198W	0.951
YJL199C	0.951
YJL200C	1.0625
YJL201W	1.08
YJL204C	0.941
YJL206C	1.104
YJL207C	0.926
YJL208C	1.068
YJL209W	0.717
YJL210W	1.12
YJL211C	1.003
YJL212C	1.057
YJL213W	1.125
YJL214W	1.207
YJL215C	1.256
YJL216C	1.21
YJL217W	1.099
YJL218W	1.034
YJR001W	0.629
YJR003C	0.885
YJR004C	0.88
YJR005W	0.625
YJR008W	0.56
YJR009C	0.632
YJR010C-A	0.951
YJR010W	1.078
YJR011C	1.531
YJR014W	1.091
YJR015W	1.068
YJR018W	0.578
YJR019C	0.685
YJR020W	0.714
YJR021C	0.683
YJR024C	0.636
YJR025C	0.893
YJR030C	0.751
YJR031C	1.066
YJR032W	1.083
YJR033C	0.938
YJR034W	0.971
YJR035W	0.949
YJR036C	0.852
YJR037W	0.88
YJR038C	0.783
YJR039W	1.069
YJR040W	0.961
YJR043C	1.407
YJR044C	0.908
YJR047C	0.907
YJR048W	1.124
YJR049C	1.189
YJR050W	1.248
YJR051W	1.09
YJR052W	1.062
YJR053W	1.035
YJR054W	1.093
YJR055W	0.9465
YJR056C	1.051
YJR058C	0.887
YJR059W	0.802
YJR060W	1.037
YJR061W	1.152
YJR062C	1.065
YJR063W	0.947
YJR066W	1.151
YJR069C	1.472
YJR070C	0.608
YJR073C	0.968
YJR074W	1.147
YJR075W	1.572
YJR077C	0.568
YJR078W	0.655
YJR079W	0.617
YJR080C	0.948
YJR082C	0.743
YJR083C	0.728
YJR084W	1.081
YJR087W	0.924
YJR088C	0.685
YJR091C	0.946
YJR092W	1.37
YJR094C	1.174
YJR094W-A	0.626
YJR095W	0.715
YJR096W	0.641
YJR097W	0.689
YJR098C	0.781
YJR099W	0.763
YJR100C	1.099
YJR103W	1.047
YJR104C	1.349
YJR105W	1.135
YJR106W	1.238
YJR107W	2.208
YJR108W	1.108
YJR109C	1.193
YJR110W	0.856
YJR111C	0.882
YJR113C	0.934
YJR115W	0.635
YJR116W	0.932
YJR117W	0.921
YJR118C	1.19
YJR119C	1.156
YJR120W	0.851
YJR121W	0.932
YJR122W	0.886
YJR124C	1.361
YJR125C	1.256
YJR126C	1.416
YJR127C	0.668
YJR128W	0.688
YJR129C	0.695
YJR130C	0.622
YJR131W	1.271
YJR133W	1.364
YJR134C	1.197
YJR135C	1.013
YJR139C	0.905
YJR140C	1.33
YJR142W	0.995
YJR144W	0.726
YJR145C	1.161
YJR146W	0.97
YJR147W	1.024
YJR148W	0.979
YJR149W	0.976
YJR150C	1.253
YJR152W	2.222
YJR153W	1.44
YJR154W	0.741
YKL001C	0.941
YKL002W	1.332
YKL003C	0.864
YKL005C	1.349
YKL006W	1.273
YKL007W	1.286
YKL008C	1.003
YKL009W	0.736
YKL010C	1.003
YKL011C	1.22
YKL015W	0.786
YKL016C	0.413
YKL017C	1.15
YKL020C	1.132
YKL023W	1.55
YKL025C	1.168
YKL026C	1.309
YKL029C	0.78
YKL030W	1.497
YKL031W	0.62
YKL032C	0.501
YKL033W-A	1.0
YKL034W	0.566
YKL037W	0.478
YKL038W	0.548
YKL039W	0.977
YKL040C	1.227
YKL041W	1.455
YKL043W	1.068
YKL044W	1.305
YKL046C	1.15
YKL047W	0.527
YKL048C	2.755
YKL050C	0.602
YKL051W	0.612
YKL053C-A	0.95
YKL053W	0.716
YKL054C	2.923
YKL055C	8.594
YKL056C	0.977
YKL057C	1.408
YKL061W	0.99
YKL062W	0.891
YKL063C	1.158
YKL064W	1.057
YKL065C	1.168
YKL066W	1.242
YKL067W	1.178
YKL068W	1.114
YKL069W	0.939
YKL070W	1.015
YKL071W	1.193
YKL072W	1.315
YKL073W	1.3
YKL074C	1.104
YKL075C	1.162
YKL076C	1.397
YKL077W	1.283
YKL079W	1.098
YKL080W	1.286
YKL081W	1.193
YKL084W	1.021
YKL085W	0.963
YKL086W	0.881
YKL087C	0.807
YKL090W	1.009
YKL091C	1.552
YKL092C	1.455
YKL093W	1.239
YKL094W	1.222
YKL096W	1.32
YKL096W-A	1.099
YKL097C	1.279
YKL098W	0.911
YKL100C	1.208
YKL101W	1.768
YKL102C	1.107
YKL105C	0.951
YKL106W	1.32
YKL107W	1.428
YKL109W	1.276
YKL110C	1.38
YKL113C	1.357
YKL114C	1.273
YKL115C	1.015
YKL116C	1.165
YKL117W	1.147
YKL118W	1.177
YKL119C	1.061
YKL120W	1.321
YKL121W	1.339
YKL123W	1.276
YKL124W	1.343
YKL126W	1.091
YKL127W	0.758
YKL128C	0.842
YKL129C	1.249
YKL130C	1.174
YKL131W	1.009
YKL132C	1.049
YKL133C	0.933
YKL134C	0.716
YKL135C	1.324
YKL136W	0.7
YKL137W	0.65
YKL138C	0.721
YKL139W	1.103
YKL140W	0.724
YKL142W	0.717
YKL143W	0.774
YKL146W	1.006
YKL147C	1.22
YKL148C	1.101
YKL149C	0.954
YKL150W	1.327
YKL151C	1.086
YKL155C	0.691
YKL156W	0.976
YKL157W	0.744
YKL159C	0.818
YKL160W	0.875
YKL161C	1.15
YKL162C	1.073
YKL162C-A	0.912
YKL163W	1.193
YKL164C	0.976
YKL166C	1.22
YKL167C	0.914
YKL168C	0.788
YKL169C	0.418
YKL170W	0.566
YKL171W	0.721
YKL174C	0.896
YKL175W	0.951
YKL176C	1.232
YKL177W	1.028
YKL178C	1.199
YKL179C	1.119
YKL183W	1.07
YKL184W	0.987
YKL185W	0.899
YKL187C	1.013
YKL188C	1.085
YKL190W	1.078
YKL191W	0.964
YKL194C	0.965
YKL197C	0.918
YKL198C	0.948
YKL201C	1.041
YKL202W	0.986
YKL204W	1.219
YKL205W	0.997
YKL206C	0.987
YKL207W	1.013
YKL208W	0.857
YKL211C	0.885
YKL212W	0.931
YKL213C	1.063
YKL214C	1.082
YKL215C	1.088
YKL216W	1.104
YKL217W	1.121
YKL218C	0.871
YKL220C	1.078
YKL221W	0.984
YKL222C	1.032
YKR001C	1.199
YKR003W	0.927
YKR005C	1.03
YKR006C	0.969
YKR007W	0.912
YKR009C	1.008
YKR010C	1.068
YKR011C	0.984
YKR012C	0.978
YKR013W	1.044
YKR014C	0.89
YKR015C	0.965
YKR016W	0.892
YKR017C	0.833
YKR018C	0.876
YKR019C	0.999
YKR020W	0.884
YKR021W	0.943
YKR023W	1.155
YKR026C	0.929
YKR027W	1.161
YKR028W	1.05
YKR029C	1.102
YKR030W	1.036
YKR031C	1.066
YKR032W	1.036
YKR033C	1.115
YKR034W	1.039
YKR035C	0.941
YKR035W-A	0.869
YKR036C	1.004
YKR039W	1.039
YKR040C	1.052
YKR041W	1.093
YKR042W	1.105
YKR043C	0.9
YKR044W	1.0
YKR045C	0.976
YKR046C	1.119
YKR047W	1.377
YKR048C	1.459
YKR049C	1.005
YKR050W	1.077
YKR051W	0.934
YKR052C	1.016
YKR053C	1.14
YKR054C	1.058
YKR055W	1.779
YKR056W	1.035
YKR057W	0.895
YKR058W	0.968
YKR059W	1.146
YKR060W	1.035
YKR061W	1.044
YKR064W	0.967
YKR065C	1.049
YKR066C	0.821
YKR067W	0.856
YKR069W	0.838
YKR070W	0.836
YKR072C	1.121
YKR073C	0.874
YKR074W	0.99
YKR075C	1.064
YKR076W	0.953
YKR078W	0.909
YKR080W	0.869
YKR082W	1.622
YKR084C	0.854
YKR085C	0.754
YKR088C	0.632
YKR089C	0.665
YKR090W	0.655
YKR091W	0.768
YKR092C	0.918
YKR093W	1.022
YKR094C	1.21
YKR095W	1.206
YKR096W	1.315
YKR097W	1.082
YKR098C	1.056
YKR099W	1.123
YKR100C	0.839
YKR101W	0.69
YKR102W	1.256
YKR103W	0.67
YKR104W	0.733
YKR105C	0.882
YKR106W	0.899
YLL001W	1.286
YLL002W	2.711
YLL005C	1.815
YLL006W	1.211
YLL007C	0.849
YLL009C	1.536
YLL010C	1.279
YLL012W	1.084
YLL013C	1.519
YLL014W	1.373
YLL015W	1.341
YLL018C-A	0.582
YLL019C	1.396
YLL020C	1.373
YLL021W	1.083
YLL023C	1.031
YLL024C	0.992
YLL025W	0.881
YLL026W	0.899
YLL027W	0.782
YLL028W	1.152
YLL029W	0.907
YLL030C	1.102
YLL032C	0.959
YLL033W	1.07
YLL038C	0.811
YLL039C	1.036
YLL040C	1.185
YLL041C	0.957
YLL042C	1.098
YLL043W	0.998
YLL044W	1.482
YLL045C	0.87
YLL046C	1.03
YLL047W	1.189
YLL049W	1.0
YLL051C	1.079
YLL052C	1.245
YLL053C	1.278
YLL054C	1.498
YLL055W	0.992
YLL056C	0.957
YLL057C	1.181
YLL058W	1.014
YLL059C	0.436
YLL060C	1.024
YLL062C	1.223
YLL063C	1.087
YLR001C	1.566
YLR003C	0.993
YLR004C	1.047
YLR006C	0.946
YLR011W	1.014
YLR012C	1.112
YLR013W	1.404
YLR014C	1.0
YLR015W	1.152
