orf	hap a | abundance of alanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of aspartic acid | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamate | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of phenylalanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glycine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of histidine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of isoleucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of lysine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of leucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of methionine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of asparagine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of proline | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of arginine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of serine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of threonine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of valine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tryptophan | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tyrosine | minimal [standard] | Mulleder M~Ralser M, 2016
YLR137W	-0.031041344490323655	0.17315795922359303	0.08590283615462521	0.47508485891554825	0.42755440510210757	-0.28489040767964174	0.16280287968013868	-0.2112806200239526	0.31332749034898677	0.07560497997826801	-0.2945884458976122	-0.16545652867536817	-0.59558988388532	-0.051721928856892724	-0.31303953802011186	0.5705486717317371	0.27363368283910033	0.6987951648045663	0.11116055880937843
YLR138W	-0.09033112697054951	0.29439485104162694	0.8491421039596896	0.3623987829262691	0.15946621378972697	-0.43624382875914347	-0.31869464922794205	-0.39902306823140715	0.49876450874736306	0.12503745568775987	0.0025943294877003747	0.26557099961546754	0.041862356328277374	-0.5667347807971651	-0.2000695230880488	-0.18528785371828774	0.12845345926923127	-0.6812676986337959	0.10185379878964773
YLR139C	1.171537354224781	3.13638096248154	0.024455165397436467	0.07045867231909818	0.026607980903740554	-1.2237782418057055	0.5056909495040632	-0.8432543880469147	-2.288389076347025	-0.36952880800102894	2.7976748498510355	-0.6728627511177627	-0.4086723240265241	-0.8526551177973812	-2.2231900694205278	3.2612938678924213	1.7522209355476135	-0.8614051302858147	1.8798058419874206
YLR142W	0.8945558052008084	0.11341850739418399	-0.01321162319356147	-0.2684147860209481	0.9535870143515804	-0.6893396897370234	0.2680420230129524	-0.17604738756538632	-1.170292967882481	-0.46979422942075705	-0.2674831757538263	0.016356617849315094	-0.7578598952999482	0.1829980378588562	0.37809774903397286	1.324726696523997	0.5633280837559254	-1.2240666726279656	-0.2575623648082144
YLR143W	0.41582063069018327	0.7255075175530209	0.18575571792924972	-0.3349104473712418	-0.1669601219551475	0.396329049590081	0.7533375331559073	0.40513436969438293	-0.08106696712418943	-0.14674956925485705	-0.37747773430901854	-0.11260501890846501	0.2029687024939725	0.13186921044797995	-0.18678748610270202	-0.18866010758911686	0.38580173123618494	-0.4373233543674199	-0.184902632869003
YLR144C	0.09476614528669888	0.3011205915563928	0.7223829822910747	-0.1185738390938231	0.7759361345278726	-0.2908495148561698	0.5301143695746203	-0.002964382398987074	0.11515548038511732	0.022260216289400024	-0.06190410465015235	0.9117927843828876	-0.1260733271372912	-0.21253143699490737	0.26835494005326854	0.918566722674615	0.295110900917564	-0.22232816486198115	-0.1125387805940429
YLR146C	-0.010462286796894427	-0.16109141646805025	0.030439150123345072	0.26699786106761986	-0.4368317373212449	-0.37677810165950837	0.9470146141813375	-0.36670408023106155	1.198976717530316	0.7719667498857539	0.13301568484871068	-0.36888866242707974	0.0007600230260744127	-0.18807852650705703	0.5092275066804911	-1.1519660981717144	0.019351460297533152	1.5929831592038761	0.14869243720412367
YLR149C	0.08982737503451299	0.5642033550374403	0.5236148614910797	0.2549783991286604	0.002454148734140036	-0.13593229810488944	0.093018472040244	-0.5891484904195451	0.9217381315308624	-0.2719116426470852	0.2902738322679948	-0.020877096900078666	0.10403410943894882	-0.6159249302222685	1.597423942256125	-0.12957601300983965	-0.07571946594504743	0.6804815765845881	0.012612540742194688
YLR150W	0.7776143764696783	0.6444498097899943	-0.001435202737889923	-0.8058509108960278	0.750105063851614	-1.4560583366195268	0.2250478971559286	-0.7929454416161155	0.011173817930485367	0.8522755655777703	-0.2141176934642961	-0.20969480055149067	0.41545481002437407	-0.795860552967781	0.5565803322902045	-0.056978241956617943	0.21963969856065269	-0.5134240156886402	-0.6296255298357941
YLR151C	0.021774664307667585	-0.03212161135891333	0.05975842065378979	0.7963516769053232	0.4250014800910293	-0.304667463734776	0.46927068921403714	-0.16108337745267778	1.160484152518541	-0.2924939201431207	-0.39552768036707975	-0.13283397254754836	-0.8112251035165444	-0.09853360005974483	0.3674959978048927	-0.7958494769592549	0.054165189774553334	1.1898620001751194	0.6108582427217983
