ORF	hap a | abundance of alanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of aspartic acid | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamate | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of phenylalanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glycine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of histidine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of isoleucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of lysine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of leucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of methionine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of asparagine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of proline | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of arginine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of serine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of threonine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of valine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tryptophan | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tyrosine | minimal [standard] | Mulleder M~Ralser M, 2016
YPL023C	5.938	4.700	21.906	0.337	1.450	4.765	0.417	0.522	0.319	0.195	1.247	1.125	28.163	2.749	2.047	3.768	1.407	0.047	2.958
YPL024W	5.648	4.895	21.466	0.316	1.628	5.422	0.415	1.066	0.319	0.126	1.216	1.079	28.298	3.248	2.017	3.492	1.217	0.043	3.370
YPL025C	5.640	5.383	21.074	0.277	1.991	4.456	0.388	0.701	0.263	0.159	1.300	1.128	24.241	2.886	2.404	3.840	1.374	0.042	3.054
YPL026C	5.883	5.036	23.181	0.273	1.653	4.755	0.385	0.731	0.273	0.136	1.252	1.153	27.785	2.358	2.340	4.037	1.336	0.041	2.788
YPL027W	5.537	5.025	20.395	0.283	2.107	5.141	0.403	0.974	0.276	0.113	1.129	1.039	24.434	3.701	2.486	3.621	1.354	0.039	2.707
YPL029W	7.074	5.708	17.540	0.226	2.085	3.121	0.408	0.823	0.204	0.136	1.310	0.912	25.479	1.919	2.097	4.769	1.354	0.033	3.297
YPL030W	8.483	5.415	23.290	0.304	1.245	4.765	0.284	0.619	0.239	0.161	1.482	1.125	28.190	4.890	1.807	3.822	0.806	0.043	3.141
YPL031C	11.576	4.893	21.466	0.473	2.261	5.445	0.353	9.560	0.190	0.104	1.466	0.785	14.804	2.797	2.858	3.610	1.218	0.053	8.923
YPL032C	6.368	5.758	23.719	0.232	1.775	5.033	0.367	0.665	0.233	0.145	1.349	1.208	29.508	2.230	2.273	4.161	1.297	0.033	2.729
YPL033C	5.730	5.098	23.470	0.277	2.174	4.765	0.387	0.965	0.289	0.121	1.141	1.140	24.828	3.694	2.101	3.768	1.253	0.042	2.795
YPL034W	5.633	5.036	19.428	0.302	2.157	5.071	0.421	0.841	0.291	0.119	1.142	1.038	24.650	3.122	2.241	3.710	1.384	0.040	2.516
YPL035C	6.127	5.604	21.691	0.274	1.581	4.687	0.384	0.619	0.265	0.143	1.327	1.116	28.708	2.126	2.364	4.453	1.290	0.039	2.983
YPL036W	5.428	5.248	19.573	0.287	1.774	5.549	0.403	0.952	0.286	0.105	1.179	0.984	26.282	3.519	2.273	3.577	1.270	0.041	2.859
YPL037C	6.269	5.628	23.364	0.272	1.486	4.931	0.385	0.754	0.236	0.147	1.414	1.076	29.995	2.590	2.243	4.313	1.337	0.039	3.417
YPL038W	6.286	5.140	21.466	0.316	1.635	4.447	0.406	0.520	0.293	0.164	1.194	1.047	25.421	2.487	2.024	4.048	1.351	0.043	3.092
YPL038W-A	4.555	5.752	18.545	0.294	1.828	5.155	0.398	0.889	0.336	0.069	1.098	0.928	23.745	2.945	2.604	3.279	1.128	0.049	3.554
YPL039W	5.974	5.145	21.539	0.322	1.369	4.740	0.399	0.585	0.303	0.171	1.322	1.071	27.578	3.019	2.052	3.787	1.341	0.047	2.933
YPL040C	5.666	5.036	21.679	0.295	1.432	4.654	0.374	0.474	0.275	0.172	1.295	1.157	28.668	1.931	2.035	3.710	1.366	0.040	2.458
YPL041C	5.763	5.397	23.054	0.280	1.518	4.447	0.388	0.869	0.274	0.118	1.267	1.065	26.909	4.794	2.245	4.066	1.211	0.041	2.872
YPL042C	6.551	5.298	16.895	0.212	3.671	5.537	0.399	1.093	0.199	0.078	1.032	0.970	28.821	3.655	3.346	4.751	1.311	0.030	2.712
YPL046C	6.746	4.726	18.169	0.280	2.979	4.037	0.399	0.618	0.216	0.123	1.159	0.935	22.411	2.920	2.442	5.162	1.394	0.040	2.984
YPL047W	7.288	4.668	21.709	0.287	1.810	5.435	0.396	0.659	0.240	0.126	1.309	1.282	32.763	2.421	2.164	3.996	1.408	0.036	2.857
YPL048W	6.663	4.834	19.218	0.269	2.394	4.373	0.405	0.544	0.221	0.153	1.262	1.069	25.301	2.880	2.472	4.607	1.411	0.038	2.814
