ORF	hap alpha | mitophagy (Om45-GFP) | YPL [standard] | Kanki T~Klionsky DJ, 2009
YDR186C	1.000
YDR191W	1.000
YDR192C	1.000
YDR193W	-1.000
YDR195W	-1.000
YDR198C	1.000
YDR199W	1.000
YDR200C	1.000
YDR202C	1.000
YDR203W	1.000
YDR204W	-1.000
YDR205W	1.000
YDR206W	1.000
YDR207C	1.000
YDR209C	1.000
YDR210W	1.000
YDR213W	1.000
YDR214W	1.000
YDR215C	1.000
YDR216W	1.000
YDR217C	-1.000
YDR218C	1.000
YDR219C	1.000
YDR220C	1.000
YDR221W	1.000
YDR222W	1.000
YDR223W	1.000
YDR225W	1.000
YDR226W	1.000
YDR227W	1.000
YDR229W	1.000
YDR231C	-1.000
YDR233C	1.000
YDR234W	1.000
YDR237W	-1.000
YDR239C	1.000
YDR241W	1.000
YDR242W	1.000
YDR244W	-1.000
YDR245W	1.000
YDR247W	1.000
YDR248C	1.000
YDR249C	1.000
YDR250C	1.000
YDR251W	1.000
YDR252W	-1.000
YDR253C	-1.000
YDR254W	1.000
YDR255C	1.000
YDR256C	1.000
YDR257C	1.000
YDR258C	1.000
YDR259C	1.000
YDR260C	1.000
YDR261C	1.000
YDR262W	1.000
YDR263C	1.000
YDR264C	1.000
YDR265W	1.000
YDR266C	1.000
YDR268W	1.000
YDR269C	1.000
YDR270W	1.000
YDR271C	1.000
YDR272W	1.000
YDR273W	1.000
YDR274C	1.000
YDR275W	1.000
YDR276C	1.000
YDR277C	1.000
YDR278C	1.000
YDR279W	1.000
YDR281C	1.000
YDR282C	1.000
YDR283C	1.000
YDR284C	1.000
YDR285W	1.000
YDR286C	1.000
YDR287W	1.000
YDR289C	1.000
YDR290W	1.000
YDR291W	1.000
YDR293C	1.000
YDR294C	1.000
YDR295C	1.000
YDR296W	NaN
YDR297W	1.000
YDR298C	-1.000
YDR300C	1.000
YDR304C	1.000
YDR305C	1.000
YDR306C	1.000
YDR307W	1.000
YDR309C	1.000
YDR310C	1.000
YDR312W	1.000
YDR313C	1.000
YDR314C	1.000
YDR315C	1.000
YDR316W	1.000
YDR317W	1.000
YDR318W	1.000
YDR319C	1.000
YDR320C	1.000
YDR321W	1.000
YDR322W	-1.000
YDR323C	-1.000
YDR326C	1.000
YDR329C	1.000
YDR330W	1.000
YDR332W	-1.000
YDR333C	1.000
YDR334W	1.000
YDR335W	1.000
YDR336W	1.000
YDR337W	-1.000
YDR338C	1.000
YDR340W	1.000
YDR344C	1.000
YDR345C	1.000
YDR346C	1.000
YDR348C	1.000
YDR349C	1.000
YDR351W	1.000
YDR352W	1.000
YDR354W	1.000
YDR357C	1.000
YDR358W	1.000
YDR359C	1.000
YDR360W	1.000
YDR363W	1.000
YDR363W-A	1.000
YDR364C	NaN
YDR368W	1.000
YDR369C	NaN
YDR370C	1.000
YDR371W	1.000
YDR372C	1.000
YDR374C	1.000
YDR378C	1.000
YDR379W	1.000
YDR380W	1.000
YDR382W	1.000
YDR383C	1.000
YDR384C	1.000
YDR385W	1.000
YDR386W	1.000
YDR387C	1.000
YDR388W	NaN
YDR389W	-1.000
YDR391C	1.000
YDR392W	1.000
YDR393W	1.000
YDR395W	1.000
YDR399W	1.000
YDR400W	1.000
YDR401W	1.000
YDR402C	1.000
YDR403W	1.000
YDR405W	NaN
YDR406W	1.000
YDR408C	1.000
YDR409W	1.000
YDR410C	1.000
YDR411C	1.000
YDR414C	1.000
YDR415C	1.000
YDR417C	1.000
YDR418W	1.000
YDR419W	1.000
YDR420W	1.000
YDR421W	1.000
YDR422C	1.000
YDR423C	1.000
YDR424C	1.000
YDR425W	1.000
YDR426C	1.000
YDR428C	1.000
YDR430C	1.000
YDR431W	1.000
YDR432W	1.000
YDR433W	1.000
YDR435C	1.000
YDR436W	1.000
YDR438W	1.000
YDR439W	1.000
YDR440W	1.000
YDR441C	1.000
YDR442W	1.000
YDR443C	1.000
YDR444W	1.000
YDR445C	1.000
YDR446W	1.000
YDR447C	1.000
YDR448W	NaN
YDR450W	1.000
YDR451C	1.000
YDR452W	1.000
YDR453C	1.000
YDR455C	1.000
YDR456W	1.000
YDR457W	1.000
YDR458C	-1.000
YDR459C	-1.000
YDR461W	1.000
YDR462W	-1.000
YDR463W	1.000
YDR465C	1.000
YDR466W	1.000
YDR467C	1.000
YDR469W	1.000
YDR470C	NaN
YDR471W	1.000
YDR475C	1.000
YDR476C	1.000
YDR477W	1.000
YDR479C	1.000
YDR480W	1.000
YDR481C	1.000
YDR482C	1.000
YDR483W	1.000
YDR484W	-1.000
YDR485C	1.000
YDR486C	1.000
YDR488C	1.000
YDR490C	1.000
YDR491C	-1.000
YDR492W	1.000
YDR493W	1.000
YDR494W	-1.000
YDR495C	1.000
YDR496C	1.000
YDR497C	1.000
YDR500C	1.000
YDR501W	1.000
YDR502C	1.000
YDR503C	1.000
YDR504C	-1.000
YDR505C	1.000
YDR506C	NaN
YDR507C	NaN
YDR508C	1.000
YDR509W	1.000
YDR511W	-1.000
YDR512C	NaN
YDR513W	1.000
YDR514C	1.000
YDR515W	1.000
YDR516C	1.000
YDR517W	1.000
YDR518W	1.000
YDR519W	1.000
YDR520C	1.000
YDR521W	1.000
YDR522C	1.000
YDR523C	-1.000
YDR524C	-1.000
YDR525W	1.000
YDR525W-A	1.000
YDR528W	1.000
YDR529C	-1.000
YDR530C	1.000
YDR533C	1.000
YDR534C	1.000
