ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YMR207C	100.714	83.454	96.318	4.945	5.075	5.867
YMR209C	105.751	94.105	96.250	5.283	5.339	5.658
YMR210W	110.151	100.592	98.924	5.172	5.179	5.842
YMR214W	94.968	92.753	89.738	4.988	5.160	6.029
YMR215W	102.890	98.264	99.064	5.071	5.176	4.637
YMR216C	114.226	107.418	101.974	5.257	5.101	5.890
YMR219W	107.992	96.988	95.913	5.292	5.160	6.010
YMR221C	92.112	95.725	89.055	5.296	5.185	6.088
YMR222C	77.991	101.157	101.455	5.149	5.180	5.906
YMR223W	98.328	76.457	83.740	5.212	5.240	6.033
YMR224C	86.505	81.520	93.420	5.087	5.173	5.959
YMR225C	100.192	97.041	89.283	5.246	5.194	6.075
YMR226C	108.393	92.595	98.633	5.260	5.199	5.918
YMR228W	NaN	NaN	NaN	NaN	NaN	NaN
YMR230W	105.259	93.608	92.813	5.153	5.120	5.958
YMR231W	NaN	NaN	NaN	NaN	NaN	NaN
YMR232W	107.731	97.001	96.685	5.077	5.134	5.895
YMR233W	107.400	92.792	96.103	5.173	4.983	5.806
YMR234W	102.490	95.068	97.178	5.014	5.049	4.326
YMR237W	109.055	101.855	102.708	5.173	5.155	5.951
YMR238W	83.859	90.135	95.356	5.092	5.180	5.929
YMR241W	94.480	97.277	90.953	5.293	5.154	5.930
YMR242C	72.244	90.385	96.609	4.897	5.132	5.950
YMR243C	108.497	99.132	100.190	5.275	5.167	5.575
YMR244C-A	104.388	94.200	100.987	5.253	5.146	5.903
YMR244W	97.614	97.922	93.104	5.202	5.191	6.046
YMR245W	104.040	94.831	97.862	5.306	5.208	5.662
YMR246W	107.226	94.594	98.026	5.260	5.166	5.874
YMR247C	103.430	90.898	97.102	5.217	5.176	5.817
YMR250W	106.930	94.923	96.153	5.215	5.065	5.939
YMR251W	97.458	98.737	95.976	5.056	5.202	6.105
YMR251W-A	94.341	95.107	91.687	5.315	5.184	5.959
YMR252C	90.197	93.121	93.154	5.365	5.288	5.882
YMR253C	106.007	100.526	101.607	5.262	5.196	5.859
YMR254C	89.239	94.752	89.738	5.365	5.250	6.067
YMR255W	90.911	94.936	90.042	5.326	5.222	6.081
YMR256C	102.470	90.394	92.213	5.254	5.325	5.586
YMR257C	90.527	87.542	98.838	NaN	5.307	5.557
YMR258C	100.192	96.764	96.280	5.112	5.201	6.029
YMR259C	99.286	94.423	96.849	5.230	5.169	5.957
YMR261C	108.671	98.658	99.658	5.235	5.191	5.822
YMR262W	102.629	92.648	95.318	5.210	5.189	5.962
YMR263W	95.403	86.308	95.635	5.105	5.116	5.778
YMR264W	106.826	97.948	100.924	5.208	5.087	5.976
YMR265C	103.987	99.421	99.949	5.071	5.122	5.908
YMR266W	94.334	93.010	89.024	4.842	4.891	5.948
YMR267W	102.220	97.400	91.938	5.255	5.328	5.604
YMR269W	88.943	80.626	98.520	5.110	5.159	5.918
YMR271C	108.421	99.262	102.850	5.292	5.348	5.688
YMR272C	96.309	93.871	98.886	5.133	5.115	6.072
YMR273C	98.381	94.568	99.848	5.367	5.109	5.854
YMR274C	94.271	93.253	100.380	5.073	5.139	5.934
YMR275C	87.063	78.864	71.745	5.118	5.142	5.959
YMR276W	99.687	96.751	101.518	5.150	5.081	5.997
YMR278W	101.759	96.409	99.342	5.258	5.037	5.881
YMR279C	112.022	102.714	101.688	5.294	5.337	5.633
YMR280C	103.918	92.464	99.279	5.245	5.105	5.968
YMR282C	51.735	76.133	58.075	5.254	5.326	5.598
YMR283C	95.525	93.042	93.192	5.225	5.120	5.918
YMR284W	NaN	NaN	NaN	NaN	NaN	NaN
YMR285C	NaN	NaN	NaN	NaN	NaN	NaN
YMR286W	NaN	NaN	NaN	NaN	NaN	NaN
YMR287C	NaN	NaN	NaN	NaN	NaN	NaN
YMR289W	98.234	96.325	97.304	5.315	5.150	5.940
YMR291W	98.730	98.136	96.698	5.331	5.135	6.009
YMR292W	99.396	96.325	93.976	5.212	5.160	NaN
YMR293C	NaN	NaN	NaN	NaN	NaN	NaN
YMR294W	86.294	95.091	96.272	5.154	5.126	NaN
YMR294W-A	98.327	100.791	99.394	5.140	5.127	NaN
YMR295C	101.951	98.981	98.233	5.180	5.176	5.833
YMR297W	103.438	98.458	99.807	4.507	5.109	5.881
YMR299C	95.958	96.258	96.504	5.205	5.136	5.959
YMR300C	102.431	100.523	101.858	5.140	5.156	5.831
YMR302C	98.807	98.592	99.020	5.114	5.153	5.870
YMR303C	101.115	100.684	102.386	5.147	5.101	5.887
YMR304C-A	97.925	97.425	94.002	5.195	5.136	6.013
YMR304W	93.232	109.536	104.347	5.471	5.257	5.710
YMR305C	97.754	94.099	93.576	5.416	5.188	6.040
YMR306C-A	97.305	99.531	95.175	5.316	5.211	6.006
YMR306W	98.493	97.179	91.688	5.297	5.352	5.655
YMR307W	43.286	91.309	93.163	5.560	5.271	5.766
YMR310C	100.666	101.636	96.917	5.311	5.133	5.951
YMR311C	100.662	99.106	102.713	5.301	5.360	5.908
YMR312W	83.380	82.072	89.562	5.293	5.356	5.800
YMR313C	106.321	99.940	102.088	5.288	5.362	5.817
YMR315W	109.338	98.637	102.625	5.296	5.341	5.734
YMR316C-A	99.786	94.066	98.213	5.272	5.371	5.860
YMR316C-B	101.733	97.101	101.450	5.289	5.354	5.687
YMR316W	103.610	95.968	102.287	5.282	5.341	5.708
YMR317W	106.641	90.316	102.550	5.296	5.362	5.703
YMR318C	104.430	95.395	100.537	5.288	5.334	5.681
YMR319C	100.676	97.296	99.763	5.297	5.348	5.733
YMR320W	102.150	95.772	100.850	5.291	5.377	5.798
YMR322C	94.142	95.811	93.588	5.294	5.328	5.465
YMR326C	82.435	93.415	97.725	5.314	5.357	5.703
YNL001W	90.666	100.591	105.750	5.297	5.308	5.720
YNL003C	92.237	100.070	103.862	5.301	5.310	5.714
YNL004W	97.451	97.843	103.200	5.339	5.315	5.717
YNL005C	84.645	93.754	100.338	NaN	5.318	5.453
YNL008C	96.255	103.013	102.888	5.309	5.310	5.729
YNL009W	98.744	94.574	102.888	5.301	5.309	5.543
YNL010W	91.583	51.311	100.700	5.293	5.323	5.574
YNL011C	106.321	101.776	102.544	5.296	5.311	5.526
YNL012W	98.591	79.923	103.438	5.293	5.333	5.923
YNL013C	99.077	99.588	103.275	5.374	5.330	5.842
YNL014W	106.752	102.023	101.081	5.300	5.314	5.630
YNL015W	98.632	103.039	102.162	5.365	5.327	5.781
YNL016W	69.741	83.101	84.500	NaN	5.323	5.933
YNL020C	92.751	97.986	104.025	5.309	5.318	5.759
YNL021W	69.198	72.148	88.638	5.288	5.311	5.609
YNL022C	89.790	94.301	97.450	5.310	5.326	5.838
YNL023C	100.607	97.517	101.263	5.318	5.304	5.528
YNL024C	98.007	96.137	101.575	5.327	5.313	5.542
YNL025C	NaN	55.023	42.163	NaN	5.330	5.718
YNL027W	85.090	95.629	103.300	5.275	5.324	5.621
YNL028W	91.097	76.876	93.700	5.367	5.331	5.939
YNL029C	99.077	97.114	103.888	5.317	5.314	5.739
YNL030W	96.825	101.685	102.250	5.315	5.314	5.748
YNL031C	94.920	97.713	100.400	5.331	5.310	5.720
YNL032W	85.424	99.432	99.975	5.297	5.315	5.649
YNL034W	99.494	101.125	98.050	5.326	5.308	5.723
YNL035C	91.055	91.969	96.350	5.317	5.324	5.834
YNL037C	79.000	84.546	95.412	5.307	5.321	5.490
YNL040W	94.545	98.963	100.275	5.318	5.313	5.768
YNL041C	71.993	97.426	98.263	5.287	5.322	5.612
YNL042W	96.227	99.549	105.188	5.343	5.325	5.771
YNL043C	53.807	101.307	112.050	5.267	5.301	5.835
YNL044W	65.166	97.569	98.900	5.250	5.302	5.945
YNL045W	81.169	98.611	105.450	5.303	5.293	5.799
YNL046W	98.382	100.487	101.000	5.299	5.285	5.794
YNL047C	105.292	103.182	96.388	5.273	5.318	5.556
YNL049C	92.404	96.397	105.250	5.301	5.284	5.671
YNL050C	87.190	88.818	96.625	5.261	5.300	5.881
YNL051W	48.176	92.373	81.250	NaN	5.344	5.866
YNL052W	95.991	95.603	97.737	5.305	5.318	5.794
YNL053W	99.036	102.206	94.175	5.264	5.304	5.521
YNL054W	79.626	87.737	93.800	5.309	5.318	5.817
YNL055C	66.042	27.948	77.638	5.278	5.326	5.563
YNL056W	88.969	85.810	81.950	5.313	5.343	5.817
YNL057W	86.425	90.446	94.638	5.351	5.325	5.875
YNL058C	85.090	93.558	95.438	5.319	5.312	5.811
YNL059C	42.128	76.915	83.487	NaN	5.337	5.643
YNL063W	89.970	92.308	94.150	5.323	5.318	5.806
YNL064C	37.748	86.448	86.400	NaN	5.364	5.709
YNL065W	93.961	98.377	95.688	5.349	5.333	5.821
YNL066W	83.700	87.398	87.100	5.309	5.333	5.959
YNL067W	78.458	74.610	81.100	5.276	5.329	5.934
YNL068C	86.091	90.680	92.487	5.342	5.330	5.933
YNL069C	85.146	97.361	87.650	5.269	5.318	5.501
YNL070W	82.685	87.242	86.375	5.317	5.319	5.771
YNL071W	97.159	89.013	92.675	5.313	5.315	5.722
YNL072W	78.973	77.865	84.075	5.336	5.330	5.985
YNL073W	93.279	91.214	96.325	5.299	5.316	5.462
YNL074C	74.232	78.816	82.225	NaN	5.332	5.879
YNL076W	50.637	37.324	22.462	5.293	5.330	5.772
YNL077W	75.817	92.347	95.662	5.304	5.314	5.719
YNL078W	NaN	23.403	NaN	NaN	5.333	NaN
YNL079C	67.836	91.279	83.088	5.299	5.336	5.709
YNL080C	80.697	88.063	86.938	5.289	5.317	5.782
YNL081C	74.120	86.474	96.050	5.308	5.303	5.744
YNL082W	62.274	81.251	79.025	5.316	5.327	5.916
YNL083W	47.745	80.157	78.562	5.293	5.326	5.940
YNL084C	NaN	78.165	87.912	NaN	5.316	5.832
YNL085W	62.872	82.606	83.000	5.298	5.327	5.966
YNL086W	98.243	104.459	95.862	5.285	5.329	5.593
YNL087W	58.715	86.109	83.737	5.276	5.333	5.891
YNL089C	106.516	106.920	98.850	5.276	5.329	5.617
YNL090W	74.371	87.346	89.938	5.276	5.333	5.881
YNL091W	NaN	NaN	NaN	NaN	NaN	NaN
YNL092W	78.166	92.751	96.737	5.342	5.312	5.764
YNL093W	84.923	89.912	82.987	5.311	5.309	5.592
YNL094W	64.749	86.448	96.537	5.309	5.305	5.707
YNL095C	93.891	89.716	93.675	5.309	5.323	5.847
YNL096C	101.497	105.800	93.050	5.270	5.336	5.535
YNL097C	78.917	80.939	88.412	5.274	5.325	5.697
YNL098C	59.146	87.542	90.537	5.294	5.319	5.854
YNL099C	NaN	22.673	NaN	NaN	5.326	NaN
YNL100W	86.355	89.677	84.237	5.338	5.333	5.941
YNL101W	76.164	90.211	94.513	5.297	5.318	5.843
YNL104C	73.606	80.496	91.312	5.329	5.328	5.875
YNL105W	91.597	92.230	96.450	5.294	5.310	5.749
YNL106C	80.836	59.242	75.862	5.302	5.334	5.880
YNL107W	54.961	85.862	73.912	5.323	5.336	5.700
YNL108C	74.676	94.496	97.362	5.309	5.308	5.775
YNL109W	108.240	107.832	95.125	5.276	5.328	5.531
YNL111C	103.749	104.315	93.338	5.264	5.323	5.620
YNL115C	89.567	85.002	80.900	5.299	5.333	5.920
YNL116W	76.859	93.207	99.125	5.312	5.314	5.733
YNL117W	82.337	93.246	96.675	5.313	5.315	5.737
YNL119W	61.190	62.472	66.812	NaN	5.341	5.929
YNL120C	66.265	70.885	78.513	5.275	5.334	5.948
YNL121C	95.754	98.103	89.750	5.293	5.355	5.664
YNL122C	77.791	92.738	99.062	5.292	5.324	5.879
YNL123W	63.776	87.568	90.362	5.306	5.315	5.763
YNL125C	89.025	93.024	80.912	5.288	5.353	5.644
YNL127W	71.423	85.966	94.013	5.321	5.317	5.699
YNL128W	83.672	91.188	93.287	5.309	5.315	5.744
YNL129W	83.950	88.753	95.213	5.305	5.313	5.706
YNL130C	89.678	100.408	88.737	5.293	5.337	5.498
YNL133C	NaN	28.521	21.512	NaN	5.336	5.611
YNL134C	80.224	91.579	96.987	5.305	5.308	5.675
YNL135C	81.837	82.098	92.325	5.307	5.301	5.700
YNL136W	57.311	87.476	93.787	5.306	5.331	5.631
YNL138W	90.388	86.982	87.763	NaN	NaN	NaN
YNL139C	31.436	32.623	NaN	NaN	5.332	NaN
YNL140C	97.840	98.559	94.650	5.289	5.334	5.383
YNL141W	35.718	94.053	89.138	5.291	5.303	5.594
YNL142W	102.456	98.807	99.713	5.277	5.320	5.468
YNL143C	78.097	90.094	97.600	5.302	5.311	5.729
YNL144C	82.296	95.655	97.938	5.293	5.306	5.757
YNL145W	76.414	93.337	98.425	5.284	5.315	5.741
YNL146W	82.880	94.157	92.888	5.328	5.302	5.818
YNL147W	116.248	109.837	101.000	5.277	5.326	5.492
YNL148C	44.585	53.805	77.612	4.289	4.874	6.053
YNL154C	101.507	97.992	95.900	4.755	4.944	5.807
YNL155W	94.358	88.848	90.019	4.754	4.993	5.945
YNL157W	104.022	100.601	99.145	4.829	5.003	5.913
YNL159C	103.397	100.844	96.743	4.864	4.936	5.924
YNL160W	91.586	93.848	83.247	5.025	5.010	6.117
YNL167C	99.417	104.860	91.003	4.966	5.064	6.062
YNL168C	101.350	106.663	94.705	5.027	5.028	6.052
YNL170W	101.450	92.314	93.522	4.993	4.988	5.981
YNL173C	105.273	104.463	98.278	4.793	4.949	5.865
YNL175C	96.674	96.176	87.149	4.970	4.994	6.033
YNL176C	105.841	103.261	97.294	4.912	4.930	5.894
YNL177C	NaN	35.925	25.223	NaN	4.728	5.750
YNL179C	90.321	94.015	83.259	5.100	5.055	6.127
YNL180C	89.056	90.101	85.134	5.034	5.045	6.157
YNL183C	76.890	78.399	75.410	4.903	5.080	6.196
YNL184C	102.686	95.959	96.591	4.924	4.898	5.810
YNL185C	98.294	91.469	95.080	5.056	5.087	5.913
YNL187W	104.377	98.632	91.565	4.916	4.972	5.967
YNL190W	104.164	99.450	95.759	4.848	4.996	5.859
YNL191W	105.188	102.929	93.170	5.082	5.092	6.050
YNL193W	103.312	94.833	88.941	5.029	5.018	6.034
YNL194C	101.251	94.040	86.879	5.035	5.046	6.069
YNL195C	97.200	97.647	88.812	5.011	5.070	6.056
YNL196C	101.066	96.521	93.287	4.919	5.012	5.952
YNL197C	93.960	91.482	96.978	5.010	5.084	6.068
YNL198C	104.292	102.046	102.448	4.835	5.037	5.905
YNL199C	99.332	90.561	98.372	4.531	4.934	5.933
YNL200C	104.903	100.844	101.289	4.856	5.043	5.942
YNL201C	102.970	97.608	98.454	4.835	5.065	5.989
YNL202W	96.717	93.043	93.697	4.941	5.061	6.051
YNL203C	101.890	97.378	99.274	4.940	5.061	6.038
YNL204C	105.870	96.739	95.244	4.930	5.000	6.048
YNL205C	103.852	95.012	90.851	4.951	5.051	6.099
YNL206C	98.692	83.195	85.426	5.085	5.049	6.102
YNL210W	99.105	97.007	90.581	4.940	5.007	6.106
YNL211C	99.972	92.019	88.390	4.949	5.070	6.082
YNL212W	98.678	99.156	97.622	4.699	4.972	5.880
YNL213C	96.144	57.875	98.125	5.235	5.362	5.698
YNL214W	91.146	92.774	83.669	4.838	5.100	6.134
YNL215W	82.916	82.568	86.071	4.736	5.125	6.202
YNL217W	101.677	99.169	99.297	4.796	5.035	5.922
YNL218W	101.890	96.406	96.849	4.912	5.011	6.026
YNL219C	94.420	93.493	91.338	5.226	5.333	5.547
YNL220W	97.353	101.177	93.062	NaN	NaN	NaN
YNL224C	82.874	91.776	88.449	5.097	5.063	6.164
YNL225C	94.670	95.017	99.000	NaN	NaN	NaN
YNL226W	94.471	94.245	96.649	4.834	4.953	5.890
YNL227C	96.589	103.221	99.662	5.275	5.331	5.589
YNL228W	91.259	90.984	93.229	5.014	4.985	6.013
YNL229C	83.968	81.366	83.739	4.830	4.953	6.127
YNL230C	95.727	106.686	91.013	5.276	5.337	5.602
YNL231C	97.173	96.085	90.800	5.267	5.329	5.556
YNL233W	92.354	93.733	91.202	4.721	5.029	5.997
YNL235C	111.114	103.133	91.507	4.781	4.999	5.983
YNL236W	95.629	97.035	95.362	NaN	5.354	5.466
YNL237W	100.440	103.013	94.525	5.258	5.334	5.476
YNL239W	104.792	104.159	96.875	5.266	5.335	5.597
YNL241C	83.130	88.822	96.638	4.506	4.985	5.830
YNL242W	75.775	87.737	84.725	5.278	5.324	5.481
YNL243W	93.683	60.922	93.625	NaN	5.339	NaN
YNL246W	82.360	93.723	95.266	4.553	5.304	6.031
YNL248C	84.497	95.815	96.104	5.213	5.171	5.671
YNL249C	96.128	100.872	96.401	5.541	5.291	5.809
YNL250W	96.185	91.839	104.225	5.287	5.348	5.809
YNL252C	95.796	95.082	100.125	NaN	NaN	NaN
YNL253W	96.376	98.820	97.730	5.302	5.208	5.779
YNL254C	90.661	93.683	92.389	5.352	5.235	5.833
YNL255C	96.206	96.365	98.736	5.417	5.196	5.652
YNL257C	91.110	101.220	100.400	4.811	5.084	5.928
YNL259C	95.369	97.331	94.737	4.874	5.153	6.034
YNL264C	89.825	94.273	92.647	5.164	5.057	5.773
YNL265C	92.659	98.015	88.764	5.494	5.210	6.047
YNL266W	97.197	101.381	93.782	5.523	4.677	5.995
YNL268W	101.691	105.904	98.763	5.276	5.326	5.557
YNL269W	98.080	98.914	97.188	5.375	5.159	5.824
YNL270C	91.885	96.218	93.408	4.517	5.117	6.016
YNL271C	69.800	84.764	84.004	5.367	5.202	5.795
YNL273W	91.776	97.800	92.105	5.427	5.162	5.948
YNL274C	93.975	99.888	99.725	5.325	5.351	5.878
YNL275W	88.911	96.285	87.706	5.350	5.184	6.064
YNL278W	94.502	93.643	92.260	5.364	5.159	6.044
YNL279W	93.975	97.556	99.812	5.292	5.352	5.868
YNL280C	NaN	76.918	66.267	NaN	5.369	5.908
YNL281W	86.139	93.026	91.783	5.267	5.159	6.122
YNL283C	90.723	95.990	93.589	5.249	5.178	6.089
YNL284C	103.916	98.195	104.562	5.269	5.330	5.539
YNL285W	99.226	97.197	97.691	5.258	5.125	5.926
YNL286W	90.522	94.528	93.357	5.406	5.200	6.056
YNL288W	92.582	98.940	100.193	5.229	5.154	5.888
YNL289W	91.683	98.525	96.143	5.118	5.135	5.767
YNL291C	NaN	96.754	91.525	NaN	5.143	5.972
YNL292W	96.701	99.289	94.079	5.141	5.189	5.996
YNL293W	94.409	97.559	90.880	5.526	5.311	6.009
YNL294C	90.073	91.711	79.270	5.107	5.174	6.037
YNL295W	87.239	94.193	88.635	5.165	5.195	6.043
YNL296W	58.789	93.777	101.006	4.593	5.105	6.190
YNL297C	58.030	87.849	102.077	4.475	5.126	5.906
YNL298W	97.816	95.547	99.858	5.474	5.049	5.804
YNL299W	101.223	100.107	98.491	5.554	5.255	5.978
YNL300W	88.580	97.257	95.463	5.289	5.354	5.889
YNL301C	97.925	97.867	98.684	5.336	5.182	5.993
YNL302C	85.597	89.485	94.505	5.324	5.277	5.946
YNL303W	97.181	93.643	92.363	5.296	5.216	6.021
YNL304W	95.865	95.105	94.440	5.277	5.260	5.993
YNL305C	100.418	99.303	97.175	5.499	5.255	5.949
YNL307C	98.095	101.811	98.710	5.926	5.534	6.029
YNL311C	101.223	99.477	95.433	5.392	5.192	5.888
YNL314W	102.370	97.921	98.220	5.221	5.191	5.864
YNL315C	93.196	90.322	96.438	5.264	5.346	5.597
YNL316C	NaN	NaN	NaN	NaN	NaN	NaN
YNL318C	94.688	93.254	92.828	5.278	5.234	5.954
YNL319W	96.051	96.714	99.020	5.290	5.207	6.057
YNL320W	96.934	97.237	99.097	5.321	5.223	5.982
YNL321W	95.122	96.513	95.795	5.364	5.174	6.023
YNL322C	54.638	90.156	101.406	5.367	5.298	5.770
YNL323W	91.110	83.611	99.961	5.732	5.385	5.933
YNL324W	104.460	106.773	103.728	5.409	5.105	6.053
YNL325C	97.290	102.092	102.877	5.325	5.096	6.135
YNL326C	97.878	98.042	95.537	5.543	5.259	5.925
YNL327W	103.051	101.596	101.948	5.470	5.104	5.861
YNL328C	95.199	97.170	89.822	5.374	5.195	6.060
YNL329C	105.575	104.855	95.175	5.536	5.237	5.884
YNL330C	78.654	86.060	86.849	4.613	4.959	5.813
YNL332W	100.511	97.948	99.523	5.326	5.106	5.882
YNL333W	99.597	94.193	98.065	5.459	5.129	6.027
YNL334C	105.420	97.197	97.639	5.433	5.140	5.990
YNL335W	103.825	102.763	99.510	5.365	5.078	5.849
YNL336W	103.779	98.873	99.458	5.334	5.108	5.902
YNL338W	101.409	101.060	97.136	5.377	5.115	5.854
YNL339C	99.938	99.088	96.427	5.457	5.159	5.997
YNR001C	92.737	91.917	94.825	5.269	5.285	5.700
YNR002C	97.895	92.230	102.562	5.295	5.270	5.781
YNR004W	102.748	92.712	93.513	5.337	5.274	5.834
YNR005C	68.114	89.651	63.163	5.301	5.263	5.778
YNR006W	65.486	88.649	36.425	5.260	5.291	5.861
YNR007C	89.957	88.701	51.462	5.291	5.293	5.912
YNR008W	65.862	98.103	98.800	5.295	5.311	5.836
YNR009W	86.495	94.262	95.625	5.268	5.312	5.883
YNR010W	20.730	61.339	47.225	5.305	5.311	5.863
YNR012W	85.201	89.964	93.550	5.278	5.305	5.880
YNR013C	85.591	93.832	100.225	5.301	5.295	5.705
YNR014W	89.817	94.874	97.987	5.341	5.294	5.738
YNR015W	54.447	94.340	93.925	5.279	5.313	5.729
YNR018W	82.115	88.284	94.825	5.294	5.292	5.744
YNR019W	67.349	89.677	95.300	5.289	5.288	5.696
YNR020C	72.577	87.359	93.412	5.316	5.287	5.717
YNR021W	59.466	87.190	86.450	5.286	5.296	5.764
YNR022C	61.788	88.505	84.625	5.301	5.305	5.837
YNR023W	79.334	93.324	100.100	5.378	5.345	5.972
YNR024W	77.985	91.553	92.625	5.288	5.309	5.804
YNR025C	80.877	92.412	98.062	5.282	5.306	5.794
YNR027W	81.378	92.217	93.688	5.282	5.310	5.889
YNR028W	82.977	89.261	97.675	5.331	5.306	5.776
YNR029C	81.378	97.465	100.075	5.333	5.299	5.664
YNR030W	48.134	81.251	96.400	5.277	5.292	5.657
YNR031C	79.306	88.049	96.688	5.323	5.297	5.744
YNR032C-A	92.404	90.967	97.725	5.326	5.354	5.697
YNR032W	79.487	89.651	91.888	5.319	5.305	5.744
YNR033W	91.792	98.546	99.319	5.290	5.305	5.630
YNR034W	60.856	85.041	92.088	5.300	5.309	5.792
YNR036C	84.353	83.557	90.513	5.307	5.299	5.764
YNR037C	84.923	91.318	101.200	5.318	5.298	5.727
YNR039C	85.730	94.001	97.338	5.301	5.315	5.743
YNR040W	73.953	88.779	99.325	5.302	5.300	5.717
YNR041C	90.388	94.835	97.513	5.296	5.302	5.685
YNR042W	89.234	90.185	98.875	5.300	5.294	5.662
YNR044W	82.198	84.442	90.638	5.329	5.313	5.749
YNR045W	80.655	87.203	96.250	5.293	5.301	5.675
YNR047W	70.464	87.698	92.162	NaN	5.314	5.697
YNR048W	79.084	88.714	93.125	5.330	5.315	5.738
YNR049C	70.895	87.463	91.812	5.295	5.301	5.716
YNR050C	99.258	79.571	113.938	5.329	5.340	5.865
YNR051C	103.930	67.603	108.800	5.321	5.342	5.937
YNR052C	96.338	88.232	95.737	NaN	5.327	5.463
YNR055C	64.124	93.610	92.675	5.290	5.324	5.498
YNR056C	83.116	80.314	91.638	5.318	5.381	6.006
YNR057C	92.042	103.612	105.375	5.317	5.351	5.835
YNR058W	94.239	102.401	109.112	5.325	5.339	5.849
YNR059W	95.879	97.127	106.400	5.324	5.353	5.812
YNR060W	90.846	95.655	105.100	5.319	5.355	5.905
YNR061C	96.046	96.892	108.800	5.329	5.333	5.847
YNR062C	87.231	86.422	99.250	5.321	5.352	5.924
YNR063W	95.907	98.273	105.312	5.339	5.340	5.892
YNR064C	98.466	94.574	104.650	5.324	5.338	5.842
YNR065C	90.735	97.674	106.075	5.323	5.338	5.847
YNR066C	98.883	56.885	104.737	5.322	5.366	5.884
YNR067C	90.540	74.649	101.925	5.344	5.363	5.897
YNR068C	89.873	75.430	104.200	5.334	5.350	5.812
YNR069C	100.315	102.297	98.612	5.280	5.317	5.481
YNR070W	103.068	98.299	105.612	5.280	5.357	5.816
YNR071C	98.521	101.802	104.300	5.287	5.338	5.692
YNR072W	102.359	103.456	102.025	5.290	5.338	5.703
YNR073C	100.968	98.768	100.750	5.298	5.330	5.671
YNR074C	102.386	100.265	104.025	5.284	5.363	5.875
YNR075W	103.137	102.544	101.975	5.288	5.342	5.728
YOL001W	108.313	106.763	105.279	5.118	5.229	5.872
YOL002C	103.189	102.629	97.492	5.115	5.211	5.892
YOL003C	104.443	102.681	91.876	5.113	5.213	5.909
YOL004W	83.591	83.715	85.873	4.970	5.222	5.840
YOL006C	102.012	100.471	92.862	5.005	5.239	5.856
YOL007C	101.579	101.844	91.751	5.004	5.246	5.801
YOL008W	96.904	96.128	88.569	5.094	5.117	5.849
YOL009C	NaN	NaN	NaN	NaN	NaN	NaN
YOL011W	106.842	104.081	97.517	5.078	5.250	5.849
YOL012C	110.062	102.289	99.750	5.336	5.343	5.923
YOL013C	111.254	103.126	99.314	5.221	5.306	6.099
YOL013W-A	98.368	98.624	93.075	5.299	5.356	5.814
YOL014W	107.786	102.485	96.269	5.178	5.245	6.030
YOL015W	99.814	99.935	92.712	5.169	5.074	6.093
YOL016C	86.939	82.397	90.875	5.281	5.347	5.848
YOL017W	100.186	101.740	93.685	5.206	5.280	6.077
YOL018C	39.892	100.562	91.988	4.853	5.529	6.052
YOL019W	100.310	100.523	95.358	5.172	5.234	6.001
YOL020W	104.288	102.721	100.699	5.164	5.183	5.936
YOL023W	NaN	NaN	NaN	NaN	NaN	NaN
YOL024W	103.375	102.695	94.958	5.155	5.271	5.988
YOL025W	99.752	99.608	93.511	5.098	5.209	5.808
YOL027C	NaN	NaN	NaN	NaN	NaN	NaN
YOL028C	104.226	102.878	107.276	5.167	5.291	5.998
YOL029C	103.034	99.948	99.988	5.254	5.266	6.035
YOL030W	99.675	98.182	97.267	5.247	5.244	6.044
YOL031C	101.022	101.086	100.761	5.250	5.202	5.972
YOL032W	90.759	99.176	94.060	5.251	5.229	6.093
YOL033W	NaN	47.912	33.025	NaN	5.320	5.455
YOL035C	91.811	98.417	91.040	5.164	5.270	5.988
YOL036W	92.972	97.816	83.077	5.194	5.241	6.038
YOL037C	94.009	97.933	85.137	5.181	5.235	6.101
YOL039W	90.418	88.084	80.282	5.093	5.208	6.047
YOL041C	100.774	90.373	93.698	5.074	5.224	5.936
YOL042W	97.864	97.973	90.802	5.176	5.111	5.952
YOL043C	105.077	104.644	99.176	5.112	5.285	5.996
YOL044W	114.505	108.712	101.585	5.308	5.176	5.955
YOL045W	93.065	101.714	93.236	5.224	5.147	5.829
YOL046C	103.700	99.987	101.148	5.146	5.156	5.977
YOL047C	95.820	99.595	98.453	5.243	5.147	6.012
YOL048C	98.344	103.283	102.770	5.164	5.277	5.987
YOL049W	92.399	92.636	87.782	5.187	5.250	6.087
YOL050C	97.632	98.483	95.919	5.004	5.249	6.076
YOL051W	36.780	101.086	90.765	5.453	5.315	6.079
YOL052C	79.690	82.982	93.985	4.955	5.210	5.952
YOL053C-A	90.604	97.528	96.006	5.189	5.236	6.088
YOL053W	88.050	93.983	95.370	5.185	5.219	5.989
YOL054W	94.582	97.371	98.141	5.129	5.123	6.078
YOL055C	101.347	102.825	106.889	5.241	5.295	5.965
YOL056W	96.563	99.307	100.324	5.235	5.289	6.064
YOL057W	98.684	102.041	102.521	5.181	5.190	5.971
YOL058W	96.625	97.907	101.947	5.220	5.301	5.988
YOL059W	91.130	89.026	90.940	5.096	5.132	6.060
