ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YBR044C	93.947	90.589	98.975	5.303	5.301	5.723
YBR045C	94.906	94.183	102.575	5.295	5.301	5.788
YBR046C	99.049	94.952	104.662	5.314	5.292	5.743
YBR047W	109.839	95.043	105.737	5.308	5.303	5.663
YBR048W	91.500	95.421	94.450	5.291	5.303	5.706
YBR050C	98.924	101.398	104.138	5.354	5.311	5.744
YBR051W	104.611	101.880	101.412	5.332	5.302	5.642
YBR052C	100.579	104.341	97.713	5.289	5.307	5.677
YBR053C	99.425	103.469	105.513	5.349	5.309	5.731
YBR054W	105.682	100.643	98.263	5.300	5.299	5.647
YBR056W	105.807	105.357	96.350	5.309	5.314	5.659
YBR057C	101.858	98.429	103.875	5.316	5.298	5.713
YBR058C	94.892	92.582	102.862	5.323	5.316	5.819
YBR059C	100.913	100.552	102.025	5.281	5.302	5.722
YBR062C	90.346	86.721	100.412	5.316	5.312	5.751
YBR063C	91.597	102.635	97.787	5.367	5.320	5.795
YBR064W	104.555	99.679	99.425	5.304	5.306	5.707
YBR065C	105.348	103.899	103.062	5.297	5.296	5.654
YBR066C	100.760	104.211	105.175	5.296	5.312	5.717
YBR067C	101.969	104.133	102.000	5.296	5.302	5.687
YBR068C	91.208	109.277	100.925	5.290	5.307	5.612
YBR069C	95.921	101.802	96.200	5.296	5.307	5.605
YBR071W	103.290	98.820	102.612	5.331	5.303	5.683
YBR072W	96.422	96.554	104.213	5.301	5.314	5.706
YBR073W	90.568	97.296	100.438	5.303	5.308	5.506
YBR074W	107.489	98.129	104.438	5.304	5.311	5.543
YBR075W	65.910	93.610	98.662	5.276	5.319	5.678
YBR076W	95.921	104.381	104.275	5.299	5.316	5.704
YBR077C	79.014	96.267	90.812	5.280	5.333	5.675
YBR078W	85.674	91.631	103.737	5.293	5.325	5.742
YBR081C	42.921	72.357	70.562	5.290	5.341	5.510
YBR083W	92.473	93.545	86.050	5.290	5.320	5.543
YBR084C-A	87.204	88.349	91.438	5.296	5.313	5.431
YBR084W	93.905	91.800	87.150	5.295	5.314	5.446
YBR085W	85.772	98.898	92.638	5.284	5.315	5.451
YBR090C	88.066	93.806	91.850	5.285	5.318	5.503
YBR090C-A	67.878	86.786	77.088	5.297	5.324	5.554
YBR092C	85.368	97.908	87.875	5.292	5.321	5.502
YBR093C	100.078	102.167	103.775	5.285	5.323	5.519
YBR094W	101.399	104.341	97.200	5.295	5.313	5.498
YBR095C	93.335	92.894	100.412	5.302	5.306	5.359
YBR096W	95.601	98.976	97.612	5.294	5.322	5.509
YBR097W	90.388	90.081	90.062	NaN	NaN	NaN
YBR098W	101.469	98.025	99.912	5.297	5.316	5.475
YBR099C	79.000	81.225	86.850	5.307	5.324	5.563
YBR100W	92.098	96.137	92.969	5.289	5.318	5.472
YBR101C	80.154	96.228	96.225	5.294	5.316	5.493
YBR103W	64.360	83.778	82.388	5.294	5.324	5.582
YBR104W	82.157	76.185	85.963	5.295	5.323	5.549
YBR105C	86.119	86.239	81.450	5.277	5.324	5.448
YBR106W	85.924	86.604	83.737	5.295	5.335	5.538
YBR107C	103.971	96.541	101.300	5.312	5.330	5.487
YBR108W	78.152	84.716	85.763	5.291	5.327	5.577
YBR111C	90.262	90.381	86.737	5.288	5.319	5.545
YBR112C	97.173	95.981	89.850	5.291	5.335	5.384
YBR113W	91.194	92.803	88.812	5.293	5.321	5.468
YBR114W	88.288	97.908	89.525	5.296	5.324	5.529
YBR115C	91.208	94.978	90.775	5.299	5.320	5.487
YBR116C	78.611	86.422	84.225	5.292	5.319	5.529
YBR117C	72.146	68.007	76.025	5.295	5.324	5.571
YBR119W	71.882	72.305	81.950	5.299	5.320	5.468
YBR120C	82.699	96.762	90.463	5.289	5.322	5.501
YBR125C	79.960	92.425	68.250	5.289	5.341	5.698
YBR126C	106.710	115.437	119.487	5.285	5.314	5.339
YBR127C	NaN	NaN	NaN	NaN	NaN	NaN
YBR128C	40.390	63.735	79.188	5.260	5.315	5.591
YBR129C	76.373	90.823	86.600	5.269	5.312	5.572
YBR130C	62.678	101.893	95.325	5.305	5.321	5.534
YBR131W	68.406	96.554	83.362	5.281	5.343	5.424
YBR132C	95.754	97.687	95.438	5.247	5.309	5.515
YBR133C	94.169	93.337	87.750	5.279	5.314	5.540
YBR134W	80.697	96.541	93.325	5.279	5.307	5.496
YBR137W	87.871	82.944	81.938	5.280	5.314	5.572
YBR138C	93.488	96.176	90.100	5.266	5.310	5.552
YBR139W	97.882	100.708	93.787	5.270	5.308	5.576
YBR141C	88.024	98.468	89.000	5.282	5.314	5.596
YBR144C	84.770	97.648	91.275	5.274	5.304	5.599
YBR145W	62.831	100.981	100.200	5.285	5.311	5.550
YBR146W	38.847	77.019	80.713	5.266	5.308	5.396
YBR147W	79.112	88.375	89.062	5.291	5.327	5.611
YBR148W	96.227	95.668	93.612	5.286	5.322	5.526
YBR149W	80.975	76.251	71.025	5.287	5.325	5.601
YBR150C	102.539	95.251	96.250	5.285	5.318	5.457
YBR151W	106.752	98.950	96.487	5.274	5.313	5.509
YBR156C	71.117	87.138	89.638	5.298	5.330	5.578
YBR157C	94.809	89.716	92.287	5.283	5.311	5.501
YBR158W	90.221	85.875	87.675	5.275	5.321	5.560
YBR159W	104.889	91.852	96.900	5.273	5.316	5.487
YBR161W	78.403	85.341	82.112	5.274	5.320	5.556
YBR162C	72.911	78.816	89.600	5.277	5.309	5.477
YBR162W-A	68.044	100.565	100.938	5.286	5.328	5.512
YBR163W	59.827	83.908	78.275	5.286	5.328	5.677
YBR164C	118.181	101.307	99.888	5.262	5.333	5.525
YBR165W	110.687	98.077	98.500	5.297	5.323	5.516
YBR166C	NaN	NaN	NaN	NaN	NaN	NaN
YBR168W	89.957	75.625	58.400	5.280	5.317	5.460
YBR169C	82.435	87.073	80.075	5.285	5.323	5.580
YBR170C	80.224	86.513	96.237	5.298	5.328	5.631
YBR171W	76.929	81.160	97.888	5.316	5.363	5.585
YBR172C	97.325	91.227	114.237	5.287	5.320	5.482
YBR173C	104.996	102.069	100.507	5.221	5.087	5.973
YBR174C	93.797	86.560	92.327	4.974	5.114	5.972
YBR175W	90.620	89.335	88.545	4.971	5.125	6.032
YBR176W	91.142	99.195	101.027	5.239	5.164	5.883
YBR177C	105.875	100.929	103.323	5.300	5.166	5.947
YBR178W	103.639	101.883	102.380	5.302	5.140	5.781
YBR179C	28.920	84.208	76.987	5.266	5.327	5.582
YBR180W	105.667	99.802	100.640	5.180	5.172	5.873
YBR181C	99.568	97.733	102.151	5.133	5.155	5.741
YBR182C	105.160	99.579	102.888	5.151	5.135	5.846
YBR183W	103.534	99.195	102.755	5.275	5.111	5.904
YBR184W	103.385	99.319	99.940	5.281	5.135	5.945
YBR185C	102.058	97.981	100.024	5.178	5.083	5.922
YBR186W	102.938	98.786	101.740	5.205	5.151	5.899
YBR187W	104.220	100.359	101.522	5.188	5.132	5.978
YBR188C	86.743	100.681	96.665	5.039	5.147	5.886
YBR189W	25.791	85.432	59.475	5.280	5.356	5.535
