orf	hap alpha | growth (culture turbidity) | pH [2.7] | Brett CL~Rao R, 2011	hap alpha | growth (culture turbidity) | pH [4.0] | Brett CL~Rao R, 2011	hap alpha | growth (culture turbidity) | pH [7.0] | Brett CL~Rao R, 2011	hap alpha | vacuolar pH | pH [2.7] | Brett CL~Rao R, 2011	hap alpha | vacuolar pH | pH [4.0] | Brett CL~Rao R, 2011	hap alpha | vacuolar pH | pH [7.0] | Brett CL~Rao R, 2011
YBR003W	-0.10499716398036034	-0.34148794659690207	0.24875485080002702	-0.009258025111552355	0.034736968751446703	-0.6621980210572953
YBR005W	-0.25940671480196736	-2.7787710405725705	-0.14518028846457603	0.09624894809309208	0.13417207935708797	0.07550071421046765
YBR006W	0.5135768547655972	0.652183372007843	0.5860901137335077	0.32655880649290875	-0.09139698089580035	-0.4878826654068241
YBR007C	-0.06194965284221395	-0.3757087700692592	-0.0795244319204749	-0.1864387082551462	-0.033646265838998005	0.39570477651556313
YBR008C	0.6885743456967528	0.7763922868334344	0.4627023833316642	0.006060830274963039	-0.14684923334291605	-0.4878643659965013
YBR009C	0.6455268345586084	0.5114977643992613	-0.05462048633478242	-0.06830515715102094	-0.1148105862916625	-0.8255534440289948
YBR010W	0.5968644306633132	0.6065556073780322	0.032543323215144464	-0.006947394396002342	-0.13118343145645078	-0.5773464228096972
YBR012C	0.8719941757636329	0.6395089929440044	0.06310725643395032	0.025411771457626183	-0.13335697089396495	-0.4528202630781576
YBR013C	0.17855492025568392	0.6572531236333768	0.13102710803129555	0.018893184316702238	-0.086832873496646	-0.6274325230095873
YBR014C	0.2637141270724492	0.7827294763653516	0.17291101651632432	-0.04235886220976907	-0.14350164927931744	-0.6663548190736308
YBR015C	0.040054232246000396	-0.7635447694226417	-1.0507783097625123	-0.10828989685777357	-0.1270013131226737	-0.2746606706616421
YBR016W	-0.09283156300653536	0.13253383039056435	0.35516261830253426	-0.005604778399572292	-0.07357555936703468	-0.34101981605304893
YBR018C	0.5276140866584724	-0.17545358086065005	-0.2108361450086759	-0.021882623613766774	-0.06497562102128657	-0.032339905276999384
YBR019C	0.6661147746681549	-0.5531500769629649	0.5238302497692746	0.054177728705632415	-0.09465447280589384	-0.3258160074147321
YBR020W	-0.8382085765181156	0.46206768605030285	0.1576290499069214	0.08640551111567167	0.013329315085085638	-0.829023250027105
YBR021W		-7.181850327349206	-7.023197260222401		0.07058848383981613	-0.4735123197710257
YBR022W	0.6240030789895361	0.5710673459992915	0.5781661310471515	0.029141925101925124	-0.11365706872958953	-0.7036562987288253
YBR023C	-0.696432534400094	0.4836141304588214	0.13102710803129555	-0.047497631192536416	-0.1105986540956358	-0.6906859592756772
YBR024W	0.0896524516008192	0.9158104565356313	0.22271890768771058	-0.004036641374801552	-0.086893638619975	-0.5953910602740714
YBR025C	0.08310174338414486	0.5520557774035385	0.6064660692127121	-0.10933867441031672	-0.03504413047822378	-0.7809300700467842
YBR026C	-0.16021027609232882	0.4189747972332588	0.35176662572266754	0.02337755127998246	-0.12115202277434982	-1.0877114950623374
YBR027C	0.42935346340835656	0.2263242354629503	0.2804507815454543	-0.03780779233475565	-0.11455794425307189	-0.7655162869593369
YBR028C	0.5641108895799426	0.1553477127054705	-0.16329224889053373	-0.04677857824808923	-0.09530019802132902	-0.5836283120065257
YBR030W	0.4415190643821806	0.3391262091310907	0.2781867864922102	-0.00825384137226134	-0.1054413334998961	-0.722933611501825
