orf	None | growth (colony size) | R3A-5a [1 uM] | Zatorska E~Strahl S, 2017
YBR203W	46.25
YBR204C	58.22784810126582
YBR205W	51.94805194805194
YBR206W	50.70422535211267
YBR207W	43.58974358974359
YBR208C	53.086419753086425
YBR209W	44.9438202247191
YBR210W	34.48275862068966
YBR212W	37.34939759036144
YBR213W	50.57471264367817
YBR214W	42.391304347826086
YBR215W	38.88888888888889
YBR216C	42.857142857142854
YBR217W	46.15384615384615
YBR218C	55.00000000000001
YBR219C	59.72222222222222
YBR220C	43.83561643835616
YBR221C	52.85714285714286
YBR221W-A	73.22510822510822
YBR222C	37.362637362637365
YBR223C	39.08045977011494
YBR224W	50.56179775280899
YBR225W	47.43589743589743
YBR226C	43.58974358974359
YBR227C	38.46153846153847
YBR228W	44.871794871794876
YBR229C	19.0
YBR230C	60.0
YBR231C	80.55555555555556
YBR232C	50.43478260869565
YBR233W	43.42105263157895
YBR235W	39.08045977011494
YBR238C	44.871794871794876
YBR239C	41.46341463414634
YBR240C	47.72727272727273
YBR241C	55.69620253164557
YBR242W	46.42857142857143
YBR244W	44.57831325301205
YBR245C	45.23809523809524
YBR246W	41.02564102564102
YBR248C	63.013698630136986
YBR249C	56.57894736842105
YBR250W	41.25
YBR251W	72.09302325581395
YBR255W	37.362637362637365
YBR258C	37.34939759036144
YBR259W	40.74074074074074
YBR260C	0.0
YBR261C	59.09090909090909
YBR262C	61.111111111111114
YBR263W	59.55056179775281
YBR264C	58.620689655172406
YBR266C	68.18181818181817
YBR267W	33.33333333333333
YBR268W	50.0
YBR269C	60.46511627906976
YBR270C	59.375
YBR271W	55.294117647058826
YBR272C	56.52173913043478
YBR273C	50.0
YBR274W	61.111111111111114
YBR275C	71.60493827160494
YBR276C	33.33333333333333
YBR277C	58.536585365853654
YBR278W	68.42105263157895
YBR280C	54.166666666666664
YBR281C	43.269230769230774
YBR282W	60.256410256410255
YBR283C	36.283185840707965
YBR284W	57.14285714285714
YBR285W	52.38095238095239
YBR286W	67.6056338028169
YBR287W	65.97938144329896
YBR288C	65.21739130434783
YBR290W	50.602409638554214
YBR291C	62.96296296296296
YBR292C	62.82051282051282
YBR293W	78.04878048780488
YBR294W	51.515151515151516
YBR295W	68.53932584269663
YBR296C	64.70588235294117
YBR296C-A	52.42256125751271
YBR297W	62.13592233009708
YBR298C	57.42574257425742
YBR299W	45.87155963302752
YBR300C	47.05882352941176
YBR301W	101.47058823529412
YCL001W	48.95833333333333
YCL001W-A	54.666666666666664
YCL001W-B	54.84505087881591
YCL002C	47.368421052631575
YCL005W	40.74074074074074
YCL008C	51.76470588235295
YCL009C	62.0253164556962
YCL010C	70.27027027027027
YCL011C	57.14285714285714
YCL014W	52.25563909774436
YCL016C	38.75
YCL021W-A	39.95114555256065
YCL022C	74.32432432432432
YCL023C	59.91365265558814
YCL024W	39.743589743589745
YCL025C	50.602409638554214
YCL026C-A	43.13725490196079
YCL026C-B	40.47093188942719
YCL027W	42.391304347826086
YCL028W	48.57142857142857
YCL029C	44.0
YCL030C	50.0
YCL032W	46.75324675324675
YCL033C	48.05194805194805
YCL034W	42.857142857142854
YCL035C	47.11538461538461
YCL036W	48.484848484848484
YCL037C	43.24324324324324
YCL038C	51.28060969515242
YCL039W	48.05194805194805
YCL040W	56.62650602409639
YCL042W	45.1219512195122
YCL044C	42.857142857142854
YCL045C	41.02564102564102
YCL046W	42.66666666666667
YCL047C	43.90243902439025
YCL048W	57.971014492753625
YCL049C	57.35294117647059
YCL050C	48.68421052631579
YCL051W	57.14285714285714
YCL055W	35.1063829787234
YCL056C	40.44943820224719
YCL057C-A	43.046387972130546
YCL057W	54.54545454545454
YCL058C	72.22222222222221
YCL061C	51.958556149732615
YCL063W	44.779411764705884
YCL064C	45.78313253012048
YCL069W	63.76811594202898
YCL076W	68.75
YCR001W	52.0
YCR003W	65.27777777777779
YCR004C	45.94594594594595
YCR005C	44.871794871794876
YCR006C	49.29577464788733
YCR007C	52.5
YCR008W	60.0
YCR009C	0.0
YCR010C	45.67901234567901
YCR011C	60.526315789473685
YCR014C	57.35294117647059
YCR015C	52.702702702702695
YCR016W	45.23809523809524
YCR017C	10.0
YCR019W	42.391304347826086
YCR020C	39.08045977011494
YCR020C-A	50.0
YCR021C	39.53488372093023
