ORF	None | growth (colony size) | R3A-5a [1 uM] | Zatorska E~Strahl S, 2017
YDR322C-A	-0.664
YLR341W	-0.829
YBR184W	-0.828
YBR188C	-0.828
YER124C	-0.828
YMR253C	-0.828
YDL085C-A	-0.788
YER067C-A	-0.827
YPL247C	-0.827
YOR311C	-0.827
YNL130C-A	-0.778
YPL091W	-0.827
YFR022W	-0.827
YKL056C	-0.827
YPL234C	-0.827
YOR064C	-0.827
YIR044C	-0.827
YER085C	-0.825
YGR157W	-0.825
YOL002C	-0.825
YKL171W	-0.825
YMR310C	-0.825
YBR220C	-0.825
YDR096W	-0.825
YGL152C	-0.824
YGL003C	-0.824
YPR159C-A	-0.672
YKR090W	-0.824
YMR027W	-0.823
YER140W	-0.823
YHR049W	-0.823
YER027C	-0.823
YDL010W	-0.823
YNL030W	-0.823
YCL047C	-0.823
YFR026C	-0.822
YOR280C	-0.822
YNL339C	-0.822
YCR075W-A	-0.790
YPL195W	-0.821
YCL029C	-0.821
YNL265C	-0.821
YDR289C	-0.821
YGR197C	-0.821
YDR084C	-0.821
YDL077C	-0.821
YHL035C	-0.821
YMR252C	-0.820
YBR016W	-0.820
YGR146C	-0.820
YDL100C	-0.820
YOR001W	-0.820
YJL141C	-0.820
YER186W-A	-0.761
YDR077W	-0.819
YMR193C-A	-0.818
YHR049C-A	-0.818
YNL200C	-0.818
YOR007C	-0.818
YDR492W	-0.818
YLR354C	-0.818
YLR089C	-0.817
YOR227W	-0.817
YHR094C	-0.817
YAR002W	-0.622
YGR141W	-0.817
YMR057C	-0.817
YPL273W	-0.817
YGR110W	-0.816
YBR019C	-0.816
YNL004W	-0.816
YOL099C	-0.815
YOL082W	-0.815
YLR390W	-0.815
YKL206C	-0.814
YHR126C	-0.814
YLR023C	-0.814
YML060W	-0.814
YMR156C	-0.814
YBR028C	-0.814
YOL153C	-0.814
YNR058W	-0.814
YBR034C	-0.814
YPR024W	-0.814
YAL055W	-0.813
YBL039W-B	-0.812
YKL201C	-0.509
YKL047W	-0.813
YDR132C	-0.811
YNL320W	-0.811
YPL069C	-0.811
YMR311C	-0.811
YGR032W	-0.811
YOR360C	-0.811
YMR143W	-0.811
YHR021C	-0.811
YBR171W	-0.811
YHL006C	-0.811
YOL052C	-0.811
YDR319C	-0.811
YOL105C	-0.810
YER182W	-0.809
YJR061W	-0.809
YER119C	-0.809
YPL223C	-0.808
YGR222W	-0.808
YDR030C	-0.808
YLL053C	-0.808
YPL078C	-0.808
YHR057C	-0.808
YOR338W	-0.808
YEL052W	-0.808
YMR237W	-0.808
YMR246W	-0.808
YBR244W	-0.808
YFR025C	-0.808
YGR136W	-0.808
YDR419W	-0.808
YKL050C	-0.808
YKL077W	-0.808
YGR042W	-0.808
YMR180C	-0.808
YGR187C	-0.808
YOR025W	-0.808
YIR017C	-0.808
YBR186W	-0.808
YNL332W	-0.808
YBR058C	-0.808
YLR342W-A	-0.767
YMR144W	-0.806
YJR049C	-0.806
YBR072C-A	-0.700
YBR106W	-0.806
YDR034W-B	-0.785
YDR133C	-0.805
YPR039W	-0.805
YLR211C	-0.805
YPR171W	-0.805
YOR383C	-0.805
YHR096C	-0.805
YMR193W	-0.805
YJR033C	-0.805
YNL294C	-0.805
YOR312C	-0.805
YOR305W	-0.805
YNL257C	-0.805
YPL201C	-0.805
YFL040W	-0.804
YDL129W	-0.804
YOR356W	-0.804
YDL226C	-0.804
YLR097C	-0.804
YML062C	-0.804
YMR118C	-0.804
YNR015W	-0.804
YOR247W	-0.804
YOR179C	-0.804
YHR159W	-0.804
YER109C	-0.804
YDR417C	-0.537
YGL132W	-0.802
YIL102C	-0.802
YMR056C	-0.802
YGL195W	-0.802
YDR506C	-0.477
YNL249C	-0.802
YOR334W	-0.802
YDL122W	-0.802
YBR238C	-0.801
YOR239W	-0.759
YCR005C	-0.801
YOR042W	-0.801
YIR031C	-0.801
YNL327W	-0.801
YPL254W	-0.801
YDR097C	-0.801
YDR406W	-0.801
YGL006W	-0.801
YBR228W	-0.801
YGR181W	-0.801
YEL004W	-0.801
YKL175W	-0.801
YCR090C	-0.801
YDR537C	-0.801
YOL008W	-0.800
YGL050W	-0.800
YBR209W	-0.800
YPL245W	-0.800
YOR258W	-0.800
YLR107W	-0.800
YMR104C	-0.800
YFL052W	-0.799
YBL095W	-0.799
YDR121W	-0.799
YCR034W	-0.799
YLR342W	-0.799
YOR302W	-0.797
YPR152C	-0.797
YER048C	-0.797
YOL057W	-0.797
YMR023C	-0.796
YCL042W	-0.796
YLR285W	-0.796
YKL055C	-0.796
YGR178C	-0.796
YOR003W	-0.796
YKL063C	-0.796
YNL191W	-0.795
YEL053C	-0.795
YMR181C	-0.794
YLR063W	-0.794
YOR078W	-0.794
YDL174C	-0.794
YLR284C	-0.794
YLR077W	-0.794
YDR315C	-0.794
YKL205W	-0.794
YOR081C	-0.794
YEL067C	-0.793
YCR016W	-0.793
YLR287C	-0.793
YMR303C	-0.793
YBR245C	-0.793
YAL015C	-0.793
YOL043C	-0.793
YEL024W	-0.793
YMR272C	-0.793
YPL240C	-0.793
YDL154W	-0.793
YOL159C-A	-0.789
YOL141W	-0.792
YER162C	-0.792
YLR137W	-0.792
YBR191W	-0.792
YER034W	-0.791
YDR051C	-0.791
YAL022C	-0.791
YIL020C	-0.791
YBR107C	-0.791
YPL156C	-0.791
YGL063W	-0.791
YDR089W	-0.791
YFR016C	-0.791
YLL029W	-0.791
YNL255C	-0.791
YMR195W	-0.791
YJL089W	-0.791
YKL020C	-0.791
YLR450W	-0.791
YOR130C	-0.791
YER128W	-0.791
YLR313C	-0.690
YGR292W	-0.790
YER028C	-0.790
YPL205C	-0.788
YOL037C	-0.788
YML083C	-0.788
YPR147C	-0.788
YLR349W	-0.788
YDL118W	-0.788
YDL186W	-0.788
YDR101C	-0.788
YOR303W	-0.783
YBL002W	-0.788
YDR345C	-0.788
YCR091W	-0.788
YGR193C	-0.788
YEL017C-A	-0.788
YDR255C	-0.788
YPL090C	-0.788
YCR073C	-0.788
YOR212W	-0.788
YDR105C	-0.788
YMR261C	-0.788
YKL010C	-0.788
YER064C	-0.788
YBR104W	-0.788
YGR169C-A	-0.728
YGR139W	-0.786
YHR177W	-0.786
YPR044C	-0.786
YPR089W	-0.649
YCR073W-A	-0.786
YLR053C	-0.786
YMR187C	-0.786
YPR153W	-0.786
YGL252C	-0.786
YMR183C	-0.786
YDR363W	-0.786
YKL041W	-0.786
YMR151W	-0.786
YPR021C	-0.785
YJL191W	-0.750
YJR131W	-0.785
YDR026C	-0.785
YDR435C	-0.784
YMR242C	-0.784
YER074W	-0.784
YHR167W	-0.784
YPL074W	-0.784
YER175W-A	-0.773
YCR010C	-0.784
YFR036W	-0.784
YOL084W	-0.784
YGL204W	-0.784
YOL089C	-0.783
