ORF	growth;nicotinamide, 120 mM
YGR139W	0.655
YFR013W	0.653
YGL101W	0.650
YGL079W	0.645
YGR028W	0.645
YGL174W	0.641
YGR100W	0.639
YGR077C	0.638
YGR072W	0.633
YGL081W	0.631
YGL080W	0.628
YGL148W	0.627
YGL124C	0.626
YGL118C	0.623
YGL110C	0.620
YGL232W	0.619
YGL132W	0.619
YFR012W	0.615
YGL261C	0.613
YGL226C-A	0.607
YGR143W	0.606
YGL208W	0.602
YGR127W	0.601
YGR045C	0.599
YGR044C	0.598
YGR080W	0.592
YGL198W	0.590
YGL205W	0.589
YGL006W	0.588
YGL168W	0.584
YFR023W	0.583
YGL016W	0.581
YGR058W	0.579
YGR138C	0.577
YGL144C	0.575
YGR141W	0.574
YGL153W	0.574
YGR093W	0.573
YGL034C	0.571
YGL140C	0.569
YGR032W	0.569
YGR125W	0.565
YGL252C	0.562
YGL151W	0.561
YGR031W	0.558
YGR040W	0.555
YFR024C	0.554
YGL078C	0.553
YGR124W	0.552
YGR081C	0.551
YGR050C	0.549
YGL219C	0.548
YFR018C	0.546
YGR007W	0.546
YGR034W	0.545
YGL253W	0.543
YGL043W	0.541
YFR040W	0.541
YGL175C	0.540
YGL243W	0.538
YGL216W	0.537
YFR053C	0.537
YGR136W	0.534
YFR016C	0.533
YGL154C	0.531
YGL202W	0.531
YFR026C	0.530
YFR049W	0.527
YFR047C	0.526
YFR043C	0.525
YGL194C	0.525
YGR146C	0.525
YFR056C	0.524
YGL258W	0.523
YFR045W	0.523
YGL026C	0.522
YGR123C	0.521
YGR051C	0.519
YGL218W	0.518
YGL166W	0.517
YGL230C	0.517
YGL117W	0.516
YGL197W	0.516
YGL056C	0.514
YGL086W	0.514
YGR016W	0.512
YFR022W	0.511
YFR032C-A	0.509
YGL244W	0.509
YGL149W	0.507
YGL002W	0.507
YGR144W	0.506
YGR129W	0.506
YGR003W	0.505
YGL059W	0.505
YGL104C	0.503
YGL152C	0.502
YFR034C	0.502
YGR025W	0.501
YGL156W	0.499
YGL057C	0.498
YGL215W	0.496
YGR130C	0.495
YFR033C	0.495
YGR154C	0.494
YGR018C	0.493
YFR044C	0.492
YGR008C	0.492
YGR096W	0.491
YGR152C	0.491
YGR015C	0.490
YGL045W	0.489
YGR021W	0.488
YFR041C	0.488
