ORF	hap a | abundance of a specific protein/peptide (Pot1-GFP) | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | number of peroxisomes | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | size of peroxisomes | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | peroxisome inheritance | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | transport to/from peroxisomes (Pot1-GFP) | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010
YOR338W	0.624	0.000	0.000	0.000	0.000
YOR339C	0.056	0.000	0.000	0.000	0.000
YOR342C	-0.022	0.000	0.000	0.000	0.000
YOR343C	0.564	0.000	0.000	0.000	0.000
YOR348C	-1.382	0.000	0.000	0.000	0.000
YOR358W	-2.530	0.000	0.000	0.000	0.000
YOR359W	0.090	0.000	0.000	0.000	0.000
YOR349W	0.377	0.000	0.000	0.000	0.000
YOR350C	-4.502	0.000	0.000	0.000	0.000
YOR351C	0.446	0.000	0.000	0.000	0.000
YOR352W	0.408	0.000	0.000	0.000	0.000
YOR354C	-2.570	0.000	0.000	0.000	0.000
YOR355W	0.361	0.000	0.000	0.000	0.000
YOR356W	0.673	0.000	0.000	0.000	0.000
YOR357C	0.285	0.000	0.000	0.000	0.000
YOR363C	-5.366	0.000	0.000	0.000	0.000
YOR380W	0.716	0.000	0.000	0.000	0.000
YOR381W	0.738	0.000	0.000	0.000	0.000
YOR382W	0.460	0.000	0.000	0.000	0.000
YOR365C	-2.267	0.000	0.000	0.000	0.000
YOR367W	-1.730	0.000	0.000	0.000	0.000
YOR368W	-2.669	0.000	0.000	0.000	0.000
YOR371C	-2.171	0.000	0.000	0.000	0.000
YOR374W	1.029	0.000	0.000	0.000	0.000
YOR376W	0.896	0.000	0.000	0.000	0.000
YOR377W	0.759	0.000	0.000	0.000	0.000
YOR378W	0.701	0.000	0.000	0.000	0.000
YOR383C	-1.221	0.000	0.000	0.000	0.000
YOL007C	-1.957	0.000	0.000	0.000	0.000
YOL008W	-2.865	-1.000	0.000	0.000	0.000
YOL011W	0.214	0.000	0.000	0.000	0.000
YOR384W	-0.676	0.000	0.000	0.000	0.000
YOR385W	-2.010	0.000	0.000	0.000	0.000
YOR386W	0.640	0.000	0.000	0.000	0.000
YOL002C	0.195	0.000	0.000	0.000	0.000
YOL003C	0.300	0.000	0.000	0.000	0.000
YOL006C	-2.228	0.000	0.000	0.000	0.000
YOL012C	-4.852	0.000	0.000	0.000	0.000
YOL024W	1.294	0.000	0.000	0.000	0.000
YOL025W	0.072	0.000	0.000	0.000	0.000
YOL027C	0.422	0.000	0.000	0.000	0.000
YOL013C	0.109	0.000	0.000	0.000	0.000
YOL014W	0.686	0.000	0.000	0.000	0.000
YOL015W	0.657	0.000	0.000	0.000	0.000
YOL017W	0.577	0.000	0.000	0.000	0.000
YOL018C	-2.456	0.000	0.000	0.000	0.000
YOL019W	1.524	0.000	0.000	0.000	0.000
YOL020W	1.087	0.000	0.000	0.000	0.000
YOL023W	0.344	0.000	0.000	0.000	0.000
YOL028C	0.788	0.000	0.000	0.000	0.000
YOL042W	1.161	0.000	0.000	0.000	0.000
YOL043C	-0.953	0.000	0.000	0.000	0.000
YOL029C	0.144	0.000	0.000	0.000	0.000
YOL030W	-0.620	0.000	0.000	0.000	0.000
YOL031C	0.979	0.000	0.000	0.000	0.000
YOL032W	0.607	0.000	0.000	0.000	0.000
YOL035C	0.551	0.000	0.000	0.000	0.000
YOL036W	0.040	0.000	0.000	0.000	0.000
YOL037C	0.520	0.000	0.000	0.000	0.000
YOL039W	0.473	0.000	0.000	0.000	0.000
YOL044W	-2.074	0.000	0.000	0.000	-1.000
YOL052C-A	0.504	0.000	0.000	0.000	0.000
YOL053W	0.270	0.000	0.000	0.000	0.000
YOL054W	-0.001	0.000	0.000	0.000	0.000
