ORF	hom | growth (relative abundance in pooled culture) | camptothecin [50 uM] | Deng C~Brown JM, 2005
YOR133W	0.983
YMR040W	0.983
YJR051W	0.983
YDR349C	0.983
YIL071C	0.983
YLR154C	0.983
YIL006W	0.983
YOR367W	0.983
YJL049W	0.983
YHR176W	0.983
YGL132W	0.983
YEL010W	0.983
YPR068C	0.983
YDR205W	0.983
YCR027C	0.983
YDR318W	0.983
YDL149W	0.983
YPL052W	0.983
YOR321W	0.983
YFR023W	0.983
YPL081W	0.983
YJL171C	0.983
YOR213C	0.983
YOR094W	0.983
YEL040W	0.983
YIL073C	0.983
YML106W	0.983
YDR126W	0.984
YOL011W	0.984
YIL094C	0.984
YMR274C	0.984
YKR018C	0.984
YGR151C	0.984
YOL125W	0.984
YOR227W	0.984
YOR185C	0.984
YAR042W	0.984
YER037W	0.984
YLL051C	0.984
YPL203W	0.984
YOR304W	0.984
YJR025C	0.984
YLR390W	0.984
YGL231C	0.984
YGR138C	0.984
YGR164W	0.984
YMR188C	0.984
YLR394W	0.984
YPR122W	0.984
YGL181W	0.984
YER080W	0.984
YDR022C	0.984
YKR100C	0.984
YEL068C	0.984
YKR072C	0.984
YDR213W	0.984
YDR143C	0.984
YDL138W	0.984
YLR178C	0.984
YBR076W	0.984
YDR134C	0.984
YMR180C	0.984
YCR028C	0.984
YOR380W	0.984
YDL129W	0.985
YJL142C	0.985
YOR093C	0.985
YPL262W	0.985
YHR047C	0.985
YBL086C	0.985
YKL033W-A	0.985
YNL334C	0.985
YEL005C	0.985
YLR124W	0.985
YDR033W	0.985
YDR262W	0.985
YJR043C	0.985
YBL037W	0.985
YJL036W	0.985
YHR037W	0.985
YDL122W	0.985
YOR263C	0.985
YGR233C	0.985
YOR303W	0.985
YIL092W	0.998
YBR045C	0.985
YMR102C	0.986
YCL075W	0.986
YBR162W-A	0.986
YER149C	0.986
YCL008C	0.986
YHR178W	0.986
YOR178C	0.986
YPL077C	0.986
YOL159C	0.986
YKL168C	0.986
YOR084W	0.986
