orf	hap a | inorganic phosphate abundance | standard [standard] | Freimoser FM~Amrhein N, 2006
YBR058C	0.1019353072638805
YBR059C	-0.0770020278494512
YBR061C	0.14211866794447714
YBR062C	-0.10603321257884352
YBR063C	-0.09411604051246404
YBR064W	-0.16309331887003753
YBR065C	-0.08187496070560256
YBR066C	-0.08442613405694584
YBR067C	-0.14346941795152507
YBR068C	0.013974483946780181
YBR069C	-0.015345790492253302
YBR071W	-0.12654224195414274
YBR072W	-0.026860661908310175
YBR073W	0.023398996845431685
YBR074W	0.05840093723779339
YBR076W	-0.09485538729924298
YBR077C	0.030113962285720976
YBR078W	0.4490251621004996
YBR081C	-0.012545260036743163
YBR082C	-0.5878212516540622
YBR083W	-0.141707730647235
YBR084C-A	0.0725973222940883
YBR084W	-0.027873544116203963
YBR085W	0.06215203122720022
YBR089C-A	-0.07747702210552769
YBR090C	0.10220953552851168
YBR092C	0.08710998539963707
YBR093C	0.29493998202885263
YBR094W	0.05315703251530671
YBR095C	0.052890484565860804
YBR097W	-0.10305554283761777
YBR098W	-0.06506355253088189
YBR099C	-0.06309807899966442
YBR101C	-0.16729037675447134
YBR103W	-0.04127933804421133
YBR104W	0.055618898992826744
YBR105C	0.05265059141135981
YBR106W	0.22970240135121076
YBR107C	0.07924352711483792
YBR108W	-0.016586196636079346
YBR111C	0.03509715163870833
YBR112C	-0.3441443367834366
YBR113W	-0.0372232260352244
YBR114W	-0.05900721853917174
YBR115C	-0.06344151760149494
YBR116C	-0.13865087190586148
YBR119W	-0.0931020513294795
YBR120C	-0.050265774745262934
YBR121C	-0.032591670640154176
YBR122C	-0.12619814659360662
YBR125C	0.001629520103670564
YBR126C	0.035431593877163825
YBR127C	-0.05265020120160823
YBR128C	0.34192679984350016
YBR129C	0.023416363659362154
YBR130C	-0.09972487573867636
YBR131W	-0.4767062968708259
YBR132C	-0.1628114815944285
YBR133C	0.024796330694277988
YBR134W	-0.031671852395806
YBR137W	-0.18409114617983774
YBR138C	0.012166955664601001
YBR139W	-0.02691732664721315
YBR141C	0.1152773771003583
YBR144C	-0.034384929738378846
YBR145W	-0.020550187145460475
YBR146W	-0.014706075413583592
YBR147W	0.023084909032664292
YBR148W	0.0009388484191558716
YBR149W	-0.026550990914813898
YBR150C	-0.1319920581525473
YBR151W	-0.10821226131609318
YBR156C	0.29288920261137896
YBR157C	-0.1878335055649775
YBR158W	0.23702090449062038
YBR159W	0.12928023410857203
YBR161W	0.07126503457729455
YBR162C	0.11305679067178981
YBR162W-A	0.12191024905113393
YBR163W	0.0087111565271273
YBR164C	0.1955935930003842
YBR165W	-0.017084146684290823
YBR166C	-0.06979917474674827
YBR168W	-0.042748105884015064
