orf	hom | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020
YBR271W	-0.161	-0.278	-0.424			
YBR272C	-0.047	-0.178	0.078			
YBR273C	-0.053	0.133	-0.151			
YBR274W	-0.037	0.048	-0.466			
YBR275C	-0.148	-0.147	-0.022			
YBR276C	-0.038	0.262	-0.166			
YBR277C	-0.283	-0.156	0.1			
YBR278W	-0.041	0.01	0.402			
YBR279W	-0.003	0.252	0.862			
YBR280C	-0.106	0.119	-0.178			
YBR281C	-0.085	0.07	0.201			
YBR282W	-0.474	0.697	0.105			
YBR283C	-0.007	0.108	1.539			
YBR284W	-0.041	-0.09	0.04			
YBR285W	-0.102	-0.145	-0.18			
YBR286W	0.0	0.203	-0.032			
YBR287W	-0.057	0.205	0.248			
YBR288C	0.252	-0.07	-0.111			
YBR289W	1.526	3.234	0.549			
YBR290W	0.377	0.053	0.412			
YBR291C	-0.017	-0.205	-0.022			
YBR292C	0.151	-0.002	-0.055			
YBR293W	0.085	0.021	0.024			
YBR294W	0.169	0.068	0.016			
YBR295W	-0.05	0.029	0.105			
YBR296C	-0.046	0.041	0.162			
YBR297W	0.088	0.076	0.145			
YBR298C	0.142	0.329	0.415			
YBR299W	-0.32	-0.241	-0.553			
YBR300C	0.259	0.366	0.198			
YBR301W	-0.058	0.148	0.282			
YCL001W	-0.073	0.474	0.047			
YCL001W-A	0.209	0.177	0.637			
YCL002C	0.08	0.286	-0.138			
YCL004W				-0.1735	-0.1495	-0.142
YCL005W	0.114	-0.23	0.215			
YCL008C	0.029	0.001	0.224			
YCL009C	-0.182	-0.117	-0.162			
YCL010C	0.09	0.237	1.666			
YCL011C	-0.103	-0.166	-0.139			
YCL014W	-0.0635	0.0655	-0.051000000000000004			
YCL016C	0.197	0.862	1.802			
YCL017C				-0.242	-0.245	-0.615
YCL022C	0.296	0.412	0.008			
YCL023C	0.074	0.012	0.289			
YCL024W	-0.01	0.155	-0.026			
YCL025C	-0.441	-0.327	-0.366			
YCL026C-A	-0.061	-0.011	0.196			
YCL027W	0.323	0.089	0.072			
YCL028W	0.136	-0.093	-0.165			
YCL029C	0.207	0.41	0.818			
YCL030C	-0.11	-0.372	-0.908			
YCL031C				-0.197	-0.002	-0.009
YCL032W	-0.006	0.065	0.505			
YCL033C	0.127	0.216	0.206			
YCL034W	-0.214	0.06	-0.565			
YCL035C	-0.025	-0.095	-0.069			
YCL036W	0.033	0.122	-0.138			
YCL037C	-0.213	-0.268	0.032			
YCL038C	0.108	0.299	0.129			
YCL039W	-0.296	-0.333	-0.594			
YCL040W	0.244	0.265	0.361			
YCL041C				-0.045	-0.229	-0.191
YCL042W	-0.07	0.254	0.003			
YCL043C				-0.382	-0.536	-0.426
YCL044C	-0.052	-0.121	0.186			
YCL045C	0.08	0.003	-0.03			
YCL046W	-0.188	0.419	-0.228			
YCL047C	0.031	-0.091	-0.075			
YCL048W	0.031	0.041	-0.349			
YCL049C	0.151	-0.022	-0.272			
YCL050C	0.108	0.063	-0.024			
YCL051W	-0.185	-0.16	0.383			
YCL052C				-0.231	-0.354	-0.203
YCL054W				-0.141	-0.274	-0.213
YCL055W	0.073	0.077	0.64			
YCL056C	0.294	0.425	0.051			
YCL057W	0.13	0.162	0.12			
YCL058C	-0.109	0.047	0.915			
YCL059C				0.208	-0.054	0.041
YCL061C	0.08399999999999999	-0.253	0.8175			
YCL063W	0.01050000000000001	-0.14350000000000002	-0.19349999999999998			
YCL064C	-0.186	-0.227	0.36			
YCL069W	-0.152	-0.095	0.073			
YCL076W	-0.119	-0.069	-0.094			
YCR001W	0.16	0.451	0.215			
YCR002C	0.241	0.017	1.04			
YCR003W	-0.063	0.226	2.628			
YCR004C	0.284	0.028	-0.351			
YCR005C	-0.046	0.078	0.08			
YCR006C	-0.111	-0.017	-0.127			
YCR007C	-0.19	0.199	-0.777			
YCR008W	-0.175	0.204	-0.135			
YCR009C	0.047	0.373	1.308			
YCR010C	-0.004	0.02	0.41			
YCR011C	0.025	0.045	0.061			
YCR012W				-0.1845	0.05700000000000001	-0.07400000000000001
YCR013C				-0.067	-0.1155	-0.4005
YCR014C	0.063	-0.125	-0.011			
YCR015C	0.091	0.152	0.068			
YCR016W	0.056	-0.195	-0.22			
YCR017C	0.214	0.266	0.337			
YCR019W	0.069	0.166	-0.336			
YCR020C	0.273	-0.071	-0.19			
YCR020C-A	0.049	0.324	-0.056			
YCR020W-B	-1.009	-0.531	0.927			
YCR021C	0.05	0.007	0.112			
YCR022C	0.233	-0.211	-0.276			
YCR023C	0.017	0.357	0.029			
YCR024C	-0.053	0.128	0.614			
YCR024C-A	-0.136	0.467	0.211			
YCR025C	0.083	0.354	0.261			
YCR026C	-0.213	0.189	0.015			
YCR027C	-0.095	0.096	0.077			
YCR028C	-0.055	0.132	0.39			
YCR028C-A	0.184	-0.162	0.163			
YCR030C	-0.283	-0.182	-0.335			
YCR031C	-0.01	0.0	0.058			
YCR032W	-0.108	0.021	-0.127			
YCR033W	-0.175	-0.193	-0.24			
YCR034W	0.024	0.239	0.487			
YCR035C				-0.078	0.045	0.412
YCR036W	0.012	-0.032	-0.018			
YCR037C	-0.222	-0.181	-0.232			
YCR043C	0.253	0.153	-0.068			
YCR044C	0.163	0.029	0.96			
YCR045C	0.345	-0.02	0.135			
YCR046C	0.003	0.375	0.146			
YCR047C	0.461	0.558	0.852			
