orf	hom | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020
YGL181W	-0.053	-0.195	-0.128			
YGL194C	0.22	0.141	-0.012			
YGL195W	-0.11	0.123	-0.613			
YGL196W	0.018	-0.093	-0.002			
YGL197W	-0.79	-1.204	-1.659			
YGL198W	-0.308	0.01	-0.9			
YGL199C	0.161	0.225	-0.137			
YGL200C	-0.185	-0.072	0.337			
YGL201C				-0.464	-0.103	0.115
YGL202W	-0.421	-0.499	-0.507			
YGL203C	0.313	0.047	-0.128			
YGL205W	-0.364	-0.202	-0.464			
YGL206C	-0.035	-0.52	-0.464			
YGL207W				0.197	-0.073	0.075
YGL208W	0.508	0.866	0.029			
YGL209W	-0.154	-0.018	-0.145			
YGL210W	-0.045	-0.001	0.12			
YGL211W	0.433	0.071	-0.524			
YGL212W	-0.225	-0.061	-0.399			
YGL213C	-0.512	-0.467	-0.522			
YGL214W	0.038	0.011	-0.003			
YGL215W	-0.026	0.165	0.56			
YGL216W	-0.017	-0.029	0.337			
YGL217C	-0.024	-0.041	0.15			
YGL218W	-0.771	-0.775	-0.92			
YGL219C	-0.637	-0.245	3.318			
YGL220W	-0.33	-0.461	-0.521			
YGL221C	0.184	0.892	0.248			
YGL222C	-0.228	-0.118	-0.118			
YGL223C	1.174	1.171	-0.23			
YGL224C	0.154	0.021	-0.141			
YGL225W				0.164	0.182	-0.306
YGL226C-A	0.268	0.174	0.087			
YGL226W	-0.21	-0.028	-0.335			
YGL227W	0.061	0.249	0.018			
YGL228W	-0.343	0.338	-0.483			
YGL229C	-0.012	0.071	0.147			
YGL230C	0.024	0.208	-0.055			
YGL231C	0.098	-0.122	0.103			
YGL232W	0.016	0.088	0.116			
YGL233W				0.059	-0.083	0.148
YGL234W	0.379	0.154	-0.658			
YGL235W	-0.017	-0.066	-0.1			
YGL236C	0.172	0.157	0.319			
YGL238W				-0.045	0.073	-0.132
YGL239C				-0.176	-0.181	-0.202
YGL241W	-0.205	-0.211	-0.042			
YGL242C	-0.114	-0.064	-0.358			
YGL243W	0.0	-0.016	0.208			
YGL244W	1.99	1.772	2.876			
YGL245W				-0.313	-0.404	-0.457
YGL247W				0.096	-0.107	-0.341
YGL248W	-0.083	0.223	-0.404			
YGL249W	-0.137	-0.022	-0.055			
YGL250W	-0.001	0.132	0.951			
YGL251C	0.025	0.235	1.448			
YGL252C	-0.031	0.202	-0.441			
YGL253W	-0.176	0.109	-0.118			
YGL254W	-0.215	-0.139	-0.304			
YGL255W	0.104	0.092	0.227			
YGL256W	-0.022	0.029	0.039			
YGL257C	-0.066	-0.245	-0.151			
YGL258W	-0.202	-0.216	-0.46			
YGL259W	-0.038	0.064	0.248			
YGL260W	-0.068	-0.08	-0.331			
YGL261C	0.484	0.664	-0.005			
YGL262W	0.158	0.021	0.189			
YGL263W	-0.282	-0.132	-0.036			
YGR001C	-0.042	0.088	0.063			
YGR002C				0.291	0.102	0.209
YGR003W	0.0	0.613	0.103			
YGR004W	-0.038	0.133	0.054			
YGR005C				0.255	0.182	0.611
YGR007W	-0.167	0.041	-0.243			
YGR008C	0.178	0.154	-0.213			
YGR009C				0.003	-0.141	0.041
YGR010W	0.102	0.031	-0.269			
YGR011W	0.027	-0.161	-0.031			
YGR012W	-0.066	0.04	0.251			
YGR013W				0.239	0.133	-0.015
YGR014W	0.01	-0.066	-0.015			
YGR015C	-0.035	-0.201	-0.141			
YGR017W	-0.048	-0.025	0.017			
YGR018C	-0.199	0.019	0.064			
YGR019W	0.232	-0.086	-0.2			
YGR020C	1.398	0.447	0.336			
YGR021W	-0.125	-0.336	-0.363			
YGR022C	0.14	0.095	0.772			
YGR023W	0.15	-0.197	-0.237			
YGR024C				-0.034	-0.107	0.201
YGR025W	-0.005	-0.045	-0.187			
YGR026W	-0.367	0.28	-0.188			
YGR027C	0.057	-0.034	0.126			
YGR028W	-0.009	0.166	0.145			
YGR029W				0.182	-0.037	0.024
YGR030C				-0.273	-0.164	-0.049
YGR031W	-0.065	-0.058	-0.087			
YGR032W	0.04	0.008	0.046			
YGR033C	-0.085	0.029	-0.147			
YGR034W	0.085	-0.08	0.19			
YGR035C	0.104	-0.125	0.096			
YGR036C	1.093	0.893	3.012			
YGR037C	0.119	-0.086	0.392			
YGR038W	-0.004	-0.203	-0.117			
YGR039W	0.49	0.349	-0.018			
YGR040W	-0.487	-0.47	-0.26			
YGR041W	0.041	0.12	0.2			
YGR042W	-0.037	-0.138	-0.022			
YGR043C	0.005	-0.036	-0.054			
YGR044C	0.017	0.012	0.004			
YGR045C	-0.075	-0.126	-0.07			
YGR046W				0.195	-0.017	-0.06
YGR047C				-0.212	-0.358	-0.081
YGR048W				-0.208	-0.238	-0.039
YGR049W	-0.064	-0.072	-0.252			
YGR050C	0.421	-0.281	-0.354			
YGR051C	-0.024	0.024	0.174			
YGR052W	-0.102	-0.157	-0.335			
YGR053C	0.179	0.557	0.254			
YGR054W	-0.105	0.183	0.039			
YGR055W	0.094	0.316	0.147			
YGR056W	-0.252	1.163	1.038			
YGR057C	-0.007	0.033	0.213			
YGR058W	0.017	-0.022	-0.016			
YGR059W	0.023	-0.139	0.041			
YGR060W				0.092	0.025	0.055
YGR061C	-0.048	-0.241	-0.55			
YGR062C	-0.206	0.185	0.461			
YGR063C	0.681	0.958	1.052			
YGR064W	1.132	1.413	1.625			
YGR065C				0.44	1.223	-0.802
YGR066C	0.266	-0.109	0.138			
YGR067C	-0.002	-0.107	-0.23			
YGR068C	-0.25	-0.19	-0.223			
YGR069W	0.1	0.053	0.014			
YGR070W	-0.063	-0.05	-0.199			
YGR071C	0.218	0.288	0.854			
YGR072W	-0.051	-0.091	-0.104			
YGR073C				0.329	0.181	-0.098
YGR074W				-0.313	-0.094	-0.379
YGR075C				0.041	-0.114	0.483
YGR077C	0.003	-0.037	0.126			
YGR078C	0.006	0.047	0.085			
YGR079W	0.029	0.143	-0.16			
YGR080W	-0.009	-0.06	0.05			
YGR081C	0.051	-0.328	0.069			
YGR082W				0.112	0.137	0.222
YGR083C				-0.082	-0.196	-0.304
YGR084C	0.212	0.05	-0.155			
YGR085C	0.022	0.03	0.335			
YGR086C	0.234	-0.044	0.282			
YGR087C	0.014	0.291	0.079			
YGR088W	0.012	0.025	-0.077			
YGR089W	0.034	-0.154	-0.258			
YGR090W				0.02	-0.156	0.609
YGR091W				0.046	0.155	-0.06
YGR092W	-0.177	-0.067	0.164			
YGR093W	0.127	0.123	0.075			
YGR094W				0.734	-0.284	0.117
YGR095C				-0.134	-0.288	0.04
YGR096W	-0.02	-0.124	0.052			
YGR097W	0.167	0.107	0.099			
YGR098C				0.278	0.466	0.747
YGR099W				0.148	0.035	0.128
YGR100W	-0.08	-0.143	0.158			
YGR101W	0.082	0.08	0.06			
YGR102C	-0.049	0.042	0.377			
YGR103W				-0.357	-0.372	-0.266
YGR104C	-0.352	-0.973	1.144			
YGR105W	-1.752	-1.697	1.858			
YGR106C	0.026	-0.087	0.275			
YGR107W	-0.062	-0.113	0.139			
YGR108W	-0.083	0.01	0.186			
YGR109C	-0.052	-0.087	-0.236			
YGR110W	0.453	-0.125	-0.119			
YGR111W	-0.238	-0.098	-0.351			
YGR112W	0.063	0.064	0.598			
YGR113W				-0.216	-0.361	0.044
YGR114C				-0.26	-0.151	-0.486
YGR115C				-0.118	-0.5	0.018
YGR116W				0.076	0.044	0.075
YGR117C	-0.129	0.008	0.029			
YGR118W	0.129	-0.116	0.316			
YGR119C				0.01	-0.223	0.127
YGR120C				-0.247	-0.363	-0.153
YGR121C	0.075	0.317	0.084			
YGR122C-A	0.474	-0.017	0.593			
YGR122W	-0.073	0.237	0.378			
YGR123C	0.187	0.558	0.503			
YGR124W	0.199	-0.011	-0.144			
YGR125W	0.518	-0.109	-0.116			
YGR126W	0.163	-0.223	-0.03			
YGR127W	0.043	0.171	0.21			
YGR128C				0.279	-0.266	-0.285
YGR129W	-0.097	0.149	-0.492			
YGR130C	-0.041	-0.044	-0.197			
YGR131W	-0.172	0.309	-0.168			
YGR132C	-0.047	0.124	0.412			
YGR133W	0.036	0.273	0.151			
YGR134W	-0.2	-0.002	-0.189			
YGR135W	0.196	0.179	0.068			
YGR136W	0.055	0.012	0.006			
YGR137W	-0.023	0.009	-0.142			
YGR138C	0.136	-0.04	0.147			
YGR139W	-0.018	-0.009	0.054			
YGR140W				-0.186	-0.172	-0.109
YGR141W	-0.406	-0.209	-0.418			
YGR142W	0.431	-0.054	-0.048			
YGR143W	0.161	0.184	0.109			
YGR144W	-0.126	-0.269	-0.056			
YGR145W				-0.015	0.142	0.052
YGR146C	0.083	-0.127	0.088			
YGR147C				0.071	-0.121	0.186
YGR148C	0.058	0.169	0.04			
YGR149W	-0.094	-0.174	-0.35			
YGR150C	-1.091	-0.979	1.075			
YGR151C	0.14	0.145	0.156			
YGR152C	-0.252	0.066	-0.219			
YGR153W	0.167	0.094	0.051			
YGR154C	-0.251	-0.224	-0.261			
YGR155W	0.7	-0.895	-1.312			
YGR156W				-0.221	-0.229	-0.617
YGR157W	0.463	1.117	0.201			
YGR158C				0.004	-0.04	0.085
YGR159C	-0.731	-0.726	-0.256			
YGR160W	1.145	1.61	0.223			
YGR161C	0.235	0.15	-0.023			
YGR162W	0.008	-0.079	2.551			
YGR163W	0.05	0.225	0.516			
YGR164W	-0.282	0.06	1.836			
YGR165W	-0.064	0.087	0.28			
YGR166W	0.258	-0.069	0.137			
YGR168C	0.474	0.229	0.365			
YGR169C	-0.093	-0.014	0.001			
YGR170W	-0.002	0.336	0.029			
YGR171C	0.182	0.08	0.054			
YGR172C				0.132	-0.259	-0.193
YGR173W	-0.044	0.215	0.271			
YGR174C	-0.318	-0.007	0.745			
YGR175C				-0.001	-0.024	0.008
YGR176W	0.288	0.147	0.034			
YGR177C	0.15	0.315	0.197			
YGR178C	0.513	0.387	0.335			
YGR179C				-0.106	-0.22	-0.148
YGR181W	0.177	-0.093	-0.268			
YGR182C	0.153	0.017	-0.115			
YGR184C	0.033	0.105	-0.503			
YGR185C				-0.038	-0.125	-0.168
YGR186W				-0.19	-0.309	0.001
YGR187C	-0.023	0.099	0.318			
YGR188C	0.181	0.342	-0.566			
YGR189C	-0.183	-0.277	-0.256			
YGR190C				-0.041	-0.039	-0.089
YGR191W				0.277	-0.219	-0.039
YGR192C	-0.089	-0.016	0.232			
YGR193C	-0.126	-0.056	-0.111			
YGR194C	-0.192	-0.102	-0.084			
YGR195W				-0.289	-0.263	-0.055
YGR196C	-0.154	-0.154	-0.021			
YGR197C	-0.06	-0.009	-0.097			
YGR198W				-0.054	-0.094	-0.02
YGR199W	0.047	0.077	-0.285			
YGR200C	-0.081	-0.264	0.126			
YGR201C	0.225	-0.123	-0.141			
YGR202C	0.003	0.139	-0.214			
YGR203W	-0.239	-0.26	-0.698			
YGR204W	0.014	-0.1	-0.084			
YGR205W	0.155	-0.016	-0.11			
YGR206W	0.152	0.325	0.045			
YGR207C	-0.003	0.263	-0.089			
YGR208W	-0.049	0.135	-0.041			
YGR209C	0.088	0.141	-0.066			
YGR210C	0.128	0.094	0.016			
YGR211W				-0.151	-0.153	-0.15
YGR212W	-0.239	-0.101	-0.381			
YGR213C	0.06	0.072	-0.051			
YGR214W	0.097	0.095	0.394			
YGR215W	-0.035	0.026	0.396			
YGR216C				0.079	-0.057	-0.008
YGR217W	-0.284	-0.485	-0.175			
YGR218W				0.357	0.136	0.045
YGR219W	0.147	0.739	-0.664			
YGR220C	-0.402	-0.221	0.362			
YGR221C	0.088	0.058	-0.051			
YGR222W	-0.013	-0.072	0.26			
YGR223C	0.034	-0.251	-0.19			
YGR224W	-0.039	-0.021	-0.108			
YGR225W	0.006	0.03	-0.053			
YGR226C	0.041	-0.163	-0.022			
YGR227W	-0.063	0.113	0.815			
YGR228W	-0.047	0.067	0.404			
YGR229C	0.488	0.411	1.371			
YGR230W	0.162	-0.021	-0.207			
YGR231C	0.091	-0.176	0.149			
YGR232W	0.0	-0.055	-0.063			
YGR233C	0.075	-0.059	0.441			
YGR234W	0.009	-0.053	-0.259			
YGR235C	0.027	-0.041	-0.05			
YGR236C	0.061	0.06	-0.055			
YGR237C	0.032	-0.058	0.044			
YGR238C	-0.056	-0.129	-0.458			
YGR239C	-0.004	-0.204	-0.184			
YGR240C	0.664	-1.034	-1.155			
YGR241C	0.058	0.167	-0.085			
YGR242W	-0.083	-0.129	-0.157			
YGR243W	0.136	0.128	-0.09			
YGR244C	-0.086	-0.164	-0.044			
YGR245C				-0.036	-0.251	-0.082
YGR246C				-0.136	0.047	0.001
YGR247W	0.001	-0.079	-0.218			
YGR248W	0.208	0.237	-0.213			
YGR249W	0.09	0.07	-0.037			
YGR250C	0.487	0.296	-0.268			
YGR251W				0.151	-0.003	0.089
YGR252W	0.361	0.333	2.219			
YGR253C				-0.077	-0.052	-0.494
YGR254W	-0.162	-0.145	-0.144			
YGR255C	1.369	1.292	-0.159			
YGR256W	0.327	0.294	0.51			
YGR257C	0.062	0.048	1.049			
YGR258C	0.054	-0.032	0.172			
YGR259C	-0.011	0.204	0.083			
YGR260W	-0.214	0.404	-0.253			
YGR261C	-0.049	-0.076	-0.231			
YGR262C	-0.262	-0.308	-0.492			
YGR263C	-0.01	0.037	-0.412			
YGR264C				0.211	-0.108	0.044
YGR265W				0.07	0.136	0.13
YGR266W	0.158	0.294	0.319			
YGR267C				-0.168	-0.04	0.123
YGR268C	-0.542	-0.233	-0.226			
YGR269W	0.567	-0.059	-0.016			
YGR270W	-0.007	-0.085	0.176			
YGR271C-A	-0.029	0.044	1.456			
YGR271W	0.055	0.104	-0.226			
YGR273C	0.224	0.215	0.115			
YGR274C				0.053	-0.135	0.17
YGR275W	-0.14	-0.22	-0.089			
YGR276C	0.15	0.024	0.2			
YGR277C				0.111	-0.105	-0.169
YGR278W				0.021	-0.279	-0.377
YGR279C	0.034	-0.03	0.178			
YGR280C				0.109	-0.173	-0.255
YGR281W	0.13	-0.092	-0.6			
YGR282C	0.404	-0.031	1.155			
YGR283C	0.288	0.192	-0.282			
YGR284C	-0.262	-0.296	-0.684			
YGR285C	-0.644	-0.346	-0.606			
YGR286C	-0.534	-0.471	-0.821			
YGR287C	0.212	0.186	0.42			
YGR288W	0.01	-0.062	0.075			
YGR289C	-0.043	-0.107	0.055			
YGR290W	0.295	0.285	0.24			
YGR291C	0.338	0.082	-0.235			
YGR292W	0.129	0.045	-0.077			
YGR295C	0.013	0.083	0.026			
YHL002W	0.189	-0.035	0.313			
YHL003C	0.179	0.188	-0.021			
YHL005C	0.043	0.052	-0.044			
YHL006C	-0.065	-0.183	-0.014			
YHL007C	-0.188	-0.198	-0.285			
YHL008C	0.134	0.071	-0.294			
YHL009C	0.592	0.064	0.38			
YHL010C	0.138	0.321	-0.199			
YHL011C	0.116	0.218	1.546			
YHL012W	0.157	0.228	0.098			
YHL013C	0.423	0.28	0.02			
YHL014C	0.151	-0.026	0.45			
YHL015W				0.017	0.058	-0.028
YHL016C	-0.106	-0.157	-0.16			
YHL017W	0.037	0.067	-0.032			
YHL019C	0.342	0.58	-0.349			
YHL020C	0.064	-0.014	0.361			
YHL021C	0.118	0.114	0.015			
YHL022C	0.228	0.226	0.096			
YHL023C	0.03	0.305	-0.004			
YHL024W	0.02	0.121	0.192			
YHL026C	-0.204	-0.127	-0.296			
YHL027W	-0.062	0.22	0.4			
YHL028W	0.006	0.083	-0.101			
YHL029C	-0.488	-0.555	-0.653			
YHL030W	-0.078	0.139	-0.31			
YHL031C	-0.067	0.174	1.899			
YHL032C	0.227	-0.376	-0.312			
YHL033C	0.046	0.115	0.663			
YHL034C	-0.031	-0.104	-0.036			
YHL035C	0.189	0.025	0.001			
YHL036W	0.242	0.099	0.041			
YHL037C	0.136	0.248	0.065			
YHL038C	0.062	0.314	1.321			
YHL039W	-0.281	-0.088	-0.436			
YHL040C	0.195	-0.196	-0.323			
YHL041W	0.037	0.072	-0.09			
YHL042W	-0.11	-0.302	-0.3			
YHL043W	-0.099	0.253	-0.12			
YHL044W	-0.792	-0.586	-0.214			
YHL045W	-0.001	-0.099	-0.046			
YHL046C	-0.177	0.328	-0.256			
YHL047C	0.084	0.324	0.009			
YHR001W-A	0.175	0.232	0.145			
YHR003C	-0.069	-0.056	-0.092			
YHR004C	0.047	0.4	3.773			
YHR005C-A				-0.058	0.094	-0.133
YHR006W	-0.234	-0.296	-0.371			
YHR007C				-0.007	0.204	-0.005
YHR008C	-0.13	0.064	0.167			
YHR009C	-0.215	-0.053	-0.124			
YHR010W	-0.154	1.38	1.326			
YHR011W	1.232	-0.077	0.074			
YHR012W	-0.061	-0.053	-0.13			
YHR013C	-0.107	0.071	0.144			
YHR014W	0.215	0.195	-0.209			
YHR015W	-0.362	0.24	-0.508			
YHR016C	0.066	-0.092	-0.283			
YHR017W	0.07	-0.034	0.266			
YHR018C	0.191	-0.002	-0.332			
YHR019C				-0.135	-0.14	-0.051
YHR020W				0.185	0.141	0.145
YHR021C	0.031	-0.312	0.58			
YHR021W-A	-0.004	0.079	-0.024			
YHR022C	-0.102	0.306	0.018			
YHR023W				0.036	0.01	-0.09
YHR024C				-0.179	-0.019	-0.384
YHR025W	-0.191	0.041	0.604			
YHR026W	-0.142	0.332	1.121			
YHR028C	0.087	0.055	0.107			
YHR029C	0.209	0.037	0.188			
YHR030C	-0.656	-0.122	0.389			
YHR031C	0.169	0.302	0.784			
YHR032W	0.126	-0.038	0.143			
YHR033W	0.122	0.061	-0.036			
YHR034C	-0.014	-0.064	0.427			
YHR035W	-0.04	0.009	-0.309			
YHR036W				-0.002	-0.91	-0.743
YHR037W	-0.417	-0.097	-0.605			
YHR038W	0.113	0.331	0.841			
YHR039C	-0.251	0.027	-0.39			
YHR040W				0.339	0.457	0.31
YHR041C	-0.376	-0.394	0.663			
YHR042W				0.018	0.17	-0.046
YHR043C	-0.03	-0.07	-0.224			
YHR044C	0.024	0.053	-0.191			
YHR045W	0.331	0.246	-0.307			
YHR046C	-0.229	-0.108	-0.44			
YHR047C	-0.163	0.182	-0.109			
YHR048W	-0.615	0.202	-1.069			
YHR049C-A	-0.122	0.061	0.203			
YHR049W	0.033	0.138	-0.062			
YHR050W	-0.153	-0.092	0.689			
YHR051W	-0.016	0.052	0.563			
YHR057C	0.134	0.27	-0.323			
YHR058C				0.019	0.086	-0.407
YHR059W	1.378	0.121	1.078			
YHR060W	0.966	3.352	1.055			
YHR061C	-0.314	0.097	-0.063			
YHR062C				2.213	1.288	2.882
YHR064C	0.015	0.022	-0.007			
YHR065C				0.132	-0.187	-0.245
YHR066W	1.153	-0.039	-0.338			
YHR067W	0.067	0.231	0.844			
YHR068W				-0.12	-0.127	-0.358
YHR069C				0.139	-0.181	-0.063
YHR070W				0.495	0.061	0.121
YHR072W				-0.385	0.18	-0.089
YHR073W	0.195	0.257	0.306			
YHR074W				-0.165	-0.123	-0.258
YHR075C	0.332	0.479	0.241			
YHR076W	0.513	0.348	-0.392			
YHR077C	0.188	0.26	-0.054			
YHR078W	0.357	0.577	0.424			
YHR079C	-0.079	-0.155	0.136			
YHR079C-A	0.04	0.079	0.127			
YHR080C	0.107	0.103	0.686			
YHR081W	-0.07	-0.29	-0.087			
YHR082C	0.513	0.185	0.183			
YHR083W				0.223	0.457	0.315
YHR084W	-0.012	-0.185	0.413			
YHR085W				0.109	-0.126	-0.429
YHR086W	0.155	0.053	0.237			
YHR087W	0.439	0.173	0.359			
YHR088W				-0.868	-0.686	-1.07
YHR091C	-0.038	-0.024	0.704			
YHR092C	0.015	-0.068	-0.038			
YHR093W	-0.011	-0.034	-0.23			
YHR094C	-0.004	0.02	-0.483			
YHR095W	-0.034	0.326	-0.387			
YHR096C	0.014	0.699	-0.11			
YHR097C	0.021	0.347	-0.233			
YHR100C	-0.143	-0.061	0.583			
YHR101C				0.016	0.13	-0.06
YHR103W	0.092	-0.209	-0.253			
YHR104W	-0.195	0.394	-0.236			
YHR105W	-0.223	0.359	-0.578			
YHR106W	0.062	0.428	-0.113			
YHR107C				0.162	0.049	-0.142
YHR108W	-0.035	0.133	-0.094			
YHR109W	-0.002	0.11	-0.048			
YHR110W	0.257	0.518	0.33			
YHR111W	0.204	0.21	0.374			
YHR112C	0.285	0.174	-0.118			
YHR113W	-0.017	0.431	-0.359			
YHR114W	0.191	-0.105	-0.374			
YHR115C	0.34	-0.553	-0.393			
YHR116W	-0.118	0.582	0.061			
YHR117W	-0.18	-0.411	-0.311			
YHR118C				0.228	-0.11	-0.222
YHR121W	0.225	0.126	0.237			
YHR122W				-0.128	-0.336	0.136
YHR123W	-0.043	0.399	-0.116			
YHR124W	0.263	0.016	0.058			
YHR125W	-0.014	0.256	-0.011			
YHR126C	0.105	0.243	0.855			
YHR127W	0.22	-0.148	-0.208			
YHR129C	-0.274	-0.51	0.135			
YHR130C	-0.148	-0.039	-0.261			
YHR131C	-0.097	0.098	0.009			
YHR132C	0.043	0.325	0.404			
YHR132W-A	0.157	-0.072	0.055			
YHR133C	0.336	0.271	-0.147			
YHR134W	-0.058	-0.042	0.43			
YHR135C	-0.008	-0.016	-0.011			
YHR136C	-0.047	0.312	-0.086			
YHR137W	0.202	0.177	-0.277			
YHR138C	-0.026	0.016	-0.365			
YHR139C	0.013	0.026	-0.072			
YHR139C-A	-0.455	-0.404	-0.837			
YHR140W	-0.036	0.119	0.172			
YHR142W	-0.379	-0.495	-0.56			
YHR143W	0.014	-0.332	-0.446			
YHR143W-A				-0.209	0.166	0.518
YHR146W	-0.049	-0.417	-0.498			
YHR147C	0.002	-0.044	-0.321			
YHR148W				-0.034	-0.133	0.065
YHR150W	0.285	-0.032	-0.553			
YHR151C	-0.119	-0.179	0.371			
YHR152W	0.243	0.239	-0.279			
YHR153C	0.253	0.078	0.011			
YHR154W	-0.173	-0.078	0.806			
YHR155W	0.261	0.362	1.048			
YHR156C	0.002	0.156	-0.425			
YHR157W	0.301	-0.011	-0.197			
YHR158C	0.056	0.022	-0.183			
YHR159W	-1.115	-0.903	-1.141			
YHR160C	0.134	0.28	0.433			
YHR161C	0.11	0.114	-0.313			
YHR162W	0.292	-0.337	-0.065			
YHR163W	-0.145	-0.147	-0.228			
YHR164C				-0.156	-0.19	-0.086
YHR166C				-0.083	0.074	0.026
YHR167W	0.233	1.129	-0.358			
YHR168W	0.126	0.093	1.341			
YHR170W				-0.69	-0.863	-1.606
YHR171W	0.246	0.114	-0.149			
YHR172W				0.637	0.246	0.804
YHR176W	0.077	-0.059	-0.286			
YHR177W	-0.097	0.15	0.118			
YHR178W	0.782	0.21	-0.448			
YHR179W	0.007	0.024	0.123			
YHR180W	-0.213	-0.143	-0.232			
YHR181W	-0.234	0.309	-0.141			
YHR182W	-0.208	-0.165	-0.67			
YHR183W	0.698	2.319	1.526			
YHR184W	-0.036	-0.164	-0.214			
YHR185C	-0.025	0.045	-0.347			
YHR186C				-0.086	-0.157	0.241
YHR188C				0.08399999999999999	-0.0475	0.11199999999999999
YHR189W	0.559	0.184	0.009			
YHR190W				0.442	0.449	-0.102
YHR191C	0.512	-0.62	-0.112			
YHR193C	-0.433	0.013	-0.426			
YHR194W	-0.365	-0.085	0.622			
YHR195W	-0.154	-0.46	-0.306			
YHR196W				-0.212	-0.115	-0.103
YHR197W				-0.211	-0.218	-0.372
YHR198C	-0.238	0.116	-0.235			
YHR199C	-0.028	-0.113	-0.151			
YHR200W	-0.012	0.021	0.248			
YHR202W	-0.259	-0.444	-0.307			
YHR203C	-0.032	0.061	0.246			
YHR204W	-0.027	0.165	-0.443			
YHR206W	0.057	0.207	0.065			
YHR207C	0.07	0.0	-0.397			
YHR209W	0.182	0.108	0.009			
YHR210C	-0.084	0.055	-0.417			
YIL001W	0.052	-0.116	-0.036			
YIL002C	0.234	0.551	0.596			
YIL003W				0.003	0.028	0.098
YIL004C				-0.028	-0.086	0.646
YIL005W	0.047	-0.137	-0.136			
YIL006W	-0.11	0.339	-0.561			
YIL007C	-0.171	-0.156	-0.121			
YIL008W	0.151	0.07	0.028			
YIL009C-A	0.073	0.161	0.638			
YIL009W	0.283	-0.051	0.191			
YIL010W	-0.107	-0.061	-0.25			
YIL011W	0.257	0.134	0.406			
YIL012W	0.238	0.049	0.405			
YIL013C	0.0	-0.011	0.25			
YIL014C-A	0.488	0.256	0.746			
YIL014W	-0.195	-0.253	-0.177			
YIL015W	-0.084	-0.326	-0.007			
YIL016W	0.247	0.112	-0.054			
YIL017C	0.188	0.26	1.004			
YIL018W	0.037	0.027	0.323			
YIL019W				0.002	-0.252	0.09
YIL020C	0.006	0.291	0.19			
YIL022W				-0.084	-0.172	-0.311
YIL023C	-0.222	-0.277	0.364			
YIL024C	-0.425	-0.17	0.026			
YIL025C	-0.5	-0.436	-0.529			
YIL026C				0.503	0.537	1.008
YIL027C	0.311	0.854	-0.108			
YIL028W	-0.067	-0.083	-0.098			
YIL029C	0.175	0.36	0.984			
YIL030C	0.035	-0.003	-0.058			
YIL031W				-0.263	-0.252	-0.146
YIL032C	0.036	-0.151	0.037			
YIL033C	1.073	1.063	1.076			
YIL034C	-0.065	0.391	1.214			
YIL035C	0.32	0.107	-0.315			
YIL036W	0.346	0.082	1.701			
YIL037C	0.044	-0.23	0.091			
YIL038C	0.154	-0.032	-0.405			
YIL039W	0.082	0.107	0.743			
YIL041W	-0.014	-0.136	1.195			
YIL042C	-0.003	-0.065	0.083			
YIL043C	0.222	0.662	0.193			
YIL044C	0.076	0.029	0.205			
YIL045W	-0.042	0.03	-0.158			
YIL046W				-0.068	-0.037	-0.123
YIL047C	-0.226	0.151	-0.493			
YIL048W				0.002	-0.388	-0.387
YIL050W	0.028	-0.141	0.182			
YIL051C				0.512	0.059	-0.29
YIL052C	0.06	-0.01	1.008			
YIL053W	-0.224	0.031	1.459			
YIL054W	0.244	0.159	0.2			
YIL055C	0.191	-0.03	0.166			
YIL056W	0.0	-0.027	0.069			
YIL057C	0.081	-0.113	-0.173			
YIL058W	0.312	0.217	0.139			
YIL059C	-0.541	-0.164	-0.626			
YIL060W	0.029	0.124	0.498			
YIL061C				-0.084	-0.677	-0.269
YIL062C				-0.053	-0.093	-0.417
YIL063C				-0.042	0.022	0.14
YIL064W	-0.121	-0.052	0.096			
YIL065C	-0.007	0.067	0.86			
YIL066C	0.018	0.006	0.055			
YIL067C	-0.011	-0.044	0.229			
YIL068C				-0.34	-0.015	0.51
YIL069C	0.011	0.17	0.536			
YIL070C	-0.148	-0.181	0.338			
YIL071C	0.403	0.452	0.069			
YIL072W	0.159	0.209	0.422			
YIL073C	-0.057	0.214	0.514			
YIL074C	-0.12	-0.108	-0.177			
YIL075C				0.072	0.152	0.28
YIL076W	-0.001	0.049	-0.066			
YIL077C	0.014	0.257	1.668			
YIL078W				-0.102	-0.054	-0.194
YIL079C	0.04	-0.129	0.206			
YIL083C				-0.021	0.014	0.319
YIL084C	-0.379	-0.161	-0.308			
YIL085C	0.032	0.001	0.116			
YIL086C	0.102	0.026	-0.224			
YIL087C	0.054	0.095	0.479			
YIL088C	0.134	0.106	-0.382			
YIL089W	-0.162	-0.168	-0.039			
