ORF	hom | cell cycle progression in G1 phase | YPD [standard] | Hoose SA~Polymenis M, 2012
YOR138C	0.291
YCL056C	0.291
YBR294W	0.291
YKR065C	0.291
YAL021C	0.291
YLR102C	0.291
YJL071W	0.291
YJL170C	0.291
YIR043C	0.291
YOR376W	0.291
YDL086W	0.291
YPL248C	0.291
YOL020W	0.291
YLR363C	0.291
YBR129C	0.291
YDL135C	0.291
YNL230C	0.291
YJL137C	0.291
YNR006W	0.291
YBR285W	0.291
YOR238W	0.291
YBR269C	0.291
YBL036C	0.291
YOR214C	0.291
YPL155C	0.291
YDR112W	0.291
YBR233W	0.291
YNR005C	0.291
YPR002W	0.291
YBR019C	0.291
YML017W	0.291
YLR037C	0.291
YHR001W-A	0.291
YBR286W	0.291
YNL010W	0.291
YGR239C	0.291
YMR022W	0.291
YIR039C	0.292
YOR363C	0.292
YLR262C-A	0.292
YNR007C	0.292
YGR279C	0.292
YCR085W	0.292
YNR071C	0.292
YHR050W	0.292
YBR262C	0.292
YCR009C	0.292
YKL147C	0.292
YPR126C	0.292
YPL236C	0.292
YIL152W	0.292
YJR073C	0.292
YIR044C	0.292
YDL099W	0.292
YCR062W	0.292
YLL007C	0.292
YEL003W	0.292
YNR051C	0.292
YLR044C	0.292
YKR023W	0.292
YLR177W	0.292
YIL037C	0.292
YGR078C	0.293
YBR046C	0.293
YBL010C	0.293
YDR272W	0.293
YBR213W	0.293
YGR188C	0.293
YNL159C	0.293
YMR273C	0.293
YHR198C	0.293
YIL157C	0.293
YHR004C	0.293
YDL009C	0.293
YLR110C	0.293
YGL217C	0.293
YOR105W	0.293
YPR030W	0.293
YFR016C	0.293
YHR135C	0.293
YER066W	0.293
YFR013W	0.293
YPL049C	0.293
YBR231C	0.293
YNL201C	0.293
YBR052C	0.293
YEL012W	0.293
YOL083W	0.294
YGL114W	0.294
YHR075C	0.294
YGR018C	0.294
YBR100W	0.294
YNL144C	0.294
YOR011W	0.294
YKL090W	0.294
YGL200C	0.294
YGL165C	0.294
YPR151C	0.294
YMR261C	0.294
YBR272C	0.294
YGL058W	0.294
YNL196C	0.294
YGR250C	0.294
YJL119C	0.294
YIR030C	0.294
YDR071C	0.294
YML035C	0.294
YPL269W	0.294
YHL039W	0.294
YDR090C	0.294
YGR201C	0.294
YIL139C	0.294
YDR470C	0.295
YML078W	0.295
YHR078W	0.295
YGL053W	0.295
YMR172C-A	0.295
YDR481C	0.295
YMR127C	0.295
YGL177W	0.295
YLL048C	0.295
YNL065W	0.295
YLR187W	0.295
YJR058C	0.295
YLR036C	0.295
YEL008W	0.295
YML047C	0.295
YKR094C	0.295
YDR093W	0.295
YCL042W	0.295
YDR133C	0.295
YPL273W	0.295
YDL072C	0.295
YLR433C	0.295
YJR107W	0.295
YPR179C	0.295
YML010C-B	0.295
YMR073C	0.295
YPR090W	0.295
YPR039W	0.295
YOR380W	0.295
YHR152W	0.295
YER135C	0.295
YLR183C	0.295
YNR024W	0.295
YML118W	0.295
YLR096W	0.295
YIL146C	0.295
YPR128C	0.296
YDR358W	0.296
YHR210C	0.296
YOR383C	0.296
YAR035W	0.296
YDL021W	0.296
YLR241W	0.296
YPR021C	0.296
YAR031W	0.296
YHR095W	0.296
YHR195W	0.296
YML124C	0.296
YGL050W	0.296
YAL011W	0.296
YIL035C	0.296
YDL124W	0.296
YML009C	0.296
YCR098C	0.296
YBR146W	0.296
YOR016C	0.296
YLR370C	0.296
YPR130C	0.296
YJL059W	0.296
YKL187C	0.296
YBR169C	0.296
YNL095C	0.296
YPR149W	0.296
YOR036W	0.296
YML055W	0.296
YPL182C	0.296
YPL167C	0.296
YIL034C	0.296
YDL054C	0.297
YNL101W	0.297
YNL094W	0.297
YNR025C	0.297
YKL066W	0.297
YJR146W	0.297
YAL019W	0.297
YBR288C	0.297
YLR121C	0.297
YML035C-A	0.297
YML119W	0.297
YOR099W	0.297
YNR001C	0.297
YBR217W	0.297
YKL086W	0.297
YKL105C	0.297
YIL049W	0.297
YOL046C	0.297
YPR068C	0.297
YGL240W	0.297
YPL019C	0.297
YOR027W	0.297
YKR073C	0.297
YHR103W	0.297
YOR276W	0.297
YHR157W	0.297
YOL053W	0.297
YER149C	0.297
YPR122W	0.297
YMR110C	0.297
YPL071C	0.297
YNL087W	0.298
YNL041C	0.298
YGR087C	0.298
YOR068C	0.298
YPR020W	0.298
YMR326C	0.298
YBR007C	0.298
YPL112C	0.298
YKL007W	0.298
YGL108C	0.298
YJL037W	0.298
YDR110W	0.298
YKL093W	0.298
YCR067C	0.298
YDL023C	0.298
YJL196C	0.298
YPL053C	0.298
YJL016W	0.298
YKR102W	0.298
YCL025C	0.298
YBL095W	0.298
YJL080C	0.298
YDR517W	0.298
YJR062C	0.298
YCL029C	0.298
YLR427W	0.298
YAL009W	0.298
YCR033W	0.298
YLR453C	0.298
YBR076W	0.298
YBL002W	0.298
YLR039C	0.298
YDR262W	0.298
YER140W	0.298
YDR290W	0.298
YDR370C	0.299
YHR123W	0.299
YML062C	0.299
YLR308W	0.299
YIR038C	0.299
YGL132W	0.299
YCL046W	0.299
YIL158W	0.299
YKL176C	0.299
YBR220C	0.299
YPL171C	0.299
YPR195C	0.299
YOR216C	0.299
YJR127C	0.299
YER181C	0.299
YPR023C	0.299
YMR271C	0.299
YDR147W	0.299
YPL181W	0.299
YCL035C	0.299
YIL007C	0.299
YHR136C	0.299
YKR080W	0.299
YBR216C	0.299
YKL168C	0.299
YJR131W	0.299
YJL163C	0.300
YMR055C	0.300
YMR036C	0.300
YPL060W	0.300
YMR189W	0.300
YDR068W	0.300
YLR348C	0.300
YOR301W	0.300
YKR056W	0.300
YMR284W	0.300
YBR187W	0.300
YKL148C	0.300
YOL007C	0.300
YER087C-A	0.300
YOL137W	0.300
YBL011W	0.300
YHR012W	0.300
YOR382W	0.300
YIL041W	0.300
YOR367W	0.300
YCR105W	0.300
YDR109C	0.300
YKL150W	0.300
YMR182C	0.300
YPR027C	0.300
YOR333C	0.300
YDR344C	0.300
YER170W	0.300
YBR023C	0.300
YBR157C	0.300
YKL063C	0.300
YBR101C	0.300
YKL183W	0.300
YNL045W	0.301
YMR246W	0.301
YBR197C	0.301
YER051W	0.301
YER176W	0.301
YGR106C	0.301
YMR322C	0.301
YLL020C	0.301
YFL048C	0.301
YBR100W	0.301
YHR202W	0.301
YOR234C	0.301
YDL190C	0.301
YER101C	0.301
YDR388W	0.301
YDR503C	0.301
YDL048C	0.301
YBL088C	0.301
YBR067C	0.301
YER184C	0.301
YNL129W	0.301
YER161C	0.301
YHR180W	0.301
YGR086C	0.301
YNL052W	0.301
YGL164C	0.301
YGL089C	0.301
YKL079W	0.302
YOR297C	0.302
YGL031C	0.302
YJL099W	0.302
YGR138C	0.302
YML029W	0.302
YNR066C	0.302
YPL168W	0.302
YPR069C	0.302
YJR004C	0.302
YJL077C	0.302
YBR141C	0.302
YDR448W	0.302
YGR242W	0.302
YJL098W	0.302
YIL001W	0.302
YOR223W	0.302
YLR450W	0.302
YBR149W	0.302
YER096W	0.302
YJL110C	0.302
YPR005C	0.302
YHR073W	0.302
YML056C	0.303
YFR010W	0.303
YNL140C	0.303
YAR023C	0.303
YBR020W	0.303
YOR100C	0.303
YCL040W	0.303
YIL086C	0.303
YLR389C	0.303
YEL020C	0.303
YDR099W	0.303
YBL037W	0.303
YDL155W	0.303
YMR173W-A	0.303
YBR125C	0.303
YIL092W	0.303
YMR155W	0.303
YGR130C	0.303
YDR525W-A	0.303
YOR258W	0.303
YER118C	0.303
YDR530C	0.303
YBL029W	0.303
YGR121C	0.303
YPR063C	0.303
YEL011W	0.303
YOL136C	0.303
YLR354C	0.303
YMR316C-B	0.303
YHL023C	0.303
YBL015W	0.303
YKL051W	0.303
YDL194W	0.303
YPL185W	0.303
YKL220C	0.304
YGR151C	0.304
YJR026W	0.304
YML116W	0.304
YDR476C	0.304
YGR223C	0.304
YDR335W	0.304
YOR043W	0.304
YPL201C	0.304
YER123W	0.304
YLL010C	0.304
YMR121C	0.304
YLR001C	0.304
YOR015W	0.304
YGR044C	0.304
YPR051W	0.304
YHL030W	0.304
YPL180W	0.304
YCL012W	0.304
YKL166C	0.304
YFR041C	0.304
YNL236W	0.304
YGR168C	0.304
YDR028C	0.304
YOL084W	0.305
YDR105C	0.305
YKL208W	0.305
YPR079W	0.305
YOR009W	0.305
YPR062W	0.305
YOL105C	0.305
YPR158W	0.305
YML004C	0.305
YNL202W	0.305
YGL235W	0.305
YLL016W	0.305
YMR199W	0.305
YLL014W	0.305
YIL120W	0.305
YER115C	0.305
YER084W	0.305
YIL028W	0.305
YDR541C	0.305
YLL032C	0.305
YKR026C	0.305
YGR238C	0.305
YIL130W	0.305
YFR012W	0.305
YPR129W	0.305
YML010W-A	0.305
YBL054W	0.305
YBL107C	0.305
YDL178W	0.306
YBR008C	0.306
YCR043C	0.306
YAL026C	0.306
YOL091W	0.306
YMR311C	0.306
YHR016C	0.306
YLR025W	0.306
YEL006W	0.306
YOL085C	0.306
YGR284C	0.306
YML081W	0.306
YJR051W	0.306
YKR064W	0.306
YFL013W-A	0.306
YDR252W	0.306
YCR053W	0.306
YLL005C	0.306
YHR112C	0.306
YDR150W	0.306
YLR446W	0.306
YPR156C	0.306
YHR209W	0.306
YDL011C	0.306
YDR338C	0.306
YLR146C	0.306
YIL161W	0.306
YPR043W	0.306
YJR094C	0.306
YNL057W	0.306
YNL168C	0.306
YLR122C	0.306
YMR177W	0.307
YMR191W	0.307
YHR079C-B	0.307
YDL022W	0.307
YGL263W	0.307
YPL200W	0.307
YBL008W	0.307
YOL017W	0.307
YJL058C	0.307
YML048W-A	0.307
YHL006C	0.307
YBR022W	0.307
YBL024W	0.307
YJR110W	0.307
YCL001W	0.307
YKL103C	0.307
YCR048W	0.307
YER132C	0.307
YLR341W	0.307
YKR007W	0.307
YDR200C	0.307
YDR070C	0.307
YMR062C	0.307
YBR014C	0.307
YFL004W	0.307
YBR147W	0.307
YBR075W	0.307
YDR063W	0.307
YKL188C	0.307
YPR022C	0.307
