orf	hap a | abundance of a lysin-related metabolite | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of arginine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of biotin | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of N-acetyl ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of leucine + isoleucine + citrulline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamine + valine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of methionine + proline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of threonine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of alanine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of serine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of asparagine + tyrosine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glycine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of lysine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamate | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of aspartic acid | minimal complete [standard] | Cooper SJ~Fields S, 2010
YOR086C		0.798510839	0.260761641		0.865708105	1.00748699	0.780533731	0.795605882	1.02292184	1.032086284	0.733293476	0.749608978	1.128527624	1.330969925	0.181902788	1.098580645
YOR087W		0.4690932285	0.66136178	3.1236790105	0.618905355	0.7627796394999999	0.357272312	0.6543056810000001	0.8967759585	0.8578594995	0.628965133	0.7019422045	0.712683665	0.776936424	0.6906242505	1.065290323
YOR089C		0.65564628	0.337774147	2.297963743	1.53228647	1.236950942	3.48406291	0.753849622	0.547838714		0.607999629	0.148877044	2.282873965	1.595321738	0.170382278	0.921032258
YOR090C		0.639701574	0.602589078		1.312906248	1.50299905	1.262699537	1.166938337	1.421086746	1.017152559	1.33180871	0.958559215	0.9458431095	0.911875589	1.021080982	0.810064516
YOR091W		0.637150422	0.547194118		1.049649983	1.050168505	0.911297422	0.908198654	1.107441391	0.86449671	1.05276783	0.944193886	0.6611415735	0.697262445	0.688805223	
YOR092W		0.689449055	0.508012317		1.099432417	1.344670955	1.055825711	0.816484012	1.293492992	0.793146694	0.892531474	0.970312666	0.70125948	0.688051581	0.833114768	1.098580645
YOR093C		0.55934026	1.263275309	1.082481313	1.018008604	1.254023548	1.160679568	0.934296317	1.392672251	0.99890023	0.97339842	1.047363066	0.980798813	0.9791149	1.165390527	0.749032258
YOR094W		0.465585393	0.894425941		0.721845306	0.753023865	0.703613913	0.609194007	0.840308936	1.178104922	0.751763087	0.723490198	0.596151297	0.611601405	0.722154067	
YOR096W	6.097723585	0.801004411	0.623628579	1.605133661	1.835215935	0.970846268	1.224270188	0.324434079	0.919971584	0.915348514	1.28066291	1.377100093	6.2380668875000005	2.364630852	4.022580357	3.734166308
YOR097C	0.0	0.480896914		0.373357152	0.884882913	1.094438941	0.779222251	0.58618471	1.347852061	1.120969627	0.811644622	1.090814513	0.653957765	0.682038761	0.772085095	0.471963732
YOR099W	0.0	0.773469454			0.916990225	0.822921866	1.007721608	0.496696606	1.076083169	1.041483871	0.804521824	1.243538114	0.7236974515000001	0.691882424	0.977294013	0.696219791
YOR100C	0.0	0.622141474	2.391519824	0.712326145	0.908901861	0.873603751	0.799107627	0.481223191	1.016566605	0.340207884	1.032192006	0.979675719	0.719503311	0.715415773	0.792717973	0.589221802
YOR101W		0.613109995		2.245055506	0.983798695	1.035708525	0.913166965	0.551317759	0.62057559	4.954350027	1.002092838	1.075103349	0.842519711	1.052172167	0.816501519	0.53645567
YOR104W		0.522388451			0.846041794	0.872240462	0.651328811	0.451978438	0.969816761	0.907899848	0.861478601	0.654747312	0.5120249960000001	0.741704628	0.775530769	1.032057137
YOR105W		0.699359616		0.481434222	0.859018853	0.928405064	0.854945427	0.439135504	0.73921925	2.111595375	0.562530982	0.92960571	0.5489542195	0.879977693	0.982020764	0.458772199
YOR106W	0.781170742	0.247863409	4.290814105	4.804517035	1.995628649	1.306861763	2.309869718	3.926722521	1.655569627	0.811885933	1.643918489	1.768958656	1.234217353	1.475487916	10.4876827	1.706435944
YOR107W	0.0	0.793978105		0.623899451	0.925108909	0.884338882	0.731231517	0.443003858	0.645482559	0.35750659	1.082737808	0.818831548	0.6016577750000001	0.833956077	1.196537925	0.449977844
