ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YLR199C	NaN	0.995	NaN	6.214	1.156	0.885	1.281	1.303	1.184	0.000	1.143	1.093	1.001	1.424	1.669	1.267
YLR202C	NaN	0.625	1.492	0.000	0.623	0.844	0.730	NaN	0.814	0.633	0.712	0.764	0.495	NaN	0.489	NaN
YLR211C	NaN	0.901	0.248	0.436	0.880	0.935	0.988	0.920	0.942	0.754	0.774	0.860	0.829	0.935	1.380	1.439
YLR217W	NaN	0.909	0.306	3.106	0.860	0.780	1.219	1.177	0.773	NaN	0.972	1.210	0.881	0.827	1.331	1.583
YLR218C	NaN	0.874	1.686	0.524	1.046	0.896	0.824	1.250	0.865	NaN	1.273	0.880	0.860	0.689	1.477	0.966
YLR224W	NaN	0.691	0.516	0.000	0.866	0.705	0.838	1.005	0.596	NaN	0.905	0.660	0.694	0.489	1.487	0.782
YLR225C	NaN	0.593	0.310	0.000	0.988	0.853	0.611	1.045	0.615	NaN	1.082	0.606	0.819	0.794	0.817	1.004
YLR232W	0.803	1.795	0.216	6.986	1.244	1.258	1.756	1.083	1.110	1.257	1.818	1.121	0.890	0.805	2.699	1.263
YLR235C	5.429	0.809	NaN	0.571	0.616	0.938	0.862	0.594	1.129	0.699	0.667	0.783	0.600	1.018	1.134	0.630
YLR236C	0.869	0.826	0.730	0.449	0.891	0.890	1.096	1.324	0.679	0.818	1.051	0.666	0.614	0.327	2.947	0.322
YLR241W	0.889	0.801	0.879	6.460	1.156	1.358	0.969	0.640	0.913	0.805	1.242	0.562	1.675	0.791	1.811	0.815
YLR247C	1.000	1.065	NaN	NaN	0.904	1.255	1.149	0.870	1.006	0.602	0.883	0.601	1.368	1.137	1.089	0.929
YLR252W	0.714	0.409	NaN	0.428	0.858	1.093	0.692	1.452	1.303	0.775	1.137	1.058	0.878	0.528	2.704	54.393
YLR253W	0.937	0.890	0.122	0.386	0.997	0.939	0.798	1.198	0.696	0.608	1.010	0.696	0.836	0.614	3.387	0.335
YLR255C	0.770	0.786	2.139	0.338	0.881	0.966	1.169	1.668	0.808	0.542	1.081	0.552	0.936	0.690	2.523	1.377
YLR257W	0.500	1.367	0.771	0.000	1.194	1.533	0.396	2.085	1.555	0.357	0.966	0.523	1.753	1.031	4.044	1.115
YLR267W	1.552	1.527	0.497	0.292	1.028	1.159	0.657	0.515	1.050	1.556	1.054	0.831	1.012	1.230	5.125	3.578
YLR269C	1.112	0.362	4.839	0.751	1.233	1.110	0.378	1.687	0.663	0.790	1.421	0.624	1.340	0.670	7.253	1.965
YLR271W	2.308	1.137	4.036	1.251	0.939	1.148	0.949	0.520	1.517	1.353	0.729	1.042	0.877	1.130	6.786	6.750
YLR278C	1.679	1.223	0.453	1.903	0.906	1.239	0.757	1.561	1.167	1.217	0.765	1.013	1.153	1.229	6.042	5.210
YLR279W	0.612	1.034	0.462	0.406	0.952	1.062	0.711	1.475	0.899	1.130	0.855	0.921	0.674	1.123	5.644	5.088
YLR280C	0.147	1.099	1.208	0.195	0.872	0.932	1.779	0.520	1.178	1.170	0.756	1.085	0.893	1.147	1.293	0.680
YLR281C	0.543	1.240	6.460	0.265	0.881	1.002	1.616	0.456	1.153	1.247	0.807	0.986	0.736	1.162	6.560	6.130
YLR282C	0.544	1.194	1.291	0.225	0.898	0.930	1.626	0.510	1.114	1.231	0.844	1.151	0.785	1.323	6.550	1.382
YLR283W	1.546	1.369	1.177	0.250	0.926	1.018	1.652	0.487	1.153	1.290	0.872	1.022	0.778	1.388	7.064	0.343
YLR287C	0.441	0.787	0.394	0.336	0.854	0.870	0.770	0.268	0.916	0.857	0.780	0.670	0.640	0.981	6.067	1.389
YLR290C	0.916	0.236	1.823	0.355	0.634	0.681	1.130	0.216	0.965	0.868	0.590	0.824	0.643	1.065	6.511	5.712
YLR294C	NaN	0.272	NaN	NaN	0.925	0.640	0.395	0.118	0.452	3.077	1.076	0.574	1.542	0.168	0.475	1.058
YLR296W	0.397	0.880	0.394	0.293	0.824	0.910	0.590	1.259	0.731	0.916	0.884	0.812	0.753	0.788	5.372	0.155
YLR297W	0.521	1.019	NaN	0.385	0.814	0.868	0.920	1.214	0.757	0.866	0.788	0.822	0.629	1.013	6.659	2.253
YLR311C	0.388	0.760	0.532	0.267	0.765	0.808	1.058	1.221	0.760	0.842	0.849	1.039	0.612	1.007	6.022	0.280
YLR312C	0.406	1.491	0.439	0.283	0.878	1.071	0.899	1.524	1.049	1.099	0.970	1.169	0.883	1.342	6.831	0.670
YLR326W	NaN	0.526	NaN	NaN	1.006	1.005	0.759	0.966	0.735	2.903	0.958	0.600	0.585	0.878	0.618	0.742
YLR345W	0.286	1.209	1.438	1.701	0.381	0.724	0.820	NaN	0.773	1.067	0.756	0.974	0.651	1.202	4.065	0.418
YLR349W	0.836	0.533	0.102	1.094	0.802	0.859	0.774	0.341	0.938	1.087	1.081	0.583	0.818	0.532	3.937	1.892
YLR352W	0.939	0.383	1.933	0.615	0.681	0.873	0.796	0.431	0.750	0.721	0.764	0.447	1.054	0.111	3.294	3.751
YLR356W	1.172	1.170	1.438	1.236	0.762	0.964	1.366	0.957	0.885	2.016	1.047	1.366	0.432	1.389	6.134	0.326
YLR364W	0.174	0.887	1.911	NaN	0.803	0.908	0.720	NaN	0.897	0.881	0.991	0.799	0.628	1.305	6.144	2.898
YLR365W	1.402	1.399	NaN	4.018	1.135	1.065	1.098	NaN	1.224	0.970	1.113	1.095	1.075	NaN	9.266	0.651
YLR366W	0.375	0.719	3.246	NaN	0.860	0.923	0.688	NaN	0.948	0.847	1.034	0.824	1.088	1.727	7.024	0.651
YLR374C	0.453	0.898	1.756	NaN	0.671	0.778	1.015	0.102	0.831	0.787	0.929	0.536	0.508	1.079	4.340	1.970
YLR392C	NaN	0.556	NaN	0.000	0.747	0.998	1.038	0.946	0.965	NaN	0.783	0.782	0.727	1.057	0.805	0.820
YLR402W	NaN	0.448	3.390	1.600	0.782	0.708	0.266	0.746	0.774	NaN	0.778	0.610	0.883	0.851	0.638	0.831
YLR404W	NaN	0.363	NaN	NaN	0.700	0.811	0.477	0.659	0.859	NaN	0.677	0.544	0.758	0.724	0.505	0.539
YLR407W	NaN	0.692	NaN	NaN	0.864	0.876	0.476	1.008	1.272	NaN	0.845	0.863	0.461	0.695	0.811	0.838
YLR408C	NaN	0.637	NaN	NaN	0.795	1.060	0.591	0.991	1.382	NaN	0.826	1.082	0.878	0.841	1.180	0.964
YLR412W	NaN	0.506	1.106	NaN	0.559	0.752	0.318	0.786	0.839	NaN	0.592	0.889	0.717	0.760	0.720	0.713
YLR413W	NaN	0.793	NaN	NaN	1.022	1.860	1.182	1.258	1.823	NaN	0.707	0.918	0.784	0.718	1.270	0.949
YLR414C	NaN	1.069	1.512	0.557	0.916	1.035	1.380	0.446	1.083	0.557	0.889	0.857	0.876	1.043	5.599	4.033
YLR415C	NaN	1.499	0.799	0.975	0.953	1.088	1.560	NaN	1.094	1.123	0.814	1.218	0.607	1.166	10.950	7.220
YLR416C	NaN	2.112	5.755	0.954	1.030	1.156	1.869	NaN	1.070	1.252	0.780	1.223	0.557	NaN	10.813	15.450
YLR422W	NaN	0.674	0.502	0.923	1.047	1.036	1.284	1.027	1.409	0.724	1.697	1.531	0.336	0.666	1.748	1.760
YLR426W	NaN	0.559	0.864	0.313	0.782	0.964	0.528	0.893	0.776	0.537	0.756	0.397	0.549	0.669	2.743	1.314
YLR428C	NaN	0.738	0.473	0.724	0.901	0.709	0.837	0.528	0.818	0.288	0.815	0.774	0.329	0.661	1.547	1.736
YLR434C	NaN	0.610	0.614	0.828	1.024	0.812	0.883	0.442	0.756	0.389	0.955	0.983	0.648	0.884	1.495	2.110
YLR437C	NaN	0.991	0.407	1.881	1.329	1.029	1.577	0.554	1.255	0.631	1.582	1.639	0.646	1.034	2.537	3.222
YLR444C	NaN	0.645	0.561	0.218	0.842	0.721	0.668	0.586	0.766	0.341	0.803	0.637	0.820	0.712	1.375	1.692
YLR445W	NaN	2.047	0.059	0.904	1.224	0.909	2.178	0.652	1.159	0.604	1.260	1.420	0.823	1.603	3.812	4.164
YLR446W	NaN	1.818	2.070	1.886	1.236	1.014	2.079	0.618	1.294	0.873	1.417	1.544	0.820	1.469	3.999	4.400
YLR454W	NaN	0.356	0.603	0.240	0.751	0.685	0.509	0.326	0.646	0.311	0.819	0.590	0.612	0.620	0.794	0.800
YLR455W	0.500	0.720	NaN	0.000	0.829	0.915	0.744	0.650	0.960	0.888	0.842	0.842	0.372	0.412	0.758	0.348
YLR456W	0.000	0.754	0.749	0.261	0.839	0.831	0.801	0.837	0.882	0.552	0.707	0.713	0.667	0.751	2.457	1.679
YLR460C	0.000	1.128	0.275	1.808	1.322	0.987	1.233	1.166	1.888	0.774	1.115	1.045	0.547	0.984	2.633	2.899
YPR058W	2.906	0.811	NaN	NaN	1.000	0.838	0.794	0.605	0.763	0.329	1.053	1.024	1.003	0.670	0.939	0.492
YBR104W	NaN	0.567	NaN	1.133	0.675	0.808	0.713	5.197	0.189	0.560	0.834	0.852	0.177	1.077	0.077	1.602
YML038C	NaN	0.483	0.614	6.636	0.963	1.068	0.615	0.513	0.846	0.485	1.251	0.663	0.318	0.346	0.693	0.404
YPR024W	1.000	0.220	NaN	NaN	0.860	0.837	0.313	1.027	0.626	1.000	1.470	0.457	1.314	NaN	0.577	0.747
YMR302C	NaN	0.371	0.461	NaN	0.705	0.719	0.419	0.683	0.410	0.517	0.901	0.333	0.503	0.239	0.051	0.958
YML002W	0.244	1.004	0.775	4.063	1.023	0.904	0.837	0.693	0.647	1.320	1.339	1.264	0.819	1.023	2.501	2.331
YML003W	0.581	0.500	1.638	1.368	0.499	0.930	0.889	0.627	1.132	1.223	0.737	0.904	0.623	0.621	3.614	1.920
YML011C	0.469	0.944	1.113	0.396	1.209	1.427	0.993	1.511	0.705	0.572	0.988	1.199	0.707	0.617	2.137	5.162
YML018C	0.122	1.022	1.196	0.381	0.969	1.058	1.285	0.378	1.431	0.724	0.676	0.922	0.993	0.872	2.848	3.815
YML020W	1.561	0.337	0.372	0.280	0.891	0.970	1.011	0.365	1.234	0.621	0.730	0.927	1.107	0.864	0.366	13.897
YML030W	2.356	0.423	1.084	0.544	1.048	0.972	0.744	1.111	1.128	0.580	0.953	0.838	0.550	0.458	1.273	0.723
YML037C	NaN	1.429	0.218	4.610	1.046	1.239	1.006	1.464	1.390	0.579	0.761	0.895	0.914	0.512	2.992	20.655
YML050W	NaN	1.000	0.383	0.076	0.916	0.839	1.037	0.440	1.165	NaN	0.745	0.994	0.725	0.311	1.753	3.518
YML053C	0.102	0.822	24.523	0.077	0.900	0.862	0.988	0.224	1.072	0.843	1.017	0.454	0.887	0.352	1.447	0.687
YML079W	0.757	1.385	0.413	0.381	1.318	0.975	1.115	0.559	1.490	0.877	0.736	1.047	0.971	0.859	1.358	2.066
YML081W	0.171	1.681	0.210	0.654	1.582	1.215	0.818	0.497	1.457	1.102	1.538	1.248	0.563	3.610	2.150	1.183
YML082W	NaN	2.896	2.132	1.440	1.221	0.822	0.160	5.645	0.309	2.733	2.456	0.341	0.819	1.040	4.979	1.995
YML083C	0.646	1.059	0.148	NaN	1.350	1.229	1.114	0.586	1.527	1.189	0.795	1.013	1.012	0.916	2.424	0.669
YML084W	0.000	0.468	NaN	0.532	1.222	0.891	0.610	1.435	1.218	0.667	1.261	0.823	1.064	1.249	4.566	NaN
YML087C	NaN	0.077	NaN	0.605	0.913	0.546	NaN	0.716	0.408	0.457	NaN	1.813	0.460	NaN	1.143	0.564
YML089C	0.000	0.715	1.237	0.459	0.714	0.920	0.953	0.944	0.763	1.196	0.885	0.640	0.404	0.472	3.106	3.042
YML090W	0.423	0.892	10.246	NaN	1.158	0.956	1.253	0.525	1.129	0.914	1.145	1.089	0.882	0.433	1.657	2.496
YML096W	NaN	0.720	NaN	2.273	0.999	1.041	0.947	1.667	0.976	1.215	1.112	0.970	0.463	0.802	2.110	3.455
YML108W	NaN	0.578	0.407	0.312	0.916	0.821	0.909	0.476	0.858	0.968	1.067	0.981	0.443	0.980	1.190	1.804
YML119W	NaN	1.035	NaN	0.560	0.893	1.064	1.325	1.629	1.156	1.156	1.018	1.130	0.691	1.376	2.660	3.696
YML122C	0.404	1.223	NaN	0.409	1.055	1.471	1.157	1.628	1.473	1.193	1.733	1.406	0.795	1.498	2.070	2.490
YML131W	NaN	1.005	NaN	3.577	1.451	1.709	1.440	2.456	1.528	1.436	1.932	1.430	0.642	1.132	1.242	NaN
YMR003W	0.188	0.849	0.706	0.791	1.270	0.677	1.274	0.763	0.974	0.401	0.878	1.779	0.929	0.824	2.726	2.734
YMR007W	0.234	0.903	0.406	0.141	0.919	1.142	0.855	0.610	1.064	1.197	0.675	0.891	0.807	0.626	2.477	1.547
YMR010W	NaN	0.807	0.481	0.612	0.825	1.057	1.079	1.294	0.422	1.001	0.788	0.828	0.523	0.652	3.978	7.492
YMR018W	0.350	0.644	0.289	0.295	0.956	1.102	0.407	1.774	0.702	0.617	1.867	1.426	0.384	1.753	3.186	2.550
YMR027W	0.149	1.073	0.216	0.344	1.101	1.145	0.996	0.970	0.970	1.046	1.070	0.613	0.606	0.698	4.621	0.665
YMR031C	NaN	0.965	NaN	0.683	1.085	1.193	1.331	1.896	1.127	0.716	1.004	1.138	0.470	0.938	6.212	8.503
YMR034C	0.344	0.693	0.274	0.495	0.941	1.094	0.486	0.222	0.408	0.345	1.565	0.745	0.427	1.719	3.978	2.079
YMR041C	NaN	0.785	0.591	2.678	NaN	1.016	0.812	1.242	0.802	0.916	0.660	0.607	0.888	0.459	0.306	1.040
YMR057C	0.087	0.515	2.260	NaN	0.826	0.727	0.585	NaN	0.763	0.563	0.792	0.729	1.423	0.000	1.091	NaN
YMR073C	NaN	0.669	0.942	0.202	0.655	0.684	0.818	1.613	0.751	0.276	0.868	0.732	0.365	0.250	1.162	0.627
YMR082C	NaN	1.655	0.904	0.285	0.892	1.297	1.056	1.614	1.176	0.494	0.884	0.913	0.961	NaN	2.340	1.198
YMR084W	0.508	1.667	2.241	0.583	0.899	1.445	2.080	2.531	1.306	1.053	0.929	1.335	1.679	NaN	4.791	1.129
YMR085W	NaN	1.039	NaN	NaN	1.047	1.574	1.562	NaN	1.330	NaN	0.930	0.906	1.235	0.920	1.011	0.854
YMR086W	NaN	1.356	3.345	3.537	0.383	1.285	1.372	1.674	1.048	0.383	0.959	1.056	0.673	1.150	2.382	0.790
YMR087W	NaN	1.098	1.554	NaN	0.766	1.042	0.871	2.325	0.619	0.626	0.971	0.685	0.778	1.573	2.631	0.552
YMR098C	1.039	0.180	1.768	2.260	1.139	0.558	0.711	0.671	0.897	1.000	1.421	1.387	3.323	NaN	1.510	1.884
YMR099C	NaN	0.609	0.454	NaN	0.897	0.906	1.081	0.523	0.985	0.860	0.918	0.974	0.580	0.282	1.545	0.681
YJR110W	NaN	2.424	NaN	10.741	1.620	1.463	2.971	1.164	1.905	NaN	3.134	2.522	0.656	1.539	1.686	1.041
YMR102C	NaN	0.931	NaN	NaN	0.969	1.310	0.854	0.579	1.422	0.777	1.031	0.984	0.947	0.331	2.181	2.726
YMR103C	NaN	0.350	NaN	0.000	0.675	0.899	0.802	NaN	0.856	0.531	0.757	0.957	0.463	NaN	1.656	NaN
YMR114C	NaN	2.000	NaN	0.873	0.944	1.278	1.932	NaN	1.206	1.205	1.079	1.224	1.835	NaN	1.777	38.947
YMR115W	NaN	0.875	NaN	2.532	1.341	0.976	0.823	NaN	0.764	0.927	1.771	0.604	1.167	NaN	4.473	1.248
YMR122C	NaN	0.130	1.036	NaN	0.683	1.095	1.461	NaN	1.161	1.114	0.802	1.098	1.035	NaN	4.217	1.885
YMR124W	10.841	2.398	13.028	3.270	2.427	0.977	0.904	NaN	1.150	0.712	0.875	1.024	10.700	3.226	5.960	3.895
YMR126C	2.499	1.377	1.202	3.438	1.401	1.424	0.639	1.415	0.985	0.706	1.477	1.378	1.828	1.969	3.723	1.230
YMR130W	NaN	0.418	1.813	NaN	0.795	1.002	0.716	1.145	0.690	0.670	0.943	0.731	0.536	0.376	2.633	4.764
YMR141C	NaN	1.009	0.685	0.258	0.958	1.210	1.042	0.875	0.961	1.630	0.826	0.857	0.948	0.642	3.475	2.415
YMR144W	0.299	0.641	NaN	1.957	1.781	0.620	0.101	1.172	0.950	1.239	0.556	0.718	0.725	0.350	3.974	1.089
YMR147W	NaN	0.685	0.157	0.530	0.748	0.982	1.094	1.556	0.920	1.682	0.937	0.841	0.685	0.499	2.446	1.287
YMR148W	0.278	0.723	0.200	1.556	0.453	0.755	1.437	1.374	0.902	1.388	1.033	0.986	0.697	0.426	2.508	1.769
YMR155W	NaN	0.194	NaN	0.533	0.911	0.989	1.453	1.971	0.997	2.026	1.221	1.180	0.396	0.520	6.943	3.538
YMR157C	5.224	1.607	0.247	0.485	1.289	1.362	0.317	2.971	0.770	1.260	1.529	1.140	1.227	1.166	2.623	0.422
YMR160W	NaN	0.678	NaN	1.523	0.727	1.257	0.694	0.787	0.770	0.679	1.006	0.561	0.421	0.294	1.003	4.158
YMR166C	NaN	1.673	0.394	0.805	1.421	0.532	1.794	2.380	0.279	0.295	1.938	1.267	1.796	2.216	2.556	0.701
YMR171C	NaN	0.734	1.518	NaN	1.025	0.853	0.825	0.732	0.846	0.845	0.868	0.922	0.516	0.713	1.139	1.436
YMR178W	NaN	0.715	0.074	0.408	1.182	1.159	0.687	0.584	0.733	0.684	1.228	0.752	0.606	0.546	1.136	3.139
YMR181C	NaN	0.678	0.438	7.584	1.411	0.862	0.606	0.875	0.887	0.951	0.923	0.993	0.447	0.814	0.933	1.596
YMR185W	0.466	0.608	1.609	0.322	1.261	1.258	0.984	0.543	1.554	0.737	0.575	0.742	0.945	0.820	2.589	1.485
YMR187C	NaN	0.935	NaN	0.510	0.883	0.971	1.205	0.941	0.807	1.211	1.010	0.982	0.763	1.101	2.055	1.453
YMR196W	NaN	1.697	1.669	0.697	1.325	1.131	1.175	1.350	1.419	1.575	1.059	1.367	0.805	1.284	2.901	1.377
YMR206W	4.527	0.382	0.980	0.572	0.425	0.394	0.796	0.445	0.985	2.085	0.680	3.170	0.988	0.798	1.816	0.236
YMR209C	0.256	1.842	1.381	1.664	1.287	1.570	0.917	1.384	1.347	1.534	2.070	1.612	0.696	1.806	2.103	1.534
YMR210W	NaN	0.760	0.395	1.418	0.442	1.109	0.512	1.511	0.499	0.778	1.551	0.751	1.005	0.725	2.154	1.089
YMR221C	NaN	0.679	0.191	NaN	1.902	NaN	2.675	1.920	0.043	1.674	1.999	0.980	1.131	0.522	1.088	NaN
YMR226C	1.412	0.759	0.085	0.538	1.386	1.094	0.355	1.066	0.449	1.262	1.267	1.357	0.561	1.676	1.467	5.484
YMR233W	1.694	0.596	0.603	0.423	1.000	1.017	0.806	0.390	0.365	1.279	1.398	1.080	0.397	1.700	1.360	0.646
YMR244W	1.483	0.528	0.375	0.422	1.239	1.380	1.238	0.966	1.417	1.376	0.620	0.899	0.793	0.750	2.534	0.272
YMR245W	NaN	0.740	0.550	1.633	0.434	1.246	1.196	0.535	0.439	1.410	1.485	1.023	0.682	1.892	1.597	2.704
YMR247C	3.717	0.467	0.297	1.456	0.445	1.163	1.377	0.915	1.410	1.362	0.621	0.850	0.846	0.664	1.561	3.195
YMR252C	NaN	0.940	2.451	3.239	0.252	1.227	0.461	1.221	0.602	1.029	1.421	0.683	0.958	0.275	0.941	1.126
YMR253C	NaN	1.053	0.314	1.526	0.611	1.289	1.248	0.886	1.566	1.182	0.750	0.665	1.015	0.881	1.827	1.054
YMR254C	0.080	0.743	0.940	1.353	0.496	1.149	0.486	1.195	0.493	1.199	1.446	0.794	0.881	0.772	2.493	1.392
YMR258C	2.832	0.672	NaN	0.469	0.418	0.445	0.499	0.790	0.854	0.991	0.551	1.645	0.764	0.536	0.858	0.890
YMR259C	3.248	0.223	NaN	0.566	0.967	0.861	0.860	0.968	0.972	0.516	0.883	0.991	0.912	0.991	0.474	1.183
YMR262W	1.341	0.486	0.355	1.693	0.452	1.038	1.116	0.941	1.219	1.047	0.729	0.746	0.942	0.676	0.604	1.758
YMR265C	NaN	3.400	NaN	0.313	1.201	1.082	1.457	1.503	0.669	1.109	2.180	1.923	1.649	NaN	8.212	2.467
YMR269W	1.506	1.241	0.696	1.166	1.585	0.717	1.786	0.827	1.198	0.973	0.889	1.452	3.009	3.789	5.879	2.947
YMR278W	2.000	0.869	0.566	1.251	0.457	0.985	1.080	0.827	1.312	0.858	0.801	0.666	1.274	1.421	1.646	0.729
YMR279C	NaN	0.610	4.100	NaN	0.724	0.759	0.792	0.677	0.871	0.772	0.803	0.786	0.399	0.698	0.848	1.615
YMR289W	0.279	0.844	1.049	0.775	1.114	1.221	0.971	0.724	1.605	1.178	0.909	0.826	0.564	0.355	0.451	0.796
YMR291W	0.231	1.228	3.746	NaN	1.046	1.192	1.263	0.416	1.604	1.169	0.807	0.778	1.122	0.526	0.589	0.367
YMR293C	1.174	0.406	0.881	NaN	0.705	0.772	0.548	NaN	0.731	0.650	0.666	0.940	0.617	NaN	0.593	0.745
YMR295C	0.517	0.729	0.765	1.070	1.039	1.055	0.688	0.670	0.965	0.815	0.997	0.569	0.736	0.337	0.503	0.909
YFR049W	NaN	0.655	NaN	0.000	1.061	0.921	0.669	0.324	1.247	0.885	0.921	0.655	0.990	0.565	0.589	0.630
YMR310C	0.000	0.831	2.549	0.633	0.832	0.920	0.907	1.021	0.970	0.693	0.855	0.720	0.392	0.298	1.181	3.342
YMR317W	NaN	0.462	NaN	0.000	0.729	0.915	0.539	0.784	0.878	0.873	0.768	1.056	0.382	NaN	1.366	1.754
YMR320W	NaN	1.105	NaN	0.000	0.732	0.821	0.800	1.637	0.943	1.247	1.080	1.346	0.405	1.356	1.918	2.347
YMR326C	NaN	0.428	0.583	0.637	0.776	0.447	1.007	0.527	0.726	0.235	0.820	0.566	0.387	0.382	0.928	0.304
YOR064C	NaN	0.557	0.252	1.055	0.975	1.138	0.893	1.454	1.022	1.153	1.037	0.970	0.768	1.504	1.214	0.787
YNL010W	NaN	0.586	NaN	0.156	1.028	0.877	0.585	0.461	0.818	0.428	0.892	0.573	0.732	0.978	1.291	1.693
YNL011C	NaN	1.213	0.785	0.729	1.029	1.135	1.217	0.905	1.299	0.896	1.064	1.046	0.689	1.145	1.637	1.831
YNL013C	NaN	1.121	NaN	NaN	1.011	0.635	0.909	0.975	0.804	NaN	1.048	1.314	0.601	0.313	0.775	NaN
YNL022C	2.145	0.475	NaN	0.139	1.081	0.852	0.570	0.291	0.932	0.655	0.931	0.461	0.435	0.396	1.160	1.301
YNL024C	2.502	0.415	NaN	0.115	1.052	0.843	0.489	0.734	0.549	0.440	0.985	0.597	0.577	0.972	0.937	0.556
YNL028W	4.052	1.468	NaN	NaN	1.505	1.016	1.010	1.043	0.958	0.000	1.298	0.929	1.058	NaN	1.175	0.962
YNL034W	NaN	1.575	NaN	2.919	0.898	0.946	0.523	0.308	0.584	NaN	1.205	0.555	0.257	NaN	5.543	9.478
YNL035C	NaN	1.231	NaN	3.224	0.721	0.706	0.453	0.211	0.367	NaN	0.843	0.554	0.297	NaN	1.623	1.954
YNL040W	NaN	1.328	NaN	3.243	0.836	0.861	0.537	0.262	0.632	NaN	1.023	0.805	0.389	NaN	1.577	2.703
YNL043C	0.500	1.832	NaN	0.000	0.871	1.331	1.223	0.645	0.979	0.398	0.964	0.907	0.832	1.121	1.692	0.886
YNL045W	0.500	3.497	1.600	0.934	1.085	1.306	2.292	1.498	1.884	1.645	1.287	2.679	1.245	2.555	2.953	0.538
YNL046W	1.000	1.638	NaN	NaN	0.993	1.195	1.104	1.074	1.086	0.000	0.970	1.146	1.592	1.568	0.771	NaN
YNL050C	0.500	0.850	1.067	0.000	0.991	0.984	0.764	0.484	0.938	0.449	0.943	0.927	0.791	0.795	0.903	NaN
YNL057W	1.000	0.973	NaN	NaN	1.295	1.066	0.752	1.624	0.998	0.000	1.562	1.433	0.987	0.801	0.937	1.778
YNL058C	1.000	0.830	NaN	NaN	1.104	0.769	0.590	1.074	0.848	0.000	0.847	0.910	0.943	0.667	0.737	NaN
YNL080C	NaN	1.266	0.392	0.461	1.060	1.690	1.550	2.725	1.078	1.083	1.000	1.342	0.525	1.004	4.128	2.784
YNL086W	1.436	0.558	0.946	0.897	1.109	0.820	0.547	0.184	0.886	0.639	0.853	0.678	1.273	0.190	4.390	NaN
YNL089C	NaN	1.041	1.349	1.102	0.974	1.106	1.380	0.833	1.238	0.756	0.756	1.215	0.723	0.645	1.039	NaN
YNL092W	1.000	0.608	NaN	NaN	0.699	0.484	0.554	0.153	0.791	23.804	0.606	0.610	0.759	0.606	0.688	NaN
YNL095C	NaN	0.875	0.767	NaN	0.478	1.920	0.878	0.949	1.482	1.000	0.772	0.977	0.732	0.774	1.240	NaN
YNL105W	0.000	1.324	1.153	0.486	0.937	1.273	1.554	2.693	1.048	1.283	0.832	1.052	0.280	0.987	4.731	5.725
YNL108C	0.500	0.642	NaN	0.432	0.911	0.771	0.779	0.362	0.797	0.477	0.884	0.544	0.506	0.858	2.769	0.774
YNL115C	0.695	1.352	0.494	0.736	1.196	1.176	0.949	3.064	0.859	1.089	1.102	0.980	0.953	1.003	7.137	7.771
YNL122C	0.500	1.427	NaN	0.645	1.145	0.757	1.080	0.607	0.950	0.532	0.827	0.546	1.227	1.573	2.748	1.352
YNL134C	NaN	0.453	NaN	NaN	0.963	1.064	0.604	NaN	0.981	0.942	1.198	0.546	0.420	0.294	1.366	2.045
YNL140C	NaN	1.457	NaN	3.982	1.010	0.642	0.635	0.753	0.454	NaN	0.871	0.840	2.141	8.876	1.516	1.711
YNL143C	1.000	0.680	NaN	NaN	0.915	0.670	0.758	0.669	0.681	0.000	0.731	0.731	0.811	0.735	0.899	NaN
YNL144C	0.500	0.594	1.145	0.000	0.558	1.206	0.616	0.371	0.793	0.422	0.887	0.429	0.767	0.456	1.115	0.770
YNL146W	0.500	0.804	NaN	0.384	0.917	0.942	1.094	0.722	0.945	0.000	1.099	1.163	0.486	0.648	1.287	1.169
YNL155W	NaN	1.257	3.516	NaN	0.976	0.979	0.951	NaN	1.163	1.059	1.068	0.789	4.481	2.368	3.005	NaN
YNL157W	9.427	1.785	1.685	0.579	1.021	1.043	1.499	0.416	1.243	0.470	0.724	1.084	0.743	1.081	3.223	0.251
YNL168C	11.386	2.216	NaN	1.652	1.582	1.282	2.006	1.970	1.374	0.701	2.407	2.342	1.104	1.639	1.920	0.394
YNL170W	NaN	0.349	1.192	1.536	0.683	0.388	0.703	0.671	0.604	0.000	0.967	0.667	2.083	0.442	1.563	1.703
YNL176C	NaN	0.307	2.434	1.573	1.030	0.642	0.349	0.262	0.603	0.458	0.656	0.477	0.349	0.305	0.733	0.222
YNL179C	NaN	0.748	NaN	NaN	2.297	1.048	0.781	0.633	0.836	0.402	1.290	1.238	1.681	1.290	1.608	0.491
YNL184C	0.000	1.080	0.720	3.991	1.511	0.831	0.719	0.518	1.174	0.576	0.945	1.111	2.387	1.405	2.400	0.846
